# Original filename: 0010_BQR_2017-08-03.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36805	42	STIM=s
42310	42	RESP=1
51896	42	STIM=o
56951	42	RESP=1
67036	42	STIM=g
71341	42	RESP=1
84568	42	STIM=j
89989	42	RESP=1
101914	42	STIM=2
116206	42	RESP=2
117506	42	STIM=0
124087	42	RESP=2
134174	42	STIM=w
138851	42	RESP=2
152280	42	STIM=y
155427	42	RESP=1
168689	42	STIM=z
175205	42	RESP=1
187349	42	STIM=x
191598	42	RESP=1
204468	42	STIM=v
217815	42	RESP=2
221216	42	STIM=j
225633	42	RESP=1
237900	42	STIM=e
243277	42	RESP=1
252901	42	STIM=t
256850	42	RESP=1
270281	42	STIM=r
276954	42	RESP=2
288864	42	STIM=v
298161	42	RESP=1
304932	42	STIM=o
311203	42	RESP=1
320135	42	STIM=o
324713	42	RESP=1
335302	42	STIM=s
339049	42	RESP=1
350808	42	STIM=l
357514	42	RESP=2
367974	42	STIM=u
373624	42	RESP=1
384751	42	STIM=t
387988	42	RESP=1
403717	42	STIM=j
410043	42	RESP=1
420604	42	STIM=1
425351	42	RESP=2
437649	42	STIM=3
443312	42	RESP=1
456064	42	STIM=m
465641	42	RESP=1
471372	42	STIM=a
476112	42	RESP=1
487886	42	STIM=v
494307	42	RESP=1
502914	42	STIM=s
506272	42	RESP=1
520043	42	STIM=p
523769	42	RESP=1
536011	42	STIM=o
540345	42	RESP=1
553091	42	STIM=b
556931	42	RESP=1
571410	42	STIM=p
579065	42	RESP=1
589687	42	STIM=d
593817	42	RESP=1
605663	42	STIM=4
612567	42	RESP=1
623176	42	STIM=1
627574	42	RESP=2
638413	42	STIM=9
646423	42	RESP=2
655723	42	STIM=o
662073	42	RESP=1
674093	42	STIM=w
677835	42	RESP=1
692225	42	STIM=j
696403	42	RESP=1
707755	42	STIM=5
713968	42	RESP=2
722881	42	STIM=0
729925	42	RESP=1
740261	42	STIM=h
744398	42	RESP=1
755998	42	STIM=g
759781	42	RESP=1
771773	42	STIM=p
776959	42	RESP=1
789268	42	STIM=j
800090	42	RESP=1
808112	42	STIM=y
814274	42	RESP=2
825988	42	STIM=9
830820	42	RESP=2
842149	42	STIM=e
846318	42	RESP=1
859224	42	STIM=f
863669	42	RESP=1
875330	42	STIM=3
883187	42	RESP=2
892034	42	STIM=a
896420	42	RESP=1
908743	42	STIM=h
913897	42	RESP=2
926927	42	STIM=v
