# Original filename: 0010_LNR_2016-11-26.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
29051	42	STIM=j
33321	42	RESP=1
47059	42	STIM=k
50691	42	RESP=1
63063	42	STIM=g
70524	42	RESP=1
80054	42	STIM=2
85714	42	RESP=2
95832	42	STIM=2
105896	42	RESP=2
114164	42	STIM=t
121171	42	RESP=1
131889	42	STIM=o
137779	42	RESP=1
149254	42	STIM=o
155668	42	RESP=1
164604	42	STIM=q
169194	42	RESP=1
183059	42	STIM=o
186135	42	RESP=1
201004	42	STIM=i
205722	42	RESP=1
217370	42	STIM=h
224179	42	RESP=1
234242	42	STIM=3
241934	42	RESP=2
251820	42	STIM=z
255528	42	RESP=1
269622	42	STIM=b
281869	42	RESP=1
286391	42	STIM=e
292836	42	RESP=1
302295	42	STIM=a
307553	42	RESP=1
319470	42	STIM=u
326514	42	RESP=1
337845	42	STIM=e
343514	42	RESP=1
354619	42	STIM=e
361108	42	RESP=1
371449	42	STIM=8
376926	42	RESP=2
389359	42	STIM=1
398398	42	RESP=2
406862	42	STIM=m
411824	42	RESP=1
423096	42	STIM=3
432554	42	RESP=2
439475	42	STIM=h
444456	42	RESP=1
455387	42	STIM=k
458609	42	RESP=1
473469	42	STIM=s
476490	42	RESP=2
490444	42	STIM=b
495518	42	RESP=1
508467	42	STIM=i
513554	42	RESP=1
526165	42	STIM=m
533357	42	RESP=1
542360	42	STIM=g
546936	42	RESP=1
560531	42	STIM=3
567021	42	RESP=2
576204	42	STIM=y
580656	42	RESP=1
591556	42	STIM=d
596966	42	RESP=1
606757	42	STIM=1
611413	42	RESP=2
622435	42	STIM=v
629005	42	RESP=1
639559	42	STIM=e
642472	42	RESP=1
657399	42	STIM=o
663493	42	RESP=1
674037	42	STIM=w
677903	42	RESP=1
691414	42	STIM=c
699833	42	RESP=1
707784	42	STIM=c
715277	42	RESP=1
723518	42	STIM=n
728716	42	RESP=1
738826	42	STIM=q
742317	42	RESP=1
757247	42	STIM=o
765462	42	RESP=1
775643	42	STIM=g
781317	42	RESP=1
792693	42	STIM=n
799133	42	RESP=1
811177	42	STIM=b
816626	42	RESP=1
826489	42	STIM=h
834417	42	RESP=1
843193	42	STIM=u
849261	42	RESP=1
860369	42	STIM=t
864159	42	RESP=1
877046	42	STIM=m
883152	42	RESP=1
894770	42	STIM=m
900085	42	RESP=1
912808	42	STIM=l
917139	42	RESP=1
930871	42	STIM=8
936798	42	RESP=2
946371	42	STIM=z
950459	42	RESP=1
961852	42	STIM=m
964439	42	RESP=1
977647	42	STIM=l
985855	42	RESP=1
996221	42	STIM=z
1000072	42	RESP=1
1011816	42	STIM=w
1019583	42	RESP=1
1028779	42	STIM=k
1036662	42	RESP=1
1045989	42	STIM=y
1051896	42	RESP=1
1063408	42	STIM=y
1068177	42	RESP=1
1080689	42	STIM=q
1084152	42	RESP=1
1097485	42	STIM=v
1102779	42	RESP=1
1114918	42	STIM=n
1120881	42	RESP=1
1130604	42	STIM=m
1138459	42	RESP=1
1146886	42	STIM=w
1152979	42	RESP=1
1162424	42	STIM=0
1167620	42	RESP=2
1179219	42	STIM=j
1185279	42	RESP=1
1194355	42	STIM=4
1198669	42	RESP=2
1209543	42	STIM=z
1214715	42	RESP=1
1226979	42	STIM=f
1232376	42	RESP=1
1242486	42	STIM=d
1249083	42	RESP=1
1258065	42	STIM=6
1262241	42	RESP=1
1275012	42	STIM=5
1282927	42	RESP=2
1291397	42	STIM=h
1301174	42	RESP=1
1307921	42	STIM=f
1316390	42	RESP=1
1325584	42	STIM=d
1330886	42	RESP=1
1343845	42	STIM=c
1350405	42	RESP=1
1359182	42	STIM=h
1363749	42	RESP=1
1377051	42	STIM=b
1383708	42	RESP=1
1393691	42	STIM=p
1397086	42	RESP=1
1410760	42	STIM=v
1415664	42	RESP=1
1427780	42	STIM=7
1434074	42	RESP=2
1444149	42	STIM=y
1448099	42	RESP=1
1459281	42	STIM=2
1464943	42	RESP=2
1478184	42	STIM=q
1481646	42	RESP=1
1496994	42	STIM=k
1501887	42	RESP=1
1515160	42	STIM=l
1519978	42	RESP=1
1533555	42	STIM=y
1538413	42	RESP=1
1549976	42	STIM=l
1554793	42	RESP=1
1565163	42	STIM=a
1570620	42	RESP=1
1584013	42	STIM=i
1589561	42	RESP=2
1599733	42	STIM=i
1610072	42	RESP=1
1618017	42	STIM=b
1623489	42	RESP=1
1635450	42	STIM=s
1640459	42	RESP=1
1650480	42	STIM=s
1654891	42	RESP=1
1665850	42	STIM=v
1669432	42	RESP=1
1681512	42	STIM=e
1688100	42	RESP=1
1697807	42	STIM=w
1701627	42	RESP=1
1716267	42	STIM=v
1721139	42	RESP=2
1733438	42	STIM=a
1738860	42	RESP=1
1750470	42	STIM=k
1758697	42	RESP=1
1766606	42	STIM=i
1770799	42	RESP=1
1782399	42	STIM=n
1789415	42	RESP=1
1798905	42	STIM=i
1807149	42	RESP=1
1815986	42	STIM=o
1820855	42	RESP=1
1832918	42	STIM=o
1836299	42	RESP=1
1850111	42	STIM=z
1854311	42	RESP=1
1865678	42	STIM=8
1873871	42	RESP=2
1883797	42	STIM=c
1887950	42	RESP=1
1902158	42	STIM=5
1907060	42	RESP=2
1919296	42	STIM=u
1924606	42	RESP=2
1936584	42	STIM=n
1941551	42	RESP=1
1953612	42	STIM=n
1959392	42	RESP=1
1969736	42	STIM=3
1975486	42	RESP=2
1988079	42	STIM=m
1991930	42	RESP=1
2003286	42	STIM=b
2007868	42	RESP=1
2019307	42	STIM=1
2029496	42	RESP=2
2034588	42	STIM=0
2041052	42	RESP=2
2052528	42	STIM=e
2057514	42	RESP=1
2067919	42	STIM=3
2074663	42	RESP=2
2085955	42	STIM=c
2089633	42	RESP=1
2103072	42	STIM=7
2107901	42	RESP=2
2119496	42	STIM=k
2128059	42	RESP=1
2136325	42	STIM=e
2140584	42	RESP=1
2151565	42	STIM=h
2156310	42	RESP=1
2168256	42	STIM=j
2170839	42	RESP=1
2183879	42	STIM=v
2187998	42	RESP=1
2201295	42	STIM=h
2208397	42	RESP=1
2218785	42	STIM=r
2226197	42	RESP=1
2236164	42	STIM=a
2238706	42	RESP=1
2252641	42	STIM=3
2261573	42	RESP=2
2270923	42	STIM=r
2274079	42	RESP=1
2286468	42	STIM=x
2291968	42	RESP=1
2301688	42	STIM=w
2305965	42	RESP=1
2318328	42	STIM=b
2323322	42	RESP=1
2336857	42	STIM=a
2341841	42	RESP=1
2355798	42	STIM=5
2361056	42	RESP=2
2373881	42	STIM=k
2378903	42	RESP=1
2390620	42	STIM=m
2396521	42	RESP=1
2406140	42	STIM=p
2410526	42	RESP=1
2425084	42	STIM=8
2433178	42	RESP=2
2443535	42	STIM=x
2448935	42	RESP=1
2460232	42	STIM=r
2466368	42	RESP=1
2476438	42	STIM=8
2481895	42	RESP=2
2491674	42	STIM=q
2500213	42	RESP=1
2507051	42	STIM=p
2510480	42	RESP=1
2524003	42	STIM=o
2531155	42	RESP=1
2541906	42	STIM=f
2546855	42	RESP=1
2557556	42	STIM=y
2562478	42	RESP=1
2576451	42	STIM=q
2581365	42	RESP=1
2594506	42	STIM=p
2597302	42	RESP=1
2610750	42	STIM=4
2616789	42	RESP=2
2626867	42	STIM=e
2632343	42	RESP=1
2642249	42	STIM=4
2648196	42	RESP=2
2657966	42	STIM=j
2663505	42	RESP=1
2673749	42	STIM=z
2678372	42	RESP=1
2692740	42	STIM=n
2697771	42	RESP=1
2711504	42	STIM=8
2717271	42	RESP=2
2729971	42	STIM=z
2739073	42	RESP=1
2748803	42	STIM=1
2752700	42	RESP=2
2766037	42	STIM=7
2772948	42	RESP=2
2784847	42	STIM=l
2790541	42	RESP=1
2803256	42	STIM=q
2811034	42	RESP=1
2821626	42	STIM=4
2826620	42	RESP=2
2837680	42	STIM=b
2842137	42	RESP=1
2855785	42	STIM=o
2862992	42	RESP=1
2871417	42	STIM=l
2875801	42	RESP=1
2888357	42	STIM=h
2893352	42	RESP=1
2903776	42	STIM=y
2910240	42	RESP=1
2919660	42	STIM=0
2930209	42	RESP=2
2937594	42	STIM=h
2944097	42	RESP=1
2955176	42	STIM=0
2962469	42	RESP=2
2973926	42	STIM=y
2981464	42	RESP=1
2992616	42	STIM=u
2997329	42	RESP=1
3010512	42	STIM=d
3014631	42	RESP=1
3027298	42	STIM=e
3032507	42	RESP=1
3043544	42	STIM=u
3046623	42	RESP=1
3061761	42	STIM=n
3071180	42	RESP=1
3078773	42	STIM=z
3089418	42	RESP=1
3094954	42	STIM=i
3099636	42	RESP=1
3113844	42	STIM=7
3119140	42	RESP=2
3130091	42	STIM=5
3136264	42	RESP=2
3146876	42	STIM=u
3153672	42	RESP=1
3161983	42	STIM=l
3165118	42	RESP=1
3180576	42	STIM=c
3187575	42	RESP=1
3195957	42	STIM=q
3201079	42	RESP=1
3212231	42	STIM=7
3219197	42	RESP=2
3231196	42	STIM=q
3237241	42	RESP=1
3249025	42	STIM=b
3255600	42	RESP=1
3266646	42	STIM=d
3270067	42	RESP=1
3282835	42	STIM=z
3291838	42	RESP=1
3299401	42	STIM=c
3305555	42	RESP=1
3318053	42	STIM=a
3325436	42	RESP=1
3334702	42	STIM=9
3345826	42	RESP=2
3351598	42	STIM=u
3355998	42	RESP=1
3369311	42	STIM=8
3375127	42	RESP=2
3385030	42	STIM=f
3389812	42	RESP=1
3403517	42	STIM=3
3407822	42	RESP=2
3419872	42	STIM=f
3423967	42	RESP=1
3438220	42	STIM=x
3448983	42	RESP=1
3455182	42	STIM=t
3460148	42	RESP=1
3471266	42	STIM=2
3478985	42	RESP=2
3488984	42	STIM=j
3494435	42	RESP=2
3504899	42	STIM=h
3509756	42	RESP=1
3521083	42	STIM=l
3527244	42	RESP=1
3536733	42	STIM=1
3546407	42	RESP=2
3552014	42	STIM=c
3558269	42	RESP=1
3568621	42	STIM=b
3572158	42	RESP=1
3584201	42	STIM=1
3589897	42	RESP=2
3601125	42	STIM=6
3611226	42	RESP=2
3617469	42	STIM=a
3626991	42	RESP=1
3636129	42	STIM=v
3645415	42	RESP=1
3651538	42	STIM=a
3657212	42	RESP=1
3667573	42	STIM=t
3671961	42	RESP=1
3683006	42	STIM=k
3687379	42	RESP=1
3700012	42	STIM=r
3704220	42	RESP=1
3716947	42	STIM=p
3721402	42	RESP=1
3733422	42	STIM=i
3742582	42	RESP=1
3749965	42	STIM=p
3754585	42	RESP=1
3767557	42	STIM=3
3773368	42	RESP=2
3784662	42	STIM=p
3791138	42	RESP=1
3803014	42	STIM=d
3805973	42	RESP=1
3821428	42	STIM=n
3827494	42	RESP=1
3837972	42	STIM=a
3842823	42	RESP=1
3853070	42	STIM=1
3861400	42	RESP=2
3871451	42	STIM=6
3877099	42	RESP=2
3889634	42	STIM=p
3897496	42	RESP=2
3905173	42	STIM=x
3909748	42	RESP=1
3923278	42	STIM=v
3929819	42	RESP=1
3938549	42	STIM=x
3946542	42	RESP=2
3954865	42	STIM=z
3961032	42	RESP=1
3969999	42	STIM=u
3975330	42	RESP=1
3985272	42	STIM=c
3993011	42	RESP=1
4002788	42	STIM=r
4014059	42	RESP=1
4019791	42	STIM=b
4025627	42	RESP=1
4038016	42	STIM=2
4042758	42	RESP=2
4056809	42	STIM=3
4064992	42	RESP=2
4072186	42	STIM=9
4078246	42	RESP=2
4087532	42	STIM=u
4092281	42	RESP=1
4106393	42	STIM=i
4113659	42	RESP=2
4123024	42	STIM=r
4130556	42	RESP=1
4138063	42	STIM=p
4142300	42	RESP=1
4156787	42	STIM=5
4164183	42	RESP=2
4173388	42	STIM=b
4177274	42	RESP=1
4190821	42	STIM=6
4196675	42	RESP=1
4207776	42	STIM=p
4210849	42	RESP=1
4226219	42	STIM=8
4232607	42	RESP=2
4242367	42	STIM=s
4247996	42	RESP=1
4259874	42	STIM=u
4266335	42	RESP=1
4278243	42	STIM=u
4284187	42	RESP=1
4295628	42	STIM=e
4299104	42	RESP=1
4313047	42	STIM=h
4319405	42	RESP=1
4331565	42	STIM=t
4334743	42	RESP=1
4349626	42	STIM=a
4354154	42	RESP=1
4365416	42	STIM=e
4369436	42	RESP=1
4382566	42	STIM=q
4385460	42	RESP=1
