# Original filename: 0012_EVS_2017-07-23.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28219	42	STIM=b
35930	42	RESP=1
44211	42	STIM=v
48485	42	RESP=1
61347	42	STIM=p
68345	42	RESP=1
79288	42	STIM=u
85442	42	RESP=1
95755	42	STIM=8
100741	42	RESP=2
112709	42	STIM=i
115292	42	RESP=1
131412	42	STIM=7
135393	42	RESP=1
148706	42	STIM=f
154751	42	RESP=1
165672	42	STIM=d
168642	42	RESP=1
182956	42	STIM=u
188939	42	RESP=1
201661	42	STIM=x
205756	42	RESP=1
218915	42	STIM=9
225102	42	RESP=1
236675	42	STIM=h
241519	42	RESP=1
255048	42	STIM=k
260949	42	RESP=1
271585	42	STIM=3
277282	42	RESP=2
288217	42	STIM=0
292774	42	RESP=2
306573	42	STIM=u
315112	42	RESP=1
324732	42	STIM=p
335622	42	RESP=1
339737	42	STIM=n
347152	42	RESP=1
358378	42	STIM=u
364158	42	RESP=1
377151	42	STIM=x
387132	42	RESP=1
393567	42	STIM=m
407667	42	RESP=1
411212	42	STIM=y
416802	42	RESP=1
428616	42	STIM=z
434579	42	RESP=1
446708	42	STIM=o
454447	42	RESP=1
465300	42	STIM=5
475364	42	RESP=2
482316	42	STIM=g
485792	42	RESP=1
499144	42	STIM=p
505038	42	RESP=1
517351	42	STIM=9
524747	42	RESP=2
535854	42	STIM=y
540782	42	RESP=1
551464	42	STIM=n
562240	42	RESP=1
567412	42	STIM=8
573598	42	RESP=2
583747	42	STIM=b
586709	42	RESP=1
600431	42	STIM=u
607019	42	RESP=1
617788	42	STIM=p
628433	42	RESP=1
634823	42	STIM=9
643482	42	RESP=2
653409	42	STIM=r
657959	42	RESP=1
671530	42	STIM=e
675441	42	RESP=1
687944	42	STIM=n
691665	42	RESP=1
703373	42	STIM=k
710519	42	RESP=1
719826	42	STIM=y
726708	42	RESP=2
736240	42	STIM=b
740307	42	RESP=1
752086	42	STIM=0
756755	42	RESP=2
768491	42	STIM=5
774976	42	RESP=1
784277	42	STIM=i
788635	42	RESP=1
802894	42	STIM=a
806480	42	RESP=1
