# Original filename: 0015_TRV_2017-02-17.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28425	42	STIM=l
34424	42	RESP=1
46185	42	STIM=f
49978	42	RESP=1
64776	42	STIM=5
71023	42	RESP=2
81779	42	STIM=k
88612	42	RESP=1
97696	42	STIM=m
101714	42	RESP=1
113239	42	STIM=d
116280	42	RESP=1
132076	42	STIM=9
137607	42	RESP=2
150053	42	STIM=x
154113	42	RESP=1
166994	42	STIM=o
172848	42	RESP=1
185775	42	STIM=h
193306	42	RESP=1
201023	42	STIM=h
205258	42	RESP=1
216416	42	STIM=a
222556	42	RESP=1
233911	42	STIM=h
237226	42	RESP=1
252108	42	STIM=u
256438	42	RESP=1
268565	42	STIM=q
274663	42	RESP=1
285270	42	STIM=p
291470	42	RESP=1
300755	42	STIM=h
305637	42	RESP=1
319172	42	STIM=m
323222	42	RESP=1
335622	42	STIM=y
341398	42	RESP=1
353209	42	STIM=f
358626	42	RESP=1
371112	42	STIM=r
376376	42	RESP=1
389261	42	STIM=g
397657	42	RESP=1
407394	42	STIM=r
414098	42	RESP=1
425353	42	STIM=p
429740	42	RESP=1
441316	42	STIM=s
447414	42	RESP=1
457467	42	STIM=q
462558	42	RESP=1
474276	42	STIM=8
479899	42	RESP=2
490564	42	STIM=x
495087	42	RESP=1
507515	42	STIM=j
511897	42	RESP=1
523449	42	STIM=p
526541	42	RESP=1
539564	42	STIM=o
543957	42	RESP=1
555540	42	STIM=o
558979	42	RESP=1
573635	42	STIM=l
578461	42	RESP=1
591638	42	STIM=j
596642	42	RESP=1
607852	42	STIM=o
611339	42	RESP=1
625449	42	STIM=7
630086	42	RESP=2
642313	42	STIM=l
645126	42	RESP=1
660131	42	STIM=p
666368	42	RESP=1
677274	42	STIM=h
684596	42	RESP=1
695407	42	STIM=s
702089	42	RESP=1
712301	42	STIM=g
719647	42	RESP=1
728709	42	STIM=q
731245	42	RESP=1
746381	42	STIM=u
751682	42	RESP=1
763194	42	STIM=y
769436	42	RESP=1
778942	42	STIM=r
785475	42	RESP=1
796286	42	STIM=y
800822	42	RESP=2
813509	42	STIM=q
816560	42	RESP=1
832073	42	STIM=u
837687	42	RESP=1
847801	42	STIM=c
851797	42	RESP=1
863607	42	STIM=x
868438	42	RESP=1
881036	42	STIM=j
886952	42	RESP=1
896389	42	STIM=4
901604	42	RESP=2
912028	42	STIM=n
917814	42	RESP=1
927714	42	STIM=8
933274	42	RESP=2
945950	42	STIM=6
950108	42	RESP=2
962907	42	STIM=3
967426	42	RESP=2
980464	42	STIM=z
983809	42	RESP=1
995996	42	STIM=i
1000224	42	RESP=1
1012935	42	STIM=u
1017674	42	RESP=1
1031806	42	STIM=m
1038247	42	RESP=1
1047770	42	STIM=z
1050934	42	RESP=1
1065261	42	STIM=g
1069003	42	RESP=1
1083233	42	STIM=u
1086864	42	RESP=1
1099301	42	STIM=x
1104322	42	RESP=1
1115974	42	STIM=r
1121773	42	RESP=1
1133513	42	STIM=u
1138619	42	RESP=1
1152170	42	STIM=q
1157789	42	RESP=1
1168526	42	STIM=u
1173515	42	RESP=1
1184278	42	STIM=7
1191089	42	RESP=2
1202348	42	STIM=p
1209099	42	RESP=1
1219354	42	STIM=q
1224284	42	RESP=1
1238023	42	STIM=i
1242964	42	RESP=2
1254522	42	STIM=z
1260518	42	RESP=1
1271620	42	STIM=m
1277883	42	RESP=1
1289185	42	STIM=s
1293601	42	RESP=1
1306770	42	STIM=z
1311438	42	RESP=1
1324445	42	STIM=q
1327415	42	RESP=1
1343262	42	STIM=9
1348797	42	RESP=2
1360248	42	STIM=z
1364030	42	RESP=1
1376587	42	STIM=x
1384790	42	RESP=1
1391736	42	STIM=y
1397311	42	RESP=1
1407711	42	STIM=t
1412176	42	RESP=1
1424189	42	STIM=0
1428882	42	RESP=2
1442550	42	STIM=m
1447541	42	RESP=1
1460655	42	STIM=a
1464013	42	RESP=1
1477061	42	STIM=f
1481415	42	RESP=1
1493846	42	STIM=l
1499963	42	RESP=1
1509386	42	STIM=g
1512809	42	RESP=1
1528284	42	STIM=h
1531261	42	RESP=1
1545154	42	STIM=8
1549022	42	RESP=2
1560556	42	STIM=p
1563793	42	RESP=1
1577381	42	STIM=e
1580244	42	RESP=1
1594464	42	STIM=a
1598341	42	RESP=1
1611280	42	STIM=s
1616106	42	RESP=1
1627509	42	STIM=m
1632907	42	RESP=1
1644707	42	STIM=b
1648123	42	RESP=1
1662719	42	STIM=g
1667418	42	RESP=1
1679121	42	STIM=a
1682368	42	RESP=1
1696004	42	STIM=d
1702427	42	RESP=1
1711211	42	STIM=w
1716488	42	RESP=1
1728820	42	STIM=2
1732467	42	RESP=1
1745694	42	STIM=q
1748946	42	RESP=1
1763457	42	STIM=r
1769821	42	RESP=1
1779125	42	STIM=e
1783139	42	RESP=1
1796785	42	STIM=r
1800708	42	RESP=2
1813807	42	STIM=g
1820135	42	RESP=1
1830111	42	STIM=e
1834678	42	RESP=1
1847182	42	STIM=6
1850828	42	RESP=2
1863187	42	STIM=m
1867282	42	RESP=1
1879450	42	STIM=6
1886682	42	RESP=1
1895748	42	STIM=b
1904929	42	RESP=1
1914501	42	STIM=j
1918034	42	RESP=1
1930252	42	STIM=a
1934400	42	RESP=1
1945351	42	STIM=x
1952045	42	RESP=1
1961570	42	STIM=8
1965945	42	RESP=2
1980119	42	STIM=j
1984058	42	RESP=1
1996587	42	STIM=p
2000077	42	RESP=1
2013028	42	STIM=7
2017744	42	RESP=1
2028525	42	STIM=n
2037888	42	RESP=1
2046399	42	STIM=r
2051694	42	RESP=1
2065381	42	STIM=8
2073196	42	RESP=2
2083409	42	STIM=1
2091460	42	RESP=2
2100763	42	STIM=f
2106472	42	RESP=1
2116915	42	STIM=o
2121519	42	RESP=1
2132323	42	STIM=2
2137979	42	RESP=2
2147848	42	STIM=3
2151532	42	RESP=2
2165501	42	STIM=2
2170125	42	RESP=2
2182771	42	STIM=s
2187327	42	RESP=2
2201420	42	STIM=w
2205433	42	RESP=1
2218869	42	STIM=8
2223223	42	RESP=2
2234069	42	STIM=9
2239664	42	RESP=2
2250307	42	STIM=0
2256389	42	RESP=2
2266625	42	STIM=e
2276879	42	RESP=1
2282550	42	STIM=4
2289162	42	RESP=2
2299641	42	STIM=7
2306161	42	RESP=2
2314880	42	STIM=o
2320595	42	RESP=1
2332375	42	STIM=g
2340107	42	RESP=1
2347508	42	STIM=8
2351385	42	RESP=2
2362520	42	STIM=8
2366208	42	RESP=2
2379568	42	STIM=v
2388834	42	RESP=1
2394613	42	STIM=x
2397206	42	RESP=1
2410415	42	STIM=q
2418193	42	RESP=1
2427960	42	STIM=q
2443186	42	RESP=1
2445307	42	STIM=z
2448485	42	RESP=1
2460841	42	STIM=p
2464763	42	RESP=1
2478405	42	STIM=g
2488828	42	RESP=1
2494485	42	STIM=q
2502015	42	RESP=1
2510012	42	STIM=6
2516586	42	RESP=2
2527752	42	STIM=1
2532290	42	RESP=2
2545112	42	STIM=f
2549131	42	RESP=1
2564031	42	STIM=6
2572167	42	RESP=2
2580923	42	STIM=3
2588977	42	RESP=2
2599581	42	STIM=y
2603217	42	RESP=1
2617771	42	STIM=r
2622327	42	RESP=2
2633434	42	STIM=o
2641784	42	RESP=1
2649892	42	STIM=s
2654214	42	RESP=2
2665157	42	STIM=w
2672689	42	RESP=1
2682037	42	STIM=h
2686469	42	RESP=1
2699151	42	STIM=w
2701953	42	RESP=1
2714489	42	STIM=p
2718310	42	RESP=1
2729619	42	STIM=o
2732361	42	RESP=1
2745450	42	STIM=q
2751041	42	RESP=1
2763772	42	STIM=v
2768292	42	RESP=2
2781434	42	STIM=g
2786713	42	RESP=1
2797743	42	STIM=k
2800398	42	RESP=1
2816066	42	STIM=r
2820370	42	RESP=1
2833740	42	STIM=v
2838686	42	RESP=1
2849758	42	STIM=y
2853646	42	RESP=1
2868328	42	STIM=6
2871831	42	RESP=1
2884494	42	STIM=m
2888020	42	RESP=1
