# Original filename: 0016_RZU_2016-09-24.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35204	42	STIM=j
39330	42	RESP=1
52924	42	STIM=z
58350	42	RESP=1
70297	42	STIM=2
77060	42	RESP=2
88824	42	STIM=y
97255	42	RESP=1
106572	42	STIM=x
111826	42	RESP=1
123762	42	STIM=l
129014	42	RESP=1
140154	42	STIM=j
144204	42	RESP=1
155581	42	STIM=k
162208	42	RESP=1
172762	42	STIM=2
180698	42	RESP=2
189103	42	STIM=r
192835	42	RESP=1
205126	42	STIM=0
211235	42	RESP=2
221852	42	STIM=m
227404	42	RESP=1
239438	42	STIM=a
244593	42	RESP=1
255538	42	STIM=n
259181	42	RESP=1
273560	42	STIM=j
279808	42	RESP=1
291412	42	STIM=w
296611	42	RESP=1
307452	42	STIM=x
311368	42	RESP=1
323061	42	STIM=9
327077	42	RESP=1
340664	42	STIM=c
347571	42	RESP=1
358573	42	STIM=j
363598	42	RESP=1
374025	42	STIM=4
381078	42	RESP=2
391597	42	STIM=v
396839	42	RESP=1
409555	42	STIM=c
415428	42	RESP=1
426325	42	STIM=r
431283	42	RESP=1
444050	42	STIM=a
448500	42	RESP=1
460557	42	STIM=n
463455	42	RESP=1
476072	42	STIM=h
480364	42	RESP=1
495033	42	STIM=v
499257	42	RESP=1
513731	42	STIM=k
518414	42	RESP=1
529036	42	STIM=i
534678	42	RESP=1
547926	42	STIM=0
552332	42	RESP=1
564912	42	STIM=1
571384	42	RESP=2
580870	42	STIM=v
584143	42	RESP=1
598765	42	STIM=7
607889	42	RESP=2
616624	42	STIM=a
620622	42	RESP=1
633898	42	STIM=p
636987	42	RESP=1
650537	42	STIM=g
656321	42	RESP=1
667352	42	STIM=r
671005	42	RESP=1
683919	42	STIM=i
693644	42	RESP=1
699383	42	STIM=d
702803	42	RESP=1
716582	42	STIM=m
720781	42	RESP=1
732417	42	STIM=a
736238	42	RESP=1
750080	42	STIM=v
754356	42	RESP=1
768810	42	STIM=t
773160	42	RESP=1
787798	42	STIM=w
794904	42	RESP=1
805217	42	STIM=d
808516	42	RESP=1
822891	42	STIM=w
825630	42	RESP=1
839336	42	STIM=f
843523	42	RESP=1
855467	42	STIM=o
860931	42	RESP=1
874368	42	STIM=b
884198	42	RESP=1
891311	42	STIM=8
895731	42	RESP=2
906536	42	STIM=x
910288	42	RESP=1
923974	42	STIM=s
929895	42	RESP=1
941932	42	STIM=v
946007	42	RESP=1
960025	42	STIM=o
963289	42	RESP=1
977595	42	STIM=h
981631	42	RESP=1
995458	42	STIM=n
1000380	42	RESP=1
1012189	42	STIM=n
1016044	42	RESP=1
1030506	42	STIM=5
1034811	42	RESP=2
1048459	42	STIM=k
1056239	42	RESP=1
1066257	42	STIM=i
1073401	42	RESP=1
1083142	42	STIM=y
1086938	42	RESP=1
1099094	42	STIM=r
1103393	42	RESP=1
1114959	42	STIM=k
1119639	42	RESP=1
1132332	42	STIM=c
1136697	42	RESP=1
1148015	42	STIM=d
1151856	42	RESP=1
1166091	42	STIM=i
1169933	42	RESP=1
1182922	42	STIM=q
1187826	42	RESP=1
1197995	42	STIM=9
1202994	42	RESP=2
1216950	42	STIM=g
1223526	42	RESP=1
1232600	42	STIM=n
1237392	42	RESP=1
1250060	42	STIM=m
1254447	42	RESP=1
1265833	42	STIM=i
1271380	42	RESP=1
1281018	42	STIM=7
1285109	42	RESP=1
1296686	42	STIM=2
1302733	42	RESP=2
1315596	42	STIM=b
1319974	42	RESP=1
1332923	42	STIM=z
1337152	42	RESP=1
1348701	42	STIM=f
1352523	42	RESP=1
1365671	42	STIM=5
1370096	42	RESP=2
1384017	42	STIM=v
1392311	42	RESP=1
1402129	42	STIM=t
1407469	42	RESP=1
1418433	42	STIM=j
1423215	42	RESP=1
1437275	42	STIM=7
1441265	42	RESP=2
1454241	42	STIM=m
1456845	42	RESP=1
1472283	42	STIM=h
1475689	42	RESP=1
1489886	42	STIM=z
1493629	42	RESP=1
1508683	42	STIM=r
1512733	42	RESP=1
1527548	42	STIM=e
1532452	42	RESP=1
1544949	42	STIM=y
1550273	42	RESP=1
1563559	42	STIM=d
1569923	42	RESP=1
1582163	42	STIM=5
1585521	42	RESP=2
1597472	42	STIM=x
1601760	42	RESP=1
1615762	42	STIM=v
1626107	42	RESP=1
1633523	42	STIM=b
1637829	42	RESP=1
