# Original filename: 0017_TUB_2017-02-14.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
29501	42	STIM=o
33292	42	RESP=1
47971	42	STIM=c
56822	42	RESP=1
65061	42	STIM=0
73250	42	RESP=2
81739	42	STIM=c
86441	42	RESP=1
97912	42	STIM=y
103734	42	RESP=1
114093	42	STIM=5
120467	42	RESP=1
130574	42	STIM=z
136298	42	RESP=1
146859	42	STIM=f
151519	42	RESP=1
163021	42	STIM=o
165359	42	RESP=1
178033	42	STIM=s
182999	42	RESP=1
196206	42	STIM=b
207141	42	RESP=1
213661	42	STIM=m
218085	42	RESP=1
230896	42	STIM=6
241065	42	RESP=2
247882	42	STIM=o
253947	42	RESP=1
264981	42	STIM=t
268731	42	RESP=1
282600	42	STIM=a
290695	42	RESP=1
299229	42	STIM=f
305871	42	RESP=1
317542	42	STIM=7
323033	42	RESP=2
336103	42	STIM=f
339781	42	RESP=1
351314	42	STIM=n
356298	42	RESP=1
368978	42	STIM=o
374628	42	RESP=1
387838	42	STIM=b
392898	42	RESP=1
405701	42	STIM=p
409158	42	RESP=1
422026	42	STIM=d
425851	42	RESP=1
440767	42	STIM=1
444775	42	RESP=2
457652	42	STIM=s
462905	42	RESP=1
473506	42	STIM=w
482666	42	RESP=1
492275	42	STIM=h
495510	42	RESP=1
510188	42	STIM=2
514815	42	RESP=2
528836	42	STIM=f
535390	42	RESP=1
544464	42	STIM=4
548749	42	RESP=2
561314	42	STIM=5
567724	42	RESP=2
578868	42	STIM=x
585764	42	RESP=1
596446	42	STIM=b
602778	42	RESP=1
613391	42	STIM=7
618553	42	RESP=2
630532	42	STIM=p
635722	42	RESP=1
648450	42	STIM=4
655962	42	RESP=2
664278	42	STIM=x
668577	42	RESP=1
682516	42	STIM=1
688106	42	RESP=2
697779	42	STIM=q
705590	42	RESP=1
716175	42	STIM=m
725548	42	RESP=1
733388	42	STIM=1
739947	42	RESP=2
749595	42	STIM=w
759372	42	RESP=1
765321	42	STIM=1
769821	42	RESP=2
784260	42	STIM=l
789709	42	RESP=1
801028	42	STIM=s
805806	42	RESP=1
816738	42	STIM=y
819718	42	RESP=1
831975	42	STIM=e
841245	42	RESP=1
847814	42	STIM=r
853838	42	RESP=1
863556	42	STIM=d
867816	42	RESP=1
879492	42	STIM=h
883554	42	RESP=1
897125	42	STIM=r
902812	42	RESP=1
915991	42	STIM=h
924300	42	RESP=1
931307	42	STIM=t
935366	42	RESP=1
947857	42	STIM=n
953357	42	RESP=1
966060	42	STIM=9
972114	42	RESP=2
984725	42	STIM=9
994789	42	RESP=2
1001938	42	STIM=5
1009952	42	RESP=2
1018720	42	STIM=n
1024136	42	RESP=2
1036124	42	STIM=y
1043809	42	RESP=1
1052491	42	STIM=c
1059010	42	RESP=1
1070833	42	STIM=f
1075219	42	RESP=1
1087649	42	STIM=r
1092306	42	RESP=1
1102683	42	STIM=5
1111844	42	RESP=2
1120099	42	STIM=m
1126354	42	RESP=1
1136340	42	STIM=t
1143033	42	RESP=1
1155267	42	STIM=j
1162242	42	RESP=1
1172746	42	STIM=5
1179992	42	RESP=2
1189550	42	STIM=t
1193741	42	RESP=1
1207108	42	STIM=r
1212290	42	RESP=1
1225832	42	STIM=n
1231582	42	RESP=1
1241439	42	STIM=t
1246520	42	RESP=1
1260303	42	STIM=e
1272550	42	RESP=1
1277109	42	STIM=t
1284647	42	RESP=1
1294148	42	STIM=9
1300343	42	RESP=2
1309813	42	STIM=3
1320353	42	RESP=2
1328680	42	STIM=t
1333256	42	RESP=1
1347167	42	STIM=5
1356061	42	RESP=2
1364226	42	STIM=o
1367802	42	RESP=1
1379863	42	STIM=q
1386965	42	RESP=1
1398077	42	STIM=x
1400664	42	RESP=1
1413365	42	STIM=v
1418078	42	RESP=1
1431711	42	STIM=1
1438455	42	RESP=2
1450255	42	STIM=v
1454361	42	RESP=1
1468876	42	STIM=1
1475147	42	RESP=2
1485520	42	STIM=u
1488982	42	RESP=1
1503075	42	STIM=u
1510331	42	RESP=1
1520006	42	STIM=p
1523755	42	RESP=1
1536941	42	STIM=s
1544796	42	RESP=1
1555113	42	STIM=j
1559232	42	RESP=1
