# Original filename: 0018_SJI_2017-03-05.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
34561	42	STIM=d
40766	42	RESP=1
50994	42	STIM=t
54643	42	RESP=1
67533	42	STIM=j
71340	42	RESP=1
85402	42	STIM=1
92291	42	RESP=2
102345	42	STIM=g
107421	42	RESP=1
118979	42	STIM=j
130345	42	RESP=1
137615	42	STIM=l
141098	42	RESP=1
156403	42	STIM=d
160687	42	RESP=1
174508	42	STIM=2
179476	42	RESP=2
191726	42	STIM=8
197176	42	RESP=2
208558	42	STIM=a
211790	42	RESP=1
225160	42	STIM=z
229555	42	RESP=1
241345	42	STIM=g
245603	42	RESP=1
260202	42	STIM=o
264764	42	RESP=1
278760	42	STIM=n
282656	42	RESP=1
293872	42	STIM=c
298065	42	RESP=1
311994	42	STIM=g
315538	42	RESP=1
328379	42	STIM=a
332067	42	RESP=1
346521	42	STIM=x
350945	42	RESP=1
363952	42	STIM=0
369003	42	RESP=2
379219	42	STIM=m
383522	42	RESP=1
395457	42	STIM=u
399033	42	RESP=1
410980	42	STIM=q
415754	42	RESP=1
426559	42	STIM=n
432729	42	RESP=1
442465	42	STIM=r
447975	42	RESP=1
460584	42	STIM=x
464071	42	RESP=1
477967	42	STIM=d
481771	42	RESP=1
494670	42	STIM=n
497393	42	RESP=1
512667	42	STIM=d
519071	42	RESP=1
531003	42	STIM=6
536614	42	RESP=2
546081	42	STIM=s
549197	42	RESP=1
563535	42	STIM=f
568545	42	RESP=1
579769	42	STIM=q
589136	42	RESP=1
595959	42	STIM=n
602440	42	RESP=1
614529	42	STIM=k
618682	42	RESP=1
631643	42	STIM=p
637268	42	RESP=1
647941	42	STIM=u
652904	42	RESP=2
666557	42	STIM=o
670034	42	RESP=1
683816	42	STIM=b
687542	42	RESP=1
699915	42	STIM=4
705029	42	RESP=2
715375	42	STIM=m
720838	42	RESP=1
732912	42	STIM=y
735991	42	RESP=1
748203	42	STIM=1
753401	42	RESP=2
765902	42	STIM=3
771374	42	RESP=2
782904	42	STIM=3
787339	42	RESP=2
798428	42	STIM=2
805034	42	RESP=2
815849	42	STIM=c
823072	42	RESP=1
833975	42	STIM=6
843446	42	RESP=2
851507	42	STIM=b
856017	42	RESP=1
866932	42	STIM=h
871065	42	RESP=1
882098	42	STIM=n
885936	42	RESP=1
899709	42	STIM=6
903939	42	RESP=2
916778	42	STIM=o
921467	42	RESP=1
934504	42	STIM=j
938536	42	RESP=1
952640	42	STIM=q
955977	42	RESP=1
968936	42	STIM=s
973651	42	RESP=1
986689	42	STIM=c
990465	42	RESP=1
