# Original filename: 0019_NDQ_2017-02-05.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37220	42	STIM=e
40215	42	RESP=1
54107	42	STIM=j
61176	42	RESP=1
69515	42	STIM=1
77311	42	RESP=2
87672	42	STIM=y
94780	42	RESP=1
105713	42	STIM=d
113018	42	RESP=1
121301	42	STIM=3
127099	42	RESP=2
138279	42	STIM=a
144511	42	RESP=1
155981	42	STIM=j
163350	42	RESP=2
171160	42	STIM=o
174772	42	RESP=1
186562	42	STIM=q
191091	42	RESP=1
204325	42	STIM=y
213124	42	RESP=1
219675	42	STIM=n
225222	42	RESP=1
238244	42	STIM=c
243974	42	RESP=1
255999	42	STIM=5
263151	42	RESP=2
274030	42	STIM=f
277416	42	RESP=1
290092	42	STIM=g
293613	42	RESP=1
309046	42	STIM=j
316237	42	RESP=1
327964	42	STIM=9
334878	42	RESP=2
346574	42	STIM=3
352760	42	RESP=2
363776	42	STIM=g
370093	42	RESP=1
379567	42	STIM=t
384331	42	RESP=1
396297	42	STIM=7
402450	42	RESP=2
414175	42	STIM=j
420717	42	RESP=1
430474	42	STIM=n
435370	42	RESP=1
447311	42	STIM=7
454353	42	RESP=2
462614	42	STIM=g
468744	42	RESP=1
481161	42	STIM=r
486909	42	RESP=1
498156	42	STIM=7
501786	42	RESP=2
516822	42	STIM=a
522373	42	RESP=1
532115	42	STIM=w
537022	42	RESP=1
547430	42	STIM=n
556320	42	RESP=1
564258	42	STIM=s
567937	42	RESP=1
581004	42	STIM=8
587461	42	RESP=2
596183	42	STIM=e
604713	42	RESP=1
614596	42	STIM=r
618177	42	RESP=1
632458	42	STIM=8
637936	42	RESP=2
649758	42	STIM=z
654543	42	RESP=1
667736	42	STIM=m
671237	42	RESP=1
684425	42	STIM=o
690760	42	RESP=1
703362	42	STIM=z
706486	42	RESP=1
722354	42	STIM=1
726368	42	RESP=2
740202	42	STIM=e
745030	42	RESP=1
758140	42	STIM=i
763556	42	RESP=1
775575	42	STIM=o
782289	42	RESP=1
790906	42	STIM=g
797908	42	RESP=1
806650	42	STIM=h
814203	42	RESP=1
822802	42	STIM=o
828334	42	RESP=1
841614	42	STIM=v
847531	42	RESP=2
858020	42	STIM=a
863430	42	RESP=1
876875	42	STIM=k
885811	42	RESP=1
893031	42	STIM=4
899183	42	RESP=2
910567	42	STIM=b
918649	42	RESP=1
926746	42	STIM=y
936808	42	RESP=1
945185	42	STIM=o
954251	42	RESP=1
961623	42	STIM=9
965314	42	RESP=2
977006	42	STIM=1
981828	42	RESP=2
995303	42	STIM=h
1003493	42	RESP=1
1012910	42	STIM=9
1017145	42	RESP=2
1028350	42	STIM=7
1033380	42	RESP=2
1043542	42	STIM=c
1048619	42	RESP=1
1061489	42	STIM=j
1067723	42	RESP=1
1078104	42	STIM=x
1083194	42	RESP=1
1093192	42	STIM=s
1098905	42	RESP=1
1110172	42	STIM=6
1117560	42	RESP=2
1127136	42	STIM=u
1130277	42	RESP=1
1144235	42	STIM=p
1152102	42	RESP=1
1159517	42	STIM=p
1165365	42	RESP=1
1174588	42	STIM=4
1179904	42	RESP=2
1191954	42	STIM=l
1199949	42	RESP=1
1208999	42	STIM=z
1215404	42	RESP=1
1224882	42	STIM=z
1234042	42	RESP=1
1242257	42	STIM=p
1248751	42	RESP=1
1257482	42	STIM=r
1262024	42	RESP=1
1273494	42	STIM=9
1281417	42	RESP=2
1291200	42	STIM=x
1296227	42	RESP=1
1309473	42	STIM=5
1317100	42	RESP=2
1327008	42	STIM=7
1333618	42	RESP=2
1343766	42	STIM=t
1347132	42	RESP=1
1362567	42	STIM=x
1366134	42	RESP=1
1381323	42	STIM=x
1390155	42	RESP=2
1398572	42	STIM=z
1403503	42	RESP=1
1414765	42	STIM=j
1423091	42	RESP=1
1430870	42	STIM=a
1434690	42	RESP=1
1447375	42	STIM=s
1451759	42	RESP=1
1463225	42	STIM=w
1468478	42	RESP=1
1478276	42	STIM=i
1486389	42	RESP=1
1493798	42	STIM=p
1498048	42	RESP=1
1512587	42	STIM=c
1519047	42	RESP=1
1530325	42	STIM=8
1536444	42	RESP=2
1546172	42	STIM=w
1555444	42	RESP=1
1561273	42	STIM=l
1567808	42	RESP=1
1577401	42	STIM=c
1582548	42	RESP=1
1592594	42	STIM=0
1599970	42	RESP=2
1607782	42	STIM=t
1612635	42	RESP=1
1625943	42	STIM=s
1630023	42	RESP=1
1642587	42	STIM=x
1647431	42	RESP=1
1660246	42	STIM=p
1663668	42	RESP=1
1676081	42	STIM=e
1679978	42	RESP=1
1692688	42	STIM=z
1696503	42	RESP=1
1708755	42	STIM=e
1712750	42	RESP=1
1724616	42	STIM=g
1730431	42	RESP=1
1742988	42	STIM=j
1750189	42	RESP=1
1760758	42	STIM=c
1767623	42	RESP=1
1776785	42	STIM=o
1783759	42	RESP=1
1793196	42	STIM=m
1800228	42	RESP=1
1809926	42	STIM=z
1814820	42	RESP=1
1827644	42	STIM=l
1835286	42	RESP=1
1845775	42	STIM=p
1849223	42	RESP=1
1864701	42	STIM=r
1872724	42	RESP=1
1879752	42	STIM=5
1888731	42	RESP=2
1897031	42	STIM=i
1904719	42	RESP=1
1912318	42	STIM=8
1918796	42	RESP=2
1931203	42	STIM=k
1937276	42	RESP=1
1947353	42	STIM=y
1950877	42	RESP=1
1965224	42	STIM=p
1971282	42	RESP=1
1980428	42	STIM=4
1984689	42	RESP=1
1996231	42	STIM=1
2004381	42	RESP=2
2014330	42	STIM=b
2020004	42	RESP=1
2029676	42	STIM=b
2038221	42	RESP=2
2048534	42	STIM=0
2056157	42	RESP=2
2066232	42	STIM=t
2070062	42	RESP=1
2083281	42	STIM=v
2086157	42	RESP=1
2099768	42	STIM=b
2107434	42	RESP=1
2117412	42	STIM=d
2124349	42	RESP=1
2134057	42	STIM=5
2137763	42	RESP=2
2151659	42	STIM=p
2155774	42	RESP=2
2166786	42	STIM=p
2172277	42	RESP=1
2183476	42	STIM=m
2188920	42	RESP=1
2201776	42	STIM=z
2208247	42	RESP=1
2217889	42	STIM=u
2222115	42	RESP=1
2235593	42	STIM=0
2240992	42	RESP=2
2253479	42	STIM=w
2259339	42	RESP=1
2270525	42	STIM=z
2276681	42	RESP=1
2285638	42	STIM=l
2291136	42	RESP=1
2304140	42	STIM=d
2310012	42	RESP=1
2321776	42	STIM=7
2328799	42	RESP=1
2337710	42	STIM=y
2344580	42	RESP=1
2354992	42	STIM=n
2361554	42	RESP=1
2371888	42	STIM=l
2377236	42	RESP=2
2387965	42	STIM=g
2392500	42	RESP=1
2405241	42	STIM=j
2409898	42	RESP=1
2420734	42	STIM=o
2428312	42	RESP=2
2436398	42	STIM=x
2441305	42	RESP=1
2452553	42	STIM=z
2457176	42	RESP=1
2468123	42	STIM=d
2473879	42	RESP=1
2484835	42	STIM=g
2490531	42	RESP=1
2502677	42	STIM=d
2515997	42	RESP=1
2519562	42	STIM=g
2523776	42	RESP=1
2534934	42	STIM=g
2542913	42	RESP=1
2550574	42	STIM=c
2556080	42	RESP=1
2567844	42	STIM=f
2574018	42	RESP=1
2583197	42	STIM=t
2587308	42	RESP=1
2601537	42	STIM=7
2605577	42	RESP=2
2617166	42	STIM=4
2623738	42	RESP=2
2632685	42	STIM=s
2636124	42	RESP=1
2649272	42	STIM=u
2651994	42	RESP=1
2664366	42	STIM=0
2670275	42	RESP=2
2680904	42	STIM=a
2685632	42	RESP=1
2697567	42	STIM=0
2705208	42	RESP=2
2714181	42	STIM=g
2717742	42	RESP=1
2733142	42	STIM=6
2737119	42	RESP=2
2749229	42	STIM=h
2754013	42	RESP=1
2766674	42	STIM=2
2771936	42	RESP=2
2783761	42	STIM=g
2789951	42	RESP=1
2799178	42	STIM=u
2807844	42	RESP=1
2817519	42	STIM=t
2826128	42	RESP=1
2833006	42	STIM=p
2840000	42	RESP=1
2850685	42	STIM=p
2855023	42	RESP=1
2867075	42	STIM=n
2870847	42	RESP=1
2883610	42	STIM=9
2887989	42	RESP=2
2901563	42	STIM=3
2908637	42	RESP=2
2918653	42	STIM=x
2925414	42	RESP=1
2936128	42	STIM=f
2943575	42	RESP=2
2953207	42	STIM=9
2957370	42	RESP=2
2970813	42	STIM=6
2975948	42	RESP=2
2987107	42	STIM=j
2996356	42	RESP=1
3005370	42	STIM=z
3010911	42	RESP=1
3022733	42	STIM=x
3029435	42	RESP=1
3038200	42	STIM=l
3042745	42	RESP=1
3055357	42	STIM=l
3061411	42	RESP=1
3071968	42	STIM=m
3081522	42	RESP=1
3087388	42	STIM=c
3092966	42	RESP=1
3103692	42	STIM=i
3107716	42	RESP=2
3120203	42	STIM=u
3124501	42	RESP=1
3135966	42	STIM=z
3141413	42	RESP=1
3153631	42	STIM=a
3159512	42	RESP=2
3169894	42	STIM=z
3173889	42	RESP=1
3184952	42	STIM=i
3189623	42	RESP=1
3200310	42	STIM=s
3202841	42	RESP=1
3217649	42	STIM=v
3222644	42	RESP=1
3234253	42	STIM=2
3243314	42	RESP=1
3249375	42	STIM=p
3255101	42	RESP=1
3266563	42	STIM=k
3272944	42	RESP=1
3282883	42	STIM=h
3288827	42	RESP=1
3298469	42	STIM=9
3303660	42	RESP=2
3315696	42	STIM=6
3320200	42	RESP=2
3332531	42	STIM=k
3338903	42	RESP=1
3349978	42	STIM=n
3354151	42	RESP=1
3365897	42	STIM=k
3369994	42	RESP=1
3381783	42	STIM=i
3386492	42	RESP=1
3397181	42	STIM=4
3405202	42	RESP=2
3415508	42	STIM=c
3421785	42	RESP=1
3432491	42	STIM=u
3437196	42	RESP=1
3447692	42	STIM=o
3451400	42	RESP=1
3464248	42	STIM=t
3473940	42	RESP=1
3482156	42	STIM=3
3486775	42	RESP=1
3500548	42	STIM=4
3507128	42	RESP=2
3516837	42	STIM=j
3524962	42	RESP=1
3534145	42	STIM=6
3539895	42	RESP=2
3549558	42	STIM=e
3555006	42	RESP=1
3566133	42	STIM=u
3573048	42	RESP=1
3583762	42	STIM=j
3592584	42	RESP=1
3602030	42	STIM=g
3604957	42	RESP=1
3619411	42	STIM=5
3626715	42	RESP=2
3637573	42	STIM=s
3642084	42	RESP=1
3655503	42	STIM=6
3663059	42	RESP=2
3672928	42	STIM=8
3680238	42	RESP=2
3691530	42	STIM=o
3697857	42	RESP=1
3706955	42	STIM=j
3715965	42	RESP=1
3723345	42	STIM=x
3732674	42	RESP=1
3741011	42	STIM=y
3745328	42	RESP=1
3758248	42	STIM=h
3765158	42	RESP=1
3775943	42	STIM=q
3789302	42	RESP=1
3793386	42	STIM=l
3797721	42	RESP=1
3808638	42	STIM=x
3816831	42	RESP=1
3826112	42	STIM=b
3831266	42	RESP=1
3843233	42	STIM=6
3847895	42	RESP=1
3859120	42	STIM=b
3862411	42	RESP=2
3874717	42	STIM=f
3879615	42	RESP=1
3891279	42	STIM=p
3902282	42	RESP=1
3908412	42	STIM=q
3913795	42	RESP=1
3926240	42	STIM=g
3933648	42	RESP=1
3941760	42	STIM=h
3947080	42	RESP=1
3958976	42	STIM=f
3962672	42	RESP=1
3976265	42	STIM=t
3984857	42	RESP=1
3995004	42	STIM=a
3999248	42	RESP=1
4011155	42	STIM=o
4016715	42	RESP=1
4026764	42	STIM=s
4031396	42	RESP=1
4042711	42	STIM=t
4047131	42	RESP=1
4061333	42	STIM=4
4066361	42	RESP=2
4078728	42	STIM=o
4092575	42	RESP=1
4095755	42	STIM=h
4100384	42	RESP=1
4114315	42	STIM=t
