# Original filename: 0020_IFX_2017-07-19.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36522	42	STIM=p
41301	42	RESP=1
53402	42	STIM=x
60919	42	RESP=1
70266	42	STIM=4
75481	42	RESP=2
89262	42	STIM=m
93169	42	RESP=1
105818	42	STIM=w
111489	42	RESP=1
123535	42	STIM=r
126120	42	RESP=1
140870	42	STIM=i
145717	42	RESP=1
156680	42	STIM=c
163677	42	RESP=2
171682	42	STIM=b
178170	42	RESP=1
189720	42	STIM=5
194759	42	RESP=2
205159	42	STIM=j
211764	42	RESP=1
221488	42	STIM=z
226862	42	RESP=1
237465	42	STIM=s
244738	42	RESP=1
253170	42	STIM=f
257160	42	RESP=1
271145	42	STIM=b
274714	42	RESP=1
287011	42	STIM=l
291820	42	RESP=1
303257	42	STIM=7
312513	42	RESP=2
320700	42	STIM=p
327437	42	RESP=1
339275	42	STIM=3
344408	42	RESP=2
356228	42	STIM=1
362829	42	RESP=2
373403	42	STIM=r
379988	42	RESP=1
392259	42	STIM=t
395739	42	RESP=1
409763	42	STIM=a
415174	42	RESP=1
427743	42	STIM=o
433576	42	RESP=1
445142	42	STIM=j
450414	42	RESP=1
462763	42	STIM=7
468337	42	RESP=2
479067	42	STIM=m
484096	42	RESP=2
497834	42	STIM=u
502833	42	RESP=1
515471	42	STIM=t
520684	42	RESP=2
532070	42	STIM=f
538308	42	RESP=1
550325	42	STIM=1
558906	42	RESP=2
567352	42	STIM=e
573013	42	RESP=1
585811	42	STIM=8
591086	42	RESP=2
604393	42	STIM=z
607356	42	RESP=1
622138	42	STIM=t
630236	42	RESP=1
638268	42	STIM=0
644585	42	RESP=1
656254	42	STIM=i
659777	42	RESP=1
675180	42	STIM=d
681653	42	RESP=1
692820	42	STIM=5
698617	42	RESP=2
708771	42	STIM=2
713955	42	RESP=2
724796	42	STIM=u
728904	42	RESP=1
741082	42	STIM=d
748146	42	RESP=1
759475	42	STIM=5
763770	42	RESP=2
775962	42	STIM=e
783378	42	RESP=1
792601	42	STIM=4
801734	42	RESP=2
809267	42	STIM=s
812673	42	RESP=1
825778	42	STIM=i
830899	42	RESP=1
841671	42	STIM=u
847485	42	RESP=1
857719	42	STIM=z
864104	42	RESP=1
876616	42	STIM=p
883350	42	RESP=1
894192	42	STIM=y
899431	42	RESP=1
910224	42	STIM=9
917530	42	RESP=2
925992	42	STIM=t
932194	42	RESP=1
942481	42	STIM=5
948570	42	RESP=1
958656	42	STIM=v
964813	42	RESP=1
974572	42	STIM=f
978427	42	RESP=1
992174	42	STIM=8
1001327	42	RESP=2
1010888	42	STIM=l
1014783	42	RESP=1
1027792	42	STIM=q
1034065	42	RESP=1
1045540	42	STIM=m
1056037	42	RESP=1
1061168	42	STIM=5
1067251	42	RESP=2
1078641	42	STIM=a
1082205	42	RESP=1
1097363	42	STIM=w
1103985	42	RESP=1
1112575	42	STIM=4
1118164	42	RESP=2
1129160	42	STIM=f
1138617	42	RESP=1
1147459	42	STIM=a
1151633	42	RESP=2
1165273	42	STIM=d
