# Original filename: 0022_YTA_2017-05-23.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
29012	42	STIM=n
33307	42	RESP=1
44170	42	STIM=u
52709	42	RESP=1
61872	42	STIM=q
69099	42	RESP=1
78168	42	STIM=j
87945	42	RESP=1
93385	42	STIM=b
98045	42	RESP=1
111859	42	STIM=g
115953	42	RESP=1
128239	42	STIM=o
132639	42	RESP=1
144526	42	STIM=s
148730	42	RESP=1
159758	42	STIM=0
164427	42	RESP=2
175219	42	STIM=h
182525	42	RESP=1
193081	42	STIM=e
199430	42	RESP=1
210886	42	STIM=1
223638	42	RESP=2
226912	42	STIM=s
233273	42	RESP=1
242157	42	STIM=6
250925	42	RESP=1
259958	42	STIM=c
268809	42	RESP=1
277973	42	STIM=u
283423	42	RESP=1
294463	42	STIM=r
299351	42	RESP=1
310058	42	STIM=o
313987	42	RESP=1
326497	42	STIM=0
333262	42	RESP=2
342676	42	STIM=0
351137	42	RESP=2
360869	42	STIM=e
363946	42	RESP=1
378951	42	STIM=x
383144	42	RESP=1
396240	42	STIM=q
403042	42	RESP=1
413229	42	STIM=s
416305	42	RESP=1
428930	42	STIM=s
436313	42	RESP=1
444477	42	STIM=w
449793	42	RESP=1
461882	42	STIM=c
473050	42	RESP=1
479531	42	STIM=0
485585	42	RESP=2
495255	42	STIM=o
498802	42	RESP=1
511708	42	STIM=c
518408	42	RESP=1
529346	42	STIM=7
533967	42	RESP=2
546372	42	STIM=k
549759	42	RESP=1
561490	42	STIM=n
565401	42	RESP=1
580371	42	STIM=6
590601	42	RESP=2
596524	42	STIM=m
605055	42	RESP=1
613603	42	STIM=i
623846	42	RESP=1
629100	42	STIM=s
638785	42	RESP=1
645117	42	STIM=o
649295	42	RESP=1
661508	42	STIM=z
667235	42	RESP=1
678267	42	STIM=p
683677	42	RESP=1
695177	42	STIM=i
699102	42	RESP=1
711240	42	STIM=q
714319	42	RESP=1
728594	42	STIM=w
735103	42	RESP=1
743981	42	STIM=8
751021	42	RESP=2
760565	42	STIM=f
764915	42	RESP=1
779500	42	STIM=j
783164	42	RESP=1
795809	42	STIM=o
802075	42	RESP=1
814039	42	STIM=g
824770	42	RESP=1
832343	42	STIM=0
841243	42	RESP=2
847528	42	STIM=n
851410	42	RESP=1
862916	42	STIM=q
868073	42	RESP=1
880416	42	STIM=d
883329	42	RESP=1
898815	42	STIM=x
904904	42	RESP=1
913963	42	STIM=a
919257	42	RESP=1
928973	42	STIM=4
935637	42	RESP=1
947056	42	STIM=q
951964	42	RESP=1
965464	42	STIM=f
971173	42	RESP=1
983834	42	STIM=i
991458	42	RESP=1
1002354	42	STIM=g
1010360	42	RESP=1
1018101	42	STIM=o
1022345	42	RESP=1
1035694	42	STIM=x
1039295	42	RESP=1
1051513	42	STIM=g
1056833	42	RESP=1
1067576	42	STIM=u
1071427	42	RESP=1
1084916	42	STIM=x
1092462	42	RESP=1
1102692	42	STIM=p
1107326	42	RESP=1
1121477	42	STIM=k
1125565	42	RESP=1
1139795	42	STIM=d
1143516	42	RESP=1
1157634	42	STIM=f
1162615	42	RESP=1
1173683	42	STIM=r
1178764	42	RESP=1
1189040	42	STIM=7
1195225	42	RESP=1
1205501	42	STIM=h
1211576	42	RESP=1
1221423	42	STIM=y
1227051	42	RESP=1
1237580	42	STIM=n
1248448	42	RESP=2
1254992	42	STIM=z
1257566	42	RESP=1
1273619	42	STIM=l
1276548	42	RESP=1
1289938	42	STIM=r
1304038	42	RESP=1
1306465	42	STIM=z
1309928	42	RESP=1
1325437	42	STIM=5
1331187	42	RESP=2
1343042	42	STIM=3
1348300	42	RESP=2
1360754	42	STIM=e
1367652	42	RESP=1
1377794	42	STIM=z
1381081	42	RESP=1
1395953	42	STIM=e
1399188	42	RESP=1
1412909	42	STIM=0
1421355	42	RESP=2
1430405	42	STIM=z
1434113	42	RESP=1
1446521	42	STIM=b
1451300	42	RESP=1
1463868	42	STIM=5
1469430	42	RESP=2
1479104	42	STIM=s
1482206	42	RESP=1
1495567	42	STIM=j
1501159	42	RESP=1
1514341	42	STIM=s
1520155	42	RESP=1
1532559	42	STIM=g
1539043	42	RESP=1
1549872	42	STIM=5
1560412	42	RESP=2
1566520	42	STIM=n
1572363	42	RESP=1
1585241	42	STIM=0
1593707	42	RESP=1
1602737	42	STIM=g
1606193	42	RESP=1
1620343	42	STIM=w
1626804	42	RESP=1
1637783	42	STIM=t
1642652	42	RESP=1
1653623	42	STIM=l
1658132	42	RESP=1
1671383	42	STIM=b
1675763	42	RESP=1
1686884	42	STIM=3
1692479	42	RESP=2
1703226	42	STIM=d
1707982	42	RESP=1
1721365	42	STIM=p
1729859	42	RESP=1
1739924	42	STIM=x
1746899	42	RESP=1
1758809	42	STIM=k
1767192	42	RESP=1
1773885	42	STIM=3
1781604	42	RESP=2
1789007	42	STIM=o
1793126	42	RESP=1
1807394	42	STIM=p
1813568	42	RESP=1
1825734	42	STIM=f
1831072	42	RESP=1
1841289	42	STIM=x
1848638	42	RESP=1
1856552	42	STIM=b
1864469	42	RESP=1
1871643	42	STIM=h
1879117	42	RESP=1
1887934	42	STIM=u
1891326	42	RESP=1
1906293	42	STIM=k
1910553	42	RESP=1
1924584	42	STIM=8
1930495	42	RESP=2
1940276	42	STIM=r
1948131	42	RESP=2
1958998	42	STIM=m
1965165	42	RESP=1
1977551	42	STIM=j
1981571	42	RESP=1
1992628	42	STIM=q
1997894	42	RESP=1
2010644	42	STIM=v
2016868	42	RESP=1
2026942	42	STIM=d
2035482	42	RESP=1
2043039	42	STIM=d
2049175	42	RESP=1
2059268	42	STIM=x
2062900	42	RESP=1
2074812	42	STIM=h
2081770	42	RESP=1
2092174	42	STIM=e
2095334	42	RESP=1
2108731	42	STIM=9
2115145	42	RESP=2
2126362	42	STIM=w
2131064	42	RESP=1
2144300	42	STIM=0
2153115	42	RESP=2
