# Original filename: 0027_MFF_2017-04-29.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30397	42	STIM=3
34916	42	RESP=2
47247	42	STIM=i
50424	42	RESP=1
62254	42	STIM=y
65726	42	RESP=1
80343	42	STIM=u
85471	42	RESP=1
96515	42	STIM=a
101264	42	RESP=1
112878	42	STIM=1
117165	42	RESP=2
130394	42	STIM=b
133641	42	RESP=1
148000	42	STIM=d
153417	42	RESP=1
166293	42	STIM=6
173741	42	RESP=2
183214	42	STIM=j
186097	42	RESP=1
201868	42	STIM=v
208153	42	RESP=1
217990	42	STIM=f
225553	42	RESP=1
236965	42	STIM=i
240537	42	RESP=1
254718	42	STIM=2
259999	42	RESP=1
271531	42	STIM=w
278235	42	RESP=1
290429	42	STIM=4
296676	42	RESP=2
307887	42	STIM=6
313684	42	RESP=2
325387	42	STIM=2
331870	42	RESP=2
341766	42	STIM=6
345386	42	RESP=2
357347	42	STIM=8
363595	42	RESP=2
375296	42	STIM=p
379476	42	RESP=1
394107	42	STIM=d
397046	42	RESP=1
410179	42	STIM=5
418842	42	RESP=2
426812	42	STIM=e
430830	42	RESP=1
444403	42	STIM=x
448182	42	RESP=1
462704	42	STIM=n
467372	42	RESP=1
479334	42	STIM=a
484818	42	RESP=1
494852	42	STIM=9
501696	42	RESP=2
511431	42	STIM=k
516485	42	RESP=1
526905	42	STIM=q
532598	42	RESP=1
542167	42	STIM=c
549852	42	RESP=1
560516	42	STIM=c
565680	42	RESP=1
578670	42	STIM=q
581721	42	RESP=1
597189	42	STIM=i
604847	42	RESP=1
615984	42	STIM=o
619643	42	RESP=1
634662	42	STIM=m
638068	42	RESP=1
650427	42	STIM=p
655028	42	RESP=1
667634	42	STIM=9
672182	42	RESP=2
685079	42	STIM=b
688684	42	RESP=2
701072	42	STIM=h
707466	42	RESP=1
716571	42	STIM=k
719327	42	RESP=1
735509	42	STIM=6
740130	42	RESP=2
753958	42	STIM=l
758514	42	RESP=1
772554	42	STIM=c
777890	42	RESP=2
787557	42	STIM=h
792073	42	RESP=1
805930	42	STIM=h
809978	42	RESP=1
824534	42	STIM=3
830942	42	RESP=2
843494	42	STIM=y
847641	42	RESP=1
859518	42	STIM=1
865141	42	RESP=2
874660	42	STIM=0
879535	42	RESP=2
892843	42	STIM=3
899157	42	RESP=2
908273	42	STIM=l
911478	42	RESP=2
927168	42	STIM=m
930950	42	RESP=1
945482	42	STIM=a
950230	42	RESP=1
961347	42	STIM=z
968191	42	RESP=1
977485	42	STIM=9
980550	42	RESP=2
992713	42	STIM=a
999166	42	RESP=1
1008403	42	STIM=e
1013631	42	RESP=1
1024231	42	STIM=v
1027501	42	RESP=1
1042897	42	STIM=o
1047797	42	RESP=1
1059470	42	STIM=b
1068003	42	RESP=1
1077407	42	STIM=7
1084943	42	RESP=2
1094851	42	STIM=z
1099199	42	RESP=1
1110949	42	STIM=m
1115895	42	RESP=1
1126048	42	STIM=u
1128687	42	RESP=1
1142533	42	STIM=8
1155697	42	RESP=2
1159564	42	STIM=b
1163411	42	RESP=1
1176144	42	STIM=e
1181693	42	RESP=1
1194984	42	STIM=a
1198598	42	RESP=1
1212683	42	STIM=p
1216504	42	RESP=1
1231234	42	STIM=f
1236152	42	RESP=1
1249450	42	STIM=i
1252948	42	RESP=1
1266493	42	STIM=r
1273682	42	RESP=1
1285064	42	STIM=g
1291253	42	RESP=1
1301009	42	STIM=2
1308602	42	RESP=2
1318667	42	STIM=g
1324924	42	RESP=1
1336740	42	STIM=z
1340330	42	RESP=1
1354792	42	STIM=5
1360426	42	RESP=2
1370332	42	STIM=s
1375291	42	RESP=1
1386141	42	STIM=t
1389504	42	RESP=1
1404401	42	STIM=r
1410765	42	RESP=1
1421675	42	STIM=z
1426075	42	RESP=1
1437300	42	STIM=k
1442914	42	RESP=1
1454558	42	STIM=2
1460450	42	RESP=2
1473219	42	STIM=m
1480010	42	RESP=1
1491597	42	STIM=8
1495963	42	RESP=2
1510357	42	STIM=u
1520963	42	RESP=1
1527019	42	STIM=r
1530433	42	RESP=1
1544147	42	STIM=k
1550989	42	RESP=1
1561983	42	STIM=g
1566681	42	RESP=1
1579219	42	STIM=n
1582848	42	RESP=1
1595727	42	STIM=t
1600713	42	RESP=1
1611853	42	STIM=n
1615499	42	RESP=1
1630732	42	STIM=r
1634467	42	RESP=1
1647612	42	STIM=v
1655270	42	RESP=1
1662779	42	STIM=6
1670011	42	RESP=2
1679419	42	STIM=0
1683654	42	RESP=2
1696761	42	STIM=q
1700935	42	RESP=1
1713359	42	STIM=o
1717746	42	RESP=1
1729486	42	STIM=l
1736273	42	RESP=1
1746441	42	STIM=s
1749796	42	RESP=1
1761620	42	STIM=n
1771055	42	RESP=1
1778203	42	STIM=5
1781755	42	RESP=2
1794497	42	STIM=f
1799976	42	RESP=1
1810592	42	STIM=d
1818370	42	RESP=1
1826542	42	STIM=k
1830129	42	RESP=1
1844300	42	STIM=1
1849895	42	RESP=2
1862874	42	STIM=r
1867087	42	RESP=1
1879425	42	STIM=j
1884567	42	RESP=1
1896957	42	STIM=z
1904871	42	RESP=1
1915188	42	STIM=e
1920964	42	RESP=1
1932744	42	STIM=p
1938092	42	RESP=1
1950782	42	STIM=1
1955581	42	RESP=2
1965844	42	STIM=x
1969257	42	RESP=1
1984346	42	STIM=m
1991992	42	RESP=1
2003286	42	STIM=m
2007637	42	RESP=1
2020866	42	STIM=d
2026134	42	RESP=1
2038732	42	STIM=h
2043375	42	RESP=1
2054989	42	STIM=c
2058391	42	RESP=1
2073735	42	STIM=9
2078083	42	RESP=2
2088747	42	STIM=g
2092362	42	RESP=1
2106660	42	STIM=m
2113411	42	RESP=1
2122023	42	STIM=k
2126202	42	RESP=2
2137755	42	STIM=p
2141436	42	RESP=1
2155991	42	STIM=p
2159200	42	RESP=1
2173426	42	STIM=o
2179849	42	RESP=1
2191045	42	STIM=t
2197934	42	RESP=1
2209782	42	STIM=q
2212391	42	RESP=1
2225488	42	STIM=l
2232809	42	RESP=2
2241014	42	STIM=y
2245260	42	RESP=1
2256474	42	STIM=i
2264545	42	RESP=1
2271982	42	STIM=s
2276973	42	RESP=1
2288785	42	STIM=8
2294954	42	RESP=2
2307265	42	STIM=i
2312856	42	RESP=1
2324976	42	STIM=i
2328438	42	RESP=1
2340195	42	STIM=g
2346629	42	RESP=1
2357412	42	STIM=l
2360581	42	RESP=1
2374397	42	STIM=s
2379681	42	RESP=1
2389658	42	STIM=g
2396211	42	RESP=1
2405329	42	STIM=c
2413698	42	RESP=1
2423753	42	STIM=4
2427400	42	RESP=2
2441151	42	STIM=s
2444621	42	RESP=1
2458418	42	STIM=b
2464605	42	RESP=1
2474434	42	STIM=j
2484166	42	RESP=1
2489888	42	STIM=8
2499006	42	RESP=2
2506072	42	STIM=e
2510011	42	RESP=1
2523999	42	STIM=a
2529924	42	RESP=1
2541477	42	STIM=6
2545165	42	RESP=2
2559182	42	STIM=q
2562164	42	RESP=1
2576870	42	STIM=7
2583252	42	RESP=1
2593530	42	STIM=j
2597593	42	RESP=1
2610585	42	STIM=m
2614072	42	RESP=1
2627369	42	STIM=a
2632140	42	RESP=1
2645424	42	STIM=9
2653786	42	RESP=2
2662730	42	STIM=0
2669386	42	RESP=2
2680603	42	STIM=u
2688038	42	RESP=1
2698249	42	STIM=d
2701815	42	RESP=1
2714861	42	STIM=n
2718522	42	RESP=1
2731006	42	STIM=z
2733711	42	RESP=1
2748090	42	STIM=w
2750869	42	RESP=1
2766975	42	STIM=g
2773111	42	RESP=1
2784434	42	STIM=t
2790149	42	RESP=2
2802737	42	STIM=u
2805713	42	RESP=1
2819270	42	STIM=r
2825186	42	RESP=1
2834957	42	STIM=4
2840384	42	RESP=2
2853017	42	STIM=n
2858307	42	RESP=1
2870206	42	STIM=j
2875222	42	RESP=1
2887294	42	STIM=s
2894894	42	RESP=1
2904052	42	STIM=k
2908983	42	RESP=1
2922409	42	STIM=u
2928651	42	RESP=1
2939845	42	STIM=5
2945907	42	RESP=2
2956699	42	STIM=x
2960180	42	RESP=1
2974107	42	STIM=4
2981238	42	RESP=2
2989195	42	STIM=l
2993394	42	RESP=1
3005296	42	STIM=e
3008327	42	RESP=2
3021933	42	STIM=d
3024727	42	RESP=1
3037435	42	STIM=5
3045486	42	RESP=2
3054350	42	STIM=z
3058770	42	RESP=1
3070854	42	STIM=s
3074631	42	RESP=1
3089007	42	STIM=i
3093595	42	RESP=1
3107090	42	STIM=z
3115349	42	RESP=1
3123988	42	STIM=h
3132459	42	RESP=1
3142064	42	STIM=c
3146560	42	RESP=1
3160500	42	STIM=r
3163407	42	RESP=1
3178361	42	STIM=9
3182890	42	RESP=2
3195467	42	STIM=n
3200095	42	RESP=1
3211772	42	STIM=t
3216488	42	RESP=1
3228654	42	STIM=v
3235114	42	RESP=1
3247176	42	STIM=v
3251732	42	RESP=1
3262546	42	STIM=g
3265710	42	RESP=1
3278623	42	STIM=u
3281159	42	RESP=1
3295517	42	STIM=8
3298982	42	RESP=2
3312358	42	STIM=i
3327584	42	RESP=1
3328307	42	STIM=r
3332230	42	RESP=1
3345663	42	STIM=1
3349360	42	RESP=2
3363310	42	STIM=4
3370309	42	RESP=2
3380502	42	STIM=w
3385520	42	RESP=1
3395996	42	STIM=t
3401705	42	RESP=1
3412916	42	STIM=u
3421266	42	RESP=1
3430081	42	STIM=m
3434751	42	RESP=1
3446671	42	STIM=d
3451490	42	RESP=1
3463201	42	STIM=y
3466820	42	RESP=1
3479539	42	STIM=2
3484415	42	RESP=2
3498499	42	STIM=z
3502275	42	RESP=1
3514672	42	STIM=p
3520800	42	RESP=1
3532497	42	STIM=b
3535802	42	RESP=1
3551494	42	STIM=9
3555209	42	RESP=2
3568370	42	STIM=w
3571407	42	RESP=1
3586957	42	STIM=8
3591230	42	RESP=2
3602969	42	STIM=z
3605771	42	RESP=1
3619145	42	STIM=s
3622479	42	RESP=1
3638106	42	STIM=7
3641768	42	RESP=2
3653569	42	STIM=a
3658853	42	RESP=1
3671725	42	STIM=y
3675738	42	RESP=1
3690066	42	STIM=z
3695801	42	RESP=1
3707584	42	STIM=2
3712920	42	RESP=2
3725647	42	STIM=k
3730238	42	RESP=1
3744292	42	STIM=x
3747964	42	RESP=2
3761056	42	STIM=g
3766653	42	RESP=1
3777400	42	STIM=c
3782226	42	RESP=1
3792993	42	STIM=p
3796791	42	RESP=1
3809548	42	STIM=r
3814825	42	RESP=1
3827609	42	STIM=d
3830903	42	RESP=1
3843636	42	STIM=x
3846745	42	RESP=2
3860736	42	STIM=0
3865274	42	RESP=2
3876508	42	STIM=e
3879794	42	RESP=1
3891559	42	STIM=g
3894707	42	RESP=1
3909847	42	STIM=5
3917901	42	RESP=2
3925327	42	STIM=p
3934922	42	RESP=1
3942737	42	STIM=a
3948304	42	RESP=1
3961260	42	STIM=7
3971422	42	RESP=2
3978623	42	STIM=s
3982603	42	RESP=1
3995241	42	STIM=z
3998419	42	RESP=1
4013906	42	STIM=e
4018313	42	RESP=1
4029448	42	STIM=h
4033770	42	RESP=1
4045782	42	STIM=0
4049797	42	RESP=2
4063314	42	STIM=m
4067349	42	RESP=1
4078839	42	STIM=f
4081465	42	RESP=1
4097594	42	STIM=n
4103657	42	RESP=1
4113782	42	STIM=r
4118419	42	RESP=1
4131106	42	STIM=k
4133837	42	RESP=1
4148408	42	STIM=z
4156277	42	RESP=1
4164433	42	STIM=b
4168101	42	RESP=1
4183251	42	STIM=m
4187048	42	RESP=1
4199201	42	STIM=g
4206933	42	RESP=1
4215805	42	STIM=8
4221179	42	RESP=2
4232417	42	STIM=c
4235326	42	RESP=1
4249614	42	STIM=h
4253963	42	RESP=1
4268020	42	STIM=u
4271549	42	RESP=1
4286218	42	STIM=e
4290498	42	RESP=1
4302551	42	STIM=0
4307949	42	RESP=1
4319896	42	STIM=z
4324370	42	RESP=1
4337264	42	STIM=m
4345686	42	RESP=1
4352574	42	STIM=t
4356122	42	RESP=1
4367674	42	STIM=y
4373229	42	RESP=1
4385889	42	STIM=f
4388754	42	RESP=1
4403586	42	STIM=t
4406945	42	RESP=1
4422011	42	STIM=5
4426386	42	RESP=2
4440921	42	STIM=1
4446633	42	RESP=2
4458193	42	STIM=s
4463366	42	RESP=1
4476561	42	STIM=r
4482301	42	RESP=1
4492588	42	STIM=q
4497007	42	RESP=1
4509494	42	STIM=g
4514492	42	RESP=1
4524501	42	STIM=x
4528895	42	RESP=1
4542169	42	STIM=x
4545384	42	RESP=1
4559028	42	STIM=a
4562646	42	RESP=1
4575008	42	STIM=6
4580901	42	RESP=2
4593561	42	STIM=l
4597449	42	RESP=1
4609402	42	STIM=g
4614325	42	RESP=1
4626638	42	STIM=6
4631275	42	RESP=2
4643376	42	STIM=z
4648758	42	RESP=1
4660134	42	STIM=j
4666464	42	RESP=1
4678515	42	STIM=4
4683370	42	RESP=2
4694185	42	STIM=y
4697162	42	RESP=1
4711068	42	STIM=w
4715068	42	RESP=1
4729977	42	STIM=9
4733762	42	RESP=2
4746387	42	STIM=n
4749913	42	RESP=1
4762201	42	STIM=i
4765335	42	RESP=1
4780250	42	STIM=a
4785529	42	RESP=1
4796746	42	STIM=1
4801295	42	RESP=2
4813809	42	STIM=9
4817809	42	RESP=2
4829317	42	STIM=e
4834360	42	RESP=1
4844755	42	STIM=l
4852676	42	RESP=1
4859757	42	STIM=0
4868710	42	RESP=2
4877135	42	STIM=8
4883133	42	RESP=2
4894420	42	STIM=c
4899009	42	RESP=1
4911216	42	STIM=p
4916838	42	RESP=1
4928091	42	STIM=y
4933392	42	RESP=1
4943483	42	STIM=7
4950263	42	RESP=2
4961012	42	STIM=j
4967800	42	RESP=1
4976258	42	STIM=9
4981916	42	RESP=1
4993588	42	STIM=i
5004707	42	RESP=1
5009520	42	STIM=u
5015343	42	RESP=1
5028273	42	STIM=d
5036481	42	RESP=1
5045273	42	STIM=6
5049523	42	RESP=2
5062672	42	STIM=z
5067043	42	RESP=1
5081346	42	STIM=f
5085153	42	RESP=1
5098398	42	STIM=d
5105721	42	RESP=1
5115889	42	STIM=i
5123793	42	RESP=1
5133446	42	STIM=v
5140942	42	RESP=1
5149977	42	STIM=d
5156207	42	RESP=1
5167043	42	STIM=8
5172152	42	RESP=2
5183788	42	STIM=v
5188797	42	RESP=1
5201630	42	STIM=u
5206140	42	RESP=1
5220369	42	STIM=4
5226080	42	RESP=2
5235620	42	STIM=q
5239518	42	RESP=1
5250999	42	STIM=v
5256818	42	RESP=1
5266759	42	STIM=c
5270060	42	RESP=1
5285688	42	STIM=f
5289708	42	RESP=1
5301707	42	STIM=7
5308765	42	RESP=2
5317531	42	STIM=9
5322115	42	RESP=2
5335055	42	STIM=j
5339561	42	RESP=1
5352028	42	STIM=v
5355092	42	RESP=1
5368621	42	STIM=u
5374714	42	RESP=1
5385721	42	STIM=s
5392976	42	RESP=1
5403691	42	STIM=m
5410419	42	RESP=1
5419711	42	STIM=g
5424473	42	RESP=1
5435964	42	STIM=l
5439645	42	RESP=1
5451467	42	STIM=0
5455449	42	RESP=2
5466636	42	STIM=y
5471528	42	RESP=1
5481734	42	STIM=d
5487066	42	RESP=1
5498667	42	STIM=f
5502301	42	RESP=1
5513785	42	STIM=m
5517173	42	RESP=1
5532646	42	STIM=y
5536985	42	RESP=1
5548022	42	STIM=1
5555837	42	RESP=2
5566659	42	STIM=u
5572037	42	RESP=1
5584284	42	STIM=h
5597001	42	RESP=1
5599717	42	STIM=u
5603613	42	RESP=1
5617625	42	STIM=v
5624555	42	RESP=1
5632775	42	STIM=p
5640097	42	RESP=1
5647803	42	STIM=u
5654356	42	RESP=1
5664434	42	STIM=f
5668076	42	RESP=1
5682578	42	STIM=i
5686527	42	RESP=1
5700748	42	STIM=w
5704596	42	RESP=1
5718772	42	STIM=y
5725167	42	RESP=1
5734626	42	STIM=0
5738122	42	RESP=2
5752756	42	STIM=n
5758890	42	RESP=1
5769248	42	STIM=n
5776946	42	RESP=1
5785631	42	STIM=q
5789427	42	RESP=1
5804461	42	STIM=l
5808915	42	RESP=1
5822354	42	STIM=e
5826414	42	RESP=1
5840696	42	STIM=l
5844027	42	RESP=1
5857455	42	STIM=q
5861585	42	RESP=1
5874738	42	STIM=n
5880533	42	RESP=1
5893169	42	STIM=j
5899219	42	RESP=1
5909862	42	STIM=z
5919799	42	RESP=1
5925826	42	STIM=8
5929318	42	RESP=2
5943982	42	STIM=z
5949481	42	RESP=1
5959857	42	STIM=f
5967138	42	RESP=1
5978211	42	STIM=p
5981751	42	RESP=1
5995032	42	STIM=v
5999903	42	RESP=1
6010803	42	STIM=r
6013726	42	RESP=1
6026844	42	STIM=k
6032065	42	RESP=1
6044560	42	STIM=z
6048914	42	RESP=2
6060882	42	STIM=m
6064596	42	RESP=1
6077306	42	STIM=n
6085787	42	RESP=1
6094206	42	STIM=w
6096781	42	RESP=1
6110039	42	STIM=r
6117902	42	RESP=2
6126548	42	STIM=l
6129820	42	RESP=1
6142285	42	STIM=i
6146364	42	RESP=1
6158292	42	STIM=k
6162527	42	RESP=1
6176821	42	STIM=u
6184855	42	RESP=1
6194175	42	STIM=a
6197719	42	RESP=1
6212696	42	STIM=q
6219484	42	RESP=1
6229845	42	STIM=r
6235316	42	RESP=1
6245642	42	STIM=s
6252180	42	RESP=1
6264076	42	STIM=d
6269930	42	RESP=1
6281990	42	STIM=o
6286907	42	RESP=1
6297469	42	STIM=a
6300035	42	RESP=1
6315113	42	STIM=r
6325367	42	RESP=1
6333892	42	STIM=f
6338913	42	RESP=1
6351623	42	STIM=g
6354848	42	RESP=1
