# Original filename: 0027_NPC_2016-09-01.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36708	42	STIM=f
42634	42	RESP=1
53876	42	STIM=l
61065	42	RESP=1
71823	42	STIM=q
76137	42	RESP=1
87933	42	STIM=t
94196	42	RESP=1
103188	42	STIM=a
116909	42	RESP=1
121586	42	STIM=6
126905	42	RESP=2
137990	42	STIM=b
142229	42	RESP=1
154251	42	STIM=p
159482	42	RESP=1
170685	42	STIM=9
176896	42	RESP=2
189418	42	STIM=j
199768	42	RESP=1
205022	42	STIM=0
214689	42	RESP=2
222289	42	STIM=3
231747	42	RESP=2
238818	42	STIM=3
245831	42	RESP=2
254688	42	STIM=v
259467	42	RESP=1
272140	42	STIM=5
276272	42	RESP=2
289696	42	STIM=1
295659	42	RESP=1
307620	42	STIM=s
312538	42	RESP=1
323568	42	STIM=u
328475	42	RESP=1
340255	42	STIM=q
346323	42	RESP=1
357611	42	STIM=i
363588	42	RESP=1
373060	42	STIM=n
379080	42	RESP=1
389179	42	STIM=v
393589	42	RESP=1
404455	42	STIM=w
408791	42	RESP=1
422086	42	STIM=8
427412	42	RESP=2
440844	42	STIM=1
445059	42	RESP=2
458616	42	STIM=8
463478	42	RESP=1
477137	42	STIM=b
486306	42	RESP=1
494882	42	STIM=i
499788	42	RESP=1
511816	42	STIM=b
523008	42	RESP=1
528710	42	STIM=o
534303	42	RESP=1
545784	42	STIM=f
555852	42	RESP=1
561904	42	STIM=u
566314	42	RESP=1
577831	42	STIM=o
589521	42	RESP=1
596192	42	STIM=n
603906	42	RESP=1
612579	42	STIM=g
616953	42	RESP=1
630574	42	STIM=g
636726	42	RESP=1
647201	42	STIM=1
659253	42	RESP=2
665077	42	STIM=l
669928	42	RESP=2
683438	42	STIM=9
690256	42	RESP=2
699686	42	STIM=q
706512	42	RESP=1
716344	42	STIM=n
721389	42	RESP=1
733238	42	STIM=5
737344	42	RESP=2
752102	42	STIM=k
756833	42	RESP=1
768115	42	STIM=u
780409	42	RESP=1
783614	42	STIM=m
794593	42	RESP=1
801978	42	STIM=u
808585	42	RESP=1
818938	42	STIM=z
826343	42	RESP=1
833973	42	STIM=j
839308	42	RESP=1
850490	42	STIM=l
857440	42	RESP=1
866064	42	STIM=u
872047	42	RESP=1
884993	42	STIM=c
895115	42	RESP=1
900326	42	STIM=g
905911	42	RESP=1
916623	42	STIM=t
922510	42	RESP=1
934393	42	STIM=m
942707	42	RESP=1
951285	42	STIM=p
961789	42	RESP=1
969458	42	STIM=v
975742	42	RESP=1
986406	42	STIM=p
990248	42	RESP=1
1005375	42	STIM=v
1008171	42	RESP=1
1023703	42	STIM=1
1030698	42	RESP=2
1040742	42	STIM=5
1050566	42	RESP=2
1057499	42	STIM=e
1065145	42	RESP=1
1073338	42	STIM=p
1076851	42	RESP=1
1090493	42	STIM=k
1099727	42	RESP=1
1106577	42	STIM=s
1110760	42	RESP=1
1123627	42	STIM=p
1132233	42	RESP=1
1140634	42	STIM=e
1147375	42	RESP=1
1155671	42	STIM=0
1161307	42	RESP=2
1172070	42	STIM=h
1181832	42	RESP=1
1190370	42	STIM=o
1197132	42	RESP=1
1208734	42	STIM=q
1214976	42	RESP=1
1225180	42	STIM=4
1232669	42	RESP=2
1243946	42	STIM=5
1253785	42	RESP=2
1259767	42	STIM=a
1265617	42	RESP=1
1275353	42	STIM=s
1279505	42	RESP=1
1291630	42	STIM=6
1295455	42	RESP=2
1309115	42	STIM=8
1316705	42	RESP=1
1326225	42	STIM=c
1334328	42	RESP=1
1345026	42	STIM=7
1352760	42	RESP=1
1363961	42	STIM=v
1367280	42	RESP=1
1380020	42	STIM=m
1383912	42	RESP=1
1397987	42	STIM=h
1402434	42	RESP=1
1415663	42	STIM=w
1423211	42	RESP=1
1434662	42	STIM=m
1438969	42	RESP=1
1453454	42	STIM=x
1463016	42	RESP=1
1469969	42	STIM=1
1485664	42	RESP=2
1487620	42	STIM=a
1493926	42	RESP=1
1506615	42	STIM=v
1515154	42	RESP=1
1525389	42	STIM=a
1531458	42	RESP=1
1543356	42	STIM=m
1546807	42	RESP=1
1561338	42	STIM=n
1565067	42	RESP=1
1579351	42	STIM=1
1591960	42	RESP=2
1597617	42	STIM=o
1601795	42	RESP=1
1614158	42	STIM=d
1619091	42	RESP=1
1630704	42	STIM=0
1641317	42	RESP=1
1647893	42	STIM=8
1653497	42	RESP=1
1663427	42	STIM=5
1670639	42	RESP=1
1680208	42	STIM=a
1685666	42	RESP=1
1698319	42	STIM=c
1704205	42	RESP=1
1713356	42	STIM=v
1718487	42	RESP=1
1731715	42	STIM=g
1737890	42	RESP=2
1747764	42	STIM=m
1752716	42	RESP=1
1765557	42	STIM=u
1773490	42	RESP=1
1782284	42	STIM=k
1788121	42	RESP=1
1800003	42	STIM=5
1804592	42	RESP=2
1815869	42	STIM=2
1820501	42	RESP=2
1834596	42	STIM=l
1837899	42	RESP=1
1850396	42	STIM=8
1858537	42	RESP=2
1868983	42	STIM=z
1873763	42	RESP=1
1884048	42	STIM=n
1890104	42	RESP=1
1899314	42	STIM=s
1902727	42	RESP=1
1915555	42	STIM=d
1924756	42	RESP=1
1932145	42	STIM=e
1940303	42	RESP=1
1950967	42	STIM=t
1957439	42	RESP=1
1969462	42	STIM=t
1972453	42	RESP=1
1988371	42	STIM=c
1992251	42	RESP=1
2006829	42	STIM=j
2013168	42	RESP=1
2023210	42	STIM=c
2029288	42	RESP=1
2038405	42	STIM=u
2056255	42	RESP=1
2056355	42	STIM=y
2061297	42	RESP=1
2072444	42	STIM=j
2077925	42	RESP=1
2088950	42	STIM=8
2094908	42	RESP=2
2104888	42	STIM=j
2118438	42	RESP=2
2123562	42	STIM=g
2128561	42	RESP=1
2141945	42	STIM=i
2148014	42	RESP=1
2158557	42	STIM=6
2167297	42	RESP=1
2176739	42	STIM=t
2182809	42	RESP=1
2193480	42	STIM=o
2198456	42	RESP=1
2211149	42	STIM=o
2216375	42	RESP=1
2227324	42	STIM=x
2230994	42	RESP=1
2243699	42	STIM=f
2249589	42	RESP=2
2262328	42	STIM=1
2268856	42	RESP=1
2281086	42	STIM=y
2285333	42	RESP=1
2296803	42	STIM=5
2302010	42	RESP=2
2314345	42	STIM=i
2319828	42	RESP=1
2331507	42	STIM=6
2336380	42	RESP=2
2348634	42	STIM=m
2352804	42	RESP=1
2367263	42	STIM=5
2374172	42	RESP=2
2385213	42	STIM=y
2389189	42	RESP=2
2402564	42	STIM=n
2408133	42	RESP=1
2420417	42	STIM=f
2424823	42	RESP=1
2437983	42	STIM=7
2444916	42	RESP=2
2453122	42	STIM=h
2458797	42	RESP=1
2470934	42	STIM=l
2476223	42	RESP=1
2488685	42	STIM=3
2492701	42	RESP=2
2505165	42	STIM=i
2508914	42	RESP=1
2523963	42	STIM=j
2531866	42	RESP=1
2540918	42	STIM=z
2546177	42	RESP=1
2557891	42	STIM=u
2563443	42	RESP=1
2572912	42	STIM=g
2578094	42	RESP=1
2591746	42	STIM=1
2599171	42	RESP=2
2610335	42	STIM=3
2616866	42	RESP=2
2627392	42	STIM=d
2633604	42	RESP=1
2643127	42	STIM=6
2648595	42	RESP=2
2661082	42	STIM=1
2669098	42	RESP=2
2677591	42	STIM=e
2683440	42	RESP=1
2696263	42	STIM=7
2705751	42	RESP=2
2712663	42	STIM=m
2720642	42	RESP=1
2727852	42	STIM=v
2733745	42	RESP=1
2746380	42	STIM=9
2751016	42	RESP=2
2762648	42	STIM=s
2769345	42	RESP=1
2779450	42	STIM=k
2787034	42	RESP=1
2797214	42	STIM=f
2804473	42	RESP=1
2816026	42	STIM=z
2820897	42	RESP=1
2831604	42	STIM=5
2836285	42	RESP=2
2850150	42	STIM=1
2858909	42	RESP=2
2869092	42	STIM=n
2876411	42	RESP=1
2884246	42	STIM=i
2889069	42	RESP=1
2901484	42	STIM=u
2905553	42	RESP=1
2919498	42	STIM=h
2924552	42	RESP=1
2937934	42	STIM=6
2943605	42	RESP=1
2953229	42	STIM=m
2961192	42	RESP=1
2968949	42	STIM=u
2972265	42	RESP=1
2985467	42	STIM=l
2992566	42	RESP=1
3004154	42	STIM=w
3012868	42	RESP=1
3022427	42	STIM=p
3028784	42	RESP=1
3040309	42	STIM=b
3045443	42	RESP=1
3056985	42	STIM=b
3064454	42	RESP=1
3075638	42	STIM=g
3079104	42	RESP=1
3093566	42	STIM=x
3099236	42	RESP=1
3112296	42	STIM=3
3120602	42	RESP=2
3127561	42	STIM=t
3136353	42	RESP=1
3143394	42	STIM=r
3148800	42	RESP=1
3160298	42	STIM=8
3165340	42	RESP=2
3178591	42	STIM=5
3184214	42	RESP=2
3195673	42	STIM=m
3199553	42	RESP=1
3212683	42	STIM=f
3215566	42	RESP=1
3231514	42	STIM=x
3237531	42	RESP=1
3246848	42	STIM=u
3251624	42	RESP=1
3264212	42	STIM=z
3268515	42	RESP=1
3282882	42	STIM=7
3289338	42	RESP=2
3301342	42	STIM=d
3308490	42	RESP=1
3318235	42	STIM=m
3322549	42	RESP=1
3335987	42	STIM=z
3348575	42	RESP=1
3353524	42	STIM=9
3358371	42	RESP=2
3370425	42	STIM=m
3379683	42	RESP=1
3387856	42	STIM=3
3394782	42	RESP=2
3405268	42	STIM=d
3418068	42	RESP=1
3422371	42	STIM=3
3430563	42	RESP=2
3438706	42	STIM=1
3446579	42	RESP=2
3455968	42	STIM=p
3461107	42	RESP=1
3472579	42	STIM=r
3478080	42	RESP=1
3490428	42	STIM=f
3500042	42	RESP=1
3505954	42	STIM=n
3513126	42	RESP=2
3521329	42	STIM=r
3525331	42	RESP=1
3540156	42	STIM=f
3549208	42	RESP=1
3558606	42	STIM=3
3564917	42	RESP=1
3575356	42	STIM=7
3581056	42	RESP=2
3592418	42	STIM=6
3598955	42	RESP=2
3609225	42	STIM=q
3616750	42	RESP=2
3628083	42	STIM=b
3634202	42	RESP=1
3644643	42	STIM=s
3650797	42	RESP=1
3661436	42	STIM=y
3667652	42	RESP=1
3679154	42	STIM=m
3686943	42	RESP=1
3696408	42	STIM=p
3707006	42	RESP=1
3715125	42	STIM=2
3721070	42	RESP=1
3731408	42	STIM=i
3735762	42	RESP=1
3747493	42	STIM=a
3751293	42	RESP=1
3762552	42	STIM=a
3767019	42	RESP=1
3779643	42	STIM=p
3785379	42	RESP=1
3797930	42	STIM=v
3805540	42	RESP=1
3816160	42	STIM=9
3823622	42	RESP=2
3831175	42	STIM=u
3836566	42	RESP=1
3846466	42	STIM=h
3856937	42	RESP=1
3864687	42	STIM=p
3871670	42	RESP=1
3880006	42	STIM=6
3884860	42	RESP=1
3898670	42	STIM=g
3906526	42	RESP=1
3915988	42	STIM=g
3919734	42	RESP=1
3931985	42	STIM=r
3937932	42	RESP=1
3947340	42	STIM=m
3951001	42	RESP=1
3962632	42	STIM=w
3970872	42	RESP=1
3979753	42	STIM=8
3985657	42	RESP=2
3997822	42	STIM=3
4003787	42	RESP=2
4016254	42	STIM=5
4022209	42	RESP=1
4034859	42	STIM=k
4041075	42	RESP=1
4051157	42	STIM=e
4055665	42	RESP=1
4067878	42	STIM=q
4071864	42	RESP=1
4085744	42	STIM=v
4094550	42	RESP=1
4102445	42	STIM=l
4111834	42	RESP=1
4119568	42	STIM=v
4122995	42	RESP=1
4138421	42	STIM=8
4147193	42	RESP=2
4156156	42	STIM=m
4159816	42	RESP=1
4172762	42	STIM=8
4180795	42	RESP=2
4188663	42	STIM=j
4195353	42	RESP=1
4205495	42	STIM=k
4212593	42	RESP=1
4222808	42	STIM=e
4227876	42	RESP=1
4240371	42	STIM=o
4245406	42	RESP=1
4257571	42	STIM=v
4269107	42	RESP=1
4272783	42	STIM=s
4275394	42	RESP=1
4291688	42	STIM=m
4297217	42	RESP=1
4307953	42	STIM=x
4312894	42	RESP=1
4323470	42	STIM=q
4332630	42	RESP=1
4339832	42	STIM=4
4346057	42	RESP=2
4358223	42	STIM=f
4365498	42	RESP=1
4375798	42	STIM=m
4383990	42	RESP=2
4394300	42	STIM=b
4401974	42	RESP=1
4410908	42	STIM=x
4415056	42	RESP=1
4429397	42	STIM=b
4436721	42	RESP=1
4447221	42	STIM=a
4451453	42	RESP=1
4465432	42	STIM=j
4469610	42	RESP=1
4480882	42	STIM=z
4485644	42	RESP=1
4497908	42	STIM=d
4503002	42	RESP=2
4516576	42	STIM=9
4523903	42	RESP=2
4532814	42	STIM=k
4536714	42	RESP=1
4548826	42	STIM=9
4556399	42	RESP=2
4563921	42	STIM=0
4570320	42	RESP=2
4582259	42	STIM=b
4588945	42	RESP=1
4599801	42	STIM=n
4606097	42	RESP=1
4617309	42	STIM=o
4621524	42	RESP=1
4632383	42	STIM=u
4640002	42	RESP=1
4647909	42	STIM=g
4655925	42	RESP=1
4665320	42	STIM=a
4668393	42	RESP=1
4683468	42	STIM=h
4688504	42	RESP=1
4702145	42	STIM=h
4713025	42	RESP=1
4717750	42	STIM=f
4724293	42	RESP=1
4733195	42	STIM=j
4737607	42	RESP=1
4749414	42	STIM=q
4755202	42	RESP=1
4766619	42	STIM=f
4772186	42	RESP=1
4783577	42	STIM=b
4790005	42	RESP=1
4799984	42	STIM=c
4805215	42	RESP=1
4815131	42	STIM=o
4823575	42	RESP=1
4831105	42	STIM=t
4835349	42	RESP=2
4847639	42	STIM=x
4853633	42	RESP=1
4864457	42	STIM=j
4867368	42	RESP=1
4882751	42	STIM=y
4891316	42	RESP=1
4898616	42	STIM=q
4908680	42	RESP=2
4914814	42	STIM=t
4922575	42	RESP=1
4933102	42	STIM=r
4936783	42	RESP=1
4948594	42	STIM=1
4956513	42	RESP=2
4965331	42	STIM=s
4975100	42	RESP=1
4982695	42	STIM=o
