# Original filename: 0028_MQU_2017-05-04.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37800	42	STIM=3
44659	42	RESP=1
55545	42	STIM=w
64438	42	RESP=1
72058	42	STIM=i
75805	42	RESP=1
90248	42	STIM=g
93772	42	RESP=1
106873	42	STIM=k
113189	42	RESP=1
125755	42	STIM=r
130117	42	RESP=1
141557	42	STIM=b
147986	42	RESP=2
158683	42	STIM=d
164549	42	RESP=1
175783	42	STIM=f
178829	42	RESP=1
194365	42	STIM=b
200959	42	RESP=1
210631	42	STIM=u
216138	42	RESP=1
227712	42	STIM=b
233176	42	RESP=1
246553	42	STIM=a
250034	42	RESP=1
264215	42	STIM=t
271126	42	RESP=1
282915	42	STIM=u
288233	42	RESP=1
300599	42	STIM=6
311948	42	RESP=2
317500	42	STIM=l
320710	42	RESP=1
333122	42	STIM=d
338661	42	RESP=1
348636	42	STIM=n
353051	42	RESP=1
366627	42	STIM=8
372567	42	RESP=2
383534	42	STIM=z
389918	42	RESP=1
402127	42	STIM=c
407223	42	RESP=1
417743	42	STIM=m
421139	42	RESP=1
434986	42	STIM=y
438241	42	RESP=1
450054	42	STIM=h
453617	42	RESP=1
467700	42	STIM=z
470694	42	RESP=1
486481	42	STIM=k
492935	42	RESP=1
504018	42	STIM=o
512745	42	RESP=1
519531	42	STIM=u
523521	42	RESP=1
535901	42	STIM=u
539834	42	RESP=1
552879	42	STIM=n
564593	42	RESP=1
569025	42	STIM=0
574523	42	RESP=2
586966	42	STIM=x
589392	42	RESP=1
603428	42	STIM=w
608579	42	RESP=1
619984	42	STIM=o
624539	42	RESP=1
636492	42	STIM=n
641368	42	RESP=1
652156	42	STIM=x
656668	42	RESP=1
667424	42	STIM=z
671696	42	RESP=1
683758	42	STIM=q
687329	42	RESP=1
701731	42	STIM=3
706975	42	RESP=2
719469	42	STIM=4
727953	42	RESP=2
736576	42	STIM=x
739991	42	RESP=1
751831	42	STIM=h
757019	42	RESP=1
767158	42	STIM=z
770453	42	RESP=1
785694	42	STIM=8
794072	42	RESP=2
801416	42	STIM=y
811394	42	RESP=2
819106	42	STIM=a
826072	42	RESP=1
836868	42	STIM=1
841503	42	RESP=2
855552	42	STIM=d
858792	42	RESP=1
871546	42	STIM=m
874639	42	RESP=1
888264	42	STIM=5
892770	42	RESP=2
906607	42	STIM=5
910492	42	RESP=1
923594	42	STIM=r
933161	42	RESP=1
938615	42	STIM=n
943428	42	RESP=1
956303	42	STIM=d
963184	42	RESP=2
974311	42	STIM=t
978672	42	RESP=1
989647	42	STIM=v
997888	42	RESP=1
1007806	42	STIM=j
1012628	42	RESP=1
1023900	42	STIM=d
1031840	42	RESP=1
1040007	42	STIM=4
1044315	42	RESP=1
1055449	42	STIM=g
1060031	42	RESP=1
1072863	42	STIM=p
1080503	42	RESP=1
1090935	42	STIM=o
1095914	42	RESP=1
1106306	42	STIM=e
1109738	42	RESP=1
1124155	42	STIM=p
1129050	42	RESP=1
1140609	42	STIM=t
1143959	42	RESP=1
1156352	42	STIM=e
1163084	42	RESP=1
1171405	42	STIM=m
1174517	42	RESP=1
1189260	42	STIM=4
1193920	42	RESP=2
1207309	42	STIM=1
1210996	42	RESP=1
1225437	42	STIM=7
1230156	42	RESP=2
1240922	42	STIM=s
1244238	42	RESP=1
1258627	42	STIM=m
1262627	42	RESP=1
1277028	42	STIM=y
1282051	42	RESP=1
1292881	42	STIM=p
1298592	42	RESP=1
1311305	42	STIM=1
1317043	42	RESP=2
1327195	42	STIM=m
1331165	42	RESP=1
1345179	42	STIM=u
1351247	42	RESP=2
1364033	42	STIM=4
1370039	42	RESP=2
1381964	42	STIM=g
1387538	42	RESP=1
1397026	42	STIM=u
1401191	42	RESP=1
1412344	42	STIM=j
1417947	42	RESP=1
1428931	42	STIM=o
1435467	42	RESP=1
1447823	42	STIM=o
1452031	42	RESP=1
1465427	42	STIM=h
1469527	42	RESP=1
1483713	42	STIM=k
1489702	42	RESP=1
1500075	42	STIM=g
1507961	42	RESP=1
1517871	42	STIM=p
1520850	42	RESP=1
1535253	42	STIM=a
1539266	42	RESP=1
1552270	42	STIM=w
1555184	42	RESP=1
1569764	42	STIM=i
1572906	42	RESP=1
1587419	42	STIM=j
1592087	42	RESP=1
1605319	42	STIM=o
1612818	42	RESP=1
1624089	42	STIM=f
1629236	42	RESP=1
1643027	42	STIM=k
1646723	42	RESP=1
1658451	42	STIM=h
1662577	42	RESP=1
1674637	42	STIM=a
1682809	42	RESP=1
1693109	42	STIM=n
1700739	42	RESP=1
1709668	42	STIM=a
1713250	42	RESP=2
1725485	42	STIM=d
1729958	42	RESP=1
1741244	42	STIM=y
1745307	42	RESP=1
1756907	42	STIM=n
1761911	42	RESP=1
1775529	42	STIM=d
1781569	42	RESP=1
1791672	42	STIM=c
1794600	42	RESP=1
1807767	42	STIM=l
1812099	42	RESP=1
1825740	42	STIM=1
1830127	42	RESP=1
1842860	42	STIM=k
1846726	42	RESP=1
1858895	42	STIM=4
1864213	42	RESP=2
1875215	42	STIM=g
1878168	42	RESP=2
1892642	42	STIM=q
1897278	42	RESP=1
1908104	42	STIM=e
1911673	42	RESP=1
1923203	42	STIM=v
1927386	42	RESP=1
1942137	42	STIM=x
1949469	42	RESP=2
1960894	42	STIM=c
1964506	42	RESP=1
1979831	42	STIM=x
1983957	42	RESP=1
1996253	42	STIM=m
2002456	42	RESP=1
2013674	42	STIM=f
2017318	42	RESP=1
2029914	42	STIM=r
2033987	42	RESP=1
