# Original filename: 0029_BKG_2017-03-15.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27213	42	STIM=t
37614	42	RESP=1
45151	42	STIM=e
51828	42	RESP=1
62433	42	STIM=h
67146	42	RESP=1
78037	42	STIM=u
82755	42	RESP=1
93344	42	STIM=u
102446	42	RESP=1
109418	42	STIM=2
115445	42	RESP=2
126233	42	STIM=k
134022	42	RESP=1
141462	42	STIM=q
146102	42	RESP=1
158500	42	STIM=3
166805	42	RESP=2
175541	42	STIM=t
179561	42	RESP=1
190592	42	STIM=4
194559	42	RESP=2
206441	42	STIM=m
214536	42	RESP=1
224933	42	STIM=r
231792	42	RESP=1
242850	42	STIM=p
245845	42	RESP=1
260221	42	STIM=n
264647	42	RESP=1
275932	42	STIM=1
282744	42	RESP=1
293414	42	STIM=a
298363	42	RESP=1
309301	42	STIM=s
314891	42	RESP=1
325145	42	STIM=t
330838	42	RESP=1
343644	42	STIM=z
347455	42	RESP=1
358672	42	STIM=e
366423	42	RESP=1
376200	42	STIM=q
384238	42	RESP=1
392749	42	STIM=g
397652	42	RESP=1
410240	42	STIM=0
415234	42	RESP=2
426143	42	STIM=v
430029	42	RESP=1
442623	42	STIM=u
450580	42	RESP=1
460458	42	STIM=c
465478	42	RESP=1
476059	42	STIM=8
481649	42	RESP=2
493544	42	STIM=r
498121	42	RESP=1
510169	42	STIM=y
513278	42	RESP=1
525807	42	STIM=i
537529	42	RESP=1
543898	42	STIM=n
552956	42	RESP=1
559216	42	STIM=g
563416	42	RESP=1
575245	42	STIM=w
580700	42	RESP=1
594106	42	STIM=o
598456	42	RESP=1
609467	42	STIM=h
613109	42	RESP=1
627132	42	STIM=p
631587	42	RESP=1
644423	42	STIM=4
651619	42	RESP=2
660063	42	STIM=b
666007	42	RESP=1
678838	42	STIM=r
683549	42	RESP=1
696248	42	STIM=g
702821	42	RESP=1
715138	42	STIM=j
718935	42	RESP=1
733261	42	STIM=j
736860	42	RESP=1
751859	42	STIM=e
761019	42	RESP=1
769254	42	STIM=p
773104	42	RESP=1
787765	42	STIM=k
793108	42	RESP=1
805469	42	STIM=e
809101	42	RESP=1
820675	42	STIM=t
825168	42	RESP=1
838095	42	STIM=9
848432	42	RESP=2
856249	42	STIM=i
863401	42	RESP=1
872777	42	STIM=s
876411	42	RESP=1
889920	42	STIM=x
896186	42	RESP=1
905000	42	STIM=g
913494	42	RESP=1
921418	42	STIM=c
927254	42	RESP=1
938870	42	STIM=q
942826	42	RESP=1
955570	42	STIM=d
962034	42	RESP=1
972365	42	STIM=m
977588	42	RESP=1
988953	42	STIM=h
994870	42	RESP=2
1004144	42	STIM=n
1010628	42	RESP=1
1022643	42	STIM=c
1026171	42	RESP=1
1040937	42	STIM=v
1043850	42	RESP=1
1056457	42	STIM=0
1066619	42	RESP=2
1072636	42	STIM=m
1079145	42	RESP=1
1090839	42	STIM=3
1100137	42	RESP=2
1107581	42	STIM=w
1113425	42	RESP=1
1126412	42	STIM=2
1130738	42	RESP=2
1143685	42	STIM=4
1150018	42	RESP=2
1159411	42	STIM=3
1164605	42	RESP=1
1178378	42	STIM=f
1188527	42	RESP=1
1195582	42	STIM=r
1202994	42	RESP=1
1210730	42	STIM=c
1214652	42	RESP=1
1226128	42	STIM=0
1235455	42	RESP=2
1243629	42	STIM=8
1253473	42	RESP=2
1258795	42	STIM=q
1263511	42	RESP=1
1274918	42	STIM=t
1278874	42	RESP=1
1292641	42	STIM=y
1300030	42	RESP=1
1309992	42	STIM=a
1314156	42	RESP=1
1326599	42	STIM=2
1332621	42	RESP=2
1342351	42	STIM=p
1348165	42	RESP=1
1359803	42	STIM=k
1368694	42	RESP=1
1375404	42	STIM=x
1381865	42	RESP=1
1393106	42	STIM=o
1396061	42	RESP=1
1408135	42	STIM=8
1415015	42	RESP=2
1425664	42	STIM=n
1433668	42	RESP=1
1441100	42	STIM=v
1446806	42	RESP=1
1457513	42	STIM=w
1463027	42	RESP=1
1473605	42	STIM=5
1477890	42	RESP=2
1488681	42	STIM=c
1493257	42	RESP=1
1504056	42	STIM=q
1514395	42	RESP=1
1519171	42	STIM=t
1525828	42	RESP=1
1536533	42	STIM=e
1539031	42	RESP=1
1554953	42	STIM=w
1559899	42	RESP=1
1570885	42	STIM=l
1576433	42	RESP=1
1588790	42	STIM=t
1595605	42	RESP=1
1607087	42	STIM=2
1613646	42	RESP=1
1624236	42	STIM=k
1629258	42	RESP=1
1640788	42	STIM=c
1646853	42	RESP=1
1657532	42	STIM=2
1664044	42	RESP=2
1674174	42	STIM=v
1678352	42	RESP=1
1692780	42	STIM=l
1698886	42	RESP=2
1709592	42	STIM=n
1714249	42	RESP=1
1727311	42	STIM=z
1732605	42	RESP=1
1744371	42	STIM=t
1748191	42	RESP=1
1762348	42	STIM=u
1766230	42	RESP=1
1777449	42	STIM=x
1781946	42	RESP=1
1793643	42	STIM=n
1800323	42	RESP=1
1811613	42	STIM=e
1814751	42	RESP=1
1830339	42	STIM=d
1835687	42	RESP=1
1848423	42	STIM=t
1855321	42	RESP=1
1864021	42	STIM=m
1875958	42	RESP=1
1881214	42	STIM=0
1887457	42	RESP=2
1898410	42	STIM=h
1903904	42	RESP=1
1917182	42	STIM=m
1921241	42	RESP=1
1933501	42	STIM=q
1937874	42	RESP=1
1950254	42	STIM=7
1955550	42	RESP=2
1968831	42	STIM=d
1972070	42	RESP=1
1986506	42	STIM=h
1992869	42	RESP=1
2004469	42	STIM=v
2007926	42	RESP=1
2020549	42	STIM=q
2027119	42	RESP=1
2038797	42	STIM=l
2044544	42	RESP=1
2053872	42	STIM=3
2062550	42	RESP=2
2070337	42	STIM=u
2075895	42	RESP=1
2087833	42	STIM=1
2098382	42	RESP=2
2104087	42	STIM=r
2108553	42	RESP=1
2121123	42	STIM=n
2125995	42	RESP=1
2137477	42	STIM=y
2152054	42	RESP=1
2153382	42	STIM=t
2158318	42	RESP=2
2169419	42	STIM=0
2179588	42	RESP=1
2184432	42	STIM=h
2187605	42	RESP=1
2201012	42	STIM=2
2205274	42	RESP=2
2218955	42	STIM=y
2225395	42	RESP=1
2235844	42	STIM=g
2239516	42	RESP=1
2254196	42	STIM=m
2260091	42	RESP=1
2270789	42	STIM=r
2279652	42	RESP=1
2288242	42	STIM=r
2294529	42	RESP=1
2305891	42	STIM=a
2312215	42	RESP=1
2324179	42	STIM=b
2328118	42	RESP=1
2341170	42	STIM=k
2344275	42	RESP=1
2357591	42	STIM=t
2360661	42	RESP=1
2375653	42	STIM=a
2379939	42	RESP=1
2391540	42	STIM=j
2396263	42	RESP=2
2408395	42	STIM=o
2412540	42	RESP=1
2425049	42	STIM=x
2428868	42	RESP=1
2441580	42	STIM=p
2447532	42	RESP=1
2460385	42	STIM=z
2464851	42	RESP=1
2478672	42	STIM=x
2483363	42	RESP=1
2495444	42	STIM=c
2501905	42	RESP=1
2510602	42	STIM=z
2517438	42	RESP=1
2526805	42	STIM=d
2531395	42	RESP=1
2542976	42	STIM=t
2546467	42	RESP=1
2559619	42	STIM=i
2562462	42	RESP=1
2574968	42	STIM=c
2581493	42	RESP=1
2592854	42	STIM=0
2599765	42	RESP=2
2608545	42	STIM=x
2616854	42	RESP=2
2627502	42	STIM=k
2636095	42	RESP=1
2644428	42	STIM=g
2650140	42	RESP=1
2661298	42	STIM=v
2665417	42	RESP=1
2679698	42	STIM=r
2696030	42	RESP=1
2697163	42	STIM=t
2707808	42	RESP=1
2714775	42	STIM=l
2718552	42	RESP=1
2733518	42	STIM=q
2744686	42	RESP=1
2752132	42	STIM=n
2758623	42	RESP=1
2768819	42	STIM=s
2773009	42	RESP=1
2787153	42	STIM=h
2792853	42	RESP=1
2805739	42	STIM=y
2815762	42	RESP=1
2822420	42	STIM=6
2829022	42	RESP=2
2840540	42	STIM=x
2847986	42	RESP=1
2858752	42	STIM=t
2863342	42	RESP=1
2876236	42	STIM=p
2883627	42	RESP=2
2892665	42	STIM=g
2899019	42	RESP=1
2909808	42	STIM=k
2913043	42	RESP=1
2925208	42	STIM=c
2930003	42	RESP=1
2943978	42	STIM=x
2950082	42	RESP=1
2962663	42	STIM=m
2966034	42	RESP=1
2977816	42	STIM=h
2984165	42	RESP=1
2993172	42	STIM=x
3001129	42	RESP=1
3009898	42	STIM=r
3017632	42	RESP=1
3026420	42	STIM=x
3039102	42	RESP=1
3044984	42	STIM=z
3052669	42	RESP=1
3063532	42	STIM=j
3067077	42	RESP=1
3078631	42	STIM=w
3083617	42	RESP=1
3094761	42	STIM=a
3098772	42	RESP=1
3112328	42	STIM=k
3118171	42	RESP=1
3130605	42	STIM=m
3138353	42	RESP=1
3147585	42	STIM=n
3152824	42	RESP=1
3166143	42	STIM=u
3172055	42	RESP=1
3184981	42	STIM=o
3188847	42	RESP=1
3202049	42	STIM=8
3207742	42	RESP=2
3217579	42	STIM=n
3221788	42	RESP=1
3232794	42	STIM=x
3239969	42	RESP=1
3251302	42	STIM=p
3254235	42	RESP=1
3269521	42	STIM=z
3276693	42	RESP=1
3286478	42	STIM=j
3294693	42	RESP=1
3304981	42	STIM=n
3313071	42	RESP=1
3320606	42	STIM=4
3324750	42	RESP=2
3336883	42	STIM=e
3343841	42	RESP=2
3352021	42	STIM=i
3355437	42	RESP=1
3368697	42	STIM=k
3372159	42	RESP=1
3385383	42	STIM=z
3394620	42	RESP=1
3401068	42	STIM=6
3411608	42	RESP=1
3417528	42	STIM=v
3428225	42	RESP=2
3433324	42	STIM=g
3438080	42	RESP=1
3449367	42	STIM=e
3455163	42	RESP=2
3468209	42	STIM=e
3473859	42	RESP=1
3484160	42	STIM=c
3496012	42	RESP=1
3499352	42	STIM=q
3504756	42	RESP=1
3516465	42	STIM=9
3525933	42	RESP=2
3531829	42	STIM=z
3539558	42	RESP=1
3549510	42	STIM=u
3555489	42	RESP=1
3567424	42	STIM=j
3575998	42	RESP=1
3586145	42	STIM=i
3591014	42	RESP=1
3603185	42	STIM=r
3607556	42	RESP=1
3619963	42	STIM=j
3622933	42	RESP=1
3637979	42	STIM=3
3641960	42	RESP=2
3655183	42	STIM=o
3660501	42	RESP=1
3671230	42	STIM=t
3677010	42	RESP=1
3688431	42	STIM=y
3700419	42	RESP=1
3705574	42	STIM=9
3711051	42	RESP=2
3723144	42	STIM=j
3731137	42	RESP=1
3741389	42	STIM=t
3746738	42	RESP=1
3758648	42	STIM=7
3769934	42	RESP=1
3777544	42	STIM=j
3782045	42	RESP=1
3794898	42	STIM=j
3798612	42	RESP=1
3810751	42	STIM=k
3816042	42	RESP=1
3828271	42	STIM=o
3832782	42	RESP=1
3847247	42	STIM=k
3852557	42	RESP=1
3862943	42	STIM=0
3869003	42	RESP=2
3880461	42	STIM=1
3889229	42	RESP=2
3899127	42	STIM=3
3905300	42	RESP=2
3915856	42	STIM=a
3920236	42	RESP=1
3932402	42	STIM=d
3939099	42	RESP=1
3950338	42	STIM=j
3961114	42	RESP=1
3965393	42	STIM=1
3969144	42	RESP=2
3984210	42	STIM=u
3988568	42	RESP=1
3999725	42	STIM=e
4004125	42	RESP=1
4015670	42	STIM=6
4023859	42	RESP=2
4034306	42	STIM=v
4045241	42	RESP=1
4053184	42	STIM=7
4058514	42	RESP=2
4069519	42	STIM=g
4074131	42	RESP=1
4087901	42	STIM=8
4096227	42	RESP=2
4104048	42	STIM=t
4108936	42	RESP=1
4121296	42	STIM=7
4128279	42	RESP=1
4138736	42	STIM=8
4144867	42	RESP=2
4157180	42	STIM=d
4160074	42	RESP=1
4175999	42	STIM=m
4179224	42	RESP=1
4193396	42	STIM=g
4202951	42	RESP=1
4211655	42	STIM=t
