# Original filename: 0030_MJC_2016-11-16.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
34837	42	STIM=u
39312	42	RESP=1
50857	42	STIM=y
59882	42	RESP=2
67979	42	STIM=f
73955	42	RESP=1
86912	42	STIM=9
90463	42	RESP=2
105193	42	STIM=t
109109	42	RESP=1
124023	42	STIM=n
128710	42	RESP=1
139275	42	STIM=s
143279	42	RESP=1
155817	42	STIM=m
158437	42	RESP=1
171671	42	STIM=l
174831	42	RESP=1
187474	42	STIM=9
191479	42	RESP=1
204235	42	STIM=t
208651	42	RESP=1
219354	42	STIM=g
225995	42	RESP=1
234589	42	STIM=b
239272	42	RESP=1
253477	42	STIM=d
258541	42	RESP=1
271042	42	STIM=m
276329	42	RESP=1
288591	42	STIM=w
292272	42	RESP=1
305310	42	STIM=e
310653	42	RESP=1
323953	42	STIM=e
328931	42	RESP=1
342410	42	STIM=v
347888	42	RESP=1
358552	42	STIM=o
362032	42	RESP=1
377207	42	STIM=v
380044	42	RESP=1
395755	42	STIM=6
402336	42	RESP=2
414269	42	STIM=w
418303	42	RESP=1
430625	42	STIM=4
436312	42	RESP=2
446344	42	STIM=v
452952	42	RESP=1
463682	42	STIM=w
467946	42	RESP=1
480055	42	STIM=x
486015	42	RESP=1
497449	42	STIM=v
509252	42	RESP=1
513620	42	STIM=n
517050	42	RESP=1
530288	42	STIM=9
535821	42	RESP=2
547031	42	STIM=s
551094	42	RESP=1
562826	42	STIM=a
569617	42	RESP=1
581100	42	STIM=n
586109	42	RESP=1
596741	42	STIM=p
600984	42	RESP=1
613593	42	STIM=1
619931	42	RESP=2
629269	42	STIM=3
635269	42	RESP=2
644792	42	STIM=c
649816	42	RESP=2
662289	42	STIM=u
666056	42	RESP=1
679158	42	STIM=v
682921	42	RESP=2
697243	42	STIM=g
702668	42	RESP=1
714024	42	STIM=a
720515	42	RESP=1
730254	42	STIM=b
738539	42	RESP=1
746981	42	STIM=q
753220	42	RESP=1
762741	42	STIM=t
771224	42	RESP=1
779052	42	STIM=5
783459	42	RESP=2
794481	42	STIM=4
799211	42	RESP=2
810853	42	STIM=l
814719	42	RESP=1
828590	42	STIM=z
