# Original filename: 0030_SNP_2017-08-16.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27892	42	STIM=a
34440	42	RESP=1
45727	42	STIM=d
53247	42	RESP=1
63077	42	STIM=0
69766	42	RESP=2
80531	42	STIM=a
85330	42	RESP=1
97349	42	STIM=0
101699	42	RESP=2
114765	42	STIM=y
123298	42	RESP=1
130220	42	STIM=n
135977	42	RESP=1
145307	42	STIM=n
149506	42	RESP=1
162729	42	STIM=7
168172	42	RESP=2
178271	42	STIM=v
182933	42	RESP=1
194812	42	STIM=u
198589	42	RESP=1
211841	42	STIM=7
215525	42	RESP=2
227203	42	STIM=q
230646	42	RESP=1
243756	42	STIM=g
251488	42	RESP=1
261849	42	STIM=m
267985	42	RESP=1
279371	42	STIM=t
284001	42	RESP=1
294654	42	STIM=k
299036	42	RESP=1
309896	42	STIM=c
317235	42	RESP=1
327207	42	STIM=d
332028	42	RESP=1
345235	42	STIM=6
349730	42	RESP=2
361180	42	STIM=h
363941	42	RESP=1
376266	42	STIM=s
381183	42	RESP=1
391750	42	STIM=f
395163	42	RESP=1
407347	42	STIM=b
411938	42	RESP=1
424905	42	STIM=u
428039	42	RESP=1
443439	42	STIM=h
448212	42	RESP=1
458984	42	STIM=h
462919	42	RESP=1
474946	42	STIM=7
479570	42	RESP=2
490009	42	STIM=g
496914	42	RESP=1
506402	42	STIM=v
510471	42	RESP=1
524801	42	STIM=p
529369	42	RESP=1
542516	42	STIM=g
548202	42	RESP=1
558626	42	STIM=m
563023	42	RESP=2
576493	42	STIM=s
580098	42	RESP=1
595208	42	STIM=d
599303	42	RESP=1
613749	42	STIM=c
622975	42	RESP=1
628960	42	STIM=5
635429	42	RESP=1
646254	42	STIM=p
651272	42	RESP=1
661801	42	STIM=w
667099	42	RESP=1
680414	42	STIM=y
691533	42	RESP=1
696194	42	STIM=f
702541	42	RESP=1
712451	42	STIM=5
716988	42	RESP=2
730700	42	STIM=x
733869	42	RESP=1
746970	42	STIM=n
751902	42	RESP=1
765734	42	STIM=c
770916	42	RESP=1
783960	42	STIM=w
787679	42	RESP=2
800994	42	STIM=z
807527	42	RESP=1
819685	42	STIM=6
823972	42	RESP=2
834694	42	STIM=s
837745	42	RESP=1
852186	42	STIM=j
855664	42	RESP=1
871097	42	STIM=l
875494	42	RESP=1
886585	42	STIM=h
892971	42	RESP=1
904504	42	STIM=c
912000	42	RESP=1
921934	42	STIM=7
929534	42	RESP=1
937739	42	STIM=d
942155	42	RESP=1
953956	42	STIM=t
958776	42	RESP=1
970351	42	STIM=n
973145	42	RESP=2
988038	42	STIM=x
991818	42	RESP=1
1003616	42	STIM=s
1008804	42	RESP=1
1021413	42	STIM=a
1025003	42	RESP=1
1037313	42	STIM=l
1040055	42	RESP=2
1056006	42	STIM=r
1060728	42	RESP=1
1071350	42	STIM=8
1081512	42	RESP=2
1086980	42	STIM=q
1091180	42	RESP=1
1102920	42	STIM=z
1108970	42	RESP=1
1117973	42	STIM=b
1122867	42	RESP=1
1136864	42	STIM=5
1143675	42	RESP=2
1154575	42	STIM=j
1158781	42	RESP=1
1172495	42	STIM=s
1178271	42	RESP=1
1189928	42	STIM=z
1192992	42	RESP=1
1205791	42	STIM=e
1210423	42	RESP=1
1221730	42	STIM=i
1225166	42	RESP=2
1237833	42	STIM=u
1241808	42	RESP=1
1255944	42	STIM=t
1259461	42	RESP=1
1271897	42	STIM=h
1275878	42	RESP=1
1288985	42	STIM=w
1293736	42	RESP=1
1306761	42	STIM=h
1309749	42	RESP=1
1324517	42	STIM=z
1328338	42	RESP=1
1339696	42	STIM=g
1347131	42	RESP=1
1357082	42	STIM=n
1363810	42	RESP=1
1374557	42	STIM=a
1378879	42	RESP=1
1393155	42	STIM=7
1396599	42	RESP=2
1411625	42	STIM=x
1415064	42	RESP=1
1430349	42	STIM=o
1436409	42	RESP=1
1446101	42	STIM=1
1450374	42	RESP=2
1463153	42	STIM=2
1469339	42	RESP=2
1481142	42	STIM=i
1489538	42	RESP=1
1498551	42	STIM=p
1503383	42	RESP=1
1513603	42	STIM=u
1516776	42	RESP=1
1531567	42	STIM=e
1538188	42	RESP=1
1548360	42	STIM=n
1551508	42	RESP=1
1567322	42	STIM=d
1575793	42	RESP=1
1585449	42	STIM=1
1589793	42	RESP=2
1603078	42	STIM=x
1606714	42	RESP=2
1620003	42	STIM=o
1628206	42	RESP=1
1637155	42	STIM=k
1640662	42	RESP=1
1655602	42	STIM=s
1658872	42	RESP=1
1673467	42	STIM=x
1677071	42	RESP=1
1689950	42	STIM=z
1697231	42	RESP=1
1705880	42	STIM=q
1709928	42	RESP=1
1724107	42	STIM=6
1730754	42	RESP=1
1742547	42	STIM=w
1748333	42	RESP=1
1761181	42	STIM=7
1766837	42	RESP=2
1777334	42	STIM=s
1780337	42	RESP=1
1795379	42	STIM=y
1802701	42	RESP=1
1811179	42	STIM=t
1816110	42	RESP=1
1828638	42	STIM=1
1833090	42	RESP=2
1847219	42	STIM=h
1850428	42	RESP=1
1863908	42	STIM=p
1869081	42	RESP=1
1880328	42	STIM=r
1884121	42	RESP=1
1899228	42	STIM=7
1904685	42	RESP=2
1918176	42	STIM=x
1923593	42	RESP=1
1935821	42	STIM=p
1943684	42	RESP=2
1953889	42	STIM=f
1958165	42	RESP=1
1972847	42	STIM=w
1979529	42	RESP=1
1991132	42	STIM=x
1996825	42	RESP=1
2008550	42	STIM=6
2020921	42	RESP=2
2023890	42	STIM=l
2031536	42	RESP=1
2042735	42	STIM=8
2048095	42	RESP=2
2059907	42	STIM=u
2063723	42	RESP=1
2075738	42	STIM=v
2081756	42	RESP=1
2094048	42	STIM=j
2097188	42	RESP=1
2109878	42	STIM=f
2112975	42	RESP=2
2127343	42	STIM=2
2131691	42	RESP=1
2144091	42	STIM=u
2147734	42	RESP=1
2161026	42	STIM=l
2163828	42	RESP=1
2176290	42	STIM=q
