# Original filename: 0031_ALX_2017-01-04.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37466	42	STIM=s
43932	42	RESP=1
55351	42	STIM=x
61312	42	RESP=1
72203	42	STIM=b
75181	42	RESP=1
89650	42	STIM=5
94905	42	RESP=2
105866	42	STIM=4
111422	42	RESP=1
122521	42	STIM=d
126752	42	RESP=1
137706	42	STIM=h
144749	42	RESP=1
153516	42	STIM=n
158506	42	RESP=1
169110	42	STIM=e
176077	42	RESP=1
186767	42	STIM=9
195838	42	RESP=2
203035	42	STIM=p
208559	42	RESP=1
218984	42	STIM=l
222431	42	RESP=1
236140	42	STIM=u
239149	42	RESP=1
251145	42	STIM=n
256410	42	RESP=1
267221	42	STIM=t
269992	42	RESP=1
285905	42	STIM=i
291258	42	RESP=1
301213	42	STIM=p
306821	42	RESP=1
319726	42	STIM=i
326220	42	RESP=1
335859	42	STIM=d
346300	42	RESP=2
352459	42	STIM=m
358394	42	RESP=1
369805	42	STIM=2
375540	42	RESP=2
388062	42	STIM=y
392788	42	RESP=1
405649	42	STIM=i
409240	42	RESP=1
422274	42	STIM=a
428165	42	RESP=1
437982	42	STIM=n
443585	42	RESP=1
455584	42	STIM=v
463101	42	RESP=1
472432	42	STIM=p
479987	42	RESP=1
488355	42	STIM=u
494405	42	RESP=2
506544	42	STIM=6
518608	42	RESP=2
523939	42	STIM=p
529378	42	RESP=1
540797	42	STIM=l
548767	42	RESP=1
558320	42	STIM=5
563580	42	RESP=2
574975	42	STIM=9
581729	42	RESP=2
591936	42	STIM=h
597643	42	RESP=1
607871	42	STIM=b
615870	42	RESP=1
625462	42	STIM=m
631865	42	RESP=1
643532	42	STIM=r
647790	42	RESP=1
660524	42	STIM=w
665962	42	RESP=1
676612	42	STIM=2
680420	42	RESP=2
692939	42	STIM=d
700827	42	RESP=1
708029	42	STIM=l
717176	42	RESP=1
723731	42	STIM=h
729436	42	RESP=1
739260	42	STIM=f
743945	42	RESP=1
756950	42	STIM=k
763556	42	RESP=1
775682	42	STIM=o
782792	42	RESP=1
792246	42	STIM=u
799346	42	RESP=1
810970	42	STIM=h
815996	42	RESP=1
826305	42	STIM=1
832454	42	RESP=2
844082	42	STIM=w
848595	42	RESP=1
861429	42	STIM=8
866998	42	RESP=2
878693	42	STIM=8
890034	42	RESP=2
895979	42	STIM=6
901121	42	RESP=2
914217	42	STIM=w
918486	42	RESP=1
932575	42	STIM=c
936098	42	RESP=1
949130	42	STIM=a
952911	42	RESP=1
967102	42	STIM=3
971736	42	RESP=1
984412	42	STIM=v
990183	42	RESP=1
1002391	42	STIM=t
1006034	42	RESP=1
1019067	42	STIM=5
1025790	42	RESP=2
1034216	42	STIM=j
1038412	42	RESP=1
1049302	42	STIM=m
1055818	42	RESP=1
1064580	42	STIM=h
1069734	42	RESP=1
1081023	42	STIM=r
1087903	42	RESP=1
1098175	42	STIM=g
1101239	42	RESP=1
1114691	42	STIM=2
1125218	42	RESP=2
1130256	42	STIM=i
1135776	42	RESP=1
1147867	42	STIM=k
1156206	42	RESP=1
1164904	42	STIM=f
1170173	42	RESP=1
1179949	42	STIM=w
1184290	42	RESP=1
1195293	42	STIM=i
1199761	42	RESP=1
1210917	42	STIM=5
1217682	42	RESP=2
1229274	42	STIM=0
1236960	42	RESP=1
1245819	42	STIM=f
1248751	42	RESP=1
1263546	42	STIM=r
1267546	42	RESP=1
1281530	42	STIM=m
1287460	42	RESP=1
1297236	42	STIM=u
1301951	42	RESP=1
1315292	42	STIM=u
1327216	42	RESP=1
1333658	42	STIM=z
1337931	42	RESP=1
1350908	42	STIM=e
1354256	42	RESP=1
1366396	42	STIM=i
1373411	42	RESP=1
1384189	42	STIM=g
1391188	42	RESP=1
1401385	42	STIM=d
1406194	42	RESP=1
