# Original filename: 0031_IMB_2016-11-08.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28127	42	STIM=z
36386	42	RESP=1
46208	42	STIM=9
52455	42	RESP=2
63968	42	STIM=v
72720	42	RESP=1
79038	42	STIM=a
84229	42	RESP=1
94985	42	STIM=n
100927	42	RESP=1
113791	42	STIM=3
117668	42	RESP=2
132077	42	STIM=e
137301	42	RESP=1
148737	42	STIM=z
155626	42	RESP=1
166960	42	STIM=p
170889	42	RESP=1
184133	42	STIM=j
189427	42	RESP=1
202949	42	STIM=z
205832	42	RESP=1
218188	42	STIM=m
221191	42	RESP=1
233188	42	STIM=a
240437	42	RESP=1
248312	42	STIM=o
252739	42	RESP=1
267079	42	STIM=c
273643	42	RESP=1
285659	42	STIM=s
290582	42	RESP=1
303664	42	STIM=f
309695	42	RESP=1
322436	42	STIM=h
326910	42	RESP=1
339932	42	STIM=d
345431	42	RESP=1
358204	42	STIM=m
360813	42	RESP=1
377084	42	STIM=m
383778	42	RESP=2
393335	42	STIM=m
397315	42	RESP=1
410896	42	STIM=l
414641	42	RESP=1
428074	42	STIM=k
430983	42	RESP=1
445051	42	STIM=p
449205	42	RESP=1
463510	42	STIM=w
467264	42	RESP=1
478970	42	STIM=n
483526	42	RESP=1
495580	42	STIM=j
501678	42	RESP=1
513437	42	STIM=4
521252	42	RESP=2
531322	42	STIM=9
535480	42	RESP=2
547935	42	STIM=u
551987	42	RESP=1
566355	42	STIM=l
570967	42	RESP=1
582117	42	STIM=2
587828	42	RESP=2
599176	42	STIM=j
604267	42	RESP=1
617721	42	STIM=3
623057	42	RESP=2
634190	42	STIM=2
638685	42	RESP=2
650115	42	STIM=v
653340	42	RESP=1
667631	42	STIM=i
674451	42	RESP=1
684830	42	STIM=o
691061	42	RESP=1
701389	42	STIM=c
704659	42	RESP=1
718633	42	STIM=n
728425	42	RESP=1
735731	42	STIM=8
741448	42	RESP=2
751376	42	STIM=b
756419	42	RESP=1
766887	42	STIM=k
772012	42	RESP=2
784463	42	STIM=m
792161	42	RESP=1
802972	42	STIM=z
807578	42	RESP=1
818158	42	STIM=x
822570	42	RESP=1
834015	42	STIM=a
842486	42	RESP=1
852463	42	STIM=p
857224	42	RESP=1
868045	42	STIM=9
872917	42	RESP=2
884618	42	STIM=c
887865	42	RESP=1
902074	42	STIM=k
905222	42	RESP=1
919637	42	STIM=t
923453	42	RESP=1
935701	42	STIM=t
941002	42	RESP=1
951334	42	STIM=j
954912	42	RESP=1
966818	42	STIM=f
971946	42	RESP=1
983359	42	STIM=l
986635	42	RESP=1
1001548	42	STIM=c
1004419	42	RESP=1
1019555	42	STIM=t
1025342	42	RESP=1
1037312	42	STIM=9
1040958	42	RESP=2
1054016	42	STIM=q
1058196	42	RESP=1
1072325	42	STIM=d
1080675	42	RESP=1
1088085	42	STIM=p
1091611	42	RESP=1
1103479	42	STIM=d
1105938	42	RESP=1
1121941	42	STIM=1
1125437	42	RESP=2
1140614	42	STIM=2
1144809	42	RESP=2
1155640	42	STIM=y
1158592	42	RESP=1
1172050	42	STIM=z
1175583	42	RESP=1
1187535	42	STIM=d
1192138	42	RESP=1
1206456	42	STIM=f
1210254	42	RESP=1
1225263	42	STIM=y
1227901	42	RESP=1
1240593	42	STIM=u
1243793	42	RESP=1
1258822	42	STIM=k
1262699	42	RESP=1
1277511	42	STIM=7
1283180	42	RESP=2
1293006	42	STIM=z
1297618	42	RESP=1
1310914	42	STIM=z
1315432	42	RESP=1
1326132	42	STIM=i
1329536	42	RESP=1
1343316	42	STIM=n
1350468	42	RESP=1
1362258	42	STIM=d
1369790	42	RESP=1
1377767	42	STIM=x
1382397	42	RESP=1
1394514	42	STIM=s
1397453	42	RESP=1
1409623	42	STIM=w
1414030	42	RESP=1
1425664	42	STIM=l
1431148	42	RESP=1
1442726	42	STIM=d
1448301	42	RESP=1
1458429	42	STIM=v
1461619	42	RESP=1
1474005	42	STIM=u
1479734	42	RESP=1
1491032	42	STIM=l
1496035	42	RESP=1
1506969	42	STIM=k
1513748	42	RESP=1
1523896	42	STIM=a
1531913	42	RESP=1
1541198	42	STIM=s
1547746	42	RESP=1
1558320	42	STIM=6
1562840	42	RESP=2
1573322	42	STIM=b
1579269	42	RESP=1
1590278	42	STIM=l
1595298	42	RESP=1
1609215	42	STIM=i
1612908	42	RESP=1
1624458	42	STIM=d
1629735	42	RESP=1
1641496	42	STIM=o
1644484	42	RESP=1
1657172	42	STIM=v
1662012	42	RESP=1
1675037	42	STIM=q
1677831	42	RESP=1
1691777	42	STIM=o
1698674	42	RESP=1
1709695	42	STIM=x
1714365	42	RESP=1
1725474	42	STIM=w
1727915	42	RESP=1
1742085	42	STIM=e
1745690	42	RESP=1
1757230	42	STIM=7
1762628	42	RESP=2
1774426	42	STIM=4
1780040	42	RESP=2
1791720	42	STIM=r
1801315	42	RESP=1
1808046	42	STIM=s
1812745	42	RESP=1
1826504	42	STIM=h
1829742	42	RESP=1
1844177	42	STIM=c
1848083	42	RESP=2
1861071	42	STIM=z
1865808	42	RESP=1
1877508	42	STIM=j
1880465	42	RESP=1
1894402	42	STIM=p
1900331	42	RESP=1
1909888	42	STIM=5
1916464	42	RESP=2
1928213	42	STIM=w
1935734	42	RESP=1
1947169	42	STIM=p
1953056	42	RESP=1
1962213	42	STIM=0
1966836	42	RESP=2
1979629	42	STIM=f
1983853	42	RESP=1
1995842	42	STIM=j
1999281	42	RESP=1
2013672	42	STIM=e
2024095	42	RESP=1
2031767	42	STIM=y
2038656	42	RESP=1
2046902	42	STIM=o
2051137	42	RESP=1
2064983	42	STIM=1
2071231	42	RESP=2
2081176	42	STIM=r
2084535	42	RESP=1
2099936	42	STIM=u
2104502	42	RESP=1
2117708	42	STIM=v
2122975	42	RESP=1
2133353	42	STIM=s
2136869	42	RESP=1
2150172	42	STIM=e
2154903	42	RESP=1
2168275	42	STIM=c
2173924	42	RESP=1
2187202	42	STIM=u
2193330	42	RESP=2
2204191	42	STIM=y
2207525	42	RESP=1
2221220	42	STIM=w
2228747	42	RESP=1
2239459	42	STIM=0
2245521	42	RESP=1
2255029	42	STIM=c
2258005	42	RESP=1
2270666	42	STIM=t
2274575	42	RESP=1
2286018	42	STIM=y
2294141	42	RESP=2
2303364	42	STIM=l
2308316	42	RESP=1
2319151	42	STIM=o
2325855	42	RESP=1
2334916	42	STIM=r
2337960	42	RESP=1
2353811	42	STIM=9
2359484	42	RESP=2
2369560	42	STIM=0
2376558	42	RESP=2
2387076	42	STIM=k
2390553	42	RESP=1
2402726	42	STIM=a
2406926	42	RESP=1
2418216	42	STIM=0
2424688	42	RESP=1
2433283	42	STIM=f
2437622	42	RESP=1
2451968	42	STIM=i
2454765	42	RESP=1
2469933	42	STIM=1
2473648	42	RESP=2
2485841	42	STIM=l
2489736	42	RESP=1
2501446	42	STIM=r
2506640	42	RESP=1
2520322	42	STIM=c
2524091	42	RESP=1
2538484	42	STIM=g
2541960	42	RESP=1
2555516	42	STIM=b
2561682	42	RESP=1
2573437	42	STIM=b
2576090	42	RESP=1
2590545	42	STIM=2
2597777	42	RESP=2
2609360	42	STIM=n
2614186	42	RESP=1
2626469	42	STIM=m
2631519	42	RESP=1
2644560	42	STIM=5
2650357	42	RESP=2
2663415	42	STIM=i
