# Original filename: 0032_FTT_2017-03-01.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27834	42	STIM=a
34413	42	RESP=1
43311	42	STIM=s
48394	42	RESP=1
60501	42	STIM=a
64087	42	RESP=1
77428	42	STIM=r
83026	42	RESP=1
95333	42	STIM=7
102915	42	RESP=2
113168	42	STIM=x
115931	42	RESP=1
129695	42	STIM=4
139857	42	RESP=2
146237	42	STIM=v
150694	42	RESP=1
163400	42	STIM=l
174378	42	RESP=1
179958	42	STIM=0
184985	42	RESP=2
197847	42	STIM=d
207870	42	RESP=1
214079	42	STIM=y
220598	42	RESP=1
230422	42	STIM=q
233951	42	RESP=1
246426	42	STIM=e
250721	42	RESP=1
263218	42	STIM=d
276374	42	RESP=2
279036	42	STIM=d
283853	42	RESP=1
296318	42	STIM=w
300753	42	RESP=1
314497	42	STIM=m
319795	42	RESP=1
330263	42	STIM=x
336177	42	RESP=1
346594	42	STIM=t
351482	42	RESP=1
363154	42	STIM=w
368900	42	RESP=1
378344	42	STIM=j
383046	42	RESP=1
393823	42	STIM=3
400734	42	RESP=2
411059	42	STIM=t
415249	42	RESP=1
427839	42	STIM=b
433126	42	RESP=1
446469	42	STIM=v
453338	42	RESP=2
461470	42	STIM=n
468472	42	RESP=1
476918	42	STIM=x
481912	42	RESP=1
494761	42	STIM=y
501643	42	RESP=1
513269	42	STIM=d
518330	42	RESP=1
531838	42	STIM=b
534767	42	RESP=1
547389	42	STIM=d
551699	42	RESP=1
563445	42	STIM=u
573426	42	RESP=1
579401	42	STIM=u
593501	42	RESP=1
598267	42	STIM=x
603677	42	RESP=1
616331	42	STIM=b
622283	42	RESP=1
632952	42	STIM=a
639020	42	RESP=1
649913	42	STIM=w
653490	42	RESP=1
666557	42	STIM=t
672918	42	RESP=1
681919	42	STIM=f
688444	42	RESP=1
700431	42	STIM=k
706863	42	RESP=1
717299	42	STIM=l
722137	42	RESP=1
732539	42	STIM=l
738361	42	RESP=1
750305	42	STIM=j
756332	42	RESP=1
765795	42	STIM=z
771824	42	RESP=1
781244	42	STIM=0
791433	42	RESP=2
797006	42	STIM=8
805452	42	RESP=2
814323	42	STIM=d
818567	42	RESP=1
829853	42	STIM=k
835671	42	RESP=1
845358	42	STIM=d
851324	42	RESP=1
864154	42	STIM=3
871151	42	RESP=2
882205	42	STIM=h
889269	42	RESP=1
899860	42	STIM=u
907679	42	RESP=1
918828	42	STIM=l
923015	42	RESP=1
936263	42	STIM=c
942621	42	RESP=1
954170	42	STIM=7
960591	42	RESP=1
969235	42	STIM=y
975111	42	RESP=1
986686	42	STIM=j
993035	42	RESP=1
1003737	42	STIM=s
1011286	42	RESP=1
1021627	42	STIM=g
1027678	42	RESP=1
1037191	42	STIM=9
1046352	42	RESP=2
1052785	42	STIM=s
1056930	42	RESP=1
1068087	42	STIM=z
1072861	42	RESP=1
1085191	42	STIM=w
1090688	42	RESP=1
1104128	42	STIM=p
1107770	42	RESP=1
1121474	42	STIM=s
1127959	42	RESP=1
1138895	42	STIM=d
1142351	42	RESP=1
1156105	42	STIM=t
1159018	42	RESP=1
1172091	42	STIM=i
1178984	42	RESP=1
1187946	42	STIM=w
1192966	42	RESP=1
1205257	42	STIM=3
1213446	42	RESP=2
1222299	42	STIM=t
1226188	42	RESP=1
1237401	42	STIM=u
1243456	42	RESP=1
1254244	42	STIM=e
1261627	42	RESP=1
1272937	42	STIM=i
1279806	42	RESP=1
1290289	42	STIM=b
1299334	42	RESP=1
1306301	42	STIM=j
1311524	42	RESP=1
1322738	42	STIM=4
1331638	42	RESP=2
1339137	42	STIM=x
1347700	42	RESP=1
1355980	42	STIM=b
1359788	42	RESP=1
1374611	42	STIM=n
1379960	42	RESP=1
1392660	42	STIM=7
1400958	42	RESP=2
1409962	42	STIM=n
1413936	42	RESP=1
1425172	42	STIM=r
1430279	42	RESP=1
1441129	42	STIM=6
1447980	42	RESP=2
1459123	42	STIM=o
1464313	42	RESP=1
1477812	42	STIM=1
1487167	42	RESP=2
1496574	42	STIM=n
1499411	42	RESP=1
1513369	42	STIM=7
1519408	42	RESP=2
1528683	42	STIM=a
1532605	42	RESP=1
1546252	42	STIM=k
1553251	42	RESP=1
1564932	42	STIM=f
1568783	42	RESP=1
1581988	42	STIM=w
1585839	42	RESP=1
1597014	42	STIM=x
1601081	42	RESP=1
1612434	42	STIM=0
1621593	42	RESP=2
1628407	42	STIM=o
1632502	42	RESP=1
1647046	42	STIM=w
1651257	42	RESP=1
1662991	42	STIM=y
1667336	42	RESP=1
1680670	42	STIM=y
1685330	42	RESP=1
1697780	42	STIM=i
1702355	42	RESP=1
1714284	42	STIM=p
1721183	42	RESP=1
1730295	42	STIM=l
1746627	42	RESP=1
1747950	42	STIM=i
1755018	42	RESP=1
1763266	42	STIM=v
1768143	42	RESP=1
1781496	42	STIM=b
1787183	42	RESP=1
1800492	42	STIM=6
