# Original filename: 0036_ZXA_2016-10-12.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35411	42	STIM=i
50311	42	RESP=1
51222	42	STIM=y
55025	42	RESP=2
66818	42	STIM=p
70855	42	RESP=1
83302	42	STIM=y
86223	42	RESP=2
101083	42	STIM=p
107884	42	RESP=1
117702	42	STIM=a
124466	42	RESP=1
134746	42	STIM=4
143161	42	RESP=2
150990	42	STIM=a
160696	42	RESP=1
167238	42	STIM=b
174925	42	RESP=1
184014	42	STIM=f
189683	42	RESP=1
202340	42	STIM=c
207431	42	RESP=1
218848	42	STIM=4
224371	42	RESP=1
236760	42	STIM=b
242225	42	RESP=1
253364	42	STIM=c
258781	42	RESP=1
271786	42	STIM=t
279792	42	RESP=2
289119	42	STIM=w
292350	42	RESP=1
305285	42	STIM=2
314591	42	RESP=2
321852	42	STIM=t
329417	42	RESP=1
339750	42	STIM=0
345850	42	RESP=2
357974	42	STIM=e
366313	42	RESP=1
375551	42	STIM=w
379614	42	RESP=2
392726	42	STIM=d
396452	42	RESP=1
408453	42	STIM=e
414840	42	RESP=1
426280	42	STIM=b
433709	42	RESP=1
443677	42	STIM=q
453266	42	RESP=1
459441	42	STIM=v
465379	42	RESP=1
477371	42	STIM=x
484874	42	RESP=1
495150	42	STIM=9
502431	42	RESP=2
512462	42	STIM=i
516425	42	RESP=1
530113	42	STIM=c
536133	42	RESP=1
548164	42	STIM=i
552744	42	RESP=1
563192	42	STIM=m
573116	42	RESP=1
581259	42	STIM=2
589196	42	RESP=2
598977	42	STIM=f
607407	42	RESP=1
614953	42	STIM=n
619364	42	RESP=2
630193	42	STIM=g
635630	42	RESP=1
645263	42	STIM=k
651833	42	RESP=1
662155	42	STIM=7
667634	42	RESP=1
677835	42	STIM=s
682872	42	RESP=1
695188	42	STIM=a
699910	42	RESP=1
713788	42	STIM=5
720982	42	RESP=2
732556	42	STIM=b
739408	42	RESP=1
751293	42	STIM=c
758307	42	RESP=1
767028	42	STIM=j
771205	42	RESP=1
783711	42	STIM=k
791499	42	RESP=1
802065	42	STIM=t
808007	42	RESP=1
817126	42	STIM=f
820030	42	RESP=2
832371	42	STIM=h
835647	42	RESP=1
848588	42	STIM=o
856205	42	RESP=1
864868	42	STIM=s
874586	42	RESP=1
881091	42	STIM=4
890061	42	RESP=2
896557	42	STIM=a
901387	42	RESP=1
911958	42	STIM=i
918043	42	RESP=1
928499	42	STIM=z
934038	42	RESP=1
943840	42	STIM=c
950373	42	RESP=1
962776	42	STIM=t
967524	42	RESP=1
980997	42	STIM=h
988092	42	RESP=1
996235	42	STIM=n
1002798	42	RESP=1
1011980	42	STIM=w
1022283	42	RESP=1
1030431	42	STIM=u
1037842	42	RESP=1
1046905	42	STIM=c
1052251	42	RESP=1
1063740	42	STIM=y
1071738	42	RESP=1
1082216	42	STIM=a
1086185	42	RESP=1
1100070	42	STIM=l
1105363	42	RESP=1
1115566	42	STIM=o
1119652	42	RESP=1
1131220	42	STIM=s
1136842	42	RESP=1
1149281	42	STIM=2
1156979	42	RESP=2
1166277	42	STIM=h
1169527	42	RESP=1
1184723	42	STIM=t
1189016	42	RESP=1
1199884	42	STIM=o
1205339	42	RESP=1
1216548	42	STIM=x
1224707	42	RESP=1
1233502	42	STIM=0
1238302	42	RESP=2
1250314	42	STIM=s
1253626	42	RESP=1
1267107	42	STIM=g
1270309	42	RESP=1
1284656	42	STIM=h
1288594	42	RESP=1
1303384	42	STIM=j
1307578	42	RESP=2
1322042	42	STIM=t
1325439	42	RESP=1
1339997	42	STIM=7
1345448	42	RESP=2
1356396	42	STIM=s
1360938	42	RESP=1
1372672	42	STIM=u
1378778	42	RESP=1
1388039	42	STIM=r
1391622	42	RESP=2
1407027	42	STIM=v
1412542	42	RESP=1
1422890	42	STIM=l
1429161	42	RESP=1
1441664	42	STIM=0
1450864	42	RESP=2
1457132	42	STIM=z
1464125	42	RESP=1
1474142	42	STIM=7
1480002	42	RESP=1
1491354	42	STIM=j
1497078	42	RESP=1
1507170	42	STIM=j
1511437	42	RESP=1
1525781	42	STIM=u
1533948	42	RESP=2
1542370	42	STIM=p
1548959	42	RESP=1
1559122	42	STIM=7
1564752	42	RESP=2
1574913	42	STIM=x
1579170	42	RESP=1
1592683	42	STIM=c
1597203	42	RESP=2
1610944	42	STIM=b
1615203	42	RESP=1
1626694	42	STIM=l
1633382	42	RESP=1
1644673	42	STIM=e
1649109	42	RESP=1
1663412	42	STIM=c
1670112	42	RESP=1
1680482	42	STIM=o
1684529	42	RESP=1
1698607	42	STIM=y
1702259	42	RESP=1
1714312	42	STIM=r
1720659	42	RESP=1
1732697	42	STIM=r
1737901	42	RESP=1
1750425	42	STIM=8
1759455	42	RESP=1
1769084	42	STIM=h
1774793	42	RESP=1
1785283	42	STIM=s
1791251	42	RESP=1
1803851	42	STIM=s
1810151	42	RESP=1
1821280	42	STIM=y
1824919	42	RESP=1
1839950	42	STIM=k
1843864	42	RESP=1
1858899	42	STIM=u
1865062	42	RESP=1
1876854	42	STIM=q
1881782	42	RESP=1
1895745	42	STIM=9
1904720	42	RESP=2
1910868	42	STIM=x
1914907	42	RESP=1
1926798	42	STIM=k
1930237	42	RESP=1
1942138	42	STIM=k
1946435	42	RESP=1
1960832	42	STIM=p
1970271	42	RESP=2
1976589	42	STIM=w
1984271	42	RESP=1
1993972	42	STIM=q
1997751	42	RESP=1
2011499	42	STIM=y
2018968	42	RESP=1
2026657	42	STIM=c
2031001	42	RESP=1
2044646	42	STIM=t
2050759	42	RESP=1
2060393	42	STIM=0
2067565	42	RESP=2
2078039	42	STIM=v
2082364	42	RESP=1
2096518	42	STIM=k
2103936	42	RESP=1
2113920	42	STIM=c
2122127	42	RESP=1
2132408	42	STIM=z
2135371	42	RESP=1
2150106	42	STIM=1
2155738	42	RESP=2
2167731	42	STIM=r
2174755	42	RESP=1
2185868	42	STIM=l
2191731	42	RESP=1
2202679	42	STIM=g
2207225	42	RESP=1
2221530	42	STIM=z
2226155	42	RESP=1
2237343	42	STIM=k
2240988	42	RESP=1
2253802	42	STIM=6
2262327	42	RESP=2
2271164	42	STIM=l
2277161	42	RESP=1
2286683	42	STIM=n
2295958	42	RESP=1
2305524	42	STIM=t
2310421	42	RESP=1
2322080	42	STIM=b
2326381	42	RESP=1
2338185	42	STIM=0
2345013	42	RESP=2
2354668	42	STIM=g
2359308	42	RESP=1
2373569	42	STIM=w
2379978	42	RESP=1
2388759	42	STIM=t
2393621	42	RESP=1
2404170	42	STIM=w
2408562	42	RESP=1
2419263	42	STIM=f
2423837	42	RESP=1
2435648	42	STIM=b
2441361	42	RESP=1
2451574	42	STIM=p
2463602	42	RESP=1
2468378	42	STIM=u
2472627	42	RESP=1
2486978	42	STIM=f
2492135	42	RESP=1
2502275	42	STIM=q
2505181	42	RESP=1
2518591	42	STIM=1
2527293	42	RESP=2
2533845	42	STIM=6
2540757	42	RESP=2
2552458	42	STIM=l
2559318	42	RESP=1
2568121	42	STIM=h
2572479	42	RESP=1
2585232	42	STIM=0
2593209	42	RESP=2
2604183	42	STIM=h
2612134	42	RESP=1
2620993	42	STIM=l
2626476	42	RESP=1
2639567	42	STIM=3
2645064	42	RESP=2
2657141	42	STIM=a
2663782	42	RESP=1
2675508	42	STIM=b
2680981	42	RESP=1
2692881	42	STIM=l
2696368	42	RESP=1
2711380	42	STIM=v
2718907	42	RESP=1
2728557	42	STIM=l
2733690	42	RESP=1
2747191	42	STIM=6
2751517	42	RESP=2
2762413	42	STIM=w
2769742	42	RESP=1
2778534	42	STIM=q
2786901	42	RESP=1
2794076	42	STIM=m
2799037	42	RESP=1
2809537	42	STIM=h
2819965	42	RESP=1
2828355	42	STIM=7
2833356	42	RESP=2
2846548	42	STIM=l
2850668	42	RESP=1
2863951	42	STIM=h
2867369	42	RESP=1
2880929	42	STIM=v
2884645	42	RESP=1
2899250	42	STIM=x
2902517	42	RESP=1
2915147	42	STIM=z
2920950	42	RESP=1
2930517	42	STIM=u
2936649	42	RESP=2
2949063	42	STIM=l
2954460	42	RESP=1
2964880	42	STIM=c
2971527	42	RESP=1
2979894	42	STIM=y
2989398	42	RESP=1
2997227	42	STIM=k
3002569	42	RESP=1
3013209	42	STIM=b
3021870	42	RESP=1
3031850	42	STIM=q
3039226	42	RESP=1
3048972	42	STIM=r
3060275	42	RESP=1
3064059	42	STIM=7
3072875	42	RESP=2
3079817	42	STIM=0
3086386	42	RESP=2
3095661	42	STIM=g
3104115	42	RESP=1
3113349	42	STIM=j
3119364	42	RESP=1
3128903	42	STIM=g
3132537	42	RESP=1
3146966	42	STIM=n
3156098	42	RESP=1
3163113	42	STIM=y
3171559	42	RESP=1
3178961	42	STIM=3
3183793	42	RESP=1
3194225	42	STIM=u
3197151	42	RESP=1
3210895	42	STIM=5
3216219	42	RESP=2
3227495	42	STIM=u
3233489	42	RESP=1
3242883	42	STIM=5
3248159	42	RESP=2
3260082	42	STIM=1
3265234	42	RESP=2
3277790	42	STIM=d
3281270	42	RESP=1
3296145	42	STIM=w
3307825	42	RESP=1
3312099	42	STIM=g
3317391	42	RESP=1
3329255	42	STIM=9
3334343	42	RESP=2
3346055	42	STIM=s
3350146	42	RESP=1
3362748	42	STIM=s
3367917	42	RESP=1
3379465	42	STIM=d
3383709	42	RESP=1
3395380	42	STIM=t
3400145	42	RESP=1
3413991	42	STIM=v
3418270	42	RESP=1
3431333	42	STIM=7
3438960	42	RESP=1
3449450	42	STIM=j
3452127	42	RESP=1
3467594	42	STIM=t
3473971	42	RESP=1
3483152	42	STIM=d
3486645	42	RESP=1
3501675	42	STIM=w
3508746	42	RESP=1
3518031	42	STIM=5
3525457	42	RESP=2
3534980	42	STIM=7
3540970	42	RESP=2
3550322	42	STIM=e
3554320	42	RESP=1
3567820	42	STIM=r
3572120	42	RESP=1
3582895	42	STIM=7
3589159	42	RESP=2
3598049	42	STIM=g
3603011	42	RESP=1
3613167	42	STIM=x
3621644	42	RESP=1
3630147	42	STIM=a
3636958	42	RESP=1
3649095	42	STIM=d
3654683	42	RESP=2
3667801	42	STIM=o
3674521	42	RESP=1
3683312	42	STIM=t
3692334	42	RESP=2
3702019	42	STIM=z
3708853	42	RESP=1
3717788	42	STIM=u
3722820	42	RESP=1
3733560	42	STIM=r
3741347	42	RESP=1
3750410	42	STIM=e
3761699	42	RESP=1
3768581	42	STIM=x
3772465	42	RESP=1
3786444	42	STIM=e
3790447	42	RESP=1
3803415	42	STIM=y
3807904	42	RESP=1
3818904	42	STIM=j
3827528	42	RESP=1
3835056	42	STIM=b
3842619	42	RESP=1
3850891	42	STIM=m
3858866	42	RESP=1
3867010	42	STIM=j
3873754	42	RESP=1
3883763	42	STIM=m
3889607	42	RESP=1
3901678	42	STIM=c
3911117	42	RESP=1
3919244	42	STIM=p
3923864	42	RESP=1
3936999	42	STIM=g
3941515	42	RESP=1
3955546	42	STIM=z
3958984	42	RESP=1
3971938	42	STIM=x
3978743	42	RESP=1
3987507	42	STIM=6
3997486	42	RESP=2
4003447	42	STIM=t
4015177	42	RESP=1
4021771	42	STIM=x
4033221	42	RESP=1
4039106	42	STIM=g
4043282	42	RESP=2
4055804	42	STIM=n
4063698	42	RESP=1
4074288	42	STIM=7
4078573	42	RESP=1
4089391	42	STIM=t
4094841	42	RESP=1
4105319	42	STIM=3
4111776	42	RESP=2
4121449	42	STIM=4
4126336	42	RESP=2
4140280	42	STIM=0
4149751	42	RESP=1
4156381	42	STIM=0
4161663	42	RESP=2
4174781	42	STIM=e
4181365	42	RESP=1
4193304	42	STIM=m
4203047	42	RESP=1
4211604	42	STIM=b
4214969	42	RESP=2
4228443	42	STIM=f
4235598	42	RESP=1
4246500	42	STIM=3
4255678	42	RESP=2
4264151	42	STIM=x
4272649	42	RESP=1
4279212	42	STIM=m
4286241	42	RESP=1
4294654	42	STIM=7
4301624	42	RESP=2
4310794	42	STIM=y
4319472	42	RESP=1
4327222	42	STIM=p
4333786	42	RESP=1
4342757	42	STIM=i
4346990	42	RESP=1
4360005	42	STIM=y
4366851	42	RESP=1
4375324	42	STIM=e
4381998	42	RESP=1
4393746	42	STIM=q
4399361	42	RESP=1
4409118	42	STIM=e
4413323	42	RESP=1
4427546	42	STIM=i
4434127	42	RESP=1
4443960	42	STIM=a
4449228	42	RESP=1
4461970	42	STIM=u
4467052	42	RESP=1
4480429	42	STIM=z
4483930	42	RESP=1
4498228	42	STIM=f
4501023	42	RESP=1
4515032	42	STIM=q
4522723	42	RESP=1
4532447	42	STIM=y
4535341	42	RESP=1
4549947	42	STIM=p
4554927	42	RESP=1
4567024	42	STIM=k
4574901	42	RESP=1
4584564	42	STIM=m
4589482	42	RESP=1
4600324	42	STIM=1
4606087	42	RESP=2
4617054	42	STIM=5
4625130	42	RESP=2
4634539	42	STIM=2
4639588	42	RESP=2
4651737	42	STIM=s
4658247	42	RESP=1
4670736	42	STIM=n
4675835	42	RESP=2
4688742	42	STIM=u
4694797	42	RESP=1
4705695	42	STIM=j
4709150	42	RESP=1
4723451	42	STIM=s
4729746	42	RESP=1
