# Original filename: 0037_AKG_2016-11-01.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30784	42	STIM=e
37852	42	RESP=1
49662	42	STIM=d
53394	42	RESP=1
65691	42	STIM=e
74110	42	RESP=1
82726	42	STIM=h
88875	42	RESP=1
100635	42	STIM=o
107827	42	RESP=1
119627	42	STIM=0
128093	42	RESP=2
134824	42	STIM=y
141872	42	RESP=1
151773	42	STIM=v
159673	42	RESP=2
167541	42	STIM=7
175233	42	RESP=2
184735	42	STIM=m
194713	42	RESP=1
203308	42	STIM=e
206278	42	RESP=1
219299	42	STIM=s
223875	42	RESP=1
236006	42	STIM=n
243754	42	RESP=1
252834	42	STIM=b
258558	42	RESP=1
271751	42	STIM=a
276673	42	RESP=1
287958	42	STIM=y
293091	42	RESP=1
304915	42	STIM=2
313467	42	RESP=2
320644	42	STIM=c
323227	42	RESP=1
337094	42	STIM=u
341603	42	RESP=2
352932	42	STIM=s
359768	42	RESP=1
371368	42	STIM=k
379107	42	RESP=1
388370	42	STIM=r
391157	42	RESP=1
403451	42	STIM=3
408832	42	RESP=2
421938	42	STIM=c
426874	42	RESP=1
439119	42	STIM=f
447163	42	RESP=1
456283	42	STIM=r
464876	42	RESP=1
472680	42	STIM=8
479897	42	RESP=2
491243	42	STIM=i
497753	42	RESP=1
510154	42	STIM=x
518790	42	RESP=1
528615	42	STIM=a
534704	42	RESP=1
546936	42	STIM=f
554410	42	RESP=1
562121	42	STIM=g
568275	42	RESP=1
577882	42	STIM=c
581073	42	RESP=1
596512	42	STIM=3
602922	42	RESP=1
613323	42	STIM=b
620260	42	RESP=1
630378	42	STIM=u
634664	42	RESP=1
648777	42	STIM=8
654470	42	RESP=2
663943	42	STIM=1
672132	42	RESP=2
682684	42	STIM=i
690612	42	RESP=1
701033	42	STIM=i
705233	42	RESP=1
719469	42	STIM=v
722913	42	RESP=1
736544	42	STIM=6
740525	42	RESP=2
754072	42	STIM=s
763734	42	RESP=1
770423	42	STIM=9
776158	42	RESP=2
786075	42	STIM=p
792249	42	RESP=1
805041	42	STIM=g
807770	42	RESP=1
823822	42	STIM=1
830566	42	RESP=2
841982	42	STIM=a
848621	42	RESP=1
857833	42	STIM=r
860968	42	RESP=1
873670	42	STIM=p
882278	42	RESP=1
891392	42	STIM=8
896097	42	RESP=2
906611	42	STIM=6
912882	42	RESP=2
924297	42	STIM=r
929211	42	RESP=1
940686	42	STIM=5
951823	42	RESP=2
956532	42	STIM=n
960133	42	RESP=1
975528	42	STIM=r
981042	42	RESP=2
993073	42	STIM=c
998782	42	RESP=1
1009251	42	STIM=w
1013801	42	RESP=2
1026415	42	STIM=k
1029935	42	RESP=1
1044143	42	STIM=u
1047834	42	RESP=1
1061583	42	STIM=h
1068525	42	RESP=1
1077351	42	STIM=l
1086770	42	RESP=1
1094058	42	STIM=v
1099550	42	RESP=1
1110020	42	STIM=t
1113002	42	RESP=1
1128541	42	STIM=f
1132941	42	RESP=1
1146127	42	STIM=5
1154573	42	RESP=2
1165002	42	STIM=g
1176348	42	RESP=1
1182288	42	STIM=b
1185711	42	RESP=1
1197334	42	STIM=2
1206149	42	RESP=2
1213692	42	STIM=a
1220501	42	RESP=1
1230175	42	STIM=c
1235405	42	RESP=1
1247727	42	STIM=1
1261945	42	RESP=2
1265369	42	STIM=j
1271400	42	RESP=1
1282793	42	STIM=z
1287063	42	RESP=1
1298729	42	STIM=7
1304481	42	RESP=2
1316238	42	STIM=o
1323699	42	RESP=1
1333537	42	STIM=i
1342431	42	RESP=1
1351402	42	STIM=n
1358577	42	RESP=1
1367433	42	STIM=u
1376523	42	RESP=1
1385129	42	STIM=i
1391153	42	RESP=1
1402325	42	STIM=u
1408898	42	RESP=1
1417906	42	STIM=5
1423960	42	RESP=2
1436126	42	STIM=5
1441876	42	RESP=1
1451282	42	STIM=x
1455189	42	RESP=1
1468846	42	STIM=h
1475307	42	RESP=1
1485774	42	STIM=w
1490781	42	RESP=1
1501533	42	STIM=s
1505883	42	RESP=1
1520456	42	STIM=u
1526522	42	RESP=1
1538554	42	STIM=m
1546081	42	RESP=1
1557215	42	STIM=t
1563306	42	RESP=1
1573114	42	STIM=8
1579061	42	RESP=2
1588537	42	STIM=h
1594438	42	RESP=1
1605769	42	STIM=m
1611054	42	RESP=1
1621898	42	STIM=v
1629721	42	RESP=1
1638987	42	STIM=c
1643610	42	RESP=1
1657283	42	STIM=5
1662419	42	RESP=2
1675889	42	STIM=g
1684740	42	RESP=1
1692307	42	STIM=i
1702952	42	RESP=1
1708595	42	STIM=7
