# Original filename: 0039_DBX_2016-10-11.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37578	42	STIM=k
43280	42	RESP=1
56441	42	STIM=v
59789	42	RESP=1
72224	42	STIM=k
75493	42	RESP=1
88467	42	STIM=1
96104	42	RESP=2
105725	42	STIM=7
110149	42	RESP=2
121017	42	STIM=5
129127	42	RESP=2
139060	42	STIM=y
141777	42	RESP=1
157961	42	STIM=u
162617	42	RESP=1
175547	42	STIM=h
178614	42	RESP=1
191448	42	STIM=2
198644	42	RESP=2
210307	42	STIM=h
214848	42	RESP=1
225749	42	STIM=8
232446	42	RESP=2
242125	42	STIM=j
247060	42	RESP=1
260450	42	STIM=s
264501	42	RESP=1
278909	42	STIM=o
282504	42	RESP=1
295680	42	STIM=z
298450	42	RESP=1
313629	42	STIM=6
318471	42	RESP=2
331041	42	STIM=q
340487	42	RESP=1
349246	42	STIM=4
355907	42	RESP=2
366834	42	STIM=t
370462	42	RESP=1
382085	42	STIM=z
385518	42	RESP=1
400434	42	STIM=i
403625	42	RESP=1
415823	42	STIM=m
420133	42	RESP=1
432810	42	STIM=e
436684	42	RESP=1
448623	42	STIM=o
453083	42	RESP=1
463637	42	STIM=6
474804	42	RESP=2
480774	42	STIM=w
484223	42	RESP=1
496724	42	STIM=t
500190	42	RESP=1
512428	42	STIM=f
518231	42	RESP=1
528032	42	STIM=u
532279	42	RESP=1
545239	42	STIM=i
548840	42	RESP=1
562736	42	STIM=7
567855	42	RESP=2
580409	42	STIM=m
584979	42	RESP=1
597970	42	STIM=6
603380	42	RESP=2
616806	42	STIM=6
620365	42	RESP=2
634320	42	STIM=f
639685	42	RESP=2
650039	42	STIM=t
654073	42	RESP=1
666182	42	STIM=d
670050	42	RESP=1
681355	42	STIM=t
687364	42	RESP=1
698556	42	STIM=g
701922	42	RESP=1
716997	42	STIM=o
721938	42	RESP=1
734773	42	STIM=p
739557	42	RESP=1
750010	42	STIM=z
752700	42	RESP=1
765499	42	STIM=l
768591	42	RESP=1
783097	42	STIM=2
