# Original filename: 0041_IJN_2016-09-17.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37382	42	STIM=v
41633	42	RESP=1
53721	42	STIM=d
63379	42	RESP=1
71266	42	STIM=y
79904	42	RESP=1
89532	42	STIM=w
93378	42	RESP=1
104572	42	STIM=m
109576	42	RESP=1
123553	42	STIM=g
130567	42	RESP=1
140689	42	STIM=c
146881	42	RESP=1
158200	42	STIM=m
166899	42	RESP=1
173893	42	STIM=3
177928	42	RESP=2
190643	42	STIM=x
197473	42	RESP=1
209445	42	STIM=t
213599	42	RESP=1
227202	42	STIM=k
230467	42	RESP=1
244623	42	STIM=g
251424	42	RESP=1
261056	42	STIM=j
265310	42	RESP=1
279352	42	STIM=f
285937	42	RESP=1
297886	42	STIM=e
301783	42	RESP=1
316824	42	STIM=d
327854	42	RESP=1
332886	42	STIM=o
338094	42	RESP=1
350094	42	STIM=o
353192	42	RESP=1
366945	42	STIM=c
370964	42	RESP=1
383120	42	STIM=y
388250	42	RESP=1
399015	42	STIM=y
404571	42	RESP=1
414548	42	STIM=w
416910	42	RESP=2
430159	42	STIM=d
434358	42	RESP=2
448199	42	STIM=z
455978	42	RESP=1
464008	42	STIM=o
471307	42	RESP=1
482734	42	STIM=n
488651	42	RESP=1
498144	42	STIM=w
501734	42	RESP=1
515802	42	STIM=f
520662	42	RESP=1
534607	42	STIM=w
538633	42	RESP=1
553595	42	STIM=u
560403	42	RESP=1
571150	42	STIM=a
580722	42	RESP=1
589309	42	STIM=5
597286	42	RESP=2
606346	42	STIM=a
611767	42	RESP=1
622058	42	STIM=2
626001	42	RESP=2
638618	42	STIM=o
644946	42	RESP=1
657361	42	STIM=x
662985	42	RESP=1
672825	42	STIM=q
677558	42	RESP=1
689208	42	STIM=c
696206	42	RESP=1
706851	42	STIM=v
713986	42	RESP=1
724822	42	STIM=8
730192	42	RESP=2
742758	42	STIM=y
746450	42	RESP=1
759842	42	STIM=t
763184	42	RESP=1
778133	42	STIM=n
781820	42	RESP=1
795325	42	STIM=n
799914	42	RESP=1
811380	42	STIM=9
820675	42	RESP=1
828646	42	STIM=m
832526	42	RESP=2
846588	42	STIM=3
851820	42	RESP=2
864160	42	STIM=t
867320	42	RESP=1
882625	42	STIM=l
888076	42	RESP=1
900643	42	STIM=4
913671	42	RESP=2
917866	42	STIM=w
922425	42	RESP=1
933200	42	STIM=g
937443	42	RESP=1
950431	42	STIM=b
956877	42	RESP=1
967270	42	STIM=g
976511	42	RESP=1
983768	42	STIM=l
988503	42	RESP=1
1002630	42	STIM=p
1010896	42	RESP=1
1021074	42	STIM=j
1030457	42	RESP=1
1039516	42	STIM=8
1045966	42	RESP=2
1057699	42	STIM=g
1060553	42	RESP=1
1075294	42	STIM=n
1083232	42	RESP=1
1091431	42	STIM=b
1099029	42	RESP=1
1107587	42	STIM=c
1112712	42	RESP=1
1125822	42	STIM=z
1130357	42	RESP=1
1142974	42	STIM=t
1145879	42	RESP=1
1158712	42	STIM=w
1162310	42	RESP=1
1174828	42	STIM=k
1180819	42	RESP=1
1192423	42	STIM=w
1197836	42	RESP=1
1208325	42	STIM=l
1217231	42	RESP=1
1225294	42	STIM=i
1229972	42	RESP=1
1244056	42	STIM=4
1250314	42	RESP=1
1262873	42	STIM=b
1266607	42	RESP=1
1280123	42	STIM=r
1287019	42	RESP=1
1298412	42	STIM=n
1300972	42	RESP=1
1313569	42	STIM=c
1317815	42	RESP=1
1329829	42	STIM=q
1333417	42	RESP=1
1346088	42	STIM=h
1349550	42	RESP=1
1362125	42	STIM=t
1367488	42	RESP=1
1379815	42	STIM=i
1384003	42	RESP=1
1395161	42	STIM=7
1401487	42	RESP=2
1413570	42	STIM=7
1419862	42	RESP=2
1428646	42	STIM=g
1432315	42	RESP=1
1444085	42	STIM=c
1448400	42	RESP=1
1461491	42	STIM=4
1466105	42	RESP=2
1479558	42	STIM=j
1484797	42	RESP=1
1495914	42	STIM=r
1501038	42	RESP=1
1514210	42	STIM=j
1517135	42	RESP=1
1529352	42	STIM=e
1536394	42	RESP=1
1547716	42	STIM=v
1553528	42	RESP=1
1566556	42	STIM=a
1571010	42	RESP=1
1585448	42	STIM=8
1590278	42	RESP=2
1604378	42	STIM=d
1610164	42	RESP=1
1620574	42	STIM=h
1627452	42	RESP=1
1637853	42	STIM=2
1645959	42	RESP=2
1656828	42	STIM=f
1666038	42	RESP=1
1672883	42	STIM=w
1676276	42	RESP=1
1688056	42	STIM=6
1693937	42	RESP=2
1705764	42	STIM=x
1714354	42	RESP=1
1721837	42	STIM=v
1729930	42	RESP=1
1740390	42	STIM=j
1745216	42	RESP=1
1758877	42	STIM=m
1763950	42	RESP=1
1775183	42	STIM=3
1780804	42	RESP=2
1790356	42	STIM=p
1793961	42	RESP=1
1807481	42	STIM=c
1813889	42	RESP=1
1824432	42	STIM=p
1831386	42	RESP=1
1839486	42	STIM=g
1851341	42	RESP=1
1857756	42	STIM=u
1863693	42	RESP=1
1873570	42	STIM=k
1879393	42	RESP=1
1890935	42	STIM=2
1895577	42	RESP=2
1907440	42	STIM=v
1914705	42	RESP=1
1923642	42	STIM=w
1931192	42	RESP=1
1939349	42	STIM=n
1948438	42	RESP=1
1955631	42	STIM=0
1966153	42	RESP=2
1972705	42	STIM=v
1980917	42	RESP=1
1988716	42	STIM=8
1996686	42	RESP=1
2007076	42	STIM=s
2014247	42	RESP=1
2024948	42	STIM=l
2031761	42	RESP=1
2043110	42	STIM=9
2048322	42	RESP=2
2058845	42	STIM=h
2062505	42	RESP=1
2075894	42	STIM=e
2080338	42	RESP=1
2093847	42	STIM=k
2098716	42	RESP=1
2112317	42	STIM=2
2116697	42	RESP=2
2128609	42	STIM=o
2134748	42	RESP=1
2146075	42	STIM=u
2158876	42	RESP=1
2161614	42	STIM=8
2169851	42	RESP=2
2178417	42	STIM=6
2185151	42	RESP=2
2197085	42	STIM=n
2208975	42	RESP=1
2216050	42	STIM=d
2221764	42	RESP=1
2233024	42	STIM=t
2239785	42	RESP=1
2251035	42	STIM=k
2255640	42	RESP=1
2268691	42	STIM=w
2272509	42	RESP=1
2284472	42	STIM=y
2293274	42	RESP=2
2302077	42	STIM=7
2307777	42	RESP=2
2317799	42	STIM=n
2322966	42	RESP=1
2335757	42	STIM=b
2342511	42	RESP=1
2354735	42	STIM=e
2362042	42	RESP=1
2373311	42	STIM=g
2376147	42	RESP=1
2390880	42	STIM=g
2395841	42	RESP=1
2408651	42	STIM=7
2414186	42	RESP=2
2427258	42	STIM=j
2434967	42	RESP=1
2442838	42	STIM=p
2446059	42	RESP=2
2459147	42	STIM=x
2465296	42	RESP=1
2475496	42	STIM=z
2480944	42	RESP=1
2492742	42	STIM=c
2496381	42	RESP=1
2509444	42	STIM=z
2512339	42	RESP=1
2524682	42	STIM=7
2528955	42	RESP=2
2540112	42	STIM=s
2545644	42	RESP=1
2558979	42	STIM=h
2563566	42	RESP=2
2575803	42	STIM=d
2581654	42	RESP=1
2593768	42	STIM=k
2598003	42	RESP=1
2608966	42	STIM=w
2615080	42	RESP=1
2626008	42	STIM=z
2630370	42	RESP=1
2642645	42	STIM=0
2647543	42	RESP=2
2658070	42	STIM=j
2663528	42	RESP=1
2674577	42	STIM=a
2679437	42	RESP=1
2691493	42	STIM=g
2694264	42	RESP=1
2706982	42	STIM=s
2715760	42	RESP=1
2725943	42	STIM=m
2731992	42	RESP=1
2742722	42	STIM=9
2750900	42	RESP=2
2758629	42	STIM=o
2764154	42	RESP=1
2777437	42	STIM=g
2780973	42	RESP=2
2795181	42	STIM=1
2799980	42	RESP=2
2810777	42	STIM=g
2818270	42	RESP=1
2829642	42	STIM=4
2836192	42	RESP=2
2845154	42	STIM=7
2850753	42	RESP=2
2860524	42	STIM=a
2866551	42	RESP=1
2877125	42	STIM=r
2882832	42	RESP=1
2895803	42	STIM=y
2903731	42	RESP=1
2913658	42	STIM=b
2920549	42	RESP=1
2929229	42	STIM=p
2932469	42	RESP=1
2945093	42	STIM=c
2950464	42	RESP=1
2960479	42	STIM=d
2966982	42	RESP=1
2978378	42	STIM=m
2983002	42	RESP=1
2996280	42	STIM=k
3000165	42	RESP=1
3012688	42	STIM=1
3018387	42	RESP=2
3030141	42	STIM=y
3038103	42	RESP=1
3048592	42	STIM=f
3055418	42	RESP=2
3064012	42	STIM=b
3067550	42	RESP=1
3080014	42	STIM=a
3084000	42	RESP=1
3095829	42	STIM=9
3103956	42	RESP=2
3112976	42	STIM=q
3118121	42	RESP=1
3128446	42	STIM=y
3133628	42	RESP=1
3146880	42	STIM=j
