# Original filename: 0042_TQL_2017-05-07.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37523	42	STIM=e
41424	42	RESP=1
52568	42	STIM=n
56233	42	RESP=1
69113	42	STIM=q
73560	42	RESP=1
87606	42	STIM=f
90933	42	RESP=1
105169	42	STIM=q
115959	42	RESP=1
122214	42	STIM=l
125746	42	RESP=1
137831	42	STIM=d
140911	42	RESP=1
156276	42	STIM=k
161776	42	RESP=1
173458	42	STIM=4
177589	42	RESP=2
190022	42	STIM=h
195059	42	RESP=1
208221	42	STIM=j
216253	42	RESP=1
224077	42	STIM=q
227408	42	RESP=1
240835	42	STIM=m
244419	42	RESP=1
258265	42	STIM=3
265644	42	RESP=2
276667	42	STIM=3
282872	42	RESP=2
293946	42	STIM=w
300970	42	RESP=1
309763	42	STIM=9
315654	42	RESP=2
325673	42	STIM=u
329548	42	RESP=1
342802	42	STIM=9
346770	42	RESP=2
358614	42	STIM=p
367599	42	RESP=1
375423	42	STIM=x
378286	42	RESP=2
392078	42	STIM=4
396543	42	RESP=2
409803	42	STIM=f
414947	42	RESP=1
427798	42	STIM=j
433269	42	RESP=1
444778	42	STIM=j
448377	42	RESP=1
462551	42	STIM=h
467051	42	RESP=1
481142	42	STIM=r
486442	42	RESP=1
498257	42	STIM=o
503377	42	RESP=1
514176	42	STIM=g
519354	42	RESP=1
529733	42	STIM=a
534899	42	RESP=1
547076	42	STIM=o
553171	42	RESP=1
565392	42	STIM=l
569240	42	RESP=1
582110	42	STIM=v
587503	42	RESP=1
599687	42	STIM=1
608556	42	RESP=2
616949	42	STIM=d
622425	42	RESP=2
632878	42	STIM=c
636698	42	RESP=1
651102	42	STIM=f
654855	42	RESP=1
667875	42	STIM=w
672261	42	RESP=1
684969	42	STIM=m
688591	42	RESP=1
703602	42	STIM=q
708806	42	RESP=1
721781	42	STIM=x
728294	42	RESP=1
740425	42	STIM=w
744105	42	RESP=1
757199	42	STIM=t
761071	42	RESP=1
775073	42	STIM=u
779419	42	RESP=1
793802	42	STIM=r
800021	42	RESP=1
811145	42	STIM=i
815375	42	RESP=1
827513	42	STIM=y
832956	42	RESP=1
844995	42	STIM=0
849772	42	RESP=2
863696	42	STIM=n
869183	42	RESP=1
879971	42	STIM=t
886412	42	RESP=1
896627	42	STIM=i
903144	42	RESP=1
913778	42	STIM=s
919921	42	RESP=1
930985	42	STIM=r
934406	42	RESP=1
946230	42	STIM=j
951413	42	RESP=1
962264	42	STIM=p
965477	42	RESP=1
980126	42	STIM=t
986628	42	RESP=2
998532	42	STIM=8
1006866	42	RESP=2
1016372	42	STIM=7
1021561	42	RESP=2
1035330	42	STIM=9
1044111	42	RESP=1
1052530	42	STIM=s
1061559	42	RESP=1
1068629	42	STIM=s
1074406	42	RESP=1
1084100	42	STIM=x
1088200	42	RESP=1
1103023	42	STIM=b
1106123	42	RESP=1
1119644	42	STIM=u
1124334	42	RESP=1
1137499	42	STIM=k
1143851	42	RESP=1
1155912	42	STIM=c
1162138	42	RESP=1
1171919	42	STIM=5
1179110	42	RESP=2
1187117	42	STIM=h
1192930	42	RESP=1
1205156	42	STIM=l
1209146	42	RESP=1
1220601	42	STIM=a
1223741	42	RESP=1
1236068	42	STIM=z
1240040	42	RESP=1
1253215	42	STIM=c
1256814	42	RESP=1
1268769	42	STIM=u
1274544	42	RESP=1
1285302	42	STIM=d
1289336	42	RESP=1
1302294	42	STIM=v
1307380	42	RESP=1
1317642	42	STIM=7
1324196	42	RESP=2
1335921	42	STIM=8
1341208	42	RESP=2
1351667	42	STIM=a
1354589	42	RESP=1
1369083	42	STIM=g
1373508	42	RESP=1
1387573	42	STIM=n
1391105	42	RESP=1
1405105	42	STIM=9
1413074	42	RESP=2
1422252	42	STIM=w
1425479	42	RESP=1
1439393	42	STIM=8
1443282	42	RESP=2
1455081	42	STIM=v
1460852	42	RESP=1
1472424	42	STIM=b
1476390	42	RESP=1
1489382	42	STIM=5
1493062	42	RESP=2
1506067	42	STIM=c
1509516	42	RESP=1
1522247	42	STIM=y
1525557	42	RESP=1
1537891	42	STIM=d
1540704	42	RESP=2
1555559	42	STIM=q
1560610	42	RESP=1
1570663	42	STIM=v
1575634	42	RESP=1
1587887	42	STIM=u
1592707	42	RESP=1
1605252	42	STIM=8
1610013	42	RESP=2
1621987	42	STIM=x
1626710	42	RESP=1
1638916	42	STIM=j
1642299	42	RESP=1
1657293	42	STIM=u
1663620	42	RESP=1
1675266	42	STIM=e
1679620	42	RESP=1
1691146	42	STIM=d
1694109	42	RESP=1
1708143	42	STIM=e
1713918	42	RESP=1
1725230	42	STIM=f
1728785	42	RESP=1
1743759	42	STIM=2
1748564	42	RESP=2
1761686	42	STIM=7
1767871	42	RESP=2
1779862	42	STIM=v
1786276	42	RESP=1
1796965	42	STIM=f
1799803	42	RESP=1
1813400	42	STIM=u
1817968	42	RESP=1
1829487	42	STIM=w
1835009	42	RESP=1
1844958	42	STIM=q
1849566	42	RESP=1
1860990	42	STIM=h
1866217	42	RESP=1
1877285	42	STIM=b
1882597	42	RESP=1
1892747	42	STIM=3
1899237	42	RESP=2
1911248	42	STIM=t
1915921	42	RESP=1
1928288	42	STIM=1
1934710	42	RESP=2
1944562	42	STIM=w
1952448	42	RESP=1
1962664	42	STIM=d
1968482	42	RESP=1
1978505	42	STIM=b
1983206	42	RESP=1
1994469	42	STIM=b
2000087	42	RESP=1
2009597	42	STIM=i
2015628	42	RESP=1
2025613	42	STIM=c
2032707	42	RESP=1
2041000	42	STIM=j
2045484	42	RESP=1
2059401	42	STIM=2
2063769	42	RESP=2
2076145	42	STIM=u
2081561	42	RESP=1
2091627	42	STIM=i
2095792	42	RESP=1
2107493	42	STIM=m
2111205	42	RESP=1
2125312	42	STIM=h
2132422	42	RESP=1
2142359	42	STIM=q
2145690	42	RESP=1
2160418	42	STIM=2
2166192	42	RESP=2
2176000	42	STIM=z
2182439	42	RESP=1
2193349	42	STIM=1
2203394	42	RESP=2
2209311	42	STIM=0
2216017	42	RESP=2
2224581	42	STIM=b
2229451	42	RESP=1
2241639	42	STIM=4
2247400	42	RESP=2
2257845	42	STIM=g
2261699	42	RESP=1
2273649	42	STIM=b
2280441	42	RESP=1
2289142	42	STIM=o
2295334	42	RESP=1
2307770	42	STIM=u
2314914	42	RESP=1
2322850	42	STIM=h
2325743	42	RESP=1
2339169	42	STIM=z
2343953	42	RESP=1
2356572	42	STIM=o
2360744	42	RESP=1
2375089	42	STIM=f
2379022	42	RESP=2
2391205	42	STIM=7
2395423	42	RESP=2
2409795	42	STIM=z
2413787	42	RESP=1
2426959	42	STIM=n
2430842	42	RESP=1
2444708	42	STIM=k
2448850	42	RESP=1
2462247	42	STIM=4
2468154	42	RESP=2
2479912	42	STIM=z
2484314	42	RESP=1
2495774	42	STIM=1
2499518	42	RESP=2
2514265	42	STIM=q
2520747	42	RESP=1
2530330	42	STIM=v
2535329	42	RESP=1
2545332	42	STIM=h
2551527	42	RESP=1
2564164	42	STIM=f
