# Original filename: 0047_KHH_2017-03-20.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27105	42	STIM=8
39549	42	RESP=2
42625	42	STIM=z
46155	42	RESP=1
59549	42	STIM=q
63259	42	RESP=1
76453	42	STIM=y
82893	42	RESP=1
91579	42	STIM=m
99017	42	RESP=1
106850	42	STIM=i
117828	42	RESP=1
123864	42	STIM=z
129591	42	RESP=1
141969	42	STIM=2
147961	42	RESP=2
158992	42	STIM=f
163914	42	RESP=1
175000	42	STIM=p
181361	42	RESP=1
191240	42	STIM=p
195345	42	RESP=1
209392	42	STIM=n
215877	42	RESP=1
225113	42	STIM=8
231523	42	RESP=1
240493	42	STIM=v
247495	42	RESP=1
258383	42	STIM=s
263721	42	RESP=1
276804	42	STIM=j
283096	42	RESP=1
294646	42	STIM=f
301163	42	RESP=1
313207	42	STIM=3
321673	42	RESP=2
329989	42	STIM=e
333872	42	RESP=1
347142	42	STIM=b
352978	42	RESP=1
365955	42	STIM=l
369060	42	RESP=1
381919	42	STIM=1
386476	42	RESP=2
400283	42	STIM=x
405920	42	RESP=1
415749	42	STIM=7
422602	42	RESP=2
432202	42	STIM=e
437800	42	RESP=1
449456	42	STIM=c
458514	42	RESP=1
466881	42	STIM=p
472147	42	RESP=1
482262	42	STIM=t
487139	42	RESP=1
498359	42	STIM=r
501354	42	RESP=1
516191	42	STIM=n
524825	42	RESP=1
532969	42	STIM=l
540973	42	RESP=1
548594	42	STIM=c
553792	42	RESP=1
563943	42	STIM=v
568327	42	RESP=1
580539	42	STIM=c
584925	42	RESP=1
596156	42	STIM=k
602070	42	RESP=1
613942	42	STIM=e
617767	42	RESP=1
632473	42	STIM=z
637247	42	RESP=1
651454	42	STIM=p
655516	42	RESP=1
667486	42	STIM=l
673911	42	RESP=1
685893	42	STIM=o
692331	42	RESP=1
701967	42	STIM=r
706948	42	RESP=1
717774	42	STIM=2
723347	42	RESP=2
734752	42	STIM=5
739601	42	RESP=2
750024	42	STIM=5
754338	42	RESP=2
766271	42	STIM=l
770836	42	RESP=1
782046	42	STIM=u
785333	42	RESP=1
798158	42	STIM=f
803558	42	RESP=1
813957	42	STIM=8
819655	42	RESP=2
831620	42	STIM=8
838073	42	RESP=2
848068	42	STIM=2
854557	42	RESP=2
865968	42	STIM=c
872429	42	RESP=1
881012	42	STIM=f
883864	42	RESP=1
897714	42	STIM=8
903364	42	RESP=2
914262	42	STIM=0
920322	42	RESP=2
930473	42	STIM=z
934411	42	RESP=2
948157	42	STIM=7
953533	42	RESP=2
966455	42	STIM=f
970362	42	RESP=1
981772	42	STIM=o
994027	42	RESP=2
997225	42	STIM=s
1000745	42	RESP=1
1015281	42	STIM=h
1019361	42	RESP=1
1030359	42	STIM=b
1041487	42	RESP=1
1046771	42	STIM=0
1055889	42	RESP=2
1065016	42	STIM=c
1070906	42	RESP=1
1081185	42	STIM=x
1084644	42	RESP=1
1098222	42	STIM=o
1103126	42	RESP=1
1115050	42	STIM=k
1121305	42	RESP=1
1130262	42	STIM=d
1137024	42	RESP=1
1148429	42	STIM=y
1153522	42	RESP=1
1164741	42	STIM=w
1170887	42	RESP=1
1180789	42	STIM=a
1184475	42	RESP=1
1198964	42	STIM=9
1208123	42	RESP=2
1215103	42	STIM=n
1218073	42	RESP=1
1233945	42	STIM=3
1240985	42	RESP=1
1249663	42	STIM=u
1253050	42	RESP=1
1266371	42	STIM=l
1270020	42	RESP=1
1284480	42	STIM=f
1288454	42	RESP=1
1300399	42	STIM=9
1308774	42	RESP=2
1315920	42	STIM=v
1319439	42	RESP=1
1334517	42	STIM=1
1341153	42	RESP=2
1349827	42	STIM=b
1352401	42	RESP=1
1366333	42	STIM=c
1378366	42	RESP=1
1383263	42	STIM=d
1388516	42	RESP=1
1400344	42	STIM=j
1407159	42	RESP=1
1415434	42	STIM=m
1422037	42	RESP=1
1433592	42	STIM=i
1436797	42	RESP=1
1452235	42	STIM=v
1456926	42	RESP=1
1469538	42	STIM=h
1476586	42	RESP=1
1486287	42	STIM=u
1494670	42	RESP=1
1503161	42	STIM=a
1512251	42	RESP=2
1520102	42	STIM=d
1526650	42	RESP=1
1539031	42	STIM=z
1546443	42	RESP=1
1555384	42	STIM=m
1561108	42	RESP=1
1570665	42	STIM=0
1576746	42	RESP=2
