# Original filename: 0049_ESM_2017-01-22.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35756	42	STIM=t
38403	42	RESP=1
54341	42	STIM=p
59030	42	RESP=1
72228	42	STIM=l
78543	42	RESP=2
87797	42	STIM=u
91544	42	RESP=1
104523	42	STIM=7
110878	42	RESP=2
120856	42	STIM=k
126107	42	RESP=1
137654	42	STIM=d
144402	42	RESP=1
154888	42	STIM=e
158848	42	RESP=1
172508	42	STIM=c
177729	42	RESP=1
189802	42	STIM=s
193005	42	RESP=1
208415	42	STIM=a
214932	42	RESP=1
226350	42	STIM=y
231254	42	RESP=1
241560	42	STIM=b
245441	42	RESP=1
260544	42	STIM=q
268960	42	RESP=1
278521	42	STIM=4
283790	42	RESP=2
296830	42	STIM=v
304169	42	RESP=1
312472	42	STIM=s
315957	42	RESP=1
331295	42	STIM=1
335612	42	RESP=2
349306	42	STIM=9
356654	42	RESP=2
365321	42	STIM=k
370815	42	RESP=2
383946	42	STIM=5
390229	42	RESP=2
400625	42	STIM=q
406646	42	RESP=1
417449	42	STIM=y
420943	42	RESP=1
434016	42	STIM=a
441444	42	RESP=1
450589	42	STIM=r
454119	42	RESP=1
469535	42	STIM=n
474890	42	RESP=1
486197	42	STIM=k
489263	42	RESP=1
504440	42	STIM=a
508962	42	RESP=1
519819	42	STIM=p
524093	42	RESP=1
535764	42	STIM=3
542324	42	RESP=2
552776	42	STIM=1
557968	42	RESP=2
571515	42	STIM=f
579097	42	RESP=1
588799	42	STIM=w
592194	42	RESP=2
605981	42	STIM=w
609215	42	RESP=1
621598	42	STIM=9
630158	42	RESP=2
639694	42	STIM=p
643697	42	RESP=1
655340	42	STIM=y
659591	42	RESP=1
671385	42	STIM=y
673807	42	RESP=1
688115	42	STIM=w
690818	42	RESP=1
706403	42	STIM=w
711609	42	RESP=2
721532	42	STIM=p
724688	42	RESP=1
738628	42	STIM=n
744198	42	RESP=1
754687	42	STIM=c
758470	42	RESP=1
770929	42	STIM=b
778608	42	RESP=1
789396	42	STIM=x
795762	42	RESP=1
806312	42	STIM=i
810401	42	RESP=1
824084	42	STIM=3
833430	42	RESP=2
843000	42	STIM=e
848198	42	RESP=1
861360	42	STIM=u
866742	42	RESP=1
878709	42	STIM=p
882718	42	RESP=1
893785	42	STIM=a
902892	42	RESP=1
909725	42	STIM=m
914925	42	RESP=1
925283	42	STIM=s
930045	42	RESP=1
944277	42	STIM=u
949245	42	RESP=1
961611	42	STIM=b
969493	42	RESP=1
977605	42	STIM=j
982334	42	RESP=1
995201	42	STIM=y
1003992	42	RESP=1
1011208	42	STIM=e
1014977	42	RESP=1
1027280	42	STIM=u
1032471	42	RESP=1
1043421	42	STIM=2
1047531	42	RESP=1
1060655	42	STIM=b
1063445	42	RESP=1
1076149	42	STIM=d
1079700	42	RESP=1
1093752	42	STIM=a
1100669	42	RESP=1
1109006	42	STIM=p
1113902	42	RESP=1
1125362	42	STIM=x
1129563	42	RESP=1
1142022	42	STIM=h
1151327	42	RESP=1
1159890	42	STIM=4
1165638	42	RESP=2
1175368	42	STIM=f
1179313	42	RESP=1
1193357	42	STIM=t
1196562	42	RESP=1
1208898	42	STIM=f
1212566	42	RESP=1
1227477	42	STIM=o
1235937	42	RESP=1
1244324	42	STIM=9
1250811	42	RESP=2
1262886	42	STIM=f
1267180	42	RESP=1
1278598	42	STIM=p
1283540	42	RESP=1
1294665	42	STIM=s
1299164	42	RESP=1
1309832	42	STIM=j
1315194	42	RESP=1
1325573	42	STIM=u
1331885	42	RESP=1
1341909	42	STIM=d
1346726	42	RESP=1
1360606	42	STIM=i
1366797	42	RESP=1
1376955	42	STIM=e
1387065	42	RESP=1
1393782	42	STIM=q
1396773	42	RESP=1
1412732	42	STIM=z
1416235	42	RESP=1
1427765	42	STIM=i
1438910	42	RESP=1
1445872	42	STIM=k
1451276	42	RESP=1
1463082	42	STIM=0
1466682	42	RESP=1
1481771	42	STIM=r
1489015	42	RESP=1
1498981	42	STIM=l
1502573	42	RESP=1
1516608	42	STIM=d
1521250	42	RESP=1
1534368	42	STIM=k
1538771	42	RESP=1
1551167	42	STIM=5
1557081	42	RESP=2
1567270	42	STIM=p
1573685	42	RESP=1
1583287	42	STIM=n
1587168	42	RESP=1
1600648	42	STIM=r
1604751	42	RESP=1
1618495	42	STIM=y
1624089	42	RESP=1
1635376	42	STIM=a
1639958	42	RESP=1
1653311	42	STIM=a
1656244	42	RESP=1
1668553	42	STIM=e
1674990	42	RESP=1
1686495	42	STIM=r
1689729	42	RESP=1
1703536	42	STIM=x
1707667	42	RESP=1
1722482	42	STIM=8
1726370	42	RESP=2
1741117	42	STIM=m
1745785	42	RESP=1
1758699	42	STIM=p
1761725	42	RESP=1
1776487	42	STIM=n
1781829	42	RESP=1
1795309	42	STIM=4
1802147	42	RESP=2
1812596	42	STIM=g
1815752	42	RESP=1
1829191	42	STIM=2
1837215	42	RESP=2
1845719	42	STIM=9
1849209	42	RESP=2
1862270	42	STIM=z
1869044	42	RESP=1
1880831	42	STIM=u
1887885	42	RESP=1
1896488	42	STIM=l
1900585	42	RESP=1
1912715	42	STIM=v
1916408	42	RESP=1
1930649	42	STIM=w
1937802	42	RESP=1
1947792	42	STIM=7
1952021	42	RESP=2
1965555	42	STIM=m
1968885	42	RESP=1
1983250	42	STIM=x
1987497	42	RESP=2
2001991	42	STIM=c
2005665	42	RESP=1
2018322	42	STIM=2
2023660	42	RESP=2
2034146	42	STIM=3
2041136	42	RESP=2
2051483	42	STIM=8
2055047	42	RESP=1
2066627	42	STIM=d
2069745	42	RESP=1
2082337	42	STIM=l
2089682	42	RESP=1
2098733	42	STIM=w
2102086	42	RESP=1
2115592	42	STIM=d
2122729	42	RESP=1
2133403	42	STIM=e
2138698	42	RESP=1
2152288	42	STIM=z
2158994	42	RESP=1
2170973	42	STIM=2
2175459	42	RESP=2
2186199	42	STIM=n
2193664	42	RESP=1
2201752	42	STIM=h
2205598	42	RESP=1
2217261	42	STIM=3
2221768	42	RESP=2
2236177	42	STIM=2
2241693	42	RESP=2
2253067	42	STIM=w
2256414	42	RESP=1
2269809	42	STIM=t
2275279	42	RESP=1
2288349	42	STIM=e
2294799	42	RESP=2
2306648	42	STIM=i
2310313	42	RESP=1
2322176	42	STIM=e
2326889	42	RESP=1
2337635	42	STIM=z
2343303	42	RESP=1
2355688	42	STIM=c
2358754	42	RESP=1
2372781	42	STIM=i
2378874	42	RESP=1
2388512	42	STIM=z
2395488	42	RESP=1
2406049	42	STIM=f
2410753	42	RESP=1
2423165	42	STIM=r
2428771	42	RESP=1
2441442	42	STIM=8
2449717	42	RESP=2
2459577	42	STIM=0
2465073	42	RESP=2
2475207	42	STIM=9
2480635	42	RESP=2
2493433	42	STIM=u
2504013	42	RESP=1
2509244	42	STIM=0
2517079	42	RESP=2
2524711	42	STIM=i
