# Original filename: 0050_KXP_2017-04-02.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38341	42	STIM=7
43354	42	RESP=2
54178	42	STIM=x
62290	42	RESP=1
73065	42	STIM=g
77113	42	RESP=1
88807	42	STIM=5
95340	42	RESP=1
104765	42	STIM=p
108044	42	RESP=1
121740	42	STIM=r
125184	42	RESP=1
139246	42	STIM=1
145259	42	RESP=2
157474	42	STIM=g
164360	42	RESP=1
173716	42	STIM=3
177471	42	RESP=2
188983	42	STIM=h
193026	42	RESP=1
206216	42	STIM=d
213354	42	RESP=1
223778	42	STIM=d
227224	42	RESP=1
242122	42	STIM=u
251445	42	RESP=1
260996	42	STIM=o
266120	42	RESP=1
278322	42	STIM=5
283087	42	RESP=1
296340	42	STIM=e
301341	42	RESP=1
313021	42	STIM=w
319706	42	RESP=1
331985	42	STIM=e
341904	42	RESP=1
348010	42	STIM=g
352602	42	RESP=1
363870	42	STIM=e
367801	42	RESP=1
379955	42	STIM=c
386685	42	RESP=1
395783	42	STIM=4
402992	42	RESP=2
411586	42	STIM=d
419030	42	RESP=1
430094	42	STIM=v
435006	42	RESP=1
446964	42	STIM=o
453500	42	RESP=1
464158	42	STIM=t
468455	42	RESP=1
479174	42	STIM=x
482807	42	RESP=1
494209	42	STIM=v
498735	42	RESP=1
511628	42	STIM=j
516833	42	RESP=1
529035	42	STIM=l
532393	42	RESP=1
547294	42	STIM=z
553095	42	RESP=1
562610	42	STIM=v
568331	42	RESP=1
578772	42	STIM=v
584588	42	RESP=1
594020	42	STIM=9
597899	42	RESP=2
609333	42	STIM=v
613168	42	RESP=1
624948	42	STIM=z
630913	42	RESP=1
641970	42	STIM=a
647142	42	RESP=1
658233	42	STIM=g
666147	42	RESP=1
676376	42	STIM=d
682815	42	RESP=1
693597	42	STIM=g
700911	42	RESP=1
709850	42	STIM=w
712515	42	RESP=2
727202	42	STIM=d
731550	42	RESP=1
743725	42	STIM=y
751763	42	RESP=1
759539	42	STIM=z
764519	42	RESP=1
776707	42	STIM=i
780669	42	RESP=1
793919	42	STIM=8
799019	42	RESP=2
812514	42	STIM=z
820653	42	RESP=1
830565	42	STIM=p
834736	42	RESP=1
849176	42	STIM=g
854830	42	RESP=1
864277	42	STIM=7
871756	42	RESP=2
882335	42	STIM=s
886699	42	RESP=2
898037	42	STIM=6
903446	42	RESP=2
915160	42	STIM=1
921721	42	RESP=2
931797	42	STIM=o
934814	42	RESP=1
949060	42	STIM=1
956034	42	RESP=2
967733	42	STIM=y
971093	42	RESP=1
985279	42	STIM=g
989756	42	RESP=1
1003168	42	STIM=g
1007088	42	RESP=1
1022082	42	STIM=g
1026579	42	RESP=1
1040136	42	STIM=b
1046222	42	RESP=1
1058277	42	STIM=g
1064442	42	RESP=1
1075688	42	STIM=l
1086193	42	RESP=1
1090740	42	STIM=f
1094833	42	RESP=1
1106003	42	STIM=q
1112020	42	RESP=1
1123832	42	STIM=a
1126722	42	RESP=1
1139895	42	STIM=q
1143691	42	RESP=1
1155072	42	STIM=d
1160381	42	RESP=1
1170775	42	STIM=c
1175339	42	RESP=1
1188929	42	STIM=o
1192614	42	RESP=1
1204111	42	STIM=r
1208301	42	RESP=1
1221976	42	STIM=g
1225166	42	RESP=1
1237078	42	STIM=c
1241763	42	RESP=1
1255507	42	STIM=d
1259203	42	RESP=1
1273004	42	STIM=w
1278297	42	RESP=1
1289319	42	STIM=9
1294077	42	RESP=2
1308303	42	STIM=3
1315637	42	RESP=1
1326424	42	STIM=2
1333540	42	RESP=2
1341849	42	STIM=j
1345316	42	RESP=1
1359741	42	STIM=x
1364137	42	RESP=1
1377544	42	STIM=o
1381838	42	RESP=1
1394146	42	STIM=f
1398208	42	RESP=1
1412201	42	STIM=7
1418060	42	RESP=2
1430512	42	STIM=v
1434635	42	RESP=1
1445804	42	STIM=d
1452089	42	RESP=1
1461339	42	STIM=q
1465737	42	RESP=1
1477019	42	STIM=v
1481133	42	RESP=1
1493925	42	STIM=j
1498810	42	RESP=1
1509832	42	STIM=e
1515181	42	RESP=1
1527698	42	STIM=m
1533190	42	RESP=1
1545864	42	STIM=5
1552323	42	RESP=2
1564441	42	STIM=s
1572294	42	RESP=1
1580104	42	STIM=d
1583109	42	RESP=1
1597386	42	STIM=a
1600723	42	RESP=1
1615529	42	STIM=n
1620807	42	RESP=1
1632433	42	STIM=s
1635697	42	RESP=1
1649679	42	STIM=s
1654076	42	RESP=1
1666432	42	STIM=b
1670029	42	RESP=1
1682714	42	STIM=d
1685876	42	RESP=1
1700828	42	STIM=u
1705457	42	RESP=1
1717285	42	STIM=i
1720395	42	RESP=1
1733583	42	STIM=r
1737255	42	RESP=1
1752340	42	STIM=p
1754750	42	RESP=1
1767800	42	STIM=r
1773441	42	RESP=1
1783999	42	STIM=e
1787623	42	RESP=1
1802377	42	STIM=e
1805237	42	RESP=1
1818036	42	STIM=j
1822511	42	RESP=1
1836441	42	STIM=u
1841411	42	RESP=1
1853851	42	STIM=m
1858516	42	RESP=1
1870527	42	STIM=b
1874319	42	RESP=1
1886671	42	STIM=n
1890383	42	RESP=1
1905430	42	STIM=q
1911057	42	RESP=1
1921405	42	STIM=j
1924755	42	RESP=1
1938226	42	STIM=8
1941727	42	RESP=2
1956635	42	STIM=z
1963879	42	RESP=1
1973271	42	STIM=i
1976474	42	RESP=1
1991911	42	STIM=j
1995643	42	RESP=1
2009620	42	STIM=g
2012883	42	RESP=1
2027981	42	STIM=6
2033102	42	RESP=1
2045769	42	STIM=s
2050267	42	RESP=1
2063853	42	STIM=t
2066951	42	RESP=1
2080560	42	STIM=0
2087491	42	RESP=2
2097495	42	STIM=y
2101136	42	RESP=1
2114450	42	STIM=k
2117928	42	RESP=1
2132655	42	STIM=u
2137093	42	RESP=1
2150554	42	STIM=w
2154757	42	RESP=1
2166006	42	STIM=g
2170845	42	RESP=1
2183031	42	STIM=s
2186591	42	RESP=1
2201662	42	STIM=z
2205376	42	RESP=1
2218818	42	STIM=e
2226262	42	RESP=1
2234729	42	STIM=r
2242155	42	RESP=1
2252153	42	STIM=j
2254923	42	RESP=1
2270862	42	STIM=s
2274809	42	RESP=1
2289244	42	STIM=3
2293685	42	RESP=2
2306725	42	STIM=n
2310921	42	RESP=1
2324011	42	STIM=1
2328401	42	RESP=2
2340407	42	STIM=l
2347375	42	RESP=1
2357811	42	STIM=k
2364491	42	RESP=1
2376009	42	STIM=1
2380978	42	RESP=2
2392589	42	STIM=5
2397026	42	RESP=2
2407646	42	STIM=j
2410668	42	RESP=1
2424126	42	STIM=q
2427233	42	RESP=1
2441790	42	STIM=l
2446594	42	RESP=1
2457390	42	STIM=0
2465608	42	RESP=2
2475489	42	STIM=i
2479209	42	RESP=1
2490860	42	STIM=g
2493369	42	RESP=1
2508807	42	STIM=8
2519710	42	RESP=2
2525898	42	STIM=t
2531200	42	RESP=1
2543469	42	STIM=j
2548753	42	RESP=1
2561416	42	STIM=z
2565258	42	RESP=1
2579120	42	STIM=b
2584023	42	RESP=1
2595490	42	STIM=6
2603712	42	RESP=2
2612606	42	STIM=x
2616301	42	RESP=1
2629826	42	STIM=2
2635270	42	RESP=1
2646784	42	STIM=y
2652046	42	RESP=1
2665446	42	STIM=e
2672052	42	RESP=1
2683747	42	STIM=f
2691286	42	RESP=1
2702659	42	STIM=4
2716590	42	RESP=2
2720382	42	STIM=n
2724009	42	RESP=1
2736754	42	STIM=s
2740164	42	RESP=1
2752056	42	STIM=g
2758417	42	RESP=1
2770393	42	STIM=d
2775633	42	RESP=1
2785890	42	STIM=z
2789697	42	RESP=1
2803064	42	STIM=h
2810684	42	RESP=1
2819464	42	STIM=8
2824691	42	RESP=2
2838371	42	STIM=z
2844201	42	RESP=1
2856967	42	STIM=b
2860288	42	RESP=1
2875657	42	STIM=w
2880040	42	RESP=1
2894586	42	STIM=i
2902087	42	RESP=1
2911032	42	STIM=a
2913601	42	RESP=1
2927139	42	STIM=0
2930919	42	RESP=1
2946083	42	STIM=u
2949688	42	RESP=1
2962180	42	STIM=j
2965761	42	RESP=1
2980468	42	STIM=9
2987305	42	RESP=1
2998755	42	STIM=2
3006941	42	RESP=1
3013813	42	STIM=9
3019114	42	RESP=2
3032458	42	STIM=1
3035980	42	RESP=2
3049379	42	STIM=k
3055704	42	RESP=1
3065627	42	STIM=n
3070579	42	RESP=1
3082259	42	STIM=h
3085705	42	RESP=1
3100310	42	STIM=3
3107640	42	RESP=2
3117961	42	STIM=a
3125818	42	RESP=1
3136930	42	STIM=w
3143009	42	RESP=1
3153991	42	STIM=a
3158770	42	RESP=1
3170514	42	STIM=v
3178705	42	RESP=1
3188941	42	STIM=z
3191948	42	RESP=1
3206822	42	STIM=4
3212615	42	RESP=2
3223046	42	STIM=r
3228758	42	RESP=1
3240573	42	STIM=p
3243567	42	RESP=1
3257630	42	STIM=k
3262082	42	RESP=1
3273078	42	STIM=f
3278929	42	RESP=1
3289078	42	STIM=l
3292612	42	RESP=1
3306293	42	STIM=2
3309974	42	RESP=2
3324547	42	STIM=o
3329666	42	RESP=1
3341995	42	STIM=b
3347184	42	RESP=1
3357510	42	STIM=o
3361110	42	RESP=1
3374620	42	STIM=a
3378138	42	RESP=1
3389772	42	STIM=0
3395056	42	RESP=2
3407664	42	STIM=0
3412946	42	RESP=2
3423684	42	STIM=m
3427213	42	RESP=1
3441291	42	STIM=g
3445158	42	RESP=1
3458420	42	STIM=3
3461940	42	RESP=2
3475266	42	STIM=u
3482264	42	RESP=1
3492843	42	STIM=j
3496749	42	RESP=1
3507937	42	STIM=x
3511474	42	RESP=1
3526543	42	STIM=0
3533490	42	RESP=2
3543824	42	STIM=m
3548568	42	RESP=2
3560217	42	STIM=n
3564501	42	RESP=1
3578280	42	STIM=n
3581576	42	RESP=2
3593340	42	STIM=p
3596990	42	RESP=1
3612335	42	STIM=v
3616033	42	RESP=1
3627973	42	STIM=h
3632612	42	RESP=1
3646512	42	STIM=x
3650694	42	RESP=1
3662672	42	STIM=b
3665800	42	RESP=1
3679364	42	STIM=w
3683849	42	RESP=1
3696174	42	STIM=6
3704509	42	RESP=2
3712326	42	STIM=1
3716625	42	RESP=2
3727357	42	STIM=y
3730821	42	RESP=1
3744375	42	STIM=y
3750238	42	RESP=1
3760670	42	STIM=j
3766710	42	RESP=1
3779590	42	STIM=m
3783413	42	RESP=1
3796101	42	STIM=m
3799813	42	RESP=1
3811120	42	STIM=s
3815934	42	RESP=1
3828490	42	STIM=c
3831154	42	RESP=1
3843709	42	STIM=m
3849303	42	RESP=1
3859553	42	STIM=2
3864241	42	RESP=2
3877429	42	STIM=1
3881812	42	RESP=2
3893249	42	STIM=l
3896807	42	RESP=1
3908888	42	STIM=3
3918081	42	RESP=2
3925268	42	STIM=o
3927610	42	RESP=1
3944016	42	STIM=f
3948505	42	RESP=1
3960793	42	STIM=1
3965001	42	RESP=2
3979786	42	STIM=l
3984657	42	RESP=1
3996292	42	STIM=q
4002827	42	RESP=1
4015110	42	STIM=p
4021853	42	RESP=1
4031237	42	STIM=m
4035998	42	RESP=1
4048474	42	STIM=h
4054226	42	RESP=1
4063706	42	STIM=q
4067024	42	RESP=1
4080427	42	STIM=v
4084840	42	RESP=1
4096690	42	STIM=s
4107208	42	RESP=1
4112306	42	STIM=w
4118240	42	RESP=1
4128476	42	STIM=2
4136398	42	RESP=1
4143698	42	STIM=a
4149172	42	RESP=1
4161584	42	STIM=i
4165500	42	RESP=1
4178034	42	STIM=k
4182892	42	RESP=1
4196154	42	STIM=j
4201501	42	RESP=1
4213230	42	STIM=g
4219145	42	RESP=1
4228646	42	STIM=0
4235254	42	RESP=2
4247551	42	STIM=t
4252267	42	RESP=1
4264211	42	STIM=z
4267332	42	RESP=1
4282929	42	STIM=a
4288696	42	RESP=1
4301834	42	STIM=b
4309122	42	RESP=1
4320357	42	STIM=4
4326364	42	RESP=2
4338439	42	STIM=n
4343953	42	RESP=2
4353748	42	STIM=x
4357503	42	RESP=1
4370893	42	STIM=k
4377319	42	RESP=1
4386608	42	STIM=n
4390430	42	RESP=2
4401848	42	STIM=9
4407021	42	RESP=2
4417812	42	STIM=5
4423938	42	RESP=2
4434375	42	STIM=6
4438429	42	RESP=2
4450051	42	STIM=f
4453619	42	RESP=1
4467369	42	STIM=7
4471401	42	RESP=2
4485415	42	STIM=c
4488664	42	RESP=1
4503972	42	STIM=u
4508143	42	RESP=1
4518998	42	STIM=o
4525302	42	RESP=1
4537944	42	STIM=v
4541420	42	RESP=2
4556675	42	STIM=5
4561935	42	RESP=2
4573903	42	STIM=g
4577184	42	RESP=1
4591687	42	STIM=z
4594472	42	RESP=1
4610331	42	STIM=g
4619814	42	RESP=1
4629067	42	STIM=1
4634275	42	RESP=2
4647589	42	STIM=c
4650586	42	RESP=1
4662661	42	STIM=b
4669726	42	RESP=1
4679480	42	STIM=j
4684901	42	RESP=1
4695193	42	STIM=l
4700562	42	RESP=1
4713968	42	STIM=z
4723191	42	RESP=1
4730939	42	STIM=c
4733673	42	RESP=1
4748932	42	STIM=f
4754170	42	RESP=1
4766181	42	STIM=d
4772518	42	RESP=2
4781364	42	STIM=j
4787067	42	RESP=1
4799060	42	STIM=3
4809208	42	RESP=2
4817278	42	STIM=t
4823176	42	RESP=1
4833283	42	STIM=s
4837208	42	RESP=1
4852126	42	STIM=e
4855594	42	RESP=1
4870053	42	STIM=m
4873847	42	RESP=1
4888258	42	STIM=v
4892589	42	RESP=1
4906174	42	STIM=x
4909745	42	RESP=1
4924061	42	STIM=s
4930307	42	RESP=1
4942417	42	STIM=7
4947244	42	RESP=1
4958043	42	STIM=t
4961469	42	RESP=1
4976550	42	STIM=i
4980582	42	RESP=2
4994409	42	STIM=m
4999760	42	RESP=1
5009460	42	STIM=7
5014578	42	RESP=2
5025694	42	STIM=g
5028633	42	RESP=1
5044063	42	STIM=g
5046757	42	RESP=1
5062103	42	STIM=g
5065955	42	RESP=1
5079054	42	STIM=s
5082647	42	RESP=1
5094114	42	STIM=b
5102805	42	RESP=1
5112958	42	STIM=k
5117492	42	RESP=1
5129903	42	STIM=f
5135919	42	RESP=1
5146508	42	STIM=c
5150161	42	RESP=1
5162679	42	STIM=7
5169037	42	RESP=2
5181270	42	STIM=b
5184207	42	RESP=1
5199688	42	STIM=e
5206306	42	RESP=1
5217001	42	STIM=l
5222595	42	RESP=1
5232270	42	STIM=x
5238623	42	RESP=1
5249860	42	STIM=n
5253631	42	RESP=1
5268709	42	STIM=y
5277520	42	RESP=1
5284441	42	STIM=7
5291081	42	RESP=2
5301308	42	STIM=k
5304487	42	RESP=1
5319813	42	STIM=a
5327323	42	RESP=1
5337175	42	STIM=b
5340646	42	RESP=1
5354948	42	STIM=q
5361866	42	RESP=1
5372945	42	STIM=w
5377111	42	RESP=1
5391679	42	STIM=9
5398445	42	RESP=2
5410497	42	STIM=h
5414885	42	RESP=1
5428677	42	STIM=7
5435963	42	RESP=2
5444037	42	STIM=3
5452128	42	RESP=2
5462251	42	STIM=a
5466933	42	RESP=1
5477413	42	STIM=z
5481009	42	RESP=1
5493156	42	STIM=h
5496354	42	RESP=1
5510361	42	STIM=h
5513641	42	RESP=1
5528758	42	STIM=6
5533594	42	RESP=2
5547660	42	STIM=c
5550482	42	RESP=1
5564554	42	STIM=o
5571760	42	RESP=1
5579878	42	STIM=p
5582621	42	RESP=2
5597980	42	STIM=w
5602345	42	RESP=1
5616821	42	STIM=m
5619671	42	RESP=1
5635577	42	STIM=x
5641619	42	RESP=1
5650912	42	STIM=7
5657147	42	RESP=2
5668221	42	STIM=y
5676114	42	RESP=1
5684506	42	STIM=b
5690094	42	RESP=1
5699680	42	STIM=o
5703964	42	RESP=1
5718157	42	STIM=v
5723842	42	RESP=1
5735253	42	STIM=f
5740360	42	RESP=1
5753976	42	STIM=h
5759294	42	RESP=1
5771856	42	STIM=f
5776369	42	RESP=1
5790831	42	STIM=z
5793881	42	RESP=1
5806888	42	STIM=n
5815440	42	RESP=1
5823011	42	STIM=o
5830242	42	RESP=1
5840978	42	STIM=s
5844627	42	RESP=1
5859944	42	STIM=6
5863650	42	RESP=2
5877730	42	STIM=x
5882234	42	RESP=1
5896621	42	STIM=k
5900337	42	RESP=1
5913540	42	STIM=r
5919287	42	RESP=1
5931313	42	STIM=k
5934107	42	RESP=1
5947469	42	STIM=k
5952838	42	RESP=1
5965786	42	STIM=n
5973466	42	RESP=1
5980832	42	STIM=x
5984446	42	RESP=1
5997005	42	STIM=d
6004909	42	RESP=1
6013802	42	STIM=l
6017991	42	RESP=1
6029358	42	STIM=3
6033418	42	RESP=2
6048354	42	STIM=q
6051548	42	RESP=1
6064058	42	STIM=2
6068628	42	RESP=2
6082871	42	STIM=7
6090227	42	RESP=1
6101509	42	STIM=f
6105583	42	RESP=1
6117159	42	STIM=5
6122708	42	RESP=2
6134995	42	STIM=k
6138940	42	RESP=1
6150415	42	STIM=i
6155435	42	RESP=1
6169290	42	STIM=k
6175744	42	RESP=1
6184567	42	STIM=6
6189705	42	RESP=2
6201288	42	STIM=e
6205271	42	RESP=1
6218367	42	STIM=a
6222518	42	RESP=1
6236093	42	STIM=k
6243131	42	RESP=1
6252571	42	STIM=1
6256783	42	RESP=2
6267805	42	STIM=8
6273195	42	RESP=1
6286644	42	STIM=8
6291960	42	RESP=2
6302232	42	STIM=7
6310533	42	RESP=2
6317749	42	STIM=b
6323141	42	RESP=1
6334294	42	STIM=y
6340632	42	RESP=1
6352549	42	STIM=r
6355542	42	RESP=2
6370230	42	STIM=1
6375488	42	RESP=2
6385978	42	STIM=o
6389129	42	RESP=1
6402327	42	STIM=x
6405718	42	RESP=1
6419138	42	STIM=w
6424608	42	RESP=1
6436070	42	STIM=u
6440868	42	RESP=1
6453542	42	STIM=d
6457088	42	RESP=1
6470098	42	STIM=e
6474446	42	RESP=1
6488069	42	STIM=f
6493157	42	RESP=1
6503998	42	STIM=h
6511125	42	RESP=1
6522466	42	STIM=c
6526595	42	RESP=1
6538881	42	STIM=p
6543574	42	RESP=1
6555153	42	STIM=t
6558653	42	RESP=1
6572674	42	STIM=a
6578822	42	RESP=1
6590522	42	STIM=s
6594840	42	RESP=1
6606388	42	STIM=r
6609840	42	RESP=1
6623008	42	STIM=s
6627798	42	RESP=1
6640335	42	STIM=g
6644160	42	RESP=1
6659285	42	STIM=z
6664377	42	RESP=1
6677908	42	STIM=r
6682094	42	RESP=1
6695419	42	STIM=w
6703289	42	RESP=1
6713319	42	STIM=j
6718630	42	RESP=1
6730471	42	STIM=1
6738305	42	RESP=2
6748747	42	STIM=k
6752496	42	RESP=1
6765743	42	STIM=2
6775275	42	RESP=2
6783476	42	STIM=t
6787693	42	RESP=1
6800911	42	STIM=q
6805903	42	RESP=1
6818255	42	STIM=t
6823162	42	RESP=1
6834773	42	STIM=4
6840345	42	RESP=1
6851308	42	STIM=1
6855862	42	RESP=2
6868376	42	STIM=f
6872074	42	RESP=1
6885239	42	STIM=m
6889797	42	RESP=1
6902446	42	STIM=p
6908337	42	RESP=1
6918850	42	STIM=9
6924095	42	RESP=2
6935517	42	STIM=g
6939241	42	RESP=1
6952868	42	STIM=j
6957409	42	RESP=1
6969659	42	STIM=1
6976764	42	RESP=2
6987194	42	STIM=t
6990274	42	RESP=1
7003314	42	STIM=m
7008139	42	RESP=1
7021063	42	STIM=e
7025472	42	RESP=1
7036207	42	STIM=q
