# Original filename: 0051_ODE_2017-01-25.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30562	42	STIM=b
38260	42	RESP=1
48271	42	STIM=k
54648	42	RESP=1
65528	42	STIM=r
71147	42	RESP=1
81389	42	STIM=o
84734	42	RESP=1
98121	42	STIM=b
105310	42	RESP=1
114689	42	STIM=k
118587	42	RESP=1
130653	42	STIM=r
135930	42	RESP=2
146161	42	STIM=z
151289	42	RESP=1
161627	42	STIM=o
166651	42	RESP=1
176928	42	STIM=l
179730	42	RESP=1
193709	42	STIM=4
197835	42	RESP=2
212180	42	STIM=k
217318	42	RESP=1
230379	42	STIM=y
236321	42	RESP=1
247394	42	STIM=f
251047	42	RESP=1
262577	42	STIM=x
265608	42	RESP=1
278091	42	STIM=a
284082	42	RESP=1
295617	42	STIM=t
299613	42	RESP=1
314333	42	STIM=k
317866	42	RESP=1
331199	42	STIM=0
335489	42	RESP=2
347043	42	STIM=g
354570	42	RESP=1
363720	42	STIM=t
368131	42	RESP=1
379717	42	STIM=x
386505	42	RESP=1
395280	42	STIM=8
399541	42	RESP=2
410382	42	STIM=e
414606	42	RESP=1
426044	42	STIM=l
429253	42	RESP=1
442608	42	STIM=0
450144	42	RESP=2
458568	42	STIM=2
464163	42	RESP=2
475502	42	STIM=2
479164	42	RESP=2
491806	42	STIM=a
496730	42	RESP=1
508956	42	STIM=c
511997	42	RESP=1
524443	42	STIM=u
526902	42	RESP=1
541219	42	STIM=z
544260	42	RESP=1
558767	42	STIM=s
562145	42	RESP=1
577073	42	STIM=5
581697	42	RESP=2
594375	42	STIM=f
601040	42	RESP=1
609593	42	STIM=2
613167	42	RESP=2
627519	42	STIM=o
632324	42	RESP=1
645949	42	STIM=5
651064	42	RESP=2
660958	42	STIM=s
665788	42	RESP=1
678296	42	STIM=m
684533	42	RESP=1
696479	42	STIM=4
703960	42	RESP=2
713976	42	STIM=6
720689	42	RESP=2
732049	42	STIM=n
735685	42	RESP=1
747788	42	STIM=y
750271	42	RESP=1
763226	42	STIM=s
767722	42	RESP=1
779007	42	STIM=p
787041	42	RESP=1
796828	42	STIM=m
800777	42	RESP=1
