# Original filename: 0052_BFG_2017-01-17.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37504	42	STIM=2
44969	42	RESP=2
54611	42	STIM=e
58326	42	RESP=1
71010	42	STIM=x
74371	42	RESP=1
88339	42	STIM=1
93449	42	RESP=2
105078	42	STIM=e
114111	42	RESP=1
122088	42	STIM=c
127911	42	RESP=1
138227	42	STIM=v
141859	42	RESP=1
156184	42	STIM=m
159335	42	RESP=1
172116	42	STIM=1
177360	42	RESP=2
190505	42	STIM=a
196292	42	RESP=1
207054	42	STIM=r
212623	42	RESP=1
222159	42	STIM=u
226740	42	RESP=1
237997	42	STIM=s
246498	42	RESP=1
255745	42	STIM=e
259814	42	RESP=1
270844	42	STIM=u
279507	42	RESP=1
287017	42	STIM=q
291372	42	RESP=1
305880	42	STIM=7
312794	42	RESP=2
322699	42	STIM=k
329140	42	RESP=1
341223	42	STIM=p
346803	42	RESP=1
357276	42	STIM=n
360506	42	RESP=1
372435	42	STIM=2
379364	42	RESP=2
388881	42	STIM=a
397415	42	RESP=1
406067	42	STIM=n
409480	42	RESP=1
423432	42	STIM=w
432783	42	RESP=1
440121	42	STIM=q
445244	42	RESP=1
456416	42	STIM=o
460710	42	RESP=1
473278	42	STIM=i
479961	42	RESP=1
491054	42	STIM=j
501431	42	RESP=1
509937	42	STIM=f
514484	42	RESP=1
528267	42	STIM=d
537174	42	RESP=1
545440	42	STIM=2
550510	42	RESP=2
562167	42	STIM=l
570368	42	RESP=1
580475	42	STIM=t
586846	42	RESP=1
598959	42	STIM=u
605061	42	RESP=1
616082	42	STIM=e
620848	42	RESP=1
635020	42	STIM=l
642335	42	RESP=2
653967	42	STIM=0
664519	42	RESP=2
670708	42	STIM=h
674088	42	RESP=1
685847	42	STIM=a
690151	42	RESP=1
702673	42	STIM=e
708228	42	RESP=1
718337	42	STIM=8
724824	42	RESP=2
735777	42	STIM=c
740072	42	RESP=1
751906	42	STIM=e
757509	42	RESP=1
769413	42	STIM=w
775360	42	RESP=1
786351	42	STIM=i
794374	42	RESP=1
804639	42	STIM=n
814976	42	RESP=1
822130	42	STIM=k
826120	42	RESP=1
837854	42	STIM=q
849003	42	RESP=1
854937	42	STIM=i
861271	42	RESP=1
871832	42	STIM=w
880463	42	RESP=1
889898	42	STIM=t
893283	42	RESP=1
908175	42	STIM=n
915893	42	RESP=1
925587	42	STIM=9
931507	42	RESP=2
942851	42	STIM=h
947961	42	RESP=1
957852	42	STIM=x
963192	42	RESP=1
975340	42	STIM=s
982717	42	RESP=1
993905	42	STIM=o
997200	42	RESP=1
1009945	42	STIM=t
1017028	42	RESP=1
1026166	42	STIM=3
1032425	42	RESP=2
1042270	42	STIM=k
1050588	42	RESP=1
1060707	42	STIM=h
1066403	42	RESP=1
1078919	42	STIM=0
1086165	42	RESP=2
1096766	42	STIM=f
1103834	42	RESP=1
1112626	42	STIM=h
1118024	42	RESP=1
1128406	42	STIM=m
1136778	42	RESP=1
1146212	42	STIM=6
1158401	42	RESP=2
1164379	42	STIM=l
1169350	42	RESP=1
1182268	42	STIM=x
1190311	42	RESP=1
1198994	42	STIM=y
1202239	42	RESP=1
1216575	42	STIM=e
1220880	42	RESP=1
1232110	42	STIM=y
1235968	42	RESP=1
1247455	42	STIM=o
1251023	42	RESP=1
1265273	42	STIM=g
1276543	42	RESP=1
1283806	42	STIM=n
1289737	42	RESP=1
1299783	42	STIM=4
1308485	42	RESP=1
1315171	42	STIM=o
1323293	42	RESP=1
1330287	42	STIM=o
1335430	42	RESP=1
1345702	42	STIM=b
1349547	42	RESP=1
1361262	42	STIM=1
1366292	42	RESP=2
1376726	42	STIM=f
1379922	42	RESP=1
1392254	42	STIM=0
1402204	42	RESP=2
1409978	42	STIM=w
1418197	42	RESP=1
1425631	42	STIM=n
1431338	42	RESP=1
1443944	42	STIM=3
1450879	42	RESP=2
1461049	42	STIM=i
1464481	42	RESP=1
1479723	42	STIM=a
