# Original filename: 0052_LOE_2016-11-08.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30385	42	STIM=3
36628	42	RESP=2
47080	42	STIM=v
52627	42	RESP=1
62982	42	STIM=7
71130	42	RESP=1
78578	42	STIM=h
85374	42	RESP=1
95785	42	STIM=5
101433	42	RESP=2
112601	42	STIM=7
124191	42	RESP=2
131405	42	STIM=i
135407	42	RESP=1
149043	42	STIM=8
154693	42	RESP=2
166093	42	STIM=o
169613	42	RESP=1
182575	42	STIM=1
191614	42	RESP=2
200114	42	STIM=y
208504	42	RESP=1
217501	42	STIM=t
225505	42	RESP=1
233011	42	STIM=f
238572	42	RESP=1
250937	42	STIM=i
258318	42	RESP=1
268755	42	STIM=k
274249	42	RESP=1
285947	42	STIM=n
291205	42	RESP=1
304104	42	STIM=7
314644	42	RESP=2
322502	42	STIM=t
327320	42	RESP=1
341165	42	STIM=w
347579	42	RESP=1
356228	42	STIM=t
362140	42	RESP=1
374399	42	STIM=h
380179	42	RESP=1
389627	42	STIM=t
396266	42	RESP=1
407699	42	STIM=j
418163	42	RESP=1
424713	42	STIM=t
428399	42	RESP=1
439847	42	STIM=r
446000	42	RESP=1
457326	42	STIM=a
462650	42	RESP=1
472811	42	STIM=a
479256	42	RESP=1
488053	42	STIM=w
491960	42	RESP=1
505611	42	STIM=a
515706	42	RESP=1
522579	42	STIM=t
527155	42	RESP=2
538421	42	STIM=p
549311	42	RESP=1
553658	42	STIM=0
565495	42	RESP=2
568984	42	STIM=l
576735	42	RESP=1
584677	42	STIM=o
596723	42	RESP=1
603476	42	STIM=0
610241	42	RESP=2
620481	42	STIM=7
628942	42	RESP=2
638492	42	STIM=f
642029	42	RESP=1
657426	42	STIM=b
660855	42	RESP=1
676269	42	STIM=b
680674	42	RESP=1
693846	42	STIM=e
699099	42	RESP=1
710681	42	STIM=0
717522	42	RESP=2
727496	42	STIM=w
735465	42	RESP=1
743409	42	STIM=c
749136	42	RESP=1
759709	42	STIM=d
763700	42	RESP=1
775657	42	STIM=h
780951	42	RESP=1
791628	42	STIM=k
797235	42	RESP=1
807890	42	STIM=6
813485	42	RESP=2
824814	42	STIM=i
829862	42	RESP=1
843303	42	STIM=0
850499	42	RESP=2
859267	42	STIM=j
864582	42	RESP=2
876489	42	STIM=c
879142	42	RESP=1
892428	42	STIM=b
898638	42	RESP=1
910923	42	STIM=u
916720	42	RESP=1
925939	42	STIM=9
932016	42	RESP=2
944004	42	STIM=q
953556	42	RESP=1
959859	42	STIM=s
964624	42	RESP=1
975487	42	STIM=i
980893	42	RESP=1
994034	42	STIM=r
1003136	42	RESP=1
1009655	42	STIM=m
1014878	42	RESP=1
1027865	42	STIM=z
1031656	42	RESP=1
1046022	42	STIM=h
1050266	42	RESP=1
1062450	42	STIM=n
1069666	42	RESP=1
1081384	42	STIM=5
1087441	42	RESP=2
1099230	42	STIM=2
1104948	42	RESP=2
1115712	42	STIM=r
1118789	42	RESP=1
1134251	42	STIM=m
1138717	42	RESP=1
1149610	42	STIM=k
1152845	42	RESP=1
1168029	42	STIM=9
1174588	42	RESP=2
1184749	42	STIM=p
1188960	42	RESP=1
1203677	42	STIM=c
1210943	42	RESP=1
1221865	42	STIM=p
1227913	42	RESP=1
1239486	42	STIM=c
1248349	42	RESP=1
1258379	42	STIM=v
1266296	42	RESP=1
1277232	42	STIM=t
1281052	42	RESP=1
1294876	42	STIM=d
1300752	42	RESP=1
1311186	42	STIM=i
1317670	42	RESP=1
1327106	42	STIM=w
1331259	42	RESP=1
1345959	42	STIM=g
1351995	42	RESP=1
1361871	42	STIM=h
1373057	42	RESP=1
1377510	42	STIM=5
1386239	42	RESP=1
1396056	42	STIM=o
1402749	42	RESP=1
1412436	42	STIM=5
1419448	42	RESP=2
1430351	42	STIM=3
1434097	42	RESP=1
1445607	42	STIM=x
1449369	42	RESP=2
1463890	42	STIM=b
1473547	42	RESP=1
1482660	42	STIM=b
1489462	42	RESP=2
1500295	42	STIM=i
1502793	42	RESP=1
1517690	42	STIM=m
1522870	42	RESP=1
1535106	42	STIM=d
1541135	42	RESP=1
1551545	42	STIM=y
1554540	42	RESP=1
1567390	42	STIM=s
1571883	42	RESP=1
1586137	42	STIM=y
1590653	42	RESP=2
1604625	42	STIM=o
1608219	42	RESP=1
1619661	42	STIM=j
1625431	42	RESP=1
1635063	42	STIM=d
1640356	42	RESP=1
1650402	42	STIM=t
1654984	42	RESP=1
1668678	42	STIM=w
1672140	42	RESP=1
1686201	42	STIM=m
1689426	42	RESP=1
1701680	42	STIM=6
1706782	42	RESP=2
1719520	42	STIM=r
1724540	42	RESP=1
1737680	42	STIM=v
1741178	42	RESP=2
1752981	42	STIM=n
1757601	42	RESP=1
1771112	42	STIM=p
1774761	42	RESP=1
1789263	42	STIM=p
1793271	42	RESP=1
1805938	42	STIM=4
1810446	42	RESP=2
1822461	42	STIM=p
1833439	42	RESP=2
1840201	42	STIM=v
1847662	42	RESP=1
1859067	42	STIM=v
1863006	42	RESP=1
1874407	42	STIM=g
1881273	42	RESP=1
1890936	42	STIM=e
1900767	42	RESP=1
1906483	42	STIM=c
1914794	42	RESP=1
1925425	42	STIM=o
1931863	42	RESP=1
1943851	42	STIM=p
1949955	42	RESP=1
1959323	42	STIM=s
1966339	42	RESP=2
1975947	42	STIM=3
1983937	42	RESP=2
1994543	42	STIM=b
2001243	42	RESP=1
2010212	42	STIM=3
2019670	42	RESP=2
2026813	42	STIM=k
2035196	42	RESP=1
2041922	42	STIM=o
2046429	42	RESP=1
2059707	42	STIM=f
2064524	42	RESP=1
2077994	42	STIM=k
2082651	42	RESP=1
2096032	42	STIM=c
2101926	42	RESP=2
2112349	42	STIM=6
2122193	42	RESP=1
2130280	42	STIM=v
2136629	42	RESP=1
2146917	42	STIM=w
2152883	42	RESP=1
2162669	42	STIM=c
2169366	42	RESP=1
2179854	42	STIM=u
2188385	42	RESP=1
2195769	42	STIM=c
2204677	42	RESP=1
2210981	42	STIM=r
2216190	42	RESP=1
2228167	42	STIM=s
2232530	42	RESP=1
2244698	42	STIM=7
2252094	42	RESP=2
2261527	42	STIM=y
2266766	42	RESP=1
2279000	42	STIM=v
2284266	42	RESP=1
2296818	42	STIM=m
2305709	42	RESP=1
2314048	42	STIM=d
2319614	42	RESP=1
2330346	42	STIM=t
2332933	42	RESP=1
2345749	42	STIM=c
2352976	42	RESP=1
2362056	42	STIM=s
2368871	42	RESP=1
2378959	42	STIM=a
2384633	42	RESP=1
2397437	42	STIM=x
2401589	42	RESP=1
2415861	42	STIM=a
2420486	42	RESP=1
2433998	42	STIM=d
2436927	42	RESP=2
2449437	42	STIM=t
2453615	42	RESP=2
2465531	42	STIM=q
2469481	42	RESP=1
2483155	42	STIM=s
2493489	42	RESP=1
2498578	42	STIM=8
2502586	42	RESP=1
2517503	42	STIM=x
2524231	42	RESP=1
2532904	42	STIM=h
2537781	42	RESP=1
2547931	42	STIM=t
2554889	42	RESP=1
2566686	42	STIM=c
2578941	42	RESP=1
2582048	42	STIM=i
2587548	42	RESP=1
2598604	42	STIM=s
2604511	42	RESP=1
2616800	42	STIM=z
2625193	42	RESP=1
2633175	42	STIM=8
2640339	42	RESP=1
2649188	42	STIM=t
2652556	42	RESP=1
2666510	42	STIM=m
2673548	42	RESP=1
2681880	42	STIM=0
2687647	42	RESP=2
2698900	42	STIM=8
2704036	42	RESP=2
2717253	42	STIM=n
2723856	42	RESP=1
2734360	42	STIM=c
2739218	42	RESP=1
2750177	42	STIM=n
2757670	42	RESP=1
2765715	42	STIM=v
2771775	42	RESP=1
2781133	42	STIM=l
2784745	42	RESP=1
2799808	42	STIM=3
2804859	42	RESP=2
2816383	42	STIM=r
2820319	42	RESP=1
2834985	42	STIM=2
2841172	42	RESP=2
2850354	42	STIM=r
2854373	42	RESP=1
2868149	42	STIM=f
2879495	42	RESP=1
2883694	42	STIM=q
2890057	42	RESP=1
2901260	42	STIM=n
2908054	42	RESP=1
2919266	42	STIM=h
2922795	42	RESP=1
2935894	42	STIM=s
2942043	42	RESP=1
2954512	42	STIM=1
2962958	42	RESP=2
2971873	42	STIM=8
2979584	42	RESP=2
2988664	42	STIM=y
2996314	42	RESP=1
3003909	42	STIM=r
3012218	42	RESP=1
3020480	42	STIM=6
3029948	42	RESP=2
3035667	42	STIM=2
3042269	42	RESP=1
3053428	42	STIM=b
3058336	42	RESP=1
3070691	42	STIM=k
3075243	42	RESP=1
3087470	42	STIM=p
3093736	42	RESP=1
3106437	42	STIM=r
3109399	42	RESP=1
3122154	42	STIM=t
3130453	42	RESP=1
3140096	42	STIM=v
3146587	42	RESP=1
3158559	42	STIM=g
3161284	42	RESP=2
3174746	42	STIM=v
3180790	42	RESP=1
3192083	42	STIM=y
3198568	42	RESP=1
3210992	42	STIM=l
3215662	42	RESP=1
3228389	42	STIM=e
3233699	42	RESP=1
3243898	42	STIM=g
3250820	42	RESP=1
3260579	42	STIM=1
3266141	42	RESP=2
3276956	42	STIM=c
3282378	42	RESP=1
3294581	42	STIM=a
3299812	42	RESP=1
3310076	42	STIM=m
3317603	42	RESP=1
3326428	42	STIM=m
3331778	42	RESP=1
3343931	42	STIM=0
3350815	42	RESP=1
3360041	42	STIM=n
3368615	42	RESP=1
3376562	42	STIM=m
3380726	42	RESP=1
3392468	42	STIM=f
3402617	42	RESP=1
3407989	42	STIM=i
3419977	42	RESP=1
3425469	42	STIM=u
3430383	42	RESP=1
3443080	42	STIM=s
3449052	42	RESP=1
3460666	42	STIM=b
3464762	42	RESP=1
3478524	42	STIM=9
3484451	42	RESP=1
3494766	42	STIM=u
3497813	42	RESP=1
3510515	42	STIM=p
3513620	42	RESP=1
3527548	42	STIM=6
3532710	42	RESP=2
3545602	42	STIM=9
3553974	42	RESP=2
3562634	42	STIM=t
3567954	42	RESP=1
3579703	42	STIM=s
3586512	42	RESP=1
3596267	42	STIM=1
3607363	42	RESP=2
3613017	42	STIM=l
3619110	42	RESP=1
3630475	42	STIM=o
3635806	42	RESP=1
3648178	42	STIM=q
3655434	42	RESP=1
3666616	42	STIM=7
3670367	42	RESP=1
3685413	42	STIM=o
3690162	42	RESP=1
3703531	42	STIM=b
3709953	42	RESP=1
3720155	42	STIM=w
3726045	42	RESP=1
3737827	42	STIM=w
3741928	42	RESP=1
3755360	42	STIM=m
3760211	42	RESP=1
3772453	42	STIM=d
3778090	42	RESP=1
3787993	42	STIM=p
3790331	42	RESP=1
3805949	42	STIM=t
3811425	42	RESP=1
3821780	42	STIM=1
3834532	42	RESP=2
3840572	42	STIM=7
3846960	42	RESP=2
3855897	42	STIM=g
3859800	42	RESP=1
3872915	42	STIM=y
3876826	42	RESP=1
3888962	42	STIM=q
3896769	42	RESP=2
3905499	42	STIM=j
3908608	42	RESP=1
