# Original filename: 0053_YZV_2017-08-10.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38286	42	STIM=n
44229	42	RESP=1
54337	42	STIM=m
61915	42	RESP=1
71556	42	STIM=u
80232	42	RESP=1
89270	42	STIM=p
98733	42	RESP=1
105408	42	STIM=g
110821	42	RESP=1
121707	42	STIM=u
125408	42	RESP=1
140563	42	STIM=4
152677	42	RESP=2
155657	42	STIM=g
163958	42	RESP=1
170728	42	STIM=a
174110	42	RESP=1
187705	42	STIM=i
190184	42	RESP=1
205775	42	STIM=o
211251	42	RESP=1
223441	42	STIM=0
228976	42	RESP=2
240395	42	STIM=2
248737	42	RESP=2
257978	42	STIM=9
262564	42	RESP=2
275299	42	STIM=x
281093	42	RESP=1
291363	42	STIM=x
296153	42	RESP=1
308708	42	STIM=c
316184	42	RESP=1
325725	42	STIM=9
332000	42	RESP=2
340764	42	STIM=r
348220	42	RESP=1
357525	42	STIM=4
363754	42	RESP=2
372829	42	STIM=h
379135	42	RESP=1
390552	42	STIM=m
395760	42	RESP=1
406315	42	STIM=g
414977	42	RESP=2
424842	42	STIM=3
428980	42	RESP=2
442772	42	STIM=m
449239	42	RESP=1
458954	42	STIM=r
466489	42	RESP=1
474708	42	STIM=x
480937	42	RESP=1
491000	42	STIM=n
496709	42	RESP=1
507939	42	STIM=o
512654	42	RESP=1
523114	42	STIM=w
528271	42	RESP=1
540937	42	STIM=2
546170	42	RESP=2
558967	42	STIM=3
565474	42	RESP=2
575657	42	STIM=k
585155	42	RESP=1
593436	42	STIM=h
596081	42	RESP=1
608972	42	STIM=1
615057	42	RESP=1
624011	42	STIM=g
628760	42	RESP=1
642660	42	STIM=z
648919	42	RESP=2
658934	42	STIM=y
662260	42	RESP=1
676848	42	STIM=p
683906	42	RESP=1
695162	42	STIM=q
700007	42	RESP=1
713598	42	STIM=5
718231	42	RESP=2
731715	42	STIM=x
741160	42	RESP=1
750376	42	STIM=m
758801	42	RESP=1
768766	42	STIM=f
773426	42	RESP=1
785242	42	STIM=k
790547	42	RESP=1
803770	42	STIM=v
810948	42	RESP=1
822756	42	STIM=7
828266	42	RESP=2
841662	42	STIM=x
846995	42	RESP=1
858609	42	STIM=e
863470	42	RESP=1
876589	42	STIM=n
879622	42	RESP=1
892427	42	STIM=k
898574	42	RESP=1
909885	42	STIM=u
914540	42	RESP=1
926262	42	STIM=c
932536	42	RESP=1
942167	42	STIM=a
947700	42	RESP=1
957304	42	STIM=3
962335	42	RESP=2
973722	42	STIM=g
980130	42	RESP=1
990132	42	STIM=p
996575	42	RESP=1
1008589	42	STIM=l
1011870	42	RESP=1
1024547	42	STIM=y
1029233	42	RESP=1
1043006	42	STIM=r
1046816	42	RESP=1
1058954	42	STIM=z
1075101	42	RESP=1
1076482	42	STIM=p
1080483	42	RESP=1
1094223	42	STIM=0
1098418	42	RESP=2
1112085	42	STIM=b
1117599	42	RESP=1
1129084	42	STIM=h
1135609	42	RESP=2
1147868	42	STIM=d
1154165	42	RESP=1
1166689	42	STIM=t
1173465	42	RESP=1
1182285	42	STIM=n
1186381	42	RESP=1
1198487	42	STIM=f
1205226	42	RESP=1
1215698	42	STIM=b
1221468	42	RESP=1
1232069	42	STIM=1
1237012	42	RESP=2
1249807	42	STIM=w
1254117	42	RESP=1
1266403	42	STIM=y
1272831	42	RESP=1
1285040	42	STIM=o
1292711	42	RESP=1
1303342	42	STIM=f
1309930	42	RESP=1
1318344	42	STIM=x
1326453	42	RESP=1
1335987	42	STIM=t
1341070	42	RESP=1
1353366	42	STIM=h
1357033	42	RESP=1
1371734	42	STIM=a
1377239	42	RESP=1
1387518	42	STIM=0
1392728	42	RESP=2
1404277	42	STIM=c
1407088	42	RESP=1
1420536	42	STIM=w
1428000	42	RESP=1
1439467	42	STIM=3
1445006	42	RESP=2
1456712	42	STIM=2
1464286	42	RESP=2
1472800	42	STIM=t
