# Original filename: 0054_FZQ_2017-01-25.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28641	42	STIM=m
32847	42	RESP=1
47577	42	STIM=b
53519	42	RESP=1
65375	42	STIM=y
70292	42	RESP=1
83839	42	STIM=6
88715	42	RESP=2
101668	42	STIM=e
105381	42	RESP=1
117882	42	STIM=j
122495	42	RESP=1
135129	42	STIM=7
139624	42	RESP=2
152920	42	STIM=g
161642	42	RESP=1
171807	42	STIM=w
176008	42	RESP=1
188988	42	STIM=q
193456	42	RESP=1
204324	42	STIM=m
208675	42	RESP=1
222273	42	STIM=l
225450	42	RESP=1
240204	42	STIM=k
246597	42	RESP=1
258110	42	STIM=t
261892	42	RESP=1
273521	42	STIM=d
279441	42	RESP=1
290779	42	STIM=r
297220	42	RESP=2
307567	42	STIM=n
311035	42	RESP=1
323952	42	STIM=d
327100	42	RESP=1
339213	42	STIM=i
342254	42	RESP=1
356353	42	STIM=q
359954	42	RESP=1
373743	42	STIM=m
377024	42	RESP=1
392378	42	STIM=4
398177	42	RESP=2
407681	42	STIM=0
411844	42	RESP=2
424268	42	STIM=h
431717	42	RESP=1
443011	42	STIM=w
448865	42	RESP=1
458129	42	STIM=r
462270	42	RESP=1
476058	42	STIM=1
481801	42	RESP=2
491969	42	STIM=9
501123	42	RESP=1
508402	42	STIM=p
511295	42	RESP=1
523537	42	STIM=8
529195	42	RESP=2
539288	42	STIM=g
545279	42	RESP=1
555160	42	STIM=r
558767	42	RESP=1
570543	42	STIM=p
573408	42	RESP=1
587041	42	STIM=0
591450	42	RESP=2
605405	42	STIM=0
609724	42	RESP=2
624272	42	STIM=i
631616	42	RESP=1
642702	42	STIM=o
647308	42	RESP=1
660587	42	STIM=0
666532	42	RESP=2
677069	42	STIM=h
680586	42	RESP=1
692610	42	STIM=0
699018	42	RESP=2
711187	42	STIM=u
717250	42	RESP=1
727531	42	STIM=4
734720	42	RESP=1
745502	42	STIM=z
749581	42	RESP=1
764006	42	STIM=j
769003	42	RESP=1
780972	42	STIM=s
785804	42	RESP=1
798908	42	STIM=j
804875	42	RESP=1
817238	42	STIM=b
821821	42	RESP=1
835033	42	STIM=m
839838	42	RESP=1
852745	42	STIM=5
858743	42	RESP=2
870951	42	STIM=u
875520	42	RESP=1
889278	42	STIM=f
897217	42	RESP=1
904580	42	STIM=k
909420	42	RESP=1
920692	42	STIM=n
923285	42	RESP=1
938804	42	STIM=d
942681	42	RESP=1
954343	42	STIM=f
957483	42	RESP=1
971946	42	STIM=g
975607	42	RESP=1
987349	42	STIM=x
990619	42	RESP=1
1005652	42	STIM=q
1009189	42	RESP=1
1021134	42	STIM=1
1029665	42	RESP=2
1036447	42	STIM=x
1040128	42	RESP=1
1053019	42	STIM=p
1056374	42	RESP=1
1071385	42	STIM=0
1081727	42	RESP=2
1086784	42	STIM=2
1094232	42	RESP=2
1105412	42	STIM=1
1109785	42	RESP=1
1120905	42	STIM=o
1124311	42	RESP=1
1139873	42	STIM=s
1146007	42	RESP=1
1155702	42	STIM=s
1158831	42	RESP=1
1174160	42	STIM=t
1178557	42	RESP=1
1190186	42	STIM=i
1199367	42	RESP=1
1208384	42	STIM=s
1215947	42	RESP=1
1226802	42	STIM=d
1230820	42	RESP=1
1243308	42	STIM=c
1252574	42	RESP=1
1258703	42	STIM=g
1263057	42	RESP=2
1277078	42	STIM=0
1283442	42	RESP=2
1292551	42	STIM=l
1296398	42	RESP=1
1311406	42	STIM=i
1317193	42	RESP=1
1329223	42	STIM=j
1333674	42	RESP=1
1346122	42	STIM=h
1350861	42	RESP=1
1364462	42	STIM=p
1368076	42	RESP=1
1381128	42	STIM=h
1385326	42	RESP=1
