# Original filename: 0054_IDT_2017-06-02.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35061	42	STIM=5
39438	42	RESP=1
53026	42	STIM=g
58856	42	RESP=1
71522	42	STIM=m
76900	42	RESP=1
90009	42	STIM=2
96343	42	RESP=2
108640	42	STIM=d
118639	42	RESP=1
124407	42	STIM=h
129283	42	RESP=1
141208	42	STIM=i
146568	42	RESP=1
159607	42	STIM=k
166211	42	RESP=1
175967	42	STIM=t
181802	42	RESP=1
192354	42	STIM=d
201527	42	RESP=1
210341	42	STIM=9
222903	42	RESP=1
229236	42	STIM=j
234966	42	RESP=1
245447	42	STIM=a
250066	42	RESP=1
260996	42	STIM=9
268519	42	RESP=2
278004	42	STIM=5
284386	42	RESP=2
293114	42	STIM=c
299335	42	RESP=1
308416	42	STIM=s
316762	42	RESP=1
325864	42	STIM=n
334573	42	RESP=1
341294	42	STIM=c
345727	42	RESP=1
356627	42	STIM=p
361190	42	RESP=1
371679	42	STIM=b
375583	42	RESP=1
387568	42	STIM=c
391744	42	RESP=1
405775	42	STIM=m
408557	42	RESP=1
421259	42	STIM=z
427049	42	RESP=1
438339	42	STIM=d
445139	42	RESP=1
453686	42	STIM=l
457408	42	RESP=1
470184	42	STIM=0
477345	42	RESP=2
487381	42	STIM=f
490907	42	RESP=1
502421	42	STIM=f
506549	42	RESP=1
517871	42	STIM=l
520924	42	RESP=1
534686	42	STIM=p
540735	42	RESP=1
550081	42	STIM=6
558557	42	RESP=2
567923	42	STIM=s
571591	42	RESP=1
585116	42	STIM=6
595865	42	RESP=2
602751	42	STIM=j
608975	42	RESP=1
617827	42	STIM=n
623761	42	RESP=1
635728	42	STIM=c
639182	42	RESP=1
651095	42	STIM=u
653541	42	RESP=1
669630	42	STIM=c
672529	42	RESP=1
685462	42	STIM=1
692853	42	RESP=2
704096	42	STIM=n
707332	42	RESP=1
721409	42	STIM=e
725623	42	RESP=2
739831	42	STIM=p
744618	42	RESP=1
758576	42	STIM=q
762528	42	RESP=1
775348	42	STIM=h
782114	42	RESP=1
792038	42	STIM=p
796409	42	RESP=1
808949	42	STIM=t
812457	42	RESP=1
825942	42	STIM=t
833080	42	RESP=1
842633	42	STIM=w
847506	42	RESP=1
858607	42	STIM=n
862666	42	RESP=1
875762	42	STIM=i
884414	42	RESP=1
892911	42	STIM=h
901443	42	RESP=1
910322	42	STIM=x
915251	42	RESP=1
925589	42	STIM=q
930965	42	RESP=1
940972	42	STIM=t
946006	42	RESP=1
958909	42	STIM=k
967467	42	RESP=1
976316	42	STIM=j
978789	42	RESP=1
994884	42	STIM=1
1001177	42	RESP=1
1012142	42	STIM=u
1022996	42	RESP=1
1028255	42	STIM=5
1032725	42	RESP=1
1043346	42	STIM=h
1049072	42	RESP=1
1061991	42	STIM=l
1069666	42	RESP=1
1077978	42	STIM=m
1083687	42	RESP=1
1095734	42	STIM=l
1102486	42	RESP=1
1111730	42	STIM=i
1115367	42	RESP=1
1127650	42	STIM=l
1131550	42	RESP=1
1144730	42	STIM=u
1150867	42	RESP=1
1161988	42	STIM=o
1167423	42	RESP=1
1179760	42	STIM=w
1184088	42	RESP=1
1197275	42	STIM=k
1202681	42	RESP=1
1213346	42	STIM=z
1218193	42	RESP=1
1230057	42	STIM=i
1238142	42	RESP=1
1247631	42	STIM=3
1254118	42	RESP=2
1266107	42	STIM=v
1270055	42	RESP=1
1283554	42	STIM=p
1287460	42	RESP=2
1301572	42	STIM=l
1309409	42	RESP=1
1319492	42	STIM=c
1324804	42	RESP=1
1336739	42	STIM=4
1345179	42	RESP=2
1354642	42	STIM=h
1359412	42	RESP=1
1372074	42	STIM=q
1377600	42	RESP=1
1388641	42	STIM=e
1394587	42	RESP=1
1404602	42	STIM=5
1413894	42	RESP=2
1421988	42	STIM=8
1427567	42	RESP=2
1439035	42	STIM=9
1443882	42	RESP=2
1457806	42	STIM=c
1463994	42	RESP=1
1475980	42	STIM=j
1480228	42	RESP=1
1493577	42	STIM=h
1498972	42	RESP=1
1511750	42	STIM=k
1519607	42	RESP=1
1528508	42	STIM=n
1534292	42	RESP=1
1544113	42	STIM=b
1553057	42	RESP=1
1562545	42	STIM=4
1570331	42	RESP=1
1579680	42	STIM=g
1583608	42	RESP=1
1597430	42	STIM=a
1608323	42	RESP=1
1613122	42	STIM=i
1617324	42	RESP=1
1629700	42	STIM=t
1634904	42	RESP=1
1645547	42	STIM=y
1648680	42	RESP=1
1660668	42	STIM=0
1668111	42	RESP=1
1676005	42	STIM=2
1681724	42	RESP=1
1693631	42	STIM=0
1700407	42	RESP=2
1709687	42	STIM=q
1716746	42	RESP=1
1724885	42	STIM=e
1729167	42	RESP=1
1743437	42	STIM=p
1748306	42	RESP=2
1760084	42	STIM=e
1763382	42	RESP=1
1778251	42	STIM=q
1786713	42	RESP=1
1794096	42	STIM=f
1799228	42	RESP=1
1809248	42	STIM=z
1816293	42	RESP=1
1824724	42	STIM=h
1828232	42	RESP=1
1843300	42	STIM=f
1847299	42	RESP=1
1861915	42	STIM=6
1868218	42	RESP=2
1879911	42	STIM=w
1884412	42	RESP=1
1898847	42	STIM=b
1906344	42	RESP=1
1914788	42	STIM=f
1922569	42	RESP=1
1930378	42	STIM=v
1936561	42	RESP=1
1945500	42	STIM=6
1950378	42	RESP=2
1961908	42	STIM=r
1967030	42	RESP=1
1980218	42	STIM=k
1984989	42	RESP=1
1998443	42	STIM=f
2004937	42	RESP=1
2015556	42	STIM=8
2021593	42	RESP=2
2030760	42	STIM=9
2034666	42	RESP=2
2049152	42	STIM=r
2054140	42	RESP=1
2065881	42	STIM=g
2072292	42	RESP=1
2084612	42	STIM=l
2089307	42	RESP=1
2102997	42	STIM=w
2108449	42	RESP=1
2120391	42	STIM=u
2124347	42	RESP=1
2138035	42	STIM=v
2145794	42	RESP=1
2154213	42	STIM=r
2162755	42	RESP=1
2173067	42	STIM=b
2178919	42	RESP=1
2191859	42	STIM=b
2197544	42	RESP=1
2207019	42	STIM=n
2212656	42	RESP=1
2225923	42	STIM=3
2233733	42	RESP=2
2243563	42	STIM=9
2249366	42	RESP=1
2259078	42	STIM=d
2262974	42	RESP=1
2274329	42	STIM=f
2279450	42	RESP=1
2289890	42	STIM=q
2292903	42	RESP=1
2307685	42	STIM=w
2311539	42	RESP=1
2323114	42	STIM=h
2329073	42	RESP=1
2338173	42	STIM=x
2341558	42	RESP=1
2355261	42	STIM=f
2358696	42	RESP=1
2371333	42	STIM=e
2377695	42	RESP=1
2389346	42	STIM=v
2392863	42	RESP=1
2404719	42	STIM=1
2411092	42	RESP=2
2423367	42	STIM=k
2427336	42	RESP=1
2441396	42	STIM=j
2450362	42	RESP=1
2459009	42	STIM=h
2465582	42	RESP=1
2476940	42	STIM=9
2482656	42	RESP=1
2494484	42	STIM=t
2497369	42	RESP=1
2511257	42	STIM=w
2515061	42	RESP=1
2527632	42	STIM=5
2534853	42	RESP=2
2543431	42	STIM=t
2555762	42	RESP=1
2561361	42	STIM=0
2566299	42	RESP=2
2576783	42	STIM=c
2591782	42	RESP=1
2593196	42	STIM=4
2598897	42	RESP=2
2611465	42	STIM=i
2619373	42	RESP=1
2629740	42	STIM=q
2636702	42	RESP=1
2644902	42	STIM=8
2653795	42	RESP=2
2661873	42	STIM=4
2672448	42	RESP=1
2678789	42	STIM=g
2683100	42	RESP=1
2694726	42	STIM=4
2699084	42	RESP=2
2711614	42	STIM=a
2718339	42	RESP=1
2727406	42	STIM=k
2732119	42	RESP=1
2744151	42	STIM=5
2749724	42	RESP=2
2761460	42	STIM=x
2768335	42	RESP=2
2779341	42	STIM=y
2786045	42	RESP=1
2797741	42	STIM=f
2804969	42	RESP=1
2816105	42	STIM=i
2819794	42	RESP=1
2833732	42	STIM=v
2839906	42	RESP=1
2849115	42	STIM=e
2854425	42	RESP=1
2867040	42	STIM=o
2871768	42	RESP=1
2884458	42	STIM=a
2889095	42	RESP=1
2903294	42	STIM=e
2911253	42	RESP=1
2918381	42	STIM=d
2922572	42	RESP=1
2936704	42	STIM=q
2940985	42	RESP=1
2955551	42	STIM=o
2960577	42	RESP=1
2970869	42	STIM=q
2974882	42	RESP=1
2989639	42	STIM=y
2993206	42	RESP=1
3007869	42	STIM=j
3012890	42	RESP=2
3024751	42	STIM=m
3031696	42	RESP=1
3043088	42	STIM=m
3047534	42	RESP=1
3059582	42	STIM=c
3063790	42	RESP=1
3077358	42	STIM=e
3081285	42	RESP=1
3093919	42	STIM=9
3100059	42	RESP=2
3109890	42	STIM=0
3117148	42	RESP=2
3125558	42	STIM=b
3133959	42	RESP=1
3143873	42	STIM=x
3148145	42	RESP=1
3160741	42	STIM=6
3168168	42	RESP=2
3179244	42	STIM=s
3185423	42	RESP=1
3196383	42	STIM=s
3208278	42	RESP=1
3213922	42	STIM=g
3219804	42	RESP=1
3229100	42	STIM=v
3232336	42	RESP=1
3247115	42	STIM=a
3249651	42	RESP=1
3263103	42	STIM=a
3265881	42	RESP=1
3279192	42	STIM=n
3283691	42	RESP=1
3294546	42	STIM=m
3302085	42	RESP=1
3310700	42	STIM=z
3316084	42	RESP=1
3326263	42	STIM=j
3331900	42	RESP=1
3342040	42	STIM=i
3349230	42	RESP=1
3359347	42	STIM=u
3363576	42	RESP=1
3376891	42	STIM=n
3381207	42	RESP=1
3395865	42	STIM=v
3399871	42	RESP=1
3413293	42	STIM=k
3416382	42	RESP=1
3428328	42	STIM=c
3432941	42	RESP=1
3443536	42	STIM=3
3448444	42	RESP=2
3460663	42	STIM=e
3464746	42	RESP=1
3479492	42	STIM=y
3485166	42	RESP=1
3497985	42	STIM=p
3502906	42	RESP=1
3516473	42	STIM=z
3528910	42	RESP=1
3532856	42	STIM=q
3538329	42	RESP=1
3550457	42	STIM=k
3553803	42	RESP=1
3568552	42	STIM=7
3573901	42	RESP=2
3584466	42	STIM=r
3589443	42	RESP=1
3600081	42	STIM=m
3606142	42	RESP=1
3615771	42	STIM=a
3622824	42	RESP=1
3631664	42	STIM=s
3639015	42	RESP=1
3649427	42	STIM=j
3654519	42	RESP=1
3664642	42	STIM=r
3671127	42	RESP=1
3683323	42	STIM=h
3687192	42	RESP=1
3702213	42	STIM=r
3705737	42	RESP=1
3718281	42	STIM=f
3723669	42	RESP=1
3733681	42	STIM=k
3740166	42	RESP=1
3750208	42	STIM=n
3754576	42	RESP=1
3766105	42	STIM=p
3771536	42	RESP=1
3782673	42	STIM=1
3788154	42	RESP=2
3798257	42	STIM=j
3801961	42	RESP=1
3816044	42	STIM=9
3822870	42	RESP=2
3832081	42	STIM=b
3837789	42	RESP=1
3847580	42	STIM=0
3852476	42	RESP=1
3864945	42	STIM=m
3870798	42	RESP=1
3881034	42	STIM=v
3884387	42	RESP=1
3896167	42	STIM=w
3900970	42	RESP=1
3913091	42	STIM=c
3917966	42	RESP=1
3930473	42	STIM=h
3934737	42	RESP=1
3946972	42	STIM=n
3953138	42	RESP=1
3964599	42	STIM=c
3969053	42	RESP=1
3982180	42	STIM=b
3985586	42	RESP=2
3999713	42	STIM=e
4006401	42	RESP=1
4015076	42	STIM=i
4019711	42	RESP=2
4032593	42	STIM=d
4036589	42	RESP=2
4048666	42	STIM=l
4052120	42	RESP=1
4066227	42	STIM=9
4071819	42	RESP=2
4084662	42	STIM=t
4088241	42	RESP=1
4099817	42	STIM=h
4103640	42	RESP=1
4117058	42	STIM=e
4120034	42	RESP=1
4133776	42	STIM=6
4138509	42	RESP=2
4149962	42	STIM=b
4154328	42	RESP=1
4168777	42	STIM=k
