# Original filename: 0058_FIQ_2017-03-08.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27127	42	STIM=k
33156	42	RESP=1
45444	42	STIM=e
48287	42	RESP=1
62954	42	STIM=i
67593	42	RESP=1
79620	42	STIM=c
87354	42	RESP=1
95470	42	STIM=a
100880	42	RESP=1
112495	42	STIM=a
122829	42	RESP=1
128164	42	STIM=6
136154	42	RESP=2
143346	42	STIM=o
147762	42	RESP=1
160078	42	STIM=k
166940	42	RESP=1
176960	42	STIM=a
181219	42	RESP=1
195314	42	STIM=r
202580	42	RESP=1
210478	42	STIM=p
215283	42	RESP=1
227736	42	STIM=r
242313	42	RESP=1
245051	42	STIM=q
248443	42	RESP=1
261519	42	STIM=a
265864	42	RESP=1
277349	42	STIM=e
286218	42	RESP=1
295021	42	STIM=r
302065	42	RESP=1
313658	42	STIM=0
319031	42	RESP=2
328791	42	STIM=p
334184	42	RESP=1
346030	42	STIM=z
353185	42	RESP=1
362671	42	STIM=0
368264	42	RESP=2
381191	42	STIM=b
384479	42	RESP=1
399985	42	STIM=0
409453	42	RESP=2
416259	42	STIM=g
422862	42	RESP=1
432853	42	STIM=8
438851	42	RESP=2
448725	42	STIM=4
459849	42	RESP=2
464707	42	STIM=g
468370	42	RESP=1
482018	42	STIM=b
489069	42	RESP=1
499775	42	STIM=r
503357	42	RESP=1
515889	42	STIM=2
524928	42	RESP=2
531169	42	STIM=5
536305	42	RESP=2
547975	42	STIM=6
557819	42	RESP=2
564106	42	STIM=k
567039	42	RESP=1
580454	42	STIM=l
585088	42	RESP=1
597271	42	STIM=x
600872	42	RESP=1
615044	42	STIM=j
621876	42	RESP=1
630365	42	STIM=x
635524	42	RESP=1
646024	42	STIM=q
653879	42	RESP=1
664966	42	STIM=l
672232	42	RESP=1
682892	42	STIM=g
688639	42	RESP=1
699745	42	STIM=z
703485	42	RESP=1
717527	42	STIM=8
723018	42	RESP=2
732878	42	STIM=i
737185	42	RESP=1
751351	42	STIM=f
758598	42	RESP=1
767336	42	STIM=t
770717	42	RESP=1
785788	42	STIM=n
795487	42	RESP=2
802246	42	STIM=3
810692	42	RESP=2
821014	42	STIM=v
827089	42	RESP=1
838238	42	STIM=4
847397	42	RESP=2
857194	42	STIM=n
863179	42	RESP=1
876100	42	STIM=t
880458	42	RESP=1
894666	42	STIM=m
901682	42	RESP=1
910766	42	STIM=j
919572	42	RESP=1
928799	42	STIM=h
939652	42	RESP=1
947173	42	STIM=k
954992	42	RESP=1
965330	42	STIM=o
971573	42	RESP=1
981138	42	STIM=3
991327	42	RESP=2
999547	42	STIM=r
1015879	42	RESP=1
1018495	42	STIM=b
1023504	42	RESP=1
1035981	42	STIM=1
1041277	42	RESP=2
