# Original filename: 0058_NKR_2017-03-23.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
34951	42	STIM=q
38444	42	RESP=1
52404	42	STIM=q
56464	42	RESP=1
67768	42	STIM=z
73846	42	RESP=1
86365	42	STIM=j
91269	42	RESP=1
103046	42	STIM=i
109895	42	RESP=1
120467	42	STIM=4
125670	42	RESP=2
136997	42	STIM=o
142619	42	RESP=1
155539	42	STIM=i
160398	42	RESP=1
173191	42	STIM=g
179607	42	RESP=1
190613	42	STIM=k
197246	42	RESP=1
207153	42	STIM=s
210622	42	RESP=1
224411	42	STIM=6
233747	42	RESP=2
240965	42	STIM=w
245702	42	RESP=1
259146	42	STIM=0
263623	42	RESP=2
274880	42	STIM=e
281042	42	RESP=1
293253	42	STIM=f
297891	42	RESP=1
308673	42	STIM=k
317171	42	RESP=1
326328	42	STIM=h
332587	42	RESP=1
343527	42	STIM=w
349706	42	RESP=1
362143	42	STIM=h
366439	42	RESP=1
379166	42	STIM=m
384596	42	RESP=1
397639	42	STIM=r
401692	42	RESP=1
413392	42	STIM=r
418717	42	RESP=2
431874	42	STIM=g
435848	42	RESP=1
448190	42	STIM=8
459689	42	RESP=2
464500	42	STIM=q
469619	42	RESP=1
480065	42	STIM=8
483861	42	RESP=2
498458	42	STIM=x
501153	42	RESP=1
514953	42	STIM=d
521574	42	RESP=1
532165	42	STIM=v
538320	42	RESP=2
547531	42	STIM=b
551344	42	RESP=1
565097	42	STIM=m
568850	42	RESP=1
583672	42	STIM=l
589064	42	RESP=1
602524	42	STIM=0
608537	42	RESP=2
619301	42	STIM=a
623597	42	RESP=1
634396	42	STIM=w
639640	42	RESP=1
650599	42	STIM=g
656919	42	RESP=1
667166	42	STIM=p
671063	42	RESP=1
685070	42	STIM=u
688099	42	RESP=1
703902	42	STIM=x
710102	42	RESP=1
721898	42	STIM=v
726741	42	RESP=1
739392	42	STIM=j
743598	42	RESP=1
757721	42	STIM=w
763837	42	RESP=1
775958	42	STIM=4
782448	42	RESP=2
793346	42	STIM=1
803427	42	RESP=2
811868	42	STIM=k
816603	42	RESP=1
830017	42	STIM=5
837685	42	RESP=1
846961	42	STIM=m
854921	42	RESP=1
862225	42	STIM=7
868612	42	RESP=2
879643	42	STIM=7
892132	42	RESP=2
898025	42	STIM=4
904841	42	RESP=1
916568	42	STIM=n
920002	42	RESP=1
933206	42	STIM=e
936319	42	RESP=1
950940	42	STIM=8
958019	42	RESP=2
966198	42	STIM=j
971499	42	RESP=1
981244	42	STIM=9
988486	42	RESP=2
998846	42	STIM=f
1002252	42	RESP=1
1015377	42	STIM=0
1020988	42	RESP=2
1033504	42	STIM=n
1038026	42	RESP=1
1050036	42	STIM=5
1055191	42	RESP=2
1067356	42	STIM=j
1071481	42	RESP=1
1085258	42	STIM=e
1089331	42	RESP=1
1101065	42	STIM=k
1109838	42	RESP=1
1119749	42	STIM=c
1124746	42	RESP=1
1138130	42	STIM=b
1145798	42	RESP=1
1153372	42	STIM=m
1158781	42	RESP=1
1172300	42	STIM=2
1182246	42	RESP=2
1190021	42	STIM=f
1193917	42	RESP=2
1206054	42	STIM=7
1213449	42	RESP=2
1221522	42	STIM=7
1227308	42	RESP=2
1238550	42	STIM=q
1242392	42	RESP=1
1254432	42	STIM=9
1260631	42	RESP=2
1272322	42	STIM=e
1281917	42	RESP=1
1288354	42	STIM=i
1295177	42	RESP=1
1306746	42	STIM=6
1314302	42	RESP=2
1322711	42	STIM=h
1325651	42	RESP=1
1339233	42	STIM=k
1344655	42	RESP=1
1356100	42	STIM=g
1359836	42	RESP=1
1371275	42	STIM=t
1378019	42	RESP=1
1387634	42	STIM=v
1392699	42	RESP=2
1406066	42	STIM=3
1413743	42	RESP=2
1423260	42	STIM=k
1430093	42	RESP=1
1438850	42	STIM=0
1444434	42	RESP=2
1453891	42	STIM=n
1460779	42	RESP=1
1471784	42	STIM=j
1477150	42	RESP=1
1488853	42	STIM=w
1494765	42	RESP=1
1504270	42	STIM=2
1510505	42	RESP=2
1522831	42	STIM=v
1526994	42	RESP=1
1538876	42	STIM=l
1548006	42	RESP=1
1553886	42	STIM=g
1561497	42	RESP=1
1569854	42	STIM=y
1574221	42	RESP=1
1588622	42	STIM=e
1591426	42	RESP=1
1606771	42	STIM=7
1613298	42	RESP=1
1624552	42	STIM=g
1631783	42	RESP=1
1641233	42	STIM=a
1648893	42	RESP=1
1659233	42	STIM=s
1666440	42	RESP=1
1677586	42	STIM=l
1681574	42	RESP=1
1695923	42	STIM=o
1702066	42	RESP=1
1714123	42	STIM=n
1718502	42	RESP=1
1730679	42	STIM=i
1736722	42	RESP=1
1746877	42	STIM=h
1751852	42	RESP=1
1763180	42	STIM=u
1771517	42	RESP=1
1780369	42	STIM=g
1785360	42	RESP=1
1798306	42	STIM=v
1807819	42	RESP=1
1816981	42	STIM=j
1825235	42	RESP=1
1833885	42	STIM=j
1840789	42	RESP=1
1851562	42	STIM=d
1855214	42	RESP=1
1869991	42	STIM=u
1874334	42	RESP=1
