# Original filename: 0059_KKL_2017-08-27.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38186	42	STIM=f
46828	42	RESP=1
53972	42	STIM=n
58503	42	RESP=1
72735	42	STIM=g
78434	42	RESP=1
89124	42	STIM=k
101349	42	RESP=1
105878	42	STIM=4
112615	42	RESP=2
121947	42	STIM=t
126702	42	RESP=1
138535	42	STIM=u
142695	42	RESP=1
153567	42	STIM=l
156985	42	RESP=1
172044	42	STIM=1
178415	42	RESP=2
187525	42	STIM=g
192526	42	RESP=1
203126	42	STIM=3
210170	42	RESP=1
221565	42	STIM=6
227665	42	RESP=2
238533	42	STIM=l
245354	42	RESP=1
253841	42	STIM=p
260134	42	RESP=2
268883	42	STIM=k
275316	42	RESP=1
285946	42	STIM=s
294997	42	RESP=2
302675	42	STIM=v
310583	42	RESP=1
317897	42	STIM=e
322591	42	RESP=1
335686	42	STIM=a
340791	42	RESP=1
352542	42	STIM=6
356625	42	RESP=2
369786	42	STIM=2
373914	42	RESP=2
385662	42	STIM=c
389425	42	RESP=1
403280	42	STIM=m
407905	42	RESP=1
418722	42	STIM=k
422745	42	RESP=1
436432	42	STIM=0
443187	42	RESP=2
454564	42	STIM=f
457861	42	RESP=1
471987	42	STIM=s
477509	42	RESP=1
488875	42	STIM=r
491694	42	RESP=1
506555	42	STIM=r
512436	42	RESP=1
522122	42	STIM=r
530408	42	RESP=1
540413	42	STIM=c
545454	42	RESP=1
558564	42	STIM=b
565194	42	RESP=1
575014	42	STIM=t
582875	42	RESP=1
593225	42	STIM=6
601736	42	RESP=2
610379	42	STIM=z
613687	42	RESP=1
627642	42	STIM=u
633863	42	RESP=1
644939	42	STIM=b
650253	42	RESP=1
660493	42	STIM=h
669123	42	RESP=1
677462	42	STIM=h
683180	42	RESP=1
694846	42	STIM=1
701244	42	RESP=2
710439	42	STIM=r
716304	42	RESP=1
726548	42	STIM=d
730456	42	RESP=1
744598	42	STIM=x
751143	42	RESP=1
760257	42	STIM=b
766492	42	RESP=1
777181	42	STIM=p
782282	42	RESP=1
794794	42	STIM=i
798888	42	RESP=1
813285	42	STIM=v
820556	42	RESP=1
831191	42	STIM=u
837575	42	RESP=1
847804	42	STIM=5
852917	42	RESP=2
864437	42	STIM=a
868492	42	RESP=1
882107	42	STIM=u
887784	42	RESP=1
899599	42	STIM=j
904226	42	RESP=1
916935	42	STIM=p
922440	42	RESP=1
934852	42	STIM=p
939901	42	RESP=1
949930	42	STIM=n
959329	42	RESP=1
967456	42	STIM=f
970056	42	RESP=1
984791	42	STIM=2
993000	42	RESP=2
1001835	42	STIM=5
1007469	42	RESP=1
1016883	42	STIM=2
1023413	42	RESP=2
1035081	42	STIM=t
1040847	42	RESP=1
1052877	42	STIM=s
1058032	42	RESP=1
1070697	42	STIM=f
1076515	42	RESP=1
1087623	42	STIM=b
1091912	42	RESP=1
1106468	42	STIM=9
1112837	42	RESP=1
1125089	42	STIM=k
1129374	42	RESP=1
1142891	42	STIM=7
1149717	42	RESP=2
1158178	42	STIM=n
1165301	42	RESP=1
1175761	42	STIM=e
1180142	42	RESP=1
1191247	42	STIM=6
1200786	42	RESP=2
