# Original filename: 0011_VEF_2016-09-12.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
29146	42	STIM=l
33450	42	RESP=1
47330	42	STIM=e
51484	42	RESP=1
63220	42	STIM=3
68019	42	RESP=2
78311	42	STIM=w
83567	42	RESP=1
96750	42	STIM=o
101473	42	RESP=1
112370	42	STIM=t
116186	42	RESP=1
129710	42	STIM=0
137525	42	RESP=2
145099	42	STIM=x
149240	42	RESP=1
164018	42	STIM=w
168018	42	RESP=1
179750	42	STIM=5
186362	42	RESP=2
196709	42	STIM=g
204240	42	RESP=1
212157	42	STIM=f
217219	42	RESP=1
229010	42	STIM=1
232562	42	RESP=2
245976	42	STIM=2
250263	42	RESP=2
261568	42	STIM=k
264451	42	RESP=1
280055	42	STIM=f
285196	42	RESP=1
298081	42	STIM=x
305813	42	RESP=1
315012	42	STIM=h
318362	42	RESP=1
332484	42	STIM=e
337050	42	RESP=1
348396	42	STIM=s
351925	42	RESP=1
363561	42	STIM=m
367042	42	RESP=1
382526	42	STIM=q
389550	42	RESP=1
401054	42	STIM=l
407447	42	RESP=1
416951	42	STIM=j
420364	42	RESP=1
432903	42	STIM=n
438346	42	RESP=1
450196	42	STIM=e
454773	42	RESP=1
466884	42	STIM=r
470903	42	RESP=1
484545	42	STIM=n
490979	42	RESP=1
503064	42	STIM=c
507701	42	RESP=1
520359	42	STIM=6
531087	42	RESP=2
536346	42	STIM=f
542658	42	RESP=1
554318	42	STIM=1
559173	42	RESP=2
572946	42	STIM=q
575512	42	RESP=1
590348	42	STIM=h
599943	42	RESP=1
608250	42	STIM=z
615139	42	RESP=1
626976	42	STIM=b
630110	42	RESP=1
644513	42	STIM=u
647975	42	RESP=1
660559	42	STIM=z
664555	42	RESP=1
675629	42	STIM=u
681082	42	RESP=1
691235	42	STIM=d
694836	42	RESP=1
707154	42	STIM=5
713730	42	RESP=2
724938	42	STIM=y
729164	42	RESP=1
743689	42	STIM=k
748612	42	RESP=1
760322	42	STIM=p
764798	42	RESP=1
777853	42	STIM=g
782318	42	RESP=2
795817	42	STIM=c
802198	42	RESP=1
811370	42	STIM=k
815029	42	RESP=1
830233	42	STIM=z
834407	42	RESP=1
848384	42	STIM=l
854748	42	RESP=1
866366	42	STIM=x
869451	42	RESP=1
883456	42	STIM=c
886694	42	RESP=1
899690	42	STIM=q
903338	42	RESP=1
915596	42	STIM=1
922178	42	RESP=2
931242	42	STIM=5
937410	42	RESP=2
948382	42	STIM=z
953391	42	RESP=1
964480	42	STIM=o
971803	42	RESP=1
980987	42	STIM=m
985906	42	RESP=1
997752	42	STIM=h
1002890	42	RESP=1
1016330	42	STIM=o
1021554	42	RESP=1
1032282	42	STIM=b
1038202	42	RESP=1
1048954	42	STIM=a
1052697	42	RESP=1
1065868	42	STIM=a
1071918	42	RESP=1
1082277	42	STIM=a
1089197	42	RESP=1
1098939	42	STIM=6
1105253	42	RESP=2
1116899	42	STIM=a
1120567	42	RESP=1
1133778	42	STIM=t
1138347	42	RESP=1
1149665	42	STIM=g
1156088	42	RESP=2
1166113	42	STIM=v
1168818	42	RESP=1
1182349	42	STIM=p
1186345	42	RESP=1
1200743	42	STIM=t
1204923	42	RESP=1
1219100	42	STIM=h
1225385	42	RESP=1
1235646	42	STIM=g
1239790	42	RESP=1
1251161	42	STIM=g
1256158	42	RESP=1
1266743	42	STIM=0
1272399	42	RESP=2
1282153	42	STIM=e
1286332	42	RESP=1
1299419	42	STIM=r
1304561	42	RESP=1
1314971	42	STIM=m
1317626	42	RESP=1
1330570	42	STIM=i
1336234	42	RESP=1
1347098	42	STIM=5
1350765	42	RESP=2
1362855	42	STIM=q
1365819	42	RESP=1
1381702	42	STIM=g
1385024	42	RESP=1
1398215	42	STIM=j
1402751	42	RESP=1
1414729	42	STIM=2
1419235	42	RESP=2
1431549	42	STIM=6
1438196	42	RESP=1
1447858	42	STIM=c
1451551	42	RESP=1
1464549	42	STIM=m
1468370	42	RESP=1
1482177	42	STIM=r
1486820	42	RESP=1
1497346	42	STIM=9
1502420	42	RESP=2
1514287	42	STIM=p
1518686	42	RESP=1
1532390	42	STIM=3
1536909	42	RESP=2
1548409	42	STIM=z
1553596	42	RESP=1
1563459	42	STIM=k
1566929	42	RESP=2
1579971	42	STIM=m
1584565	42	RESP=1
1596592	42	STIM=4
1601368	42	RESP=2
1614542	42	STIM=m
1620299	42	RESP=1
1630919	42	STIM=t
1636217	42	RESP=1
1646229	42	STIM=t
1649011	42	RESP=1
1664928	42	STIM=e
1669593	42	RESP=1
1683051	42	STIM=5
1686836	42	RESP=2
1699135	42	STIM=j
1703531	42	RESP=1
1716140	42	STIM=e
1719916	42	RESP=2
1733418	42	STIM=s
1738524	42	RESP=1
1751860	42	STIM=6
1756729	42	RESP=2
1768877	42	STIM=y
1773264	42	RESP=1
1787327	42	STIM=4
1792524	42	RESP=2
1805933	42	STIM=r
1811453	42	RESP=1
1823496	42	STIM=y
1827742	42	RESP=1
1840019	42	STIM=4
1846593	42	RESP=2
1857454	42	STIM=j
1860622	42	RESP=1
1876215	42	STIM=g
1879192	42	RESP=1
1893004	42	STIM=z
1898423	42	RESP=1
1908540	42	STIM=g
1912171	42	RESP=1
1924619	42	STIM=m
1928256	42	RESP=1
1941522	42	STIM=o
1944619	42	RESP=1
1958757	42	STIM=7
1962620	42	RESP=1
1974000	42	STIM=n
1982017	42	RESP=1
1990853	42	STIM=p
1996995	42	RESP=1
2008253	42	STIM=x
2012302	42	RESP=1
2026020	42	STIM=q
2033782	42	RESP=1
2043788	42	STIM=z
2048809	42	RESP=1
2059040	42	STIM=d
2066159	42	RESP=1
2076597	42	STIM=d
2081887	42	RESP=1
2095537	42	STIM=f
2103699	42	RESP=1
2113219	42	STIM=v
2116857	42	RESP=1
2131078	42	STIM=d
2135628	42	RESP=1
2147095	42	STIM=5
2152850	42	RESP=2
2162632	42	STIM=r
2166928	42	RESP=1
2180527	42	STIM=k
2184324	42	RESP=1
2195594	42	STIM=9
2201155	42	RESP=2
2212627	42	STIM=i
2217034	42	RESP=1
2227832	42	STIM=8
2233358	42	RESP=2
2243498	42	STIM=a
2247970	42	RESP=1
2260814	42	STIM=r
2268753	42	RESP=1
2279414	42	STIM=m
2285671	42	RESP=1
2296615	42	STIM=k
2305096	42	RESP=1
2312698	42	STIM=f
2317200	42	RESP=1
2328374	42	STIM=n
2333026	42	RESP=1
2343630	42	STIM=s
2347729	42	RESP=1
2362514	42	STIM=q
2366070	42	RESP=1
2379939	42	STIM=6
2384000	42	RESP=2
2395927	42	STIM=p
2399569	42	RESP=1
2412250	42	STIM=h
2422504	42	RESP=1
2429134	42	STIM=6
2434432	42	RESP=2
2447123	42	STIM=f
2451727	42	RESP=1
2463718	42	STIM=3
2467731	42	RESP=2
2481562	42	STIM=u
2489057	42	RESP=1
2500517	42	STIM=3
2505233	42	RESP=1
2517860	42	STIM=v
2521595	42	RESP=1
2532970	42	STIM=q
2538101	42	RESP=1
2549201	42	STIM=m
2554425	42	RESP=1
2565995	42	STIM=6
2571668	42	RESP=1
2581392	42	STIM=k
2588544	42	RESP=1
2598245	42	STIM=p
2602858	42	RESP=1
2614548	42	STIM=l
2617843	42	RESP=1
2633187	42	STIM=a
2637931	42	RESP=1
2651007	42	STIM=7
2658195	42	RESP=2
2668583	42	STIM=j
2675324	42	RESP=1
2685271	42	STIM=r
2688312	42	RESP=1
2701794	42	STIM=i
2706797	42	RESP=1
2718682	42	STIM=m
2723181	42	RESP=1
2733802	42	STIM=v
2738173	42	RESP=1
2750839	42	STIM=1
2754029	42	RESP=2
2767249	42	STIM=o
2771031	42	RESP=1
2783920	42	STIM=c
2787968	42	RESP=1
2800474	42	STIM=0
2804926	42	RESP=2
2817391	42	STIM=e
2820830	42	RESP=1
2835228	42	STIM=a
2843091	42	RESP=1
