# Original filename: 0011_XYJ_2017-07-27.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
34393	42	STIM=w
40503	42	RESP=1
52296	42	STIM=u
56866	42	RESP=1
67297	42	STIM=p
72582	42	RESP=1
84623	42	STIM=s
87486	42	RESP=1
101865	42	STIM=6
105882	42	RESP=2
119469	42	STIM=t
122893	42	RESP=1
137573	42	STIM=s
141442	42	RESP=1
154720	42	STIM=x
161028	42	RESP=1
170572	42	STIM=s
175271	42	RESP=1
185765	42	STIM=c
189952	42	RESP=1
204360	42	STIM=a
210023	42	RESP=1
220855	42	STIM=2
225240	42	RESP=2
237751	42	STIM=u
241534	42	RESP=1
256414	42	STIM=q
259437	42	RESP=1
274792	42	STIM=a
278973	42	RESP=1
292131	42	STIM=j
295689	42	RESP=1
309457	42	STIM=z
317205	42	RESP=1
324931	42	STIM=o
327550	42	RESP=1
343636	42	STIM=0
353072	42	RESP=2
360308	42	STIM=g
364990	42	RESP=1
377536	42	STIM=r
384236	42	RESP=1
392570	42	STIM=g
401539	42	RESP=1
411272	42	STIM=l
415147	42	RESP=1
430031	42	STIM=c
435012	42	RESP=1
445089	42	STIM=i
448516	42	RESP=1
461762	42	STIM=2
468978	42	RESP=2
477936	42	STIM=z
482098	42	RESP=1
496131	42	STIM=9
504960	42	RESP=2
512352	42	STIM=9
518398	42	RESP=2
529624	42	STIM=i
533170	42	RESP=1
546618	42	STIM=n
551328	42	RESP=1
564973	42	STIM=n
571176	42	RESP=1
583628	42	STIM=k
589391	42	RESP=1
601036	42	STIM=n
607950	42	RESP=1
616914	42	STIM=n
623842	42	RESP=1
635130	42	STIM=v
641707	42	RESP=1
650653	42	STIM=4
657518	42	RESP=2
666961	42	STIM=a
671506	42	RESP=1
683090	42	STIM=a
694663	42	RESP=1
700010	42	STIM=r
705884	42	RESP=1
718931	42	STIM=3
723247	42	RESP=2
734850	42	STIM=m
738663	42	RESP=1
753320	42	STIM=b
763982	42	RESP=1
769128	42	STIM=c
774501	42	RESP=1
785217	42	STIM=6
791237	42	RESP=2
800455	42	STIM=l
804854	42	RESP=1
818225	42	STIM=a
823071	42	RESP=1
834883	42	STIM=h
839415	42	RESP=1
852368	42	STIM=b
856317	42	RESP=1
871065	42	STIM=u
874852	42	RESP=1
888401	42	STIM=w
893109	42	RESP=1
906288	42	STIM=k
910368	42	RESP=1
922055	42	STIM=e
