# Original filename: 0012_WCT_2017-06-26.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37007	42	STIM=g
43509	42	RESP=1
54521	42	STIM=a
63197	42	RESP=1
71903	42	STIM=g
76819	42	RESP=1
89998	42	STIM=e
95910	42	RESP=1
108770	42	STIM=a
118514	42	RESP=1
127337	42	STIM=u
132284	42	RESP=2
143055	42	STIM=h
147719	42	RESP=1
161725	42	STIM=i
170944	42	RESP=1
177317	42	STIM=3
186302	42	RESP=2
195450	42	STIM=h
198740	42	RESP=1
211002	42	STIM=z
216969	42	RESP=1
229627	42	STIM=m
234318	42	RESP=1
246417	42	STIM=y
253811	42	RESP=1
262681	42	STIM=z
271287	42	RESP=1
280044	42	STIM=c
286650	42	RESP=1
298597	42	STIM=5
304479	42	RESP=2
317366	42	STIM=s
323788	42	RESP=1
332726	42	STIM=b
337502	42	RESP=1
350839	42	STIM=q
356650	42	RESP=1
367588	42	STIM=c
370573	42	RESP=1
386235	42	STIM=f
391855	42	RESP=1
401464	42	STIM=9
409844	42	RESP=2
420445	42	STIM=b
427414	42	RESP=1
437229	42	STIM=v
440062	42	RESP=1
455168	42	STIM=p
462723	42	RESP=1
472444	42	STIM=8
481400	42	RESP=2
489896	42	STIM=n
495297	42	RESP=1
508308	42	STIM=5
516463	42	RESP=1
525133	42	STIM=s
530221	42	RESP=1
541610	42	STIM=s
548974	42	RESP=1
559899	42	STIM=o
568931	42	RESP=1
576015	42	STIM=o
580093	42	RESP=1
591692	42	STIM=l
599586	42	RESP=1
608222	42	STIM=v
613432	42	RESP=1
624801	42	STIM=2
630420	42	RESP=2
639998	42	STIM=g
646147	42	RESP=1
657467	42	STIM=z
668074	42	RESP=1
675778	42	STIM=y
680209	42	RESP=1
694622	42	STIM=x
697852	42	RESP=1
710612	42	STIM=0
719447	42	RESP=2
728722	42	STIM=m
732969	42	RESP=1
746438	42	STIM=y
753973	42	RESP=1
764120	42	STIM=w
770995	42	RESP=2
782372	42	STIM=2
788661	42	RESP=2
798378	42	STIM=j
804342	42	RESP=1
813494	42	STIM=v
819951	42	RESP=1
830066	42	STIM=m
833336	42	RESP=1
