# Original filename: 0013_OUP_2016-10-15.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35727	42	STIM=v
41295	42	RESP=1
51150	42	STIM=z
60758	42	RESP=1
70115	42	STIM=b
73567	42	RESP=1
88443	42	STIM=w
92739	42	RESP=1
105609	42	STIM=4
115216	42	RESP=2
120633	42	STIM=n
127769	42	RESP=1
138352	42	STIM=v
143078	42	RESP=1
153674	42	STIM=g
161522	42	RESP=1
169169	42	STIM=r
176222	42	RESP=1
186169	42	STIM=u
190848	42	RESP=2
205081	42	STIM=y
211323	42	RESP=1
224069	42	STIM=j
228802	42	RESP=1
239759	42	STIM=v
245179	42	RESP=2
256007	42	STIM=g
263505	42	RESP=1
272597	42	STIM=o
276480	42	RESP=2
290087	42	STIM=m
296685	42	RESP=1
308265	42	STIM=a
316330	42	RESP=1
324925	42	STIM=2
331545	42	RESP=2
342268	42	STIM=r
346404	42	RESP=1
359372	42	STIM=y
364328	42	RESP=1
375631	42	STIM=j
381053	42	RESP=1
393920	42	STIM=5
398930	42	RESP=1
412348	42	STIM=i
418266	42	RESP=1
430906	42	STIM=5
439876	42	RESP=2
447571	42	STIM=b
450971	42	RESP=1
465289	42	STIM=a
472430	42	RESP=1
482919	42	STIM=y
485621	42	RESP=1
499961	42	STIM=c
505674	42	RESP=1
517835	42	STIM=i
522466	42	RESP=1
536549	42	STIM=n
543504	42	RESP=1
555237	42	STIM=b
558955	42	RESP=1
572341	42	STIM=i
575934	42	RESP=1
589416	42	STIM=j
593043	42	RESP=1
607840	42	STIM=j
614981	42	RESP=2
625439	42	STIM=t
628697	42	RESP=1
640779	42	STIM=b
646681	42	RESP=1
657988	42	STIM=n
661683	42	RESP=1
675303	42	STIM=b
680097	42	RESP=1
693263	42	STIM=1
697689	42	RESP=2
711248	42	STIM=l
717244	42	RESP=1
728812	42	STIM=d
733585	42	RESP=1
743956	42	STIM=7
749394	42	RESP=2
759766	42	STIM=r
763217	42	RESP=1
775587	42	STIM=e
780571	42	RESP=2
791944	42	STIM=d
796513	42	RESP=1
808649	42	STIM=r
811256	42	RESP=1
824516	42	STIM=p
828422	42	RESP=1
839743	42	STIM=x
843701	42	RESP=1
858604	42	STIM=2
864586	42	RESP=2
876266	42	STIM=a
881078	42	RESP=1
894637	42	STIM=m
900410	42	RESP=1
913066	42	STIM=p
920166	42	RESP=1
928590	42	STIM=j
932189	42	RESP=1
943999	42	STIM=z
952100	42	RESP=1
961831	42	STIM=s
969007	42	RESP=1
977677	42	STIM=x
987858	42	RESP=1
995898	42	STIM=x
1001994	42	RESP=1
1014403	42	STIM=1
1021667	42	RESP=1
1031869	42	STIM=8
1036846	42	RESP=2
1049402	42	STIM=1
1055867	42	RESP=2
1066073	42	STIM=f
1072105	42	RESP=1
1084435	42	STIM=x
1091721	42	RESP=1
1103429	42	STIM=b
1109480	42	RESP=2
1121268	42	STIM=1
1128072	42	RESP=2
1137855	42	STIM=u
1145868	42	RESP=1
1155033	42	STIM=r
1158278	42	RESP=1
1171119	42	STIM=z
1174600	42	RESP=1
1187722	42	STIM=y
1192267	42	RESP=1
1203980	42	STIM=s
1209176	42	RESP=1
1219060	42	STIM=0
1224681	42	RESP=2
1236358	42	STIM=v
1244162	42	RESP=1
1253994	42	STIM=3
1261037	42	RESP=1
1270386	42	STIM=d
1274507	42	RESP=1
1288481	42	STIM=v
1293310	42	RESP=1
1304243	42	STIM=1
1310029	42	RESP=1
1322820	42	STIM=m
1327544	42	RESP=1
1340310	42	STIM=x
1343692	42	RESP=1
1358627	42	STIM=n
1366281	42	RESP=1
1374442	42	STIM=g
1380113	42	RESP=1
1392769	42	STIM=t
1400456	42	RESP=2
1409510	42	STIM=d
1415393	42	RESP=1
1425417	42	STIM=w
1429119	42	RESP=1
1441643	42	STIM=t
1447169	42	RESP=1
1457147	42	STIM=y
1461604	42	RESP=1
1474835	42	STIM=i
1482960	42	RESP=1
1491656	42	STIM=k
1497655	42	RESP=1
1509149	42	STIM=1
1517133	42	RESP=2
1525996	42	STIM=m
1531163	42	RESP=1
1541176	42	STIM=i
1548430	42	RESP=1
1559783	42	STIM=b
1565887	42	RESP=1
1574834	42	STIM=0
1582571	42	RESP=2
1590271	42	STIM=h
1596328	42	RESP=1
1608644	42	STIM=u
1613286	42	RESP=1
1625981	42	STIM=v
1631544	42	RESP=1
1642985	42	STIM=7
1649671	42	RESP=2
1661301	42	STIM=s
1665724	42	RESP=1
1677048	42	STIM=5
1682989	42	RESP=2
1695984	42	STIM=a
1702267	42	RESP=1
1714032	42	STIM=1
1722924	42	RESP=2
1732974	42	STIM=v
1739990	42	RESP=1
1750914	42	STIM=o
1760992	42	RESP=1
1769539	42	STIM=c
1780864	42	RESP=1
1785654	42	STIM=w
1791795	42	RESP=1
1803419	42	STIM=v
1807654	42	RESP=1
1821463	42	STIM=n
1836991	42	RESP=1
1838166	42	STIM=i
1843171	42	RESP=1
1855547	42	STIM=e
1860952	42	RESP=1
1871479	42	STIM=0
1877036	42	RESP=2
1887231	42	STIM=y
1894557	42	RESP=1
1904471	42	STIM=5
1909101	42	RESP=2
1921996	42	STIM=e
1924903	42	RESP=1
1937104	42	STIM=n
1940476	42	RESP=1
1954542	42	STIM=w
1960076	42	RESP=1
1969631	42	STIM=h
1974887	42	RESP=1
1986716	42	STIM=a
1991372	42	RESP=1
2002880	42	STIM=h
2008179	42	RESP=1
2021035	42	STIM=3
2029303	42	RESP=2
2039197	42	STIM=n
2043329	42	RESP=1
2055742	42	STIM=2
2060691	42	RESP=2
2071382	42	STIM=f
2077006	42	RESP=1
2089305	42	STIM=d
2093533	42	RESP=1
2107189	42	STIM=l
2111382	42	RESP=1
2125748	42	STIM=a
2129010	42	RESP=1
2141999	42	STIM=b
2146718	42	RESP=1
2157973	42	STIM=4
2163564	42	RESP=2
2175895	42	STIM=s
2179488	42	RESP=1
2193409	42	STIM=y
2202591	42	RESP=1
2210649	42	STIM=z
2214033	42	RESP=1
2229217	42	STIM=d
2235802	42	RESP=1
2247216	42	STIM=q
2254991	42	RESP=1
2262633	42	STIM=n
2273369	42	RESP=1
2279353	42	STIM=w
2284730	42	RESP=1
2295924	42	STIM=y
2304389	42	RESP=1
2312317	42	STIM=4
2323113	42	RESP=2
2327981	42	STIM=a
2339703	42	RESP=1
2346597	42	STIM=d
2350102	42	RESP=1
2364039	42	STIM=y
2368392	42	RESP=1
2382315	42	STIM=t
2386549	42	RESP=1
2397921	42	STIM=r
2401580	42	RESP=1
2412986	42	STIM=i
2417003	42	RESP=1
2430707	42	STIM=l
2434553	42	RESP=1
2447811	42	STIM=a
2452195	42	RESP=1
2462926	42	STIM=j
2466948	42	RESP=1
2478022	42	STIM=g
2484382	42	RESP=2
2493576	42	STIM=m
2499602	42	RESP=1
2510773	42	STIM=1
2516365	42	RESP=2
2528779	42	STIM=j
2531820	42	RESP=1
2545533	42	STIM=s
2555058	42	RESP=1
2563734	42	STIM=x
2572337	42	RESP=1
2582371	42	STIM=9
2589448	42	RESP=2
2600399	42	STIM=r
2603764	42	RESP=2
2618397	42	STIM=u
2622752	42	RESP=1
2635295	42	STIM=v
2639731	42	RESP=1
2651605	42	STIM=m
2656357	42	RESP=1
2669246	42	STIM=v
2673700	42	RESP=1
2687246	42	STIM=g
2693946	42	RESP=1
2702706	42	STIM=j
2709128	42	RESP=1
2720416	42	STIM=q
2727076	42	RESP=1
2735449	42	STIM=5
2743235	42	RESP=2
2752941	42	STIM=g
2767911	42	RESP=1
2769025	42	STIM=s
2774537	42	RESP=1
2784667	42	STIM=t
2794714	42	RESP=1
2802606	42	STIM=u
2805688	42	RESP=1
2818275	42	STIM=t
2822976	42	RESP=1
2836335	42	STIM=p
2843146	42	RESP=1
2851458	42	STIM=y
2857368	42	RESP=1
2867067	42	STIM=w
2877710	42	RESP=1
2882284	42	STIM=r
2888479	42	RESP=1
2897892	42	STIM=n
2905884	42	RESP=1
2916257	42	STIM=h
2922612	42	RESP=1
2934247	42	STIM=m
2938758	42	RESP=1
2951275	42	STIM=y
2954942	42	RESP=2
2970080	42	STIM=7
2977006	42	RESP=2
2985721	42	STIM=l
2997321	42	RESP=1
3002437	42	STIM=q
3008834	42	RESP=1
3020610	42	STIM=2
3028066	42	RESP=2
3036952	42	STIM=l
3040395	42	RESP=1
3052507	42	STIM=9
3059464	42	RESP=2
3067595	42	STIM=o
3071792	42	RESP=1
3083154	42	STIM=0
3092173	42	RESP=2
3102132	42	STIM=p
3108393	42	RESP=1
3118738	42	STIM=d
3122546	42	RESP=1
3134242	42	STIM=l
3139847	42	RESP=1
3151341	42	STIM=l
3158943	42	RESP=1
3167131	42	STIM=f
3174821	42	RESP=1
3185522	42	STIM=w
3191021	42	RESP=1
3202488	42	STIM=d
3210957	42	RESP=1
3218738	42	STIM=d
3230923	42	RESP=1
3237259	42	STIM=e
3242672	42	RESP=1
3255642	42	STIM=p
3259900	42	RESP=1
3273944	42	STIM=d
3279133	42	RESP=1
3291583	42	STIM=g
3298079	42	RESP=1
3309267	42	STIM=y
3313670	42	RESP=1
3325880	42	STIM=z
3334681	42	RESP=1
3341066	42	STIM=s
3348635	42	RESP=1
3358168	42	STIM=x
3364528	42	RESP=1
3375735	42	STIM=v
3380420	42	RESP=1
3390781	42	STIM=h
3394414	42	RESP=1
3407134	42	STIM=k
3410799	42	RESP=1
3424919	42	STIM=v
3429143	42	RESP=1
3440945	42	STIM=q
3447026	42	RESP=1
3456404	42	STIM=v
3463881	42	RESP=1
3473927	42	STIM=8
3479613	42	RESP=1
3489808	42	STIM=d
3495425	42	RESP=1
3507820	42	STIM=d
3515137	42	RESP=2
3523359	42	STIM=s
3526624	42	RESP=1
3539290	42	STIM=a
3550086	42	RESP=1
3557505	42	STIM=z
3561752	42	RESP=1
3576157	42	STIM=f
3586681	42	RESP=1
3593308	42	STIM=m
3602574	42	RESP=1
3611864	42	STIM=b
3621065	42	RESP=1
3626875	42	STIM=5
3635816	42	RESP=2
3644430	42	STIM=z
3651488	42	RESP=1
3662255	42	STIM=c
3668121	42	RESP=1
3677569	42	STIM=a
3683646	42	RESP=1
3694826	42	STIM=4
3699014	42	RESP=2
3713447	42	STIM=u
