# Original filename: 0014_IKV_2017-03-05.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38380	42	STIM=i
43380	42	RESP=1
57074	42	STIM=r
60971	42	RESP=1
74363	42	STIM=k
78828	42	RESP=1
89624	42	STIM=7
94243	42	RESP=2
105875	42	STIM=r
110599	42	RESP=1
123889	42	STIM=k
127110	42	RESP=2
142330	42	STIM=0
147570	42	RESP=2
160767	42	STIM=n
171427	42	RESP=1
175923	42	STIM=l
179977	42	RESP=1
192060	42	STIM=w
197731	42	RESP=1
209791	42	STIM=8
214590	42	RESP=2
227315	42	STIM=w
233152	42	RESP=1
242994	42	STIM=g
246914	42	RESP=1
259290	42	STIM=t
264020	42	RESP=1
278090	42	STIM=4
283054	42	RESP=2
293524	42	STIM=k
299939	42	RESP=1
310893	42	STIM=q
317001	42	RESP=1
327733	42	STIM=1
334264	42	RESP=2
346331	42	STIM=r
349609	42	RESP=1
363146	42	STIM=j
368662	42	RESP=1
378536	42	STIM=x
382709	42	RESP=1
395220	42	STIM=z
399053	42	RESP=1
413613	42	STIM=r
417172	42	RESP=1
432111	42	STIM=v
437013	42	RESP=1
449410	42	STIM=a
453893	42	RESP=1
465931	42	STIM=z
470592	42	RESP=1
481031	42	STIM=c
488195	42	RESP=1
498124	42	STIM=m
507411	42	RESP=1
516237	42	STIM=o
520784	42	RESP=1
533455	42	STIM=e
537087	42	RESP=1
549924	42	STIM=e
553396	42	RESP=1
567312	42	STIM=l
570841	42	RESP=1
586202	42	STIM=h
593577	42	RESP=1
604226	42	STIM=l
612876	42	RESP=1
622407	42	STIM=8
628797	42	RESP=2
641001	42	STIM=7
649410	42	RESP=2
656662	42	STIM=a
663468	42	RESP=1
675248	42	STIM=6
686349	42	RESP=2
690798	42	STIM=m
695604	42	RESP=1
706088	42	STIM=a
712694	42	RESP=1
722324	42	STIM=c
728079	42	RESP=1
738455	42	STIM=d
742001	42	RESP=1
755653	42	STIM=j
763415	42	RESP=1
771167	42	STIM=v
774898	42	RESP=1
787528	42	STIM=l
792503	42	RESP=1
805628	42	STIM=f
808950	42	RESP=1
821966	42	STIM=v
833218	42	RESP=1
837306	42	STIM=2
849135	42	RESP=2
853667	42	STIM=l
857588	42	RESP=1
870251	42	STIM=s
872610	42	RESP=2
885580	42	STIM=s
890065	42	RESP=1
901889	42	STIM=2
909167	42	RESP=2
918558	42	STIM=d
924539	42	RESP=1
935510	42	STIM=b
943961	42	RESP=1
954383	42	STIM=w
959528	42	RESP=1
971407	42	STIM=t
974175	42	RESP=2
987874	42	STIM=s
992947	42	RESP=1
1004328	42	STIM=p
1009299	42	RESP=1
1020444	42	STIM=x
1026559	42	RESP=1
1037646	42	STIM=r
1040834	42	RESP=1
1054833	42	STIM=u
1062115	42	RESP=1
1073276	42	STIM=0
1083494	42	RESP=2
1089683	42	STIM=i
1095832	42	RESP=1
1107065	42	STIM=e
1111978	42	RESP=1
1123143	42	STIM=w
1128634	42	RESP=1
1138459	42	STIM=e
1141971	42	RESP=1
1155736	42	STIM=8
1161914	42	RESP=2
1171392	42	STIM=7
1176565	42	RESP=2
1186878	42	STIM=a
1191731	42	RESP=1
1204830	42	STIM=t
1211333	42	RESP=1
1220726	42	STIM=p
1224799	42	RESP=1
1236361	42	STIM=9
1240084	42	RESP=2
1253702	42	STIM=4
1259273	42	RESP=2
1271664	42	STIM=w
1274714	42	RESP=1
1287868	42	STIM=h
1293721	42	RESP=1
1303416	42	STIM=u
1309213	42	RESP=1
1320417	42	STIM=v
1331018	42	RESP=1
1338088	42	STIM=m
1346323	42	RESP=1
1354295	42	STIM=m
1358369	42	RESP=1
1372404	42	STIM=t
1378005	42	RESP=1
1388499	42	STIM=a
1391969	42	RESP=1
1406756	42	STIM=u
1414843	42	RESP=1
1423042	42	STIM=h
1426089	42	RESP=1
1438144	42	STIM=3
1443571	42	RESP=2
1455338	42	STIM=n
1459040	42	RESP=1
1472497	42	STIM=2
1480329	42	RESP=2
1490440	42	STIM=i
1503307	42	RESP=1
1507838	42	STIM=3
1514048	42	RESP=2
1523447	42	STIM=j
1526799	42	RESP=1
1542130	42	STIM=3
1545842	42	RESP=2
1561128	42	STIM=t
1570037	42	RESP=1
1577501	42	STIM=0
1584014	42	RESP=1
1592775	42	STIM=k
1595768	42	RESP=1
1608071	42	STIM=l
1613909	42	RESP=1
1625396	42	STIM=s
1629217	42	RESP=1
1644197	42	STIM=h
1649807	42	RESP=1
1662335	42	STIM=w
1665682	42	RESP=1
1678101	42	STIM=r
1682749	42	RESP=1
1696398	42	STIM=k
1701116	42	RESP=1
1714744	42	STIM=8
1719239	42	RESP=1
1730522	42	STIM=e
1737903	42	RESP=2
1747777	42	STIM=f
1752795	42	RESP=1
1765146	42	STIM=c
1774775	42	RESP=1
1780392	42	STIM=v
1786808	42	RESP=1
1797107	42	STIM=l
1800744	42	RESP=1
1815310	42	STIM=k
1822097	42	RESP=1
1831332	42	STIM=i
1841726	42	RESP=1
1848175	42	STIM=m
1853104	42	RESP=1
1865495	42	STIM=d
1869104	42	RESP=1
1881852	42	STIM=o
1885151	42	RESP=1
1898893	42	STIM=p
1903252	42	RESP=1
