# Original filename: 0014_PMP_2017-04-21.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30653	42	STIM=g
36373	42	RESP=1
46377	42	STIM=9
54592	42	RESP=1
65045	42	STIM=s
67824	42	RESP=1
83899	42	STIM=c
87550	42	RESP=1
101686	42	STIM=3
106030	42	RESP=2
118830	42	STIM=e
123443	42	RESP=1
136864	42	STIM=y
141775	42	RESP=1
153159	42	STIM=y
157551	42	RESP=1
170908	42	STIM=i
175373	42	RESP=1
186769	42	STIM=s
190545	42	RESP=1
205215	42	STIM=x
208666	42	RESP=1
221701	42	STIM=o
224958	42	RESP=1
236855	42	STIM=k
239825	42	RESP=1
252303	42	STIM=u
255100	42	RESP=1
268915	42	STIM=m
274247	42	RESP=1
286484	42	STIM=t
294955	42	RESP=1
303104	42	STIM=6
308324	42	RESP=2
318507	42	STIM=y
325696	42	RESP=1
336147	42	STIM=7
339643	42	RESP=2
352721	42	STIM=9
356213	42	RESP=2
368314	42	STIM=2
372641	42	RESP=1
386597	42	STIM=z
391165	42	RESP=1
402396	42	STIM=d
407487	42	RESP=1
421073	42	STIM=i
423846	42	RESP=1
439831	42	STIM=n
447112	42	RESP=1
458820	42	STIM=1
467182	42	RESP=2
476864	42	STIM=v
487407	42	RESP=1
495054	42	STIM=q
502694	42	RESP=1
511321	42	STIM=d
515015	42	RESP=1
529022	42	STIM=g
533009	42	RESP=1
544886	42	STIM=g
547844	42	RESP=1
563088	42	STIM=6
571224	42	RESP=2
580938	42	STIM=s
584283	42	RESP=1
597433	42	STIM=f
600246	42	RESP=1
613897	42	STIM=u
618110	42	RESP=1
631383	42	STIM=w
634254	42	RESP=1
649611	42	STIM=3
653872	42	RESP=2
668023	42	STIM=a
672058	42	RESP=1
684003	42	STIM=t
688016	42	RESP=1
701309	42	STIM=y
707546	42	RESP=1
716578	42	STIM=a
722835	42	RESP=1
733049	42	STIM=c
739431	42	RESP=1
750274	42	STIM=x
754324	42	RESP=1
768918	42	STIM=j
772322	42	RESP=1
785785	42	STIM=3
790982	42	RESP=2
802948	42	STIM=2
809431	42	RESP=2
818921	42	STIM=b
822559	42	RESP=1
834895	42	STIM=q
842399	42	RESP=1
852456	42	STIM=e
856391	42	RESP=1
870528	42	STIM=w
872969	42	RESP=1
886570	42	STIM=w
891987	42	RESP=1
901971	42	STIM=0
908727	42	RESP=2
918784	42	STIM=x
923135	42	RESP=1
935502	42	STIM=c
938620	42	RESP=1
953967	42	STIM=t
956998	42	RESP=1
970763	42	STIM=l
974225	42	RESP=1
988185	42	STIM=n
993117	42	RESP=2
1007151	42	STIM=z
1010491	42	RESP=1
1025195	42	STIM=j
1028410	42	RESP=1
1040845	42	STIM=c
1046146	42	RESP=1
1056995	42	STIM=c
1062782	42	RESP=1
1075762	42	STIM=g
1079674	42	RESP=1
1092981	42	STIM=t
1097375	42	RESP=1
1109220	42	STIM=2
1114300	42	RESP=2
1126760	42	STIM=2
1130869	42	RESP=1
1144747	42	STIM=g
1148766	42	RESP=1
1160152	42	STIM=8
1165640	42	RESP=2
1176564	42	STIM=6
1181187	42	RESP=2
1193501	42	STIM=u
1200398	42	RESP=1
1210096	42	STIM=u
1216300	42	RESP=1
1226937	42	STIM=f
1229947	42	RESP=1
1244913	42	STIM=j
1252236	42	RESP=1
1261840	42	STIM=3
1266130	42	RESP=1
1277618	42	STIM=6
1282978	42	RESP=1
1295787	42	STIM=2
1301504	42	RESP=1
1313527	42	STIM=y
1316165	42	RESP=1
1330523	42	STIM=r
1337131	42	RESP=2
1347435	42	STIM=j
1353289	42	RESP=1
1364181	42	STIM=h
1367962	42	RESP=1
1382168	42	STIM=u
1385846	42	RESP=1
1400230	42	STIM=g
1405044	42	RESP=1
1418217	42	STIM=c
1423358	42	RESP=1
1435894	42	STIM=t
1438833	42	RESP=1
1450896	42	STIM=a
1454085	42	RESP=1
1466649	42	STIM=7
1470802	42	RESP=1
1482366	42	STIM=r
1486636	42	RESP=1
1497691	42	STIM=t
1501343	42	RESP=1
1515821	42	STIM=u
1519962	42	RESP=2
1534615	42	STIM=2
1538433	42	RESP=2
1551921	42	STIM=o
1557543	42	RESP=1
1568183	42	STIM=i
1572603	42	RESP=1
1585503	42	STIM=l
1589107	42	RESP=1
1602548	42	STIM=0
1607342	42	RESP=2
1620744	42	STIM=o
1629569	42	RESP=1
1636027	42	STIM=e
1640950	42	RESP=1
1653877	42	STIM=a
1658057	42	RESP=1
1669426	42	STIM=e
1673060	42	RESP=1
1687612	42	STIM=f
1694501	42	RESP=1
1705562	42	STIM=1
1711235	42	RESP=2
1723256	42	STIM=v
1726498	42	RESP=1
1741704	42	STIM=5
1747330	42	RESP=2
1756794	42	STIM=3
1760456	42	RESP=2
1772665	42	STIM=y
1775320	42	RESP=1
1788250	42	STIM=c
1795594	42	RESP=1
1805136	42	STIM=j
1807934	42	RESP=1
1824114	42	STIM=s
1831645	42	RESP=1
1840398	42	STIM=t
1844205	42	RESP=1
1857293	42	STIM=1
1861275	42	RESP=2
1872460	42	STIM=9
1880275	42	RESP=1
1888301	42	STIM=c
1895143	42	RESP=2
1906136	42	STIM=a
1909623	42	RESP=1
1924817	42	STIM=h
1932139	42	RESP=1
1943559	42	STIM=d
1946937	42	RESP=1
1960192	42	STIM=a
1966979	42	RESP=1
1976142	42	STIM=k
1980614	42	RESP=1
1993904	42	STIM=w
2000457	42	RESP=1
2012140	42	STIM=w
2015936	42	RESP=2
2029871	42	STIM=f
2034610	42	RESP=1
2047497	42	STIM=v
2051904	42	RESP=1
2065360	42	STIM=a
2069990	42	RESP=1
2080491	42	STIM=h
2084386	42	RESP=1
2099477	42	STIM=m
2103987	42	RESP=1
2117527	42	STIM=k
2122848	42	RESP=1
2134609	42	STIM=e
2138658	42	RESP=1
2153270	42	STIM=m
2156592	42	RESP=1
2171111	42	STIM=m
2174854	42	RESP=1
2188351	42	STIM=v
2195872	42	RESP=1
2205086	42	STIM=m
2209483	42	RESP=1
2220792	42	STIM=n
2223982	42	RESP=1
2236671	42	STIM=q
2245818	42	RESP=1
2253604	42	STIM=d
2257782	42	RESP=1
2270460	42	STIM=i
2274879	42	RESP=1
2288191	42	STIM=h
2292952	42	RESP=1
2304453	42	STIM=w
2309056	42	RESP=1
2321474	42	STIM=j
2327534	42	RESP=1
2336820	42	STIM=z
2340384	42	RESP=1
2353340	42	STIM=6
2358195	42	RESP=1
2369512	42	STIM=0
2376920	42	RESP=2
2388213	42	STIM=f
2397551	42	RESP=2
2403327	42	STIM=p
2406878	42	RESP=1
2420162	42	STIM=z
2422904	42	RESP=1
2438745	42	STIM=g
2445410	42	RESP=1
2454084	42	STIM=s
2457557	42	RESP=1
2473004	42	STIM=s
2477442	42	RESP=1
2488662	42	STIM=7
2493771	42	RESP=2
2506410	42	STIM=e
2509474	42	RESP=1
2523239	42	STIM=q
2531400	42	RESP=1
2539176	42	STIM=z
2543813	42	RESP=1
2555129	42	STIM=2
2563660	42	RESP=2
2573489	42	STIM=d
2576903	42	RESP=1
2590939	42	STIM=n
2594944	42	RESP=1
2609021	42	STIM=q
2615881	42	RESP=1
2627831	42	STIM=y
2632349	42	RESP=1
2645536	42	STIM=b
2649126	42	RESP=1
2663409	42	STIM=g
2666039	42	RESP=1
2681229	42	STIM=p
2688126	42	RESP=1
2699395	42	STIM=l
2705940	42	RESP=1
2716974	42	STIM=q
2722921	42	RESP=1
2735236	42	STIM=n
2741232	42	RESP=1
2751074	42	STIM=d
2754882	42	RESP=1
2767277	42	STIM=a
2770967	42	RESP=1
2782942	42	STIM=a
2789480	42	RESP=2
2798184	42	STIM=o
2804414	42	RESP=1
2816709	42	STIM=3
2820586	42	RESP=2
2832864	42	STIM=i
2837430	42	RESP=1
2848930	42	STIM=2
2854228	42	RESP=2
2866411	42	STIM=c
2871459	42	RESP=1
2884299	42	STIM=3
2890467	42	RESP=2
2900730	42	STIM=z
2905728	42	RESP=1
2917940	42	STIM=o
2923162	42	RESP=1
2933580	42	STIM=t
2938718	42	RESP=2
2949614	42	STIM=r
2956458	42	RESP=1
2965939	42	STIM=o
2968721	42	RESP=1
2983792	42	STIM=a
2987438	42	RESP=1
3001175	42	STIM=i
3007728	42	RESP=1
3016576	42	STIM=5
3020190	42	RESP=2
3034095	42	STIM=g
3037943	42	RESP=1
3051595	42	STIM=r
3061055	42	RESP=1
3066987	42	STIM=i
3073299	42	RESP=1
3083487	42	STIM=e
3088478	42	RESP=1
3102472	42	STIM=f
3105366	42	RESP=1
3119633	42	STIM=g
3122092	42	RESP=1
3135310	42	STIM=c
3140229	42	RESP=1
3152294	42	STIM=o
3156093	42	RESP=1
3171083	42	STIM=h
3178569	42	RESP=1
3186528	42	STIM=n
3194449	42	RESP=1
3204222	42	STIM=j
3208537	42	RESP=1
3221708	42	STIM=2
3226941	42	RESP=2
3240450	42	STIM=s
3244415	42	RESP=1
3259323	42	STIM=g
3266107	42	RESP=1
3275519	42	STIM=w
3280779	42	RESP=1
3290784	42	STIM=t
3295769	42	RESP=1
3306262	42	STIM=5
3310886	42	RESP=2
3324695	42	STIM=w
3329521	42	RESP=1
3340029	42	STIM=x
3346163	42	RESP=1
3358982	42	STIM=4
3363675	42	RESP=2
3377170	42	STIM=j
3380336	42	RESP=2
3396075	42	STIM=7
3399624	42	RESP=2
3411323	42	STIM=h
3417465	42	RESP=1
3427046	42	STIM=t
3433221	42	RESP=1
3445566	42	STIM=8
3450104	42	RESP=1
3461478	42	STIM=e
3468474	42	RESP=1
3479180	42	STIM=j
3483784	42	RESP=1
3496256	42	STIM=5
3503683	42	RESP=2
3514910	42	STIM=j
3521241	42	RESP=2
3531064	42	STIM=s
3536728	42	RESP=1
3548888	42	STIM=c
3554034	42	RESP=1
3565252	42	STIM=k
3570290	42	RESP=1
3582817	42	STIM=d
3589128	42	RESP=1
3601445	42	STIM=b
3604514	42	RESP=1
3617529	42	STIM=v
3622797	42	RESP=1
3633157	42	STIM=x
3639778	42	RESP=2
3651742	42	STIM=u
3658991	42	RESP=1
3669037	42	STIM=v
3671920	42	RESP=1
3687736	42	STIM=i
3692292	42	RESP=1
3702957	42	STIM=p
3707538	42	RESP=1
3719137	42	STIM=h
3723382	42	RESP=1
3735623	42	STIM=m
3740847	42	RESP=1
3751707	42	STIM=0
3756246	42	RESP=2
3767497	42	STIM=j
3771279	42	RESP=1
3783865	42	STIM=r
3787392	42	RESP=1
3798992	42	STIM=s
3802772	42	RESP=1
3815937	42	STIM=h
3819955	42	RESP=1
3831882	42	STIM=t
3836279	42	RESP=1
3849881	42	STIM=f
3853482	42	RESP=1
3867660	42	STIM=3
3873429	42	RESP=2
3886367	42	STIM=d
3891138	42	RESP=2
3903726	42	STIM=r
3906940	42	RESP=1
3919337	42	STIM=q
3924497	42	RESP=1
3937457	42	STIM=y
3941552	42	RESP=1
3955166	42	STIM=5
3959520	42	RESP=2
3970166	42	STIM=9
3976778	42	RESP=2
3986467	42	STIM=a
3993916	42	RESP=1
4004942	42	STIM=h
4014377	42	RESP=1
4021488	42	STIM=n
4025618	42	RESP=1
4037473	42	STIM=t
4042162	42	RESP=1
4055404	42	STIM=g
4059684	42	RESP=1
4070658	42	STIM=i
4074294	42	RESP=1
4085812	42	STIM=d
4090631	42	RESP=1
4103427	42	STIM=h
4113850	42	RESP=1
4119032	42	STIM=y
4122814	42	RESP=1
4134842	42	STIM=b
4137976	42	RESP=1
4150647	42	STIM=z
4155398	42	RESP=1
4167708	42	STIM=1
4172241	42	RESP=2
4184393	42	STIM=y
4188865	42	RESP=1
4202017	42	STIM=r
4208244	42	RESP=1
4219780	42	STIM=l
4222256	42	RESP=1
4237718	42	STIM=l
4245057	42	RESP=1
4254973	42	STIM=q
4261113	42	RESP=1
4272180	42	STIM=j
4275045	42	RESP=1
4289176	42	STIM=o
4297898	42	RESP=1
4307504	42	STIM=u
4315712	42	RESP=1
4323385	42	STIM=g
4328584	42	RESP=1
4338730	42	STIM=v
4343747	42	RESP=1
4355811	42	STIM=z
4360534	42	RESP=1
4372788	42	STIM=e
4376811	42	RESP=1
4390497	42	STIM=c
4394884	42	RESP=1
4408152	42	STIM=4
4412599	42	RESP=2
4423241	42	STIM=i
4428257	42	RESP=1
4440452	42	STIM=z
4443783	42	RESP=1
4455566	42	STIM=4
4460847	42	RESP=2
4471502	42	STIM=e
4479761	42	RESP=1
4488499	42	STIM=f
4492840	42	RESP=1
4506837	42	STIM=a
4512024	42	RESP=1
4524143	42	STIM=g
4529399	42	RESP=1
4542284	42	STIM=n
4545824	42	RESP=1
4558728	42	STIM=w
4564450	42	RESP=1
4574679	42	STIM=a
4579273	42	RESP=1
4592210	42	STIM=t
4597597	42	RESP=1
4608380	42	STIM=p
4611417	42	RESP=2
4626938	42	STIM=q
4630688	42	RESP=1
4642929	42	STIM=g
4647660	42	RESP=1
4658998	42	STIM=f
4663534	42	RESP=1
4675933	42	STIM=f
4679379	42	RESP=1
4692599	42	STIM=x
4697419	42	RESP=1
