# Original filename: 0015_HNI_2017-03-21.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38214	42	STIM=9
44046	42	RESP=1
54602	42	STIM=1
58587	42	RESP=1
72098	42	STIM=v
77457	42	RESP=1
90723	42	STIM=y
93604	42	RESP=1
109060	42	STIM=p
114788	42	RESP=1
126735	42	STIM=y
130606	42	RESP=1
143693	42	STIM=w
150380	42	RESP=1
160634	42	STIM=z
168985	42	RESP=1
176790	42	STIM=3
181155	42	RESP=2
195529	42	STIM=r
200798	42	RESP=1
210987	42	STIM=a
215066	42	RESP=1
226097	42	STIM=8
229618	42	RESP=2
244222	42	STIM=n
248641	42	RESP=1
259483	42	STIM=p
265196	42	RESP=1
276984	42	STIM=q
281012	42	RESP=1
292091	42	STIM=4
295868	42	RESP=2
307857	42	STIM=q
312173	42	RESP=1
325540	42	STIM=w
329356	42	RESP=1
342301	42	STIM=3
347016	42	RESP=2
358622	42	STIM=4
362803	42	RESP=2
375274	42	STIM=d
379458	42	RESP=1
392574	42	STIM=w
397724	42	RESP=1
409344	42	STIM=e
413416	42	RESP=1
424511	42	STIM=3
433067	42	RESP=2
442628	42	STIM=t
446780	42	RESP=1
461412	42	STIM=b
465287	42	RESP=1
479125	42	STIM=6
485429	42	RESP=2
495225	42	STIM=n
499401	42	RESP=1
513205	42	STIM=q
519645	42	RESP=1
529116	42	STIM=z
536255	42	RESP=2
544962	42	STIM=u
547603	42	RESP=1
563703	42	STIM=s
569915	42	RESP=1
582394	42	STIM=o
585601	42	RESP=1
598236	42	STIM=2
603777	42	RESP=2
616221	42	STIM=b
619169	42	RESP=1
634227	42	STIM=h
637869	42	RESP=1
652043	42	STIM=c
656470	42	RESP=1
667745	42	STIM=e
670604	42	RESP=1
685644	42	STIM=b
690664	42	RESP=1
701901	42	STIM=u
706475	42	RESP=1
718015	42	STIM=h
722010	42	RESP=1
733577	42	STIM=q
738727	42	RESP=1
749072	42	STIM=v
754613	42	RESP=1
765295	42	STIM=w
769044	42	RESP=1
781153	42	STIM=q
786941	42	RESP=1
797736	42	STIM=3
802213	42	RESP=2
814246	42	STIM=f
817929	42	RESP=1
832240	42	STIM=l
838832	42	RESP=1
847806	42	STIM=h
851689	42	RESP=1
865558	42	STIM=l
872281	42	RESP=1
882976	42	STIM=8
888341	42	RESP=2
898715	42	STIM=r
902025	42	RESP=2
917472	42	STIM=0
923331	42	RESP=2
934210	42	STIM=e
940143	42	RESP=1
