# Original filename: 0016_UBG_2016-10-12.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30335	42	STIM=y
35117	42	RESP=1
47771	42	STIM=m
51010	42	RESP=1
64411	42	STIM=i
68718	42	RESP=1
82638	42	STIM=k
86527	42	RESP=1
98017	42	STIM=n
103467	42	RESP=1
114707	42	STIM=3
118604	42	RESP=1
131795	42	STIM=2
140956	42	RESP=2
148109	42	STIM=s
151038	42	RESP=1
166167	42	STIM=y
169712	42	RESP=1
184167	42	STIM=r
189560	42	RESP=1
200781	42	STIM=z
205538	42	RESP=1
217006	42	STIM=f
223113	42	RESP=1
232829	42	STIM=c
237499	42	RESP=1
248017	42	STIM=y
252819	42	RESP=1
266204	42	STIM=d
274070	42	RESP=1
282156	42	STIM=a
288666	42	RESP=1
300588	42	STIM=d
304912	42	RESP=1
319241	42	STIM=z
324073	42	RESP=1
335964	42	STIM=8
341607	42	RESP=2
353516	42	STIM=i
361327	42	RESP=1
370698	42	STIM=p
376195	42	RESP=1
387129	42	STIM=7
393316	42	RESP=2
405553	42	STIM=6
410689	42	RESP=1
421857	42	STIM=5
428043	42	RESP=2
440629	42	STIM=1
448927	42	RESP=2
458529	42	STIM=h
463340	42	RESP=1
474016	42	STIM=f
476900	42	RESP=1
491728	42	STIM=l
504410	42	RESP=1
509419	42	STIM=w
516676	42	RESP=1
525250	42	STIM=a
528713	42	RESP=1
540875	42	STIM=f
544246	42	RESP=1
556749	42	STIM=d
561339	42	RESP=1
574663	42	STIM=e
578395	42	RESP=1
590269	42	STIM=1
598947	42	RESP=2
606745	42	STIM=d
617179	42	RESP=1
624521	42	STIM=r
627552	42	RESP=1
640179	42	STIM=v
646596	42	RESP=1
658217	42	STIM=r
662466	42	RESP=1
676066	42	STIM=o
679776	42	RESP=1
691504	42	STIM=w
696239	42	RESP=1
707702	42	STIM=h
712638	42	RESP=1
725595	42	STIM=h
731919	42	RESP=1
743964	42	STIM=d
749478	42	RESP=1
761363	42	STIM=0
766534	42	RESP=2
776964	42	STIM=e
783075	42	RESP=1
793187	42	STIM=j
796256	42	RESP=1
809629	42	STIM=m
817748	42	RESP=1
826377	42	STIM=e
832174	42	RESP=1
843785	42	STIM=1
848454	42	RESP=2
861864	42	STIM=3
868830	42	RESP=2
879336	42	STIM=y
883736	42	RESP=1
894613	42	STIM=a
899122	42	RESP=1
912309	42	STIM=d
917304	42	RESP=1
930888	42	STIM=g
936732	42	RESP=1
947830	42	STIM=z
951958	42	RESP=1
964569	42	STIM=f
968756	42	RESP=1
982053	42	STIM=4
986553	42	RESP=2
1000574	42	STIM=7
1008677	42	RESP=2
1016681	42	STIM=u
1024155	42	RESP=1
1033506	42	STIM=9
1039920	42	RESP=2
1050529	42	STIM=2
1059884	42	RESP=1
1066506	42	STIM=k
1069997	42	RESP=1
1082944	42	STIM=0
1091390	42	RESP=1
1098641	42	STIM=h
1102597	42	RESP=1
1114877	42	STIM=5
1121718	42	RESP=2
1130881	42	STIM=v
1137084	42	RESP=1
1146205	42	STIM=k
1154932	42	RESP=1
1164477	42	STIM=u
1174044	42	RESP=1
1180820	42	STIM=g
1183549	42	RESP=2
1199723	42	STIM=r
1204123	42	RESP=1
1215942	42	STIM=9
1221996	42	RESP=2
1234289	42	STIM=x
1238786	42	RESP=1
1252676	42	STIM=o
1259778	42	RESP=1
1268921	42	STIM=v
1275532	42	RESP=1
1284672	42	STIM=o
1289056	42	RESP=1
1301728	42	STIM=g
1304710	42	RESP=1
1317959	42	STIM=l
1324567	42	RESP=1
1333202	42	STIM=o
1341165	42	RESP=1
1349671	42	STIM=e
1356225	42	RESP=1
1365373	42	STIM=1
1378125	42	RESP=2
1382537	42	STIM=s
1389031	42	RESP=1
1400312	42	STIM=p
1405117	42	RESP=1
1415986	42	STIM=t
1420980	42	RESP=1
1434018	42	STIM=2
1440620	42	RESP=2
1451732	42	STIM=x
1455261	42	RESP=1
1470150	42	STIM=o
1475606	42	RESP=1
1486171	42	STIM=y
1492986	42	RESP=1
1504670	42	STIM=v
1519131	42	RESP=1
1519950	42	STIM=y
1525811	42	RESP=1
1536198	42	STIM=y
1541160	42	RESP=1
1551717	42	STIM=q
1558265	42	RESP=1
1567532	42	STIM=t
1571612	42	RESP=1
1585884	42	STIM=s
1595778	42	RESP=1
1603705	42	STIM=r
1609082	42	RESP=1
1619077	42	STIM=8
1623253	42	RESP=2
