# Original filename: 0018_ZST_2016-12-26.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
29975	42	STIM=d
38456	42	RESP=1
45347	42	STIM=k
51464	42	RESP=1
62740	42	STIM=g
65880	42	RESP=1
79555	42	STIM=g
82095	42	RESP=1
98385	42	STIM=u
113611	42	RESP=1
116209	42	STIM=x
124371	42	RESP=1
133425	42	STIM=x
139350	42	RESP=1
148925	42	STIM=c
151966	42	RESP=1
164878	42	STIM=a
169124	42	RESP=1
182391	42	STIM=s
186781	42	RESP=1
199828	42	STIM=k
203415	42	RESP=1
214832	42	STIM=w
225438	42	RESP=1
230498	42	STIM=1
234848	42	RESP=2
247256	42	STIM=e
251873	42	RESP=1
262720	42	STIM=0
269718	42	RESP=2
278604	42	STIM=g
285383	42	RESP=1
295983	42	STIM=z
304352	42	RESP=1
311798	42	STIM=m
315943	42	RESP=1
328672	42	STIM=i
335514	42	RESP=1
347560	42	STIM=a
352614	42	RESP=1
364827	42	STIM=y
368444	42	RESP=1
382006	42	STIM=4
386875	42	RESP=2
399670	42	STIM=i
404581	42	RESP=1
415528	42	STIM=v
421007	42	RESP=1
434265	42	STIM=e
439197	42	RESP=1
450504	42	STIM=s
455949	42	RESP=1
469369	42	STIM=m
475311	42	RESP=1
486608	42	STIM=x
493591	42	RESP=1
504251	42	STIM=q
508265	42	RESP=1
523075	42	STIM=p
526562	42	RESP=1
540989	42	STIM=e
545674	42	RESP=1
559653	42	STIM=v
567522	42	RESP=1
576097	42	STIM=z
580149	42	RESP=1
594037	42	STIM=7
600520	42	RESP=2
612057	42	STIM=w
615573	42	RESP=1
630928	42	STIM=9
636112	42	RESP=2
647329	42	STIM=u
654218	42	RESP=1
666261	42	STIM=l
669903	42	RESP=1
683897	42	STIM=a
687976	42	RESP=1
699075	42	STIM=g
702376	42	RESP=1
717948	42	STIM=d
721712	42	RESP=1
735864	42	STIM=h
741518	42	RESP=1
751385	42	STIM=f
758916	42	RESP=1
770265	42	STIM=7
777713	42	RESP=2
788991	42	STIM=f
794726	42	RESP=1
806356	42	STIM=0
810782	42	RESP=2
822518	42	STIM=s
827086	42	RESP=1
838611	42	STIM=w
846118	42	RESP=1
855336	42	STIM=l
860557	42	RESP=1
871486	42	STIM=y
874933	42	RESP=1
886686	42	STIM=f
890334	42	RESP=1
904280	42	STIM=t
907546	42	RESP=1
920648	42	STIM=k
925421	42	RESP=1
937412	42	STIM=4
940856	42	RESP=2
953803	42	STIM=x
958435	42	RESP=1
971904	42	STIM=h
976051	42	RESP=1
987788	42	STIM=w
994232	42	RESP=1
1005698	42	STIM=r
1012486	42	RESP=1
1021489	42	STIM=t
1024907	42	RESP=1
1040306	42	STIM=q
1043838	42	RESP=1
1056885	42	STIM=c
1064666	42	RESP=1
1073441	42	STIM=f
1078030	42	RESP=2
1091847	42	STIM=o
1096788	42	RESP=1
1107201	42	STIM=k
1111863	42	RESP=1
1124590	42	STIM=8
1129253	42	RESP=2
1142626	42	STIM=z
1146826	42	RESP=1
1158144	42	STIM=9
1163855	42	RESP=2
1174246	42	STIM=n
1177424	42	RESP=1
1189467	42	STIM=w
1193611	42	RESP=1
1204869	42	STIM=9
1214391	42	RESP=2
1223237	42	STIM=w
1229255	42	RESP=1
1241559	42	STIM=4
1247356	42	RESP=2
1256747	42	STIM=y
1259402	42	RESP=1
1273750	42	STIM=d
1278260	42	RESP=1
1288804	42	STIM=c
1292107	42	RESP=1
1306210	42	STIM=w
1312758	42	RESP=1
1324867	42	STIM=c
1332788	42	RESP=1
1342929	42	STIM=b
1346838	42	RESP=1
1359678	42	STIM=h
1363056	42	RESP=1
1376578	42	STIM=a
1381806	42	RESP=1
1393388	42	STIM=j
1397407	42	RESP=1
1409147	42	STIM=u
1414970	42	RESP=1
1426674	42	STIM=f
1430697	42	RESP=1
1443211	42	STIM=i
1448501	42	RESP=1
1460436	42	STIM=t
1466529	42	RESP=1
1479375	42	STIM=y
1483895	42	RESP=1
1494391	42	STIM=9
1499190	42	RESP=2
1512435	42	STIM=g
1516055	42	RESP=1
1528380	42	STIM=q
1531732	42	RESP=1
1544407	42	STIM=c
1547359	42	RESP=1
1563072	42	STIM=j
1567387	42	RESP=1
1579557	42	STIM=d
1582247	42	RESP=1
1596343	42	STIM=u
1601610	42	RESP=1
1613154	42	STIM=l
1619595	42	RESP=1
1631252	42	STIM=t
1636639	42	RESP=1
1649986	42	STIM=i
1654398	42	RESP=1
1666060	42	STIM=l
1668688	42	RESP=1
1682766	42	STIM=9
1688521	42	RESP=2
1700221	42	STIM=s
1703146	42	RESP=1
1719169	42	STIM=8
1725745	42	RESP=2
1737288	42	STIM=0
1742715	42	RESP=1
1754146	42	STIM=b
1757039	42	RESP=1
1771989	42	STIM=p
1775825	42	RESP=1
1789827	42	STIM=6
1794062	42	RESP=1
1808769	42	STIM=1
1813241	42	RESP=2
1824673	42	STIM=x
1829475	42	RESP=1
1841360	42	STIM=o
1846363	42	RESP=1
1856423	42	STIM=0
1861783	42	RESP=2
1871609	42	STIM=4
1876601	42	RESP=2
1888699	42	STIM=o
1893827	42	RESP=1
1907346	42	STIM=x
1917283	42	RESP=1
1922626	42	STIM=9
1928295	42	RESP=2
1939632	42	STIM=q
1943856	42	RESP=1
1957972	42	STIM=1
1961076	42	RESP=2
1976312	42	STIM=i
1990580	42	RESP=1
1992520	42	STIM=e
1996824	42	RESP=1
2010284	42	STIM=7
2014603	42	RESP=2
2027496	42	STIM=9
2035096	42	RESP=2
2043402	42	STIM=u
2054049	42	RESP=1
2060477	42	STIM=n
2065466	42	RESP=1
2079146	42	STIM=i
2084890	42	RESP=1
2095674	42	STIM=s
2101985	42	RESP=1
2111474	42	STIM=v
2117293	42	RESP=1
2130386	42	STIM=d
2134284	42	RESP=1
2149380	42	STIM=h
2152730	42	RESP=1
2167841	42	STIM=l
2173505	42	RESP=1
2184498	42	STIM=f
2189259	42	RESP=1
2199843	42	STIM=q
2206407	42	RESP=1
2217210	42	STIM=r
2221606	42	RESP=1
2233812	42	STIM=s
2237157	42	RESP=1
2250683	42	STIM=x
2253940	42	RESP=1
2267495	42	STIM=o
2270968	42	RESP=1
2285077	42	STIM=i
2289969	42	RESP=1
2302380	42	STIM=v
2309702	42	RESP=1
2318722	42	STIM=m
2321487	42	RESP=1
2337315	42	STIM=4
2341030	42	RESP=2
2353723	42	STIM=t
2357723	42	RESP=1
2371599	42	STIM=n
2375911	42	RESP=1
2388304	42	STIM=u
2391766	42	RESP=2
2404282	42	STIM=d
2409732	42	RESP=1
2421780	42	STIM=i
2428157	42	RESP=1
2440022	42	STIM=i
2444071	42	RESP=1
2455204	42	STIM=i
2459973	42	RESP=1
2473656	42	STIM=p
2476913	42	RESP=1
2490305	42	STIM=h
2494048	42	RESP=1
2507252	42	STIM=7
2515303	42	RESP=2
2523752	42	STIM=w
2526378	42	RESP=1
2540899	42	STIM=l
2545919	42	RESP=1
2558978	42	STIM=h
2562201	42	RESP=1
2577005	42	STIM=a
2580549	42	RESP=1
2592188	42	STIM=b
2595664	42	RESP=1
2607798	42	STIM=w
2610540	42	RESP=1
2625853	42	STIM=a
2631109	42	RESP=2
2642735	42	STIM=s
2647237	42	RESP=2
2659555	42	STIM=z
2665277	42	RESP=1
2678101	42	STIM=t
2682573	42	RESP=1
2694668	42	STIM=l
2698246	42	RESP=1
2712022	42	STIM=j
2715799	42	RESP=1
2729941	42	STIM=f
2734227	42	RESP=1
2747225	42	STIM=o
2754114	42	RESP=1
2763417	42	STIM=1
2767114	42	RESP=2
2781929	42	STIM=5
2786285	42	RESP=1
2797555	42	STIM=g
2800537	42	RESP=1
2813055	42	STIM=j
2818741	42	RESP=1
2831832	42	STIM=u
2838616	42	RESP=1
2848164	42	STIM=o
2852849	42	RESP=2
2866673	42	STIM=7
2871120	42	RESP=2
2882184	42	STIM=8
2885851	42	RESP=1
2900843	42	STIM=0
2905372	42	RESP=2
2917235	42	STIM=8
2921485	42	RESP=2
2936051	42	STIM=2
2941160	42	RESP=1
2954042	42	STIM=f
2957347	42	RESP=1
2972594	42	STIM=3
2977668	42	RESP=2
2988479	42	STIM=1
2992141	42	RESP=2
3005632	42	STIM=b
3010398	42	RESP=1
3021053	42	STIM=s
3024455	42	RESP=1
3038976	42	STIM=m
3043499	42	RESP=1
3056129	42	STIM=5
3062315	42	RESP=2
3071566	42	STIM=m
3075362	42	RESP=1
3089667	42	STIM=a
3094765	42	RESP=1
3108002	42	STIM=b
3111483	42	RESP=1
3126813	42	STIM=n
3130918	42	RESP=1
3145430	42	STIM=t
3148635	42	RESP=1
3161879	42	STIM=6
3166398	42	RESP=2
3180141	42	STIM=2
3185338	42	RESP=2
3198620	42	STIM=c
3203502	42	RESP=1
3215256	42	STIM=4
3219249	42	RESP=2
3232505	42	STIM=t
3238308	42	RESP=1
3250254	42	STIM=u
3255538	42	RESP=1
3267445	42	STIM=g
3274233	42	RESP=1
3282465	42	STIM=p
3290536	42	RESP=1
3301463	42	STIM=i
