# Original filename: 0019_KFP_2016-11-04.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30843	42	STIM=q
40248	42	RESP=1
47296	42	STIM=v
56522	42	RESP=1
62321	42	STIM=f
65227	42	RESP=1
80128	42	STIM=r
84067	42	RESP=1
95241	42	STIM=e
99228	42	RESP=1
111133	42	STIM=0
115522	42	RESP=1
127241	42	STIM=8
132836	42	RESP=2
144112	42	STIM=p
150201	42	RESP=1
161004	42	STIM=m
165587	42	RESP=1
176043	42	STIM=k
183532	42	RESP=1
192834	42	STIM=2
196697	42	RESP=2
210200	42	STIM=f
214696	42	RESP=1
227639	42	STIM=8
233808	42	RESP=2
243390	42	STIM=i
246524	42	RESP=1
260720	42	STIM=u
269901	42	RESP=1
276420	42	STIM=h
279217	42	RESP=1
294838	42	STIM=f
299980	42	RESP=1
312716	42	STIM=s
318011	42	RESP=1
330729	42	STIM=b
338585	42	RESP=1
349163	42	STIM=a
353045	42	RESP=1
364891	42	STIM=0
373220	42	RESP=2
382374	42	STIM=m
386189	42	RESP=1
398044	42	STIM=c
401785	42	RESP=1
415245	42	STIM=o
422105	42	RESP=1
434161	42	STIM=s
439043	42	RESP=1
451048	42	STIM=k
454946	42	RESP=1
467192	42	STIM=6
471850	42	RESP=2
485546	42	STIM=u
488498	42	RESP=1
503179	42	STIM=3
507605	42	RESP=1
518350	42	STIM=e
521338	42	RESP=1
535851	42	STIM=a
539121	42	RESP=1
554815	42	STIM=f
561704	42	RESP=1
572543	42	STIM=f
575616	42	RESP=2
591360	42	STIM=q
600192	42	RESP=1
607446	42	STIM=4
615261	42	RESP=1
624376	42	STIM=9
628914	42	RESP=2
640955	42	STIM=i
648288	42	RESP=1
658731	42	STIM=a
663281	42	RESP=1
677093	42	STIM=w
683641	42	RESP=1
694878	42	STIM=f
698524	42	RESP=1
711374	42	STIM=b
715771	42	RESP=1
727224	42	STIM=7
732679	42	RESP=2
744620	42	STIM=y
748611	42	RESP=1
762169	42	STIM=6
766341	42	RESP=2
777974	42	STIM=i
781289	42	RESP=1
794683	42	STIM=c
799080	42	RESP=1
811424	42	STIM=l
816147	42	RESP=1
829594	42	STIM=b
832544	42	RESP=1
847195	42	STIM=u
853458	42	RESP=1
863885	42	STIM=7
868229	42	RESP=2
880370	42	STIM=f
884789	42	RESP=1
896389	42	STIM=t
903096	42	RESP=1
915315	42	STIM=4
919762	42	RESP=2
931171	42	STIM=e
935512	42	RESP=1
948210	42	STIM=1
955618	42	RESP=2
963361	42	STIM=r
967631	42	RESP=1
978888	42	STIM=k
982856	42	RESP=1
994560	42	STIM=i
999291	42	RESP=1
1010596	42	STIM=j
1015537	42	RESP=1
1027728	42	STIM=c
1033199	42	RESP=1
1045313	42	STIM=g
1048111	42	RESP=1
1064203	42	STIM=r
1066831	42	RESP=1
1080242	42	STIM=9
1086889	42	RESP=2
1096943	42	STIM=o
1101632	42	RESP=1
1114929	42	STIM=f
