# Original filename: 0021_WYK_2017-05-16.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35553	42	STIM=q
50226	42	RESP=1
53626	42	STIM=k
57575	42	RESP=1
72497	42	STIM=l
76778	42	RESP=1
89672	42	STIM=q
93115	42	RESP=1
104919	42	STIM=v
110134	42	RESP=1
123035	42	STIM=b
129129	42	RESP=1
140067	42	STIM=7
151843	42	RESP=2
157374	42	STIM=f
165447	42	RESP=1
172825	42	STIM=s
178732	42	RESP=1
189246	42	STIM=n
194077	42	RESP=1
207587	42	STIM=f
213003	42	RESP=1
226272	42	STIM=a
229388	42	RESP=1
241987	42	STIM=i
247107	42	RESP=1
257496	42	STIM=b
264715	42	RESP=2
274462	42	STIM=4
279136	42	RESP=2
292487	42	STIM=u
297826	42	RESP=1
311417	42	STIM=t
315449	42	RESP=1
326465	42	STIM=h
334519	42	RESP=1
341763	42	STIM=h
346936	42	RESP=1
357201	42	STIM=v
362931	42	RESP=1
372361	42	STIM=t
377992	42	RESP=2
391124	42	STIM=v
397274	42	RESP=1
408453	42	STIM=3
413714	42	RESP=1
426224	42	STIM=c
432417	42	RESP=1
445109	42	STIM=1
450349	42	RESP=2
463890	42	STIM=c
469223	42	RESP=1
481204	42	STIM=u
488897	42	RESP=1
498241	42	STIM=c
503604	42	RESP=1
513819	42	STIM=s
516800	42	RESP=1
530627	42	STIM=5
537541	42	RESP=1
547051	42	STIM=e
551390	42	RESP=1
565562	42	STIM=i
568198	42	RESP=1
583525	42	STIM=8
592214	42	RESP=2
602485	42	STIM=l
611771	42	RESP=2
618411	42	STIM=p
622693	42	RESP=1
636603	42	STIM=h
641020	42	RESP=1
654477	42	STIM=v
660669	42	RESP=1
672441	42	STIM=7
679349	42	RESP=2
691103	42	STIM=a
698327	42	RESP=1
706562	42	STIM=s
711731	42	RESP=1
725050	42	STIM=0
733316	42	RESP=2
741391	42	STIM=p
747555	42	RESP=1
759099	42	STIM=p
764132	42	RESP=1
776138	42	STIM=w
789816	42	RESP=1
792679	42	STIM=3
800434	42	RESP=2
808015	42	STIM=v
813123	42	RESP=1
824215	42	STIM=d
828625	42	RESP=1
839548	42	STIM=g
846829	42	RESP=1
855784	42	STIM=a
862438	42	RESP=1
870865	42	STIM=h
874478	42	RESP=1
886965	42	STIM=v
893579	42	RESP=1
905318	42	STIM=t
912592	42	RESP=1
923555	42	STIM=s
927960	42	RESP=1
939228	42	STIM=e
945819	42	RESP=1
957268	42	STIM=h
963020	42	RESP=1
972445	42	STIM=t
977280	42	RESP=2
991311	42	STIM=5
996497	42	RESP=2
1007375	42	STIM=u
1017384	42	RESP=1
1023649	42	STIM=e
1028957	42	RESP=1
1040054	42	STIM=o
1044260	42	RESP=1
1057204	42	STIM=a
1067512	42	RESP=1
1074476	42	STIM=c
1078058	42	RESP=1
1091098	42	STIM=h
1095745	42	RESP=1
1106193	42	STIM=z
1111243	42	RESP=1
1121729	42	STIM=0
1128980	42	RESP=2
1139197	42	STIM=u
1143621	42	RESP=1
1154690	42	STIM=s
1164913	42	RESP=1
1171156	42	STIM=n
1175712	42	RESP=1
1189423	42	STIM=c
1194361	42	RESP=1
1207454	42	STIM=w
