# Original filename: 0023_FCA_2017-03-09.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35309	42	STIM=x
38316	42	RESP=1
51108	42	STIM=h
63261	42	RESP=1
66731	42	STIM=k
70811	42	RESP=1
84109	42	STIM=s
89122	42	RESP=1
101051	42	STIM=0
106623	42	RESP=2
117988	42	STIM=y
121586	42	RESP=1
134087	42	STIM=t
136817	42	RESP=1
151031	42	STIM=y
156491	42	RESP=1
166158	42	STIM=p
170252	42	RESP=1
181749	42	STIM=c
184922	42	RESP=1
200228	42	STIM=h
205212	42	RESP=1
217435	42	STIM=v
225767	42	RESP=1
236422	42	STIM=p
240194	42	RESP=1
254954	42	STIM=h
261031	42	RESP=1
272800	42	STIM=z
278325	42	RESP=1
289823	42	STIM=8
294616	42	RESP=2
305747	42	STIM=l
308942	42	RESP=1
320822	42	STIM=8
329912	42	RESP=2
339182	42	STIM=x
344476	42	RESP=1
355762	42	STIM=a
362447	42	RESP=1
371915	42	STIM=z
375629	42	RESP=1
388658	42	STIM=x
393414	42	RESP=1
406293	42	STIM=o
410102	42	RESP=1
424304	42	STIM=y
430923	42	RESP=1
443291	42	STIM=r
447585	42	RESP=1
461017	42	STIM=n
468727	42	RESP=1
477239	42	STIM=l
482577	42	RESP=1
495147	42	STIM=p
499955	42	RESP=1
513482	42	STIM=j
521345	42	RESP=1
529807	42	STIM=g
534147	42	RESP=1
547121	42	STIM=j
550760	42	RESP=1
563357	42	STIM=7
568365	42	RESP=2
582246	42	STIM=v
585745	42	RESP=1
600278	42	STIM=y
605689	42	RESP=1
619046	42	STIM=c
622499	42	RESP=1
636908	42	STIM=5
643837	42	RESP=2
652400	42	STIM=m
656811	42	RESP=1
671229	42	STIM=u
675416	42	RESP=1
689571	42	STIM=m
693429	42	RESP=1
708506	42	STIM=b
713353	42	RESP=1
725332	42	STIM=u
732422	42	RESP=1
740347	42	STIM=a
744343	42	RESP=1
757202	42	STIM=c
764153	42	RESP=1
773913	42	STIM=a
777118	42	RESP=1
789256	42	STIM=c
799453	42	RESP=1
807602	42	STIM=9
814169	42	RESP=2
826200	42	STIM=h
829602	42	RESP=1
844466	42	STIM=0
847608	42	RESP=2
861724	42	STIM=e
867078	42	RESP=1
879619	42	STIM=l
884181	42	RESP=1
897940	42	STIM=9
902051	42	RESP=2
916794	42	STIM=l
920255	42	RESP=1
934705	42	STIM=i
940506	42	RESP=1
952743	42	STIM=0
959706	42	RESP=2
969506	42	STIM=s
972768	42	RESP=1
986089	42	STIM=3
990059	42	RESP=2
1003956	42	STIM=i
1012135	42	RESP=1
1022093	42	STIM=c
1025845	42	RESP=1
1040098	42	STIM=0
1044029	42	RESP=2
1057630	42	STIM=v
1061862	42	RESP=1
1073617	42	STIM=f
1077882	42	RESP=1
1090534	42	STIM=v
1095277	42	RESP=1
1108215	42	STIM=r
1114233	42	RESP=1
1127000	42	STIM=t
1131919	42	RESP=1
1143572	42	STIM=j
1149255	42	RESP=2
1160035	42	STIM=7
1168234	42	RESP=2
1176242	42	STIM=g
1180409	42	RESP=1
1194810	42	STIM=0
1201774	42	RESP=2
1210729	42	STIM=c
1215134	42	RESP=1
1227962	42	STIM=a
1232579	42	RESP=1
1244234	42	STIM=8
1252073	42	RESP=2
1260778	42	STIM=9
1264574	42	RESP=2
1278843	42	STIM=n
1286296	42	RESP=1
1295660	42	STIM=l
1302299	42	RESP=1
1312286	42	STIM=6
1317735	42	RESP=2
1328484	42	STIM=1
1333201	42	RESP=2
1344181	42	STIM=9
1349724	42	RESP=2
1362224	42	STIM=l
1367135	42	RESP=1
1378495	42	STIM=g
1381014	42	RESP=1
1394294	42	STIM=5
1399385	42	RESP=1
1409535	42	STIM=f
1413984	42	RESP=1
1427766	42	STIM=k
1434542	42	RESP=1
1446417	42	STIM=k
1453772	42	RESP=2
1463223	42	STIM=g
1467737	42	RESP=1
1480142	42	STIM=r
1485330	42	RESP=1
1498149	42	STIM=9
1502160	42	RESP=2
1516803	42	STIM=6
1524212	42	RESP=2
1535046	42	STIM=h
1538792	42	RESP=1
1553374	42	STIM=7
1562837	42	RESP=2
1572102	42	STIM=r
1575012	42	RESP=1
1589286	42	STIM=b
1593762	42	RESP=1
1604439	42	STIM=8
1610365	42	RESP=2
1622429	42	STIM=j
1625732	42	RESP=1
1638071	42	STIM=w
1644418	42	RESP=1
1654015	42	STIM=u
1657274	42	RESP=1
1671087	42	STIM=s
1677298	42	RESP=1
1686683	42	STIM=g
1692709	42	RESP=1
1702950	42	STIM=j
1706334	42	RESP=1
1719267	42	STIM=4
1725866	42	RESP=2
1737867	42	STIM=e
1742880	42	RESP=1
1756726	42	STIM=u
1762943	42	RESP=1
1774897	42	STIM=k
1779734	42	RESP=1
1792317	42	STIM=s
1795491	42	RESP=2
1808833	42	STIM=i
1812331	42	RESP=1
1827408	42	STIM=u
1830582	42	RESP=1
1843379	42	STIM=w
1849595	42	RESP=1
1861609	42	STIM=0
1865485	42	RESP=1
1877794	42	STIM=r
1882317	42	RESP=1
1896375	42	STIM=c
1906059	42	RESP=1
1912593	42	STIM=d
1916408	42	RESP=1
1930316	42	STIM=h
1938390	42	RESP=1
1946520	42	STIM=s
1950391	42	RESP=1
1965185	42	STIM=c
1970225	42	RESP=1
1984062	42	STIM=r
1988574	42	RESP=1
2001878	42	STIM=q
2005380	42	RESP=1
2019513	42	STIM=c
2026724	42	RESP=1
2037270	42	STIM=j
2040649	42	RESP=1
2054047	42	STIM=q
2057768	42	RESP=1
2072673	42	STIM=x
2077877	42	RESP=1
2089330	42	STIM=4
2093679	42	RESP=1
2107562	42	STIM=n
2111998	42	RESP=1
2124098	42	STIM=4
2133054	42	RESP=1
2140072	42	STIM=8
2146211	42	RESP=2
2157369	42	STIM=5
2162352	42	RESP=2
2174281	42	STIM=c
2178056	42	RESP=1
2192995	42	STIM=p
2196300	42	RESP=1
2208665	42	STIM=y
2216261	42	RESP=2
2224031	42	STIM=q
2230080	42	RESP=1
2242298	42	STIM=7
2251872	42	RESP=2
2260157	42	STIM=q
2265619	42	RESP=1
2277337	42	STIM=8
2282420	42	RESP=2
2293507	42	STIM=n
2296950	42	RESP=1
2309666	42	STIM=5
2315500	42	RESP=2
2326824	42	STIM=e
2330828	42	RESP=1
2345416	42	STIM=l
2350005	42	RESP=1
2363840	42	STIM=b
2368722	42	RESP=1
2380036	42	STIM=m
2384776	42	RESP=1
2396680	42	STIM=4
2400140	42	RESP=2
2413343	42	STIM=o
2422345	42	RESP=1
2430365	42	STIM=d
2434786	42	RESP=1
2447744	42	STIM=q
2453182	42	RESP=1
2466431	42	STIM=i
2470771	42	RESP=1
2483966	42	STIM=l
2488507	42	RESP=1
2499023	42	STIM=i
2503833	42	RESP=1
2515041	42	STIM=m
2524257	42	RESP=1
2531239	42	STIM=t
2535647	42	RESP=1
2549126	42	STIM=c
2552310	42	RESP=1
2568047	42	STIM=w
2573037	42	RESP=1
2586874	42	STIM=z
2590247	42	RESP=1
2602127	42	STIM=b
2610426	42	RESP=1
2617702	42	STIM=c
2621534	42	RESP=1
2635245	42	STIM=k
2641631	42	RESP=1
2650249	42	STIM=w
2653363	42	RESP=1
2668507	42	STIM=c
2676768	42	RESP=1
2683647	42	STIM=w
2686585	42	RESP=1
2699841	42	STIM=h
2702992	42	RESP=1
2717224	42	STIM=w
2721682	42	RESP=1
2735459	42	STIM=h
