# Original filename: 0023_UZD_2017-02-04.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28558	42	STIM=d
38397	42	RESP=1
46843	42	STIM=q
54687	42	RESP=1
63719	42	STIM=7
69381	42	RESP=2
79130	42	STIM=w
83575	42	RESP=1
95744	42	STIM=4
104422	42	RESP=2
114093	42	STIM=b
117052	42	RESP=1
130499	42	STIM=7
136142	42	RESP=2
146816	42	STIM=u
150448	42	RESP=1
164476	42	STIM=5
169962	42	RESP=2
180850	42	STIM=x
190192	42	RESP=1
199605	42	STIM=t
208099	42	RESP=1
217401	42	STIM=q
223833	42	RESP=1
234146	42	STIM=n
240292	42	RESP=1
250232	42	STIM=l
254656	42	RESP=1
265797	42	STIM=6
270642	42	RESP=2
282465	42	STIM=6
286771	42	RESP=2
299261	42	STIM=3
304363	42	RESP=2
315740	42	STIM=l
325307	42	RESP=1
334676	42	STIM=n
339076	42	RESP=1
350136	42	STIM=x
357485	42	RESP=1
366005	42	STIM=m
372530	42	RESP=1
384668	42	STIM=w
387630	42	RESP=1
403354	42	STIM=k
408991	42	RESP=1
421481	42	STIM=0
428877	42	RESP=2
437704	42	STIM=b
442935	42	RESP=1
454682	42	STIM=2
458663	42	RESP=2
471265	42	STIM=m
479947	42	RESP=1
489449	42	STIM=s
494664	42	RESP=1
505872	42	STIM=2
516034	42	RESP=2
522678	42	STIM=1
531144	42	RESP=2
538796	42	STIM=7
547348	42	RESP=2
557726	42	STIM=l
563044	42	RESP=1
574441	42	STIM=5
583170	42	RESP=2
593421	42	STIM=b
596454	42	RESP=1
608556	42	STIM=z
619684	42	RESP=1
626089	42	STIM=q
629646	42	RESP=1
645021	42	STIM=r
651524	42	RESP=1
661477	42	STIM=s
669963	42	RESP=1
679532	42	STIM=z
685583	42	RESP=1
695654	42	STIM=6
700503	42	RESP=2
713384	42	STIM=4
720677	42	RESP=1
729731	42	STIM=f
737192	42	RESP=1
746951	42	STIM=m
753492	42	RESP=1
763650	42	STIM=p
771124	42	RESP=2
779327	42	STIM=p
783305	42	RESP=1
794480	42	STIM=1
799327	42	RESP=2
812514	42	STIM=g
816845	42	RESP=1
828850	42	STIM=i
836657	42	RESP=1
846766	42	STIM=z
852263	42	RESP=1
862781	42	STIM=3
868548	42	RESP=2
880058	42	STIM=y
884771	42	RESP=1
897828	42	STIM=l
903320	42	RESP=2
915972	42	STIM=g
924841	42	RESP=1
933810	42	STIM=r
939506	42	RESP=1
949349	42	STIM=r
954521	42	RESP=1
965099	42	STIM=n
968777	42	RESP=1
982781	42	STIM=l
987288	42	RESP=1
998898	42	STIM=q
1009766	42	RESP=1
1016225	42	STIM=l
1020726	42	RESP=1
1031934	42	STIM=b
1035107	42	RESP=1
1050130	42	STIM=7
1056057	42	RESP=2
1065545	42	STIM=x
