# Original filename: 0024_ICI_2016-12-30.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35368	42	STIM=l
39062	42	RESP=1
51541	42	STIM=n
56478	42	RESP=1
69986	42	STIM=5
73797	42	RESP=2
86338	42	STIM=r
93207	42	RESP=1
104827	42	STIM=2
111203	42	RESP=2
119967	42	STIM=v
131947	42	RESP=1
135162	42	STIM=z
141328	42	RESP=1
152780	42	STIM=d
158746	42	RESP=1
169383	42	STIM=a
179374	42	RESP=1
187550	42	STIM=l
192142	42	RESP=1
206129	42	STIM=u
211869	42	RESP=1
223855	42	STIM=v
229325	42	RESP=2
240204	42	STIM=f
245063	42	RESP=1
257673	42	STIM=g
260438	42	RESP=1
274425	42	STIM=z
276709	42	RESP=1
292153	42	STIM=7
296011	42	RESP=2
307567	42	STIM=l
313128	42	RESP=2
324828	42	STIM=d
329019	42	RESP=1
342203	42	STIM=p
345161	42	RESP=1
358922	42	STIM=1
364807	42	RESP=1
376582	42	STIM=p
386110	42	RESP=1
395345	42	STIM=d
399312	42	RESP=1
411858	42	STIM=0
416203	42	RESP=2
427604	42	STIM=j
430074	42	RESP=1
443293	42	STIM=h
446925	42	RESP=1
459199	42	STIM=v
465503	42	RESP=1
477752	42	STIM=j
481755	42	RESP=1
495375	42	STIM=i
499996	42	RESP=1
511802	42	STIM=v
515513	42	RESP=1
527678	42	STIM=x
533198	42	RESP=1
544501	42	STIM=l
547630	42	RESP=1
562172	42	STIM=g
566274	42	RESP=1
578929	42	STIM=h
583159	42	RESP=1
594576	42	STIM=y
599104	42	RESP=1
613361	42	STIM=y
618587	42	RESP=1
631763	42	STIM=w
635954	42	RESP=1
648376	42	STIM=j
652977	42	RESP=1
664290	42	STIM=l
670108	42	RESP=1
683073	42	STIM=n
686353	42	RESP=1
699590	42	STIM=f
703417	42	RESP=1
718121	42	STIM=j
722520	42	RESP=1
734763	42	STIM=a
743556	42	RESP=1
750320	42	STIM=0
754893	42	RESP=2
766925	42	STIM=f
772383	42	RESP=1
782152	42	STIM=g
786676	42	RESP=1
798400	42	STIM=g
801294	42	RESP=1
813819	42	STIM=t
818473	42	RESP=2
831967	42	STIM=c
835906	42	RESP=1
850593	42	STIM=c
858272	42	RESP=1
869429	42	STIM=d
873034	42	RESP=1
887224	42	STIM=6
894053	42	RESP=1
903488	42	STIM=6
909858	42	RESP=2
919966	42	STIM=h
926349	42	RESP=1
935299	42	STIM=o
939672	42	RESP=1
952784	42	STIM=v
956290	42	RESP=1
970444	42	STIM=2
975176	42	RESP=2
985841	42	STIM=6
990086	42	RESP=2
1001030	42	STIM=6
1005986	42	RESP=2
1016106	42	STIM=4
1023623	42	RESP=2
1033114	42	STIM=g
1039729	42	RESP=2
1048919	42	STIM=v
1053729	42	RESP=1
1064387	42	STIM=f
1068706	42	RESP=1
1079960	42	STIM=o
1082828	42	RESP=1
1096301	42	STIM=6
1102550	42	RESP=2
1111816	42	STIM=m
1114409	42	RESP=1
1127652	42	STIM=q
1131686	42	RESP=1
1144214	42	STIM=i
1148081	42	RESP=1
1161523	42	STIM=u
1167130	42	RESP=1
1177667	42	STIM=5
1181513	42	RESP=2
1194424	42	STIM=n
1200202	42	RESP=2
1210206	42	STIM=d
1214735	42	RESP=1
1227990	42	STIM=p
1233821	42	RESP=1
1244255	42	STIM=0
1253773	42	RESP=2
1261592	42	STIM=o
1265075	42	RESP=1
1277611	42	STIM=j
1281048	42	RESP=1
1295127	42	STIM=p
1297843	42	RESP=1
1312591	42	STIM=b
1322258	42	RESP=1
1329085	42	STIM=x
1332395	42	RESP=1
1347294	42	STIM=w
1353125	42	RESP=1
1362752	42	STIM=i
1370537	42	RESP=1
1379693	42	STIM=t
1383065	42	RESP=2
1397773	42	STIM=s
1401669	42	RESP=1
1415702	42	STIM=p
1418951	42	RESP=1
1433413	42	STIM=a
1435982	42	RESP=1
1451263	42	STIM=c
1454622	42	RESP=1
1466638	42	STIM=v
1471787	42	RESP=1
1483196	42	STIM=b
1489877	42	RESP=1
1499178	42	STIM=i
1502736	42	RESP=1
1517141	42	STIM=w
1524994	42	RESP=1
1533907	42	STIM=k
1537503	42	RESP=1
1550378	42	STIM=r
1557805	42	RESP=1
1567052	42	STIM=x
1572796	42	RESP=1
1583624	42	STIM=1
1590641	42	RESP=2
1599963	42	STIM=b
1604825	42	RESP=1
1615014	42	STIM=o
1618058	42	RESP=1
1631250	42	STIM=o
1634061	42	RESP=1
1647298	42	STIM=t
1651737	42	RESP=1
1666008	42	STIM=e
1669008	42	RESP=1
1683969	42	STIM=g
1688984	42	RESP=1
1699091	42	STIM=w
1706355	42	RESP=1
1715968	42	STIM=k
1719784	42	RESP=1
1732241	42	STIM=s
1735091	42	RESP=1
1749633	42	STIM=n
1753341	42	RESP=1
1764780	42	STIM=u
1768176	42	RESP=1
1781893	42	STIM=x
1786108	42	RESP=1
1797451	42	STIM=v
1802673	42	RESP=1
1812843	42	STIM=h
1816375	42	RESP=1
1828019	42	STIM=l
1831021	42	RESP=1
1846309	42	STIM=h
1850776	42	RESP=1
1863996	42	STIM=3
1868048	42	RESP=2
1880299	42	STIM=z
1885747	42	RESP=1
1898928	42	STIM=o
1903476	42	RESP=1
1916800	42	STIM=v
1921300	42	RESP=1
1933216	42	STIM=e
1936783	42	RESP=1
1948961	42	STIM=y
1955490	42	RESP=1
1965660	42	STIM=4
1970362	42	RESP=2
1982321	42	STIM=b
1986062	42	RESP=1
2000062	42	STIM=d
2002568	42	RESP=1
2017564	42	STIM=p
2021729	42	RESP=1
2032716	42	STIM=u
2039314	42	RESP=1
2048781	42	STIM=k
2053504	42	RESP=1
2066708	42	STIM=m
2071397	42	RESP=1
2084480	42	STIM=d
2087448	42	RESP=1
2100293	42	STIM=d
2105399	42	RESP=1
2118848	42	STIM=t
2122734	42	RESP=1
2136720	42	STIM=c
2139917	42	RESP=1
2154843	42	STIM=b
2159250	42	RESP=1
2172097	42	STIM=a
2177915	42	RESP=1
2190082	42	STIM=h
2195402	42	RESP=1
2205946	42	STIM=g
2210516	42	RESP=1
2223521	42	STIM=1
2228672	42	RESP=2
2240923	42	STIM=t
2244160	42	RESP=1
2256222	42	STIM=1
2262871	42	RESP=2
2274067	42	STIM=p
2280540	42	RESP=1
2290070	42	STIM=6
2295377	42	RESP=1
2305955	42	STIM=f
2311590	42	RESP=1
2323453	42	STIM=o
2329072	42	RESP=1
2340000	42	STIM=b
2342751	42	RESP=1
2358079	42	STIM=s
2366175	42	RESP=1
2373161	42	STIM=n
2377628	42	RESP=1
2389618	42	STIM=l
2393386	42	RESP=1
2404965	42	STIM=z
2413659	42	RESP=1
2422891	42	STIM=c
2430739	42	RESP=1
2441606	42	STIM=u
2445572	42	RESP=1
2458097	42	STIM=a
2465469	42	RESP=1
2476796	42	STIM=j
2480301	42	RESP=1
2494119	42	STIM=1
2499036	42	RESP=2
2510983	42	STIM=x
2514606	42	RESP=1
2529324	42	STIM=c
2534612	42	RESP=1
2545687	42	STIM=o
2548871	42	RESP=1
2564679	42	STIM=n
2567543	42	RESP=1
2582346	42	STIM=d
2584963	42	RESP=1
2600868	42	STIM=b
2606088	42	RESP=1
2617096	42	STIM=w
2623493	42	RESP=2
2633148	42	STIM=w
2636386	42	RESP=1
2651781	42	STIM=q
2657716	42	RESP=1
2668589	42	STIM=7
2673583	42	RESP=2
2687478	42	STIM=z
2690514	42	RESP=1
2703015	42	STIM=d
2708210	42	RESP=1
2718536	42	STIM=f
2724883	42	RESP=1
2737069	42	STIM=t
2741163	42	RESP=1
2753636	42	STIM=0
2757484	42	RESP=2
2768672	42	STIM=e
2773820	42	RESP=1
2784697	42	STIM=0
2788918	42	RESP=2
2801082	42	STIM=3
2806611	42	RESP=2
2817596	42	STIM=1
2822102	42	RESP=1
2835664	42	STIM=v
2840349	42	RESP=1
2852142	42	STIM=f
2858616	42	RESP=1
2867309	42	STIM=b
2872425	42	RESP=1
2885467	42	STIM=e
2890391	42	RESP=1
2901285	42	STIM=k
2906324	42	RESP=1
2919851	42	STIM=p
2925046	42	RESP=1
2938026	42	STIM=t
2941690	42	RESP=1
2953427	42	STIM=r
2956608	42	RESP=1
2969555	42	STIM=i
2977824	42	RESP=1
2985535	42	STIM=i
2993249	42	RESP=1
3003624	42	STIM=z
3007757	42	RESP=1
3018694	42	STIM=p
3023572	42	RESP=1
3035510	42	STIM=d
3040136	42	RESP=1
3051420	42	STIM=e
3057075	42	RESP=1
3066568	42	STIM=p
3070607	42	RESP=1
3085237	42	STIM=w
3089245	42	RESP=2
3102326	42	STIM=t
3108282	42	RESP=1
3118878	42	STIM=s
3122919	42	RESP=1
3137697	42	STIM=k
3143025	42	RESP=1
3153802	42	STIM=q
3160187	42	RESP=1
3169900	42	STIM=1
3173545	42	RESP=2
3187483	42	STIM=r
3191637	42	RESP=1
3205473	42	STIM=i
3212251	42	RESP=1
3224137	42	STIM=t
3229178	42	RESP=1
3239151	42	STIM=v
3242591	42	RESP=1
3256815	42	STIM=d
3259689	42	RESP=1
3275116	42	STIM=z
3278849	42	RESP=1
3291912	42	STIM=z
3295396	42	RESP=1
3307320	42	STIM=x
3311128	42	RESP=2
3325388	42	STIM=c
3335203	42	RESP=1
3341296	42	STIM=l
3346890	42	RESP=1
3357895	42	STIM=k
3362619	42	RESP=1
3374810	42	STIM=1
3382855	42	RESP=1
3391223	42	STIM=6
3396974	42	RESP=2
3406963	42	STIM=h
3410069	42	RESP=1
3425046	42	STIM=z
3427970	42	RESP=1
3440951	42	STIM=v
3447061	42	RESP=1
3458620	42	STIM=2
3462183	42	RESP=2
3474386	42	STIM=x
3477584	42	RESP=1
3492912	42	STIM=r
3497720	42	RESP=1
3508370	42	STIM=l
3512642	42	RESP=1
3524417	42	STIM=x
3530284	42	RESP=1
3542977	42	STIM=z
3547246	42	RESP=1
3560544	42	STIM=9
3565100	42	RESP=2
3578771	42	STIM=i
3582655	42	RESP=1
3594144	42	STIM=j
3603099	42	RESP=1
3612079	42	STIM=5
3619257	42	RESP=2
3631064	42	STIM=0
3634821	42	RESP=2
3650038	42	STIM=p
3654660	42	RESP=1
3665108	42	STIM=m
3670044	42	RESP=2
3682259	42	STIM=p
3687730	42	RESP=1
3697910	42	STIM=t
3702895	42	RESP=1
3715391	42	STIM=y
3718730	42	RESP=1
3733757	42	STIM=l
3737136	42	RESP=1
3748827	42	STIM=r
3754011	42	RESP=1
3764087	42	STIM=i
3768747	42	RESP=1
3780356	42	STIM=9
3786916	42	RESP=2
3796556	42	STIM=3
3801444	42	RESP=2
3814908	42	STIM=c
3824031	42	RESP=1
3830267	42	STIM=b
3834058	42	RESP=1
3845977	42	STIM=6
3851988	42	RESP=2
3864730	42	STIM=b
3867552	42	RESP=1
3882418	42	STIM=j
3886020	42	RESP=1
3900021	42	STIM=3
3904787	42	RESP=2
3917435	42	STIM=r
3924335	42	RESP=1
3933572	42	STIM=f
3940262	42	RESP=1
3949329	42	STIM=z
3953486	42	RESP=1
3965231	42	STIM=l
3968806	42	RESP=2
3982458	42	STIM=2
3986493	42	RESP=2
3998481	42	STIM=4
4003673	42	RESP=2
4014640	42	STIM=u
