# Original filename: 0024_TSG_2017-02-15.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28788	42	STIM=u
37381	42	RESP=1
45255	42	STIM=a
50566	42	RESP=1
61664	42	STIM=l
68147	42	RESP=1
80605	42	STIM=c
89266	42	RESP=1
99043	42	STIM=h
103017	42	RESP=1
117652	42	STIM=e
123474	42	RESP=1
133899	42	STIM=e
138581	42	RESP=1
152827	42	STIM=b
160624	42	RESP=1
171543	42	STIM=y
176036	42	RESP=1
188179	42	STIM=4
195375	42	RESP=2
205232	42	STIM=p
210871	42	RESP=1
221665	42	STIM=6
229177	42	RESP=1
236753	42	STIM=w
246584	42	RESP=1
254488	42	STIM=i
261572	42	RESP=1
270912	42	STIM=u
275479	42	RESP=1
289260	42	STIM=c
295030	42	RESP=1
307961	42	STIM=l
312477	42	RESP=1
323999	42	STIM=b
327630	42	RESP=1
340029	42	STIM=h
346452	42	RESP=1
357577	42	STIM=v
362903	42	RESP=1
372704	42	STIM=w
376503	42	RESP=1
387864	42	STIM=i
391506	42	RESP=1
406089	42	STIM=5
411285	42	RESP=2
421339	42	STIM=8
429586	42	RESP=1
439140	42	STIM=n
442578	42	RESP=1
456680	42	STIM=b
460566	42	RESP=1
472605	42	STIM=7
478579	42	RESP=2
489719	42	STIM=e
494703	42	RESP=1
507487	42	STIM=7
516842	42	RESP=2
524060	42	STIM=k
530680	42	RESP=1
541182	42	STIM=g
546055	42	RESP=1
556635	42	STIM=1
560532	42	RESP=2
574455	42	STIM=e
581249	42	RESP=1
591896	42	STIM=k
597848	42	RESP=1
608178	42	STIM=5
612159	42	RESP=1
623725	42	STIM=v
631831	42	RESP=1
639370	42	STIM=2
646663	42	RESP=2
656334	42	STIM=q
664234	42	RESP=1
672591	42	STIM=d
677911	42	RESP=1
691403	42	STIM=p
696126	42	RESP=1
707577	42	STIM=f
716108	42	RESP=1
724719	42	STIM=l
729121	42	RESP=2
743699	42	STIM=8
749756	42	RESP=2
760995	42	STIM=w
769195	42	RESP=1
778509	42	STIM=z
786978	42	RESP=1
795311	42	STIM=y
799393	42	RESP=1
812151	42	STIM=i
824833	42	RESP=1
828883	42	STIM=e
835308	42	RESP=1
845254	42	STIM=l
848784	42	RESP=1
862156	42	STIM=n
867406	42	RESP=1
879183	42	STIM=z
884722	42	RESP=1
897577	42	STIM=r
911677	42	RESP=1
913526	42	STIM=s
921443	42	RESP=1
931204	42	STIM=m
938126	42	RESP=1
949967	42	STIM=d
955910	42	RESP=1
967596	42	STIM=x
974693	42	RESP=1
984125	42	STIM=o
986888	42	RESP=1
1002763	42	STIM=5
1008498	42	RESP=2
1018274	42	STIM=p
1027973	42	RESP=1
1035174	42	STIM=w
1040427	42	RESP=1
1050338	42	STIM=c
1056946	42	RESP=2
1068184	42	STIM=b
1071261	42	RESP=1
1086858	42	STIM=t
1093496	42	RESP=1
1105028	42	STIM=v
1112023	42	RESP=2
1120952	42	STIM=t
1126444	42	RESP=1
1139779	42	STIM=o
1146240	42	RESP=1
1157042	42	STIM=u
1163645	42	RESP=1
1173629	42	STIM=m
1182022	42	RESP=1
1190928	42	STIM=8
1197564	42	RESP=2
1208808	42	STIM=e
1212480	42	RESP=1
1224034	42	STIM=y
1232905	42	RESP=1
1242441	42	STIM=t
1246227	42	RESP=1
1257826	42	STIM=e
1261782	42	RESP=1
1274613	42	STIM=o
1279620	42	RESP=1
1292694	42	STIM=e
1298981	42	RESP=1
1308492	42	STIM=v
1311472	42	RESP=1
1324548	42	STIM=8
1330110	42	RESP=2
1341006	42	STIM=0
1349230	42	RESP=2
1357816	42	STIM=y
1361335	42	RESP=1
1374854	42	STIM=k
1379019	42	RESP=1
1390432	42	STIM=u
1395946	42	RESP=1
1408650	42	STIM=o
1415247	42	RESP=1
1426573	42	STIM=2
1434882	42	RESP=2
1445300	42	STIM=a
1456063	42	RESP=1
1464278	42	STIM=y
1468764	42	RESP=1
1480656	42	STIM=u
1483845	42	RESP=1
1496115	42	STIM=m
1499836	42	RESP=1
1513481	42	STIM=p
1518475	42	RESP=1
1531078	42	STIM=c
1534499	42	RESP=1
1546723	42	STIM=w
1549858	42	RESP=1
1561940	42	STIM=f
1565790	42	RESP=1
1579520	42	STIM=h
1583908	42	RESP=1
1595072	42	STIM=s
1598105	42	RESP=1
1612504	42	STIM=e
1615606	42	RESP=1
1631315	42	STIM=z
1636770	42	RESP=1
1649638	42	STIM=6
1658936	42	RESP=2
1665237	42	STIM=a
1681569	42	RESP=1
1682935	42	STIM=9
1691234	42	RESP=2
1700781	42	STIM=2
1707525	42	RESP=2
1717904	42	STIM=n
1725682	42	RESP=1
1735503	42	STIM=3
1741151	42	RESP=1
1753713	42	STIM=0
1759579	42	RESP=2
1770455	42	STIM=d
1778988	42	RESP=1
1787266	42	STIM=o
1793683	42	RESP=1
1802691	42	STIM=6
1809176	42	RESP=1
1819810	42	STIM=w
1830149	42	RESP=1
1835511	42	STIM=9
1844915	42	RESP=2
1852379	42	STIM=a
1855570	42	RESP=1
1868575	42	STIM=e
1878115	42	RESP=1
1884160	42	STIM=f
1888712	42	RESP=1
1900295	42	STIM=y
1904740	42	RESP=1
1915542	42	STIM=m
1919802	42	RESP=1
1933839	42	STIM=u
1940701	42	RESP=2
1951401	42	STIM=j
1960035	42	RESP=1
1966639	42	STIM=n
1971427	42	RESP=1
1984347	42	STIM=1
1990906	42	RESP=1
1999729	42	STIM=9
2007440	42	RESP=2
2017866	42	STIM=u
2021773	42	RESP=1
2033251	42	STIM=g
2037429	42	RESP=1
2048574	42	STIM=m
2054050	42	RESP=1
2066287	42	STIM=1
2077401	42	RESP=1
2085077	42	STIM=r
2095055	42	RESP=1
2102302	42	STIM=4
2107441	42	RESP=2
2119116	42	STIM=9
2124350	42	RESP=1
2135974	42	STIM=w
2142123	42	RESP=1
2152605	42	STIM=j
2160334	42	RESP=1
2169144	42	STIM=j
2173783	42	RESP=1
2188001	42	STIM=d
2195075	42	RESP=1
2203243	42	STIM=w
2208563	42	RESP=1
2222221	42	STIM=p
2225144	42	RESP=1
2239063	42	STIM=d
2243938	42	RESP=1
2254066	42	STIM=x
2257798	42	RESP=1
2269690	42	STIM=7
2274164	42	RESP=2
2286697	42	STIM=o
2292153	42	RESP=1
2303882	42	STIM=c
2312679	42	RESP=1
2319094	42	STIM=w
2323051	42	RESP=1
2335112	42	STIM=9
2345661	42	RESP=2
2353593	42	STIM=p
2358903	42	RESP=1
2369677	42	STIM=l
2377036	42	RESP=1
2387171	42	STIM=c
2392871	42	RESP=1
2404851	42	STIM=p
2411061	42	RESP=1
2420289	42	STIM=u
2425107	42	RESP=1
2437540	42	STIM=0
2447702	42	RESP=2
2453571	42	STIM=c
2457971	42	RESP=1
2469101	42	STIM=t
2474573	42	RESP=1
2485386	42	STIM=u
2488462	42	RESP=1
2502488	42	STIM=v
2512116	42	RESP=1
2520416	42	STIM=3
2525245	42	RESP=2
2536499	42	STIM=j
