# Original filename: 0026_PBV_2017-07-07.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37401	42	STIM=3
41787	42	RESP=2
55413	42	STIM=w
62350	42	RESP=1
73631	42	STIM=t
78616	42	RESP=1
89281	42	STIM=q
95449	42	RESP=1
107535	42	STIM=g
113147	42	RESP=1
124319	42	STIM=d
129095	42	RESP=1
142286	42	STIM=8
150694	42	RESP=2
158992	42	STIM=o
164636	42	RESP=1
177445	42	STIM=7
181696	42	RESP=2
196111	42	STIM=u
199898	42	RESP=1
212298	42	STIM=q
222600	42	RESP=1
229669	42	STIM=f
234744	42	RESP=1
247199	42	STIM=g
258453	42	RESP=1
264613	42	STIM=l
268821	42	RESP=1
279750	42	STIM=h
283990	42	RESP=1
295622	42	STIM=c
299317	42	RESP=1
313017	42	STIM=b
315707	42	RESP=1
332012	42	STIM=q
341281	42	RESP=1
348112	42	STIM=d
357439	42	RESP=1
366070	42	STIM=w
369759	42	RESP=1
382282	42	STIM=h
385465	42	RESP=1
401137	42	STIM=z
405719	42	RESP=2
417917	42	STIM=q
421640	42	RESP=1
433620	42	STIM=3
438844	42	RESP=1
452236	42	STIM=z
455136	42	RESP=1
468360	42	STIM=h
472096	42	RESP=1
484078	42	STIM=o
487679	42	RESP=1
499133	42	STIM=x
505631	42	RESP=1
516276	42	STIM=t
520228	42	RESP=1
531911	42	STIM=8
537178	42	RESP=2
548017	42	STIM=1
556360	42	RESP=1
564183	42	STIM=f
566818	42	RESP=1
580382	42	STIM=0
584748	42	RESP=2
598767	42	STIM=m
601646	42	RESP=1
615430	42	STIM=g
621137	42	RESP=1
632164	42	STIM=v
638394	42	RESP=1
648464	42	STIM=2
651931	42	RESP=2
664708	42	STIM=n
667561	42	RESP=1
683206	42	STIM=w
687603	42	RESP=1
700216	42	STIM=5
705367	42	RESP=2
717192	42	STIM=p
720732	42	RESP=1
735617	42	STIM=j
742195	42	RESP=1
753816	42	STIM=8
764756	42	RESP=1
771767	42	STIM=6
778389	42	RESP=2
790075	42	STIM=8
794376	42	RESP=2
805455	42	STIM=s
808220	42	RESP=1
822807	42	STIM=d
828376	42	RESP=1
839350	42	STIM=f
847817	42	RESP=1
856645	42	STIM=9
861619	42	RESP=2
872572	42	STIM=j
878199	42	RESP=1
888161	42	STIM=w
893816	42	RESP=1
905013	42	STIM=7
910672	42	RESP=2
920947	42	STIM=u
924745	42	RESP=1
936360	42	STIM=p
940915	42	RESP=1
953603	42	STIM=k
958605	42	RESP=1
969726	42	STIM=x
975753	42	RESP=1
986434	42	STIM=s
992749	42	RESP=1
1005113	42	STIM=x
1008471	42	RESP=1
1021966	42	STIM=f
1026843	42	RESP=1
1039628	42	STIM=l
1044510	42	RESP=1
1057606	42	STIM=e
1063680	42	RESP=1
1075780	42	STIM=t
1084382	42	RESP=1
1092764	42	STIM=r
1096279	42	RESP=1
1111537	42	STIM=i
1116261	42	RESP=1
1129466	42	STIM=p
1134254	42	RESP=1
1144721	42	STIM=z
1149379	42	RESP=1
1160320	42	STIM=t
1164679	42	RESP=1
1179163	42	STIM=v
1182346	42	RESP=1
1196990	42	STIM=g
1200388	42	RESP=1
1212616	42	STIM=x
1216155	42	RESP=1
1228388	42	STIM=v
1233188	42	RESP=1
1246561	42	STIM=6
1253361	42	RESP=2
1263959	42	STIM=e
1270852	42	RESP=1
1279298	42	STIM=h
1284454	42	RESP=2
1298117	42	STIM=v
1307252	42	RESP=1
1314055	42	STIM=l
1320009	42	RESP=1
1332019	42	STIM=s
1339743	42	RESP=1
1348545	42	STIM=k
1352376	42	RESP=1
1364884	42	STIM=6
1371759	42	RESP=2
1380382	42	STIM=p
1387703	42	RESP=1
1398069	42	STIM=t
1403614	42	RESP=1
1415723	42	STIM=e
1421163	42	RESP=1
1433659	42	STIM=i
1440100	42	RESP=1
1452378	42	STIM=d
1457044	42	RESP=1
1469020	42	STIM=h
1475120	42	RESP=1
1487416	42	STIM=0
1493929	42	RESP=2
1504481	42	STIM=n
1507550	42	RESP=1
1522951	42	STIM=s
1525918	42	RESP=1
1540389	42	STIM=c
1543781	42	RESP=1
1556330	42	STIM=a
1560628	42	RESP=1
1573973	42	STIM=w
1577538	42	RESP=1
1592603	42	STIM=n
1599964	42	RESP=1
1610639	42	STIM=e
1614536	42	RESP=1
1627595	42	STIM=9
1632559	42	RESP=2
1643229	42	STIM=t
1647331	42	RESP=1
1660571	42	STIM=i
1665981	42	RESP=1
1678766	42	STIM=9
1683088	42	RESP=2
1695661	42	STIM=a
1704561	42	RESP=1
1710741	42	STIM=j
1716274	42	RESP=1
