# Original filename: 0026_RGB_2017-05-13.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30430	42	STIM=v
34699	42	RESP=1
49282	42	STIM=v
52848	42	RESP=1
67188	42	STIM=b
71704	42	RESP=1
83694	42	STIM=u
87340	42	RESP=1
98860	42	STIM=5
103654	42	RESP=2
116008	42	STIM=d
121507	42	RESP=1
132768	42	STIM=r
137324	42	RESP=1
148932	42	STIM=r
156949	42	RESP=1
164927	42	STIM=u
171321	42	RESP=1
180426	42	STIM=m
184247	42	RESP=1
195688	42	STIM=j
199124	42	RESP=1
213959	42	STIM=z
218980	42	RESP=1
231885	42	STIM=d
238216	42	RESP=1
248618	42	STIM=p
255405	42	RESP=1
266625	42	STIM=h
270095	42	RESP=1
283585	42	STIM=z
288807	42	RESP=1
299855	42	STIM=8
306568	42	RESP=2
316815	42	STIM=d
321739	42	RESP=1
331876	42	STIM=y
336914	42	RESP=1
349940	42	STIM=t
353412	42	RESP=1
368376	42	STIM=r
372959	42	RESP=1
387117	42	STIM=z
390359	42	RESP=1
405775	42	STIM=w
409582	42	RESP=1
424089	42	STIM=d
430326	42	RESP=1
439400	42	STIM=r
444346	42	RESP=1
455683	42	STIM=k
459368	42	RESP=1
471053	42	STIM=2
478305	42	RESP=2
487801	42	STIM=r
495486	42	RESP=1
506136	42	STIM=a
510004	42	RESP=1
522306	42	STIM=a
526801	42	RESP=1
538212	42	STIM=p
542628	42	RESP=1
555301	42	STIM=u
558707	42	RESP=1
572085	42	STIM=2
576669	42	RESP=2
588695	42	STIM=p
591867	42	RESP=1
605747	42	STIM=9
613283	42	RESP=2
622330	42	STIM=l
631052	42	RESP=1
640421	42	STIM=c
645341	42	RESP=1
657091	42	STIM=2
660738	42	RESP=2
675063	42	STIM=2
678559	42	RESP=1
690248	42	STIM=w
694860	42	RESP=1
708366	42	STIM=c
711534	42	RESP=1
726996	42	STIM=r
730657	42	RESP=1
742973	42	STIM=8
749442	42	RESP=1
760272	42	STIM=h
767707	42	RESP=1
776818	42	STIM=k
780923	42	RESP=2
792231	42	STIM=n
796250	42	RESP=1
810428	42	STIM=q
817169	42	RESP=1
829203	42	STIM=4
834159	42	RESP=2
847923	42	STIM=k
851101	42	RESP=1
866006	42	STIM=o
874900	42	RESP=1
884028	42	STIM=2
890214	42	RESP=2
902574	42	STIM=y
910443	42	RESP=1
919684	42	STIM=n
925820	42	RESP=1
936653	42	STIM=j
943059	42	RESP=2
955410	42	STIM=b
960075	42	RESP=1
973380	42	STIM=e
979327	42	RESP=1
989074	42	STIM=4
995918	42	RESP=2
1006176	42	STIM=g
1010813	42	RESP=1
1021468	42	STIM=i
1025015	42	RESP=2
1039364	42	STIM=k
1043953	42	RESP=1
1056574	42	STIM=g
1059183	42	RESP=1
1073161	42	STIM=q
1077742	42	RESP=1
1088679	42	STIM=p
1092057	42	RESP=1
1106868	42	STIM=0
1112611	42	RESP=2
1122059	42	STIM=e
1124857	42	RESP=1
1140658	42	STIM=0
1146427	42	RESP=2
1156911	42	STIM=t
1160692	42	RESP=1
1174767	42	STIM=h
1182545	42	RESP=1
1189862	42	STIM=z
1194077	42	RESP=1
1208172	42	STIM=b
1211527	42	RESP=1
1225823	42	STIM=w
1229437	42	RESP=1
1241025	42	STIM=t
1247809	42	RESP=1
1259777	42	STIM=y
1265769	42	RESP=1
1276719	42	STIM=3
1281256	42	RESP=1
1293454	42	STIM=h
1296418	42	RESP=1
1308948	42	STIM=q
1316606	42	RESP=1
1324539	42	STIM=l
1329536	42	RESP=1
1340310	42	STIM=7
1350342	42	RESP=1
1358447	42	STIM=e
1363115	42	RESP=1
1376522	42	STIM=f
1381259	42	RESP=1
1391601	42	STIM=b
1397424	42	RESP=1
1409853	42	STIM=p
1412609	42	RESP=1
1425454	42	STIM=u
1432985	42	RESP=1
1441551	42	STIM=9
1447633	42	RESP=2
1458123	42	STIM=4
1467645	42	RESP=2
1477085	42	STIM=3
1481634	42	RESP=2
1493688	42	STIM=q
1500508	42	RESP=1
1511658	42	STIM=0
1519910	42	RESP=2
1528815	42	STIM=g
1532692	42	RESP=1
1547131	42	STIM=m
1551902	42	RESP=1
1563397	42	STIM=0
1566462	42	RESP=2
1580498	42	STIM=r
1584650	42	RESP=1
1596263	42	STIM=6
1600884	42	RESP=2
1612217	42	STIM=d
1616754	42	RESP=1
1628863	42	STIM=k
1634682	42	RESP=1
1645233	42	STIM=y
1648442	42	RESP=1
1660741	42	STIM=p
1668245	42	RESP=1
1677974	42	STIM=5
1682494	42	RESP=2
1696481	42	STIM=h
1701087	42	RESP=1
1714880	42	STIM=w
1719234	42	RESP=1
1730162	42	STIM=u
1735652	42	RESP=1
1748218	42	STIM=i
1752418	42	RESP=1
1766862	42	STIM=v
1771158	42	RESP=1
1784256	42	STIM=d
1790443	42	RESP=1
1800004	42	STIM=o
1804054	42	RESP=1
1818527	42	STIM=y
1822146	42	RESP=1
1835367	42	STIM=k
1841427	42	RESP=1
1852590	42	STIM=h
1857175	42	RESP=1
1871151	42	STIM=v
1875174	42	RESP=1
1890088	42	STIM=l
1899523	42	RESP=1
1906630	42	STIM=i
1914664	42	RESP=1
1924867	42	STIM=t
