# Original filename: 0028_KAW_2017-07-06.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28820	42	STIM=p
31815	42	RESP=1
47411	42	STIM=c
56456	42	RESP=1
63696	42	STIM=b
71540	42	RESP=1
79068	42	STIM=z
87702	42	RESP=1
97241	42	STIM=j
99739	42	RESP=1
115856	42	STIM=m
119799	42	RESP=1
132083	42	STIM=1
139252	42	RESP=2
148953	42	STIM=k
152730	42	RESP=1
165464	42	STIM=f
172260	42	RESP=1
183309	42	STIM=o
189420	42	RESP=1
199096	42	STIM=a
211176	42	RESP=1
214158	42	STIM=l
219555	42	RESP=1
230961	42	STIM=d
236507	42	RESP=1
246072	42	STIM=w
250775	42	RESP=1
264280	42	STIM=b
272388	42	RESP=1
280192	42	STIM=a
286789	42	RESP=1
295947	42	STIM=9
302549	42	RESP=2
312880	42	STIM=r
318861	42	RESP=2
327899	42	STIM=v
335045	42	RESP=1
342994	42	STIM=l
352693	42	RESP=1
359573	42	STIM=9
364047	42	RESP=2
376410	42	STIM=0
382437	42	RESP=2
392275	42	STIM=r
404530	42	RESP=1
407511	42	STIM=9
413565	42	RESP=2
423391	42	STIM=3
431615	42	RESP=1
438533	42	STIM=i
441892	42	RESP=1
454131	42	STIM=y
460554	42	RESP=1
469143	42	STIM=r
473961	42	RESP=1
486150	42	STIM=5
494525	42	RESP=2
502964	42	STIM=m
505547	42	RESP=1
519480	42	STIM=i
522374	42	RESP=1
534979	42	STIM=f
543873	42	RESP=2
551492	42	STIM=4
558504	42	RESP=2
566908	42	STIM=3
571213	42	RESP=2
584552	42	STIM=r
588886	42	RESP=1
601554	42	STIM=e
612422	42	RESP=1
619873	42	STIM=y
629215	42	RESP=1
636096	42	STIM=3
642156	42	RESP=2
654074	42	STIM=7
659717	42	RESP=2
670468	42	STIM=f
675691	42	RESP=1
686312	42	STIM=z
691543	42	RESP=1
703199	42	STIM=d
710155	42	RESP=1
721813	42	STIM=q
730299	42	RESP=1
739959	42	STIM=u
745795	42	RESP=1
757014	42	STIM=u
760936	42	RESP=1
773749	42	STIM=t
782892	42	RESP=2
791992	42	STIM=x
795520	42	RESP=1
809253	42	STIM=6
814634	42	RESP=2
825598	42	STIM=y
832206	42	RESP=1
840795	42	STIM=c
847737	42	RESP=1
856528	42	STIM=e
864077	42	RESP=1
875314	42	STIM=o
882703	42	RESP=1
892159	42	STIM=q
903049	42	RESP=1
909711	42	STIM=q
914124	42	RESP=1
927582	42	STIM=a
932457	42	RESP=2
944187	42	STIM=2
952492	42	RESP=2
960527	42	STIM=a
968173	42	RESP=1
979327	42	STIM=j
984322	42	RESP=1
998003	42	STIM=z
1002458	42	RESP=1
1016624	42	STIM=d
1019604	42	RESP=1
1032015	42	STIM=z
1037465	42	RESP=1
1047720	42	STIM=3
1053555	42	RESP=2
1064212	42	STIM=w
1069959	42	RESP=1
1080780	42	STIM=x
1083663	42	RESP=1
1099237	42	STIM=y
1104114	42	RESP=1
1114878	42	STIM=l
1119635	42	RESP=1
1130836	42	STIM=x
1136750	42	RESP=1
1145973	42	STIM=r
1148994	42	RESP=1
1162320	42	STIM=3
1167287	42	RESP=2
1180883	42	STIM=t
1184839	42	RESP=1
1199654	42	STIM=2
1205711	42	RESP=1
1217139	42	STIM=f
1220295	42	RESP=1
1235668	42	STIM=l
1242090	42	RESP=1
1252791	42	STIM=n
1258634	42	RESP=1
1268089	42	STIM=3
1276983	42	RESP=2
1284571	42	STIM=x
1287618	42	RESP=1
1303217	42	STIM=n
1308226	42	RESP=1
1318400	42	STIM=0
1322714	42	RESP=2
1334551	42	STIM=0
1340628	42	RESP=2
1353011	42	STIM=v
1362639	42	RESP=1
1368752	42	STIM=n
1374534	42	RESP=1
1386197	42	STIM=z
1390154	42	RESP=1
1401895	42	STIM=r
1405627	42	RESP=1
1418882	42	STIM=k
1423270	42	RESP=1
1433888	42	STIM=p
1441978	42	RESP=1
1451616	42	STIM=t
1454529	42	RESP=2
1470605	42	STIM=v
1474125	42	RESP=1
1487284	42	STIM=r
1496147	42	RESP=1
1506156	42	STIM=r
1510781	42	RESP=1
1523709	42	STIM=r
1529165	42	RESP=2
1540405	42	STIM=e
1544047	42	RESP=1
1559235	42	STIM=0
1566628	42	RESP=2
1577327	42	STIM=h
1581729	42	RESP=1
1594455	42	STIM=k
1601761	42	RESP=1
1611017	42	STIM=u
1618751	42	RESP=1
1629138	42	STIM=y
1635692	42	RESP=2
1645603	42	STIM=o
1651464	42	RESP=1
1661107	42	STIM=g
1667596	42	RESP=1
1677707	42	STIM=b
1684183	42	RESP=1
1695762	42	STIM=i
1701837	42	RESP=1
1713862	42	STIM=d
1718884	42	RESP=1
1730457	42	STIM=d
1734404	42	RESP=1
1748266	42	STIM=5
1754393	42	RESP=2
1766373	42	STIM=p
1769903	42	RESP=1
1783803	42	STIM=u
1788584	42	RESP=1
1802124	42	STIM=d
1807020	42	RESP=1
1820280	42	STIM=w
1823778	42	RESP=1
1835790	42	STIM=5
1844256	42	RESP=1
1852812	42	STIM=d
1858973	42	RESP=1
1869497	42	STIM=8
1876241	42	RESP=2
1887568	42	STIM=x
1892599	42	RESP=1
1904553	42	STIM=n
1913823	42	RESP=1
1922732	42	STIM=t
1933166	42	RESP=1
1941250	42	STIM=e
1945188	42	RESP=1
1960222	42	STIM=n
1966860	42	RESP=1
1977080	42	STIM=n
1981953	42	RESP=1
1992109	42	STIM=m
1998573	42	RESP=1
2009581	42	STIM=k
2016788	42	RESP=1
2024801	42	STIM=5
2032520	42	RESP=2
2040928	42	STIM=b
2049252	42	RESP=1
2058889	42	STIM=i
2064486	42	RESP=1
2076035	42	STIM=h
2080758	42	RESP=1
2094675	42	STIM=z
2104215	42	RESP=1
2111905	42	STIM=j
2123938	42	RESP=1
2130588	42	STIM=u
2134682	42	RESP=1
2147477	42	STIM=t
2153743	42	RESP=1
2165832	42	STIM=m
2172626	42	RESP=1
2182038	42	STIM=h
2188021	42	RESP=1
2197047	42	STIM=u
2202453	42	RESP=1
2215776	42	STIM=s
2223631	42	RESP=1
2231504	42	STIM=4
2237824	42	RESP=2
2248695	42	STIM=w
2256550	42	RESP=1
2265793	42	STIM=r
2268645	42	RESP=1
2284314	42	STIM=5
2288822	42	RESP=2
2300601	42	STIM=y
2303330	42	RESP=1
2316640	42	STIM=o
2321375	42	RESP=1
2332667	42	STIM=l
2339819	42	RESP=1
2349699	42	STIM=l
2358772	42	RESP=1
2365443	42	STIM=h
2369025	42	RESP=1
2380830	42	STIM=7
2390195	42	RESP=2
2397270	42	STIM=z
2405170	42	RESP=2
2416033	42	STIM=b
2422675	42	RESP=1
2434610	42	STIM=i
2446202	42	RESP=1
2450719	42	STIM=e
2453562	42	RESP=1
2468860	42	STIM=j
2473630	42	RESP=1
2486285	42	STIM=d
2492175	42	RESP=1
2502510	42	STIM=4
2510524	42	RESP=2
2517666	42	STIM=i
2522510	42	RESP=1
2533810	42	STIM=1
2544947	42	RESP=2
2550604	42	STIM=e
2556928	42	RESP=1
2568207	42	STIM=i
2574846	42	RESP=1
2585559	42	STIM=z
2590526	42	RESP=1
2604488	42	STIM=o
2611463	42	RESP=1
2623461	42	STIM=c
2626899	42	RESP=1
2639242	42	STIM=b
2645783	42	RESP=1
2657422	42	STIM=g
2661208	42	RESP=1
2673810	42	STIM=n
2683283	42	RESP=1
2690878	42	STIM=p
2697747	42	RESP=1
2707374	42	STIM=t
2713541	42	RESP=1
2723989	42	STIM=o
2729553	42	RESP=1
2741003	42	STIM=i
2745070	42	RESP=1
2756322	42	STIM=u
2761588	42	RESP=1
2771834	42	STIM=n
2776184	42	RESP=1
2788353	42	STIM=6
2796343	42	RESP=2
2805418	42	STIM=h
2807992	42	RESP=1
2820768	42	STIM=k
2829161	42	RESP=1
2839640	42	STIM=y
2844330	42	RESP=1
2854972	42	STIM=6
2860722	42	RESP=2
2871257	42	STIM=a
2875363	42	RESP=1
2887173	42	STIM=6
2894014	42	RESP=2
2903277	42	STIM=t
2908702	42	RESP=1
2920465	42	STIM=i
2927393	42	RESP=1
2936230	42	STIM=m
2941744	42	RESP=1
2952872	42	STIM=n
2958694	42	RESP=1
2968113	42	STIM=3
2976665	42	RESP=2
2983911	42	STIM=l
2988018	42	RESP=1
3000019	42	STIM=q
3003971	42	RESP=1
3017766	42	STIM=r
3021652	42	RESP=1
3036436	42	STIM=9
3042621	42	RESP=2
3053234	42	STIM=o
3059431	42	RESP=1
3070319	42	STIM=i
3073920	42	RESP=1
3087400	42	STIM=x
3094444	42	RESP=1
3102457	42	STIM=r
3108637	42	RESP=1
3117826	42	STIM=j
3122184	42	RESP=1
3133501	42	STIM=7
3140060	42	RESP=2
3149562	42	STIM=m
3154048	42	RESP=1
3166370	42	STIM=9
3170676	42	RESP=2
3184638	42	STIM=y
3190177	42	RESP=1
3202960	42	STIM=b
3211851	42	RESP=1
3219825	42	STIM=n
3226099	42	RESP=1
3235024	42	STIM=0
3244260	42	RESP=2
3250375	42	STIM=6
3256025	42	RESP=2
3266613	42	STIM=e
3270075	42	RESP=1
3282458	42	STIM=v
3287149	42	RESP=1
3300061	42	STIM=u
3304774	42	RESP=1
3315347	42	STIM=m
3319500	42	RESP=1
3332067	42	STIM=o
3336341	42	RESP=1
3348129	42	STIM=e
3353511	42	RESP=1
3364262	42	STIM=t
3370190	42	RESP=1
3379673	42	STIM=g
3384589	42	RESP=1
3396715	42	STIM=9
3405444	42	RESP=2
3412467	42	STIM=7
3420656	42	RESP=2
3427810	42	STIM=u
3433125	42	RESP=1
3446460	42	STIM=d
3454322	42	RESP=1
3464890	42	STIM=g
3468840	42	RESP=1
3481737	42	STIM=k
3487613	42	RESP=1
3498935	42	STIM=j
3502707	42	RESP=1
3515164	42	STIM=k
3523240	42	RESP=1
3533822	42	STIM=l
3538813	42	RESP=1
3551325	42	STIM=4
3557379	42	RESP=2
3568902	42	STIM=g
3575319	42	RESP=2
3587783	42	STIM=v
3593678	42	RESP=1
3606316	42	STIM=n
3612383	42	RESP=1
3622870	42	STIM=b
3628346	42	RESP=1
3639092	42	STIM=7
3645114	42	RESP=2
3657890	42	STIM=y
3661392	42	RESP=1
3673430	42	STIM=a
3683087	42	RESP=1
3691813	42	STIM=q
3696670	42	RESP=1
3707324	42	STIM=e
3712069	42	RESP=1
3724220	42	STIM=7
3729067	42	RESP=1
3740625	42	STIM=1
3750029	42	RESP=2
3757230	42	STIM=f
3763295	42	RESP=1
3775272	42	STIM=c
3780737	42	RESP=2
3791175	42	STIM=n
3796902	42	RESP=1
3808072	42	STIM=k
3813635	42	RESP=1
3825438	42	STIM=s
3830289	42	RESP=1
3844028	42	STIM=6
3849514	42	RESP=2
3859789	42	STIM=j
3870434	42	RESP=1
3876052	42	STIM=b
3880642	42	RESP=1
3892411	42	STIM=t
3899243	42	RESP=1
3909454	42	STIM=k
3915361	42	RESP=1
3925283	42	STIM=c
3931856	42	RESP=1
3941250	42	STIM=a
3947092	42	RESP=1
3958515	42	STIM=r
3963480	42	RESP=1
3973663	42	STIM=1
3982431	42	RESP=1
3988964	42	STIM=l
4003064	42	RESP=1
4006647	42	STIM=1
4012890	42	RESP=2
4025460	42	STIM=e
4031520	42	RESP=1
4043224	42	STIM=e
4050323	42	RESP=1
4059347	42	STIM=k
4064638	42	RESP=1
4076301	42	STIM=c
4082544	42	RESP=1
4092378	42	STIM=9
4097572	42	RESP=2
4107469	42	STIM=i
4111289	42	RESP=2
4124268	42	STIM=p
4128134	42	RESP=2
4142599	42	STIM=z
4148690	42	RESP=1
4160770	42	STIM=h
4165047	42	RESP=1
4178548	42	STIM=1
4183744	42	RESP=2
4194093	42	STIM=h
