# Original filename: 0032_JQA_2016-10-07.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37607	42	STIM=n
42248	42	RESP=1
54592	42	STIM=v
61713	42	RESP=1
73508	42	STIM=b
79075	42	RESP=1
91234	42	STIM=r
97219	42	RESP=1
109911	42	STIM=q
114114	42	RESP=1
128808	42	STIM=y
132118	42	RESP=1
144972	42	STIM=y
149951	42	RESP=1
161184	42	STIM=p
165575	42	RESP=1
177494	42	STIM=z
181715	42	RESP=1
194750	42	STIM=1
201924	42	RESP=1
211873	42	STIM=j
216196	42	RESP=1
227089	42	STIM=c
231254	42	RESP=1
244640	42	STIM=v
250119	42	RESP=1
260771	42	STIM=n
263697	42	RESP=2
278866	42	STIM=r
283628	42	RESP=1
294637	42	STIM=1
300239	42	RESP=2
311917	42	STIM=t
316814	42	RESP=1
329977	42	STIM=r
335648	42	RESP=1
345429	42	STIM=o
348601	42	RESP=1
361944	42	STIM=0
366420	42	RESP=2
378184	42	STIM=g
381246	42	RESP=1
395800	42	STIM=w
400732	42	RESP=1
414680	42	STIM=3
418563	42	RESP=2
431114	42	STIM=t
434616	42	RESP=1
446854	42	STIM=u
452225	42	RESP=1
464251	42	STIM=m
471602	42	RESP=1
479591	42	STIM=m
487197	42	RESP=1
496642	42	STIM=v
501942	42	RESP=1
512088	42	STIM=9
517093	42	RESP=2
527723	42	STIM=e
535092	42	RESP=1
544813	42	STIM=9
549970	42	RESP=2
562812	42	STIM=l
568585	42	RESP=1
581614	42	STIM=p
585297	42	RESP=1
600033	42	STIM=k
603678	42	RESP=2
617842	42	STIM=8
622760	42	RESP=2
633219	42	STIM=5
638064	42	RESP=2
650463	42	STIM=7
655839	42	RESP=2
666547	42	STIM=d
673665	42	RESP=1
683177	42	STIM=h
687537	42	RESP=1
701347	42	STIM=l
705154	42	RESP=1
718530	42	STIM=p
724793	42	RESP=1
736602	42	STIM=w
747714	42	RESP=1
753477	42	STIM=t
757485	42	RESP=1
768630	42	STIM=q
773333	42	RESP=1
787567	42	STIM=p
793146	42	RESP=1
805967	42	STIM=8
812596	42	RESP=1
821511	42	STIM=d
837377	42	RESP=1
838033	42	STIM=p
841689	42	RESP=1
856283	42	STIM=m
860470	42	RESP=1
873210	42	STIM=g
881379	42	RESP=1
889427	42	STIM=i
895350	42	RESP=1
906465	42	STIM=o
910480	42	RESP=1
923615	42	STIM=y
929724	42	RESP=1
938864	42	STIM=6
945797	42	RESP=2
955333	42	STIM=d
959784	42	RESP=1
972024	42	STIM=n
976709	42	RESP=1
990172	42	STIM=0
994517	42	RESP=2
1007647	42	STIM=4
1014820	42	RESP=1
1024107	42	STIM=a
1028630	42	RESP=1
1041442	42	STIM=q
1045092	42	RESP=1
1056987	42	STIM=j
1059775	42	RESP=1
1073977	42	STIM=t
1076359	42	RESP=1
1092341	42	STIM=2
1097374	42	RESP=2
1110251	42	STIM=v
1115670	42	RESP=1
1128101	42	STIM=r
1134583	42	RESP=1
1145376	42	STIM=k
1152853	42	RESP=1
1162035	42	STIM=y
1165256	42	RESP=1
1179839	42	STIM=i
1186354	42	RESP=1
1196897	42	STIM=9
1202676	42	RESP=2
1213398	42	STIM=l
1216497	42	RESP=1
1228638	42	STIM=k
1232342	42	RESP=1
1245368	42	STIM=j
1250621	42	RESP=1
1263716	42	STIM=1
1267675	42	RESP=2
1279727	42	STIM=s
1283722	42	RESP=1
1296751	42	STIM=w
1300909	42	RESP=1
1313666	42	STIM=k
1318116	42	RESP=1
1329737	42	STIM=u
1337388	42	RESP=1
1345801	42	STIM=s
1349678	42	RESP=1
1361881	42	STIM=i
1368820	42	RESP=1
1379622	42	STIM=7
1386630	42	RESP=2
1395201	42	STIM=z
1399747	42	RESP=1
1414183	42	STIM=r
1419180	42	RESP=1
1433126	42	STIM=s
1436453	42	RESP=1
1450266	42	STIM=j
1453457	42	RESP=1
1468513	42	STIM=b
1472151	42	RESP=1
1484961	42	STIM=z
1490634	42	RESP=1
1503205	42	STIM=e
1508788	42	RESP=1
1520749	42	STIM=z
1529288	42	RESP=1
1536968	42	STIM=q
1543402	42	RESP=1
1553043	42	STIM=z
1560842	42	RESP=1
1569225	42	STIM=d
1573313	42	RESP=1
1588096	42	STIM=7
1595478	42	RESP=2
1605961	42	STIM=n
1614051	42	RESP=1
1623763	42	STIM=w
1628006	42	RESP=1
1639077	42	STIM=d
1645292	42	RESP=1
1657267	42	STIM=j
1662293	42	RESP=1
1673322	42	STIM=m
1677760	42	RESP=1
1690522	42	STIM=d
1694315	42	RESP=1
1706364	42	STIM=i
1709692	42	RESP=1
1723645	42	STIM=8
1728641	42	RESP=2
1741305	42	STIM=7
1749128	42	RESP=2
1758240	42	STIM=n
1762637	42	RESP=1
1776737	42	STIM=i
1785305	42	RESP=1
1792031	42	STIM=f
1799435	42	RESP=1
1807373	42	STIM=d
1813263	42	RESP=1
1825724	42	STIM=q
1829636	42	RESP=1
1843325	42	STIM=4
1850298	42	RESP=2
1860795	42	STIM=w
1867436	42	RESP=1
1877844	42	STIM=7
1883608	42	RESP=2
1893727	42	STIM=y
1899665	42	RESP=1
1909560	42	STIM=t
1916195	42	RESP=1
1927243	42	STIM=b
1935432	42	RESP=1
1944736	42	STIM=0
1950338	42	RESP=2
1961685	42	STIM=q
1964576	42	RESP=1
1979635	42	STIM=e
1983743	42	RESP=1
1997507	42	STIM=l
2004206	42	RESP=1
2016434	42	STIM=n
2020857	42	RESP=1
2031747	42	STIM=4
2037507	42	RESP=2
2048965	42	STIM=w
2054650	42	RESP=1
2067303	42	STIM=h
2070811	42	RESP=1
2083328	42	STIM=v
2087122	42	RESP=1
2098821	42	STIM=m
2105605	42	RESP=1
2116626	42	STIM=w
2119774	42	RESP=1
2134145	42	STIM=4
2142144	42	RESP=2
2149359	42	STIM=r
2154869	42	RESP=1
2168259	42	STIM=m
2177868	42	RESP=1
2185918	42	STIM=7
2192487	42	RESP=2
2204552	42	STIM=s
2207825	42	RESP=1
2220081	42	STIM=v
2223647	42	RESP=1
2238775	42	STIM=l
2245830	42	RESP=1
2254778	42	STIM=t
2257514	42	RESP=1
2272488	42	STIM=j
2278052	42	RESP=1
2289418	42	STIM=d
2295477	42	RESP=1
2305027	42	STIM=1
2312869	42	RESP=2
2322953	42	STIM=1
2327114	42	RESP=2
2338969	42	STIM=z
2343808	42	RESP=1
2355212	42	STIM=x
2358963	42	RESP=1
2370628	42	STIM=h
2374274	42	RESP=1
2389547	42	STIM=i
2393879	42	RESP=1
2405333	42	STIM=c
2409745	42	RESP=1
2422395	42	STIM=r
2431794	42	RESP=1
2438437	42	STIM=s
2443094	42	RESP=1
2454545	42	STIM=w
2458138	42	RESP=2
2472389	42	STIM=g
