# Original filename: 0033_TDH_2017-03-10.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28398	42	STIM=e
34069	42	RESP=1
44614	42	STIM=a
50069	42	RESP=1
60984	42	STIM=u
66302	42	RESP=1
79142	42	STIM=4
85606	42	RESP=2
96942	42	STIM=i
107343	42	RESP=1
112076	42	STIM=x
115532	42	RESP=1
128610	42	STIM=v
133591	42	RESP=1
145035	42	STIM=e
150632	42	RESP=1
160982	42	STIM=y
166963	42	RESP=1
179720	42	STIM=m
185016	42	RESP=1
197274	42	STIM=l
206959	42	RESP=1
212604	42	STIM=4
216208	42	RESP=1
228818	42	STIM=j
233548	42	RESP=1
246017	42	STIM=3
252015	42	RESP=2
262366	42	STIM=b
275964	42	RESP=1
281131	42	STIM=m
284554	42	RESP=1
300097	42	STIM=o
304867	42	RESP=1
316155	42	STIM=g
324748	42	RESP=1
331171	42	STIM=b
338428	42	RESP=1
348244	42	STIM=q
354338	42	RESP=1
365345	42	STIM=q
371517	42	RESP=1
383679	42	STIM=v
390155	42	RESP=1
399742	42	STIM=i
406544	42	RESP=1
415374	42	STIM=g
426105	42	RESP=1
432185	42	STIM=b
439107	42	RESP=1
448135	42	STIM=z
455846	42	RESP=1
467040	42	STIM=u
473193	42	RESP=1
484492	42	STIM=c
490773	42	RESP=1
500618	42	STIM=r
503600	42	RESP=1
517230	42	STIM=f
524546	42	RESP=1
532425	42	STIM=m
541844	42	RESP=1
549449	42	STIM=e
554443	42	RESP=1
568422	42	STIM=j
574860	42	RESP=1
586098	42	STIM=3
590945	42	RESP=2
604366	42	STIM=8
610370	42	RESP=2
622087	42	STIM=h
629186	42	RESP=1
640145	42	STIM=2
645475	42	RESP=2
658488	42	STIM=1
662988	42	RESP=2
676255	42	STIM=q
680005	42	RESP=1
695055	42	STIM=o
704832	42	RESP=1
713122	42	STIM=d
719226	42	RESP=1
728420	42	STIM=g
731746	42	RESP=1
745319	42	STIM=j
750449	42	RESP=1
760327	42	STIM=z
768244	42	RESP=1
778809	42	STIM=z
787202	42	RESP=1
794679	42	STIM=r
797781	42	RESP=1
812160	42	STIM=8
819126	42	RESP=2
830515	42	STIM=v
838370	42	RESP=1
848073	42	STIM=c
852030	42	RESP=1
863657	42	STIM=a
871463	42	RESP=1
881525	42	STIM=s
886182	42	RESP=1
899982	42	STIM=f
905934	42	RESP=1
917758	42	STIM=c
924656	42	RESP=1
934149	42	STIM=9
941478	42	RESP=1
950224	42	STIM=g
955951	42	RESP=1
967813	42	STIM=3
971989	42	RESP=2
983948	42	STIM=p
988251	42	RESP=1
1002018	42	STIM=k
1009975	42	RESP=1
1019904	42	STIM=g
1025074	42	RESP=1
1036499	42	STIM=h
1042913	42	RESP=1
1052507	42	STIM=q
1058929	42	RESP=1
1069357	42	STIM=j
1075393	42	RESP=1
1085944	42	STIM=g
1090776	42	RESP=1
1102263	42	STIM=q
1111134	42	RESP=1
1120056	42	STIM=b
1125573	42	RESP=1
1136966	42	STIM=7
1144135	42	RESP=2
1153963	42	STIM=a
1165815	42	RESP=1
1170941	42	STIM=j
1180640	42	RESP=1
1186221	42	STIM=v
1190925	42	RESP=1
1204951	42	STIM=m
1211967	42	RESP=1
1222250	42	STIM=s
1225990	42	RESP=1
1237492	42	STIM=n
1241588	42	RESP=1
1254372	42	STIM=x
1260483	42	RESP=1
1270487	42	STIM=m
1276870	42	RESP=1
1286717	42	STIM=5
1291819	42	RESP=2
1303864	42	STIM=b
1314107	42	RESP=1
1319379	42	STIM=2
1326144	42	RESP=2
1335149	42	STIM=c
1340021	42	RESP=1
1350305	42	STIM=h
1359857	42	RESP=1
1365618	42	STIM=7
1374277	42	RESP=2
1383756	42	STIM=v
1391062	42	RESP=1
1401371	42	STIM=3
1405685	42	RESP=1
1420345	42	STIM=b
1425845	42	RESP=1
1438272	42	STIM=6
1446375	42	RESP=2
1456929	42	STIM=t
1466993	42	RESP=1
