# Original filename: 0034_GOU_2016-12-15.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
29324	42	STIM=l
33212	42	RESP=1
48281	42	STIM=c
54612	42	RESP=1
63571	42	STIM=k
67352	42	RESP=1
79240	42	STIM=s
86675	42	RESP=1
96624	42	STIM=u
100955	42	RESP=2
111693	42	STIM=b
120622	42	RESP=1
128026	42	STIM=s
131203	42	RESP=1
143487	42	STIM=2
150061	42	RESP=2
160964	42	STIM=v
167704	42	RESP=1
176700	42	STIM=a
182699	42	RESP=1
194154	42	STIM=z
200858	42	RESP=1
211361	42	STIM=i
215375	42	RESP=1
229357	42	STIM=w
232833	42	RESP=1
245133	42	STIM=s
248792	42	RESP=1
262002	42	STIM=s
265192	42	RESP=1
278841	42	STIM=2
286030	42	RESP=2
294771	42	STIM=w
298461	42	RESP=1
311012	42	STIM=o
316444	42	RESP=1
328409	42	STIM=f
333229	42	RESP=1
345234	42	STIM=s
352078	42	RESP=1
362621	42	STIM=n
365976	42	RESP=1
379406	42	STIM=a
384352	42	RESP=1
395471	42	STIM=q
400156	42	RESP=1
411783	42	STIM=0
420145	42	RESP=2
428743	42	STIM=b
433332	42	RESP=1
445752	42	STIM=2
451408	42	RESP=2
462955	42	STIM=f
466295	42	RESP=2
481483	42	STIM=r
486819	42	RESP=1
497587	42	STIM=z
501174	42	RESP=1
513403	42	STIM=d
518327	42	RESP=1
531253	42	STIM=p
536640	42	RESP=1
550069	42	STIM=z
554216	42	RESP=1
565689	42	STIM=u
569707	42	RESP=1
583493	42	STIM=d
586909	42	RESP=1
601086	42	STIM=8
604700	42	RESP=2
618227	42	STIM=k
624772	42	RESP=1
635053	42	STIM=v
644580	42	RESP=1
653751	42	STIM=h
657046	42	RESP=2
669608	42	STIM=x
674220	42	RESP=1
685181	42	STIM=c
689530	42	RESP=1
701991	42	STIM=y
706070	42	RESP=1
717652	42	STIM=1
720870	42	RESP=2
733601	42	STIM=w
739310	42	RESP=1
751356	42	STIM=w
754265	42	RESP=1
768356	42	STIM=1
772617	42	RESP=2
784752	42	STIM=o
789420	42	RESP=1
803594	42	STIM=4
811187	42	RESP=1
820857	42	STIM=c
824408	42	RESP=1
839419	42	STIM=g
844481	42	RESP=1
856027	42	STIM=w
864050	42	RESP=1
874725	42	STIM=h
878637	42	RESP=2
891584	42	STIM=s
899498	42	RESP=1
906896	42	STIM=4
913676	42	RESP=2
922793	42	STIM=h
927164	42	RESP=1
937850	42	STIM=k
943118	42	RESP=1
956509	42	STIM=y
960618	42	RESP=1
973024	42	STIM=z
980363	42	RESP=1
990476	42	STIM=a
994284	42	RESP=1
1008997	42	STIM=g
1015392	42	RESP=1
1025672	42	STIM=2
1030211	42	RESP=2
1043693	42	STIM=b
1046487	42	RESP=1
1059186	42	STIM=r
1064605	42	RESP=1
1077276	42	STIM=i
1080591	42	RESP=2
1095479	42	STIM=j
1098072	42	RESP=1
1112642	42	STIM=x
1116799	42	RESP=1
1131200	42	STIM=8
1137564	42	RESP=2
1149859	42	STIM=f
1153058	42	RESP=1
1166894	42	STIM=9
1172567	42	RESP=2
1185881	42	STIM=l
1192021	42	RESP=2
1203723	42	STIM=z
1206606	42	RESP=1
1219709	42	STIM=r
1226374	42	RESP=1
1238188	42	STIM=l
1244130	42	RESP=1
1254880	42	STIM=x
1258660	42	RESP=1
1272538	42	STIM=e
1277555	42	RESP=1
1288620	42	STIM=n
1293233	42	RESP=1
1306652	42	STIM=q
1311637	42	RESP=1
1321680	42	STIM=k
1325212	42	RESP=1
1338200	42	STIM=c
1342196	42	RESP=1
1355043	42	STIM=g
1359223	42	RESP=1
1372177	42	STIM=t
1375620	42	RESP=1
1390502	42	STIM=j
1397783	42	RESP=1
1408391	42	STIM=k
1411560	42	RESP=1
1425653	42	STIM=h
1430620	42	RESP=1
1442680	42	STIM=d
1447908	42	RESP=1
1459510	42	STIM=d
1462644	42	RESP=1
1475608	42	STIM=l
1480832	42	RESP=1
1494192	42	STIM=h
1497486	42	RESP=1
1511271	42	STIM=6
1517518	42	RESP=2
1529383	42	STIM=h
1534392	42	RESP=1
1546264	42	STIM=r
1549949	42	RESP=1
1562076	42	STIM=s
1566492	42	RESP=1
1580216	42	STIM=7
1585971	42	RESP=2
1595650	42	STIM=q
1604876	42	RESP=1
1611163	42	STIM=v
1617510	42	RESP=2
1627555	42	STIM=a
1630860	42	RESP=1
1644821	42	STIM=k
1647858	42	RESP=1
1661954	42	STIM=j
1666276	42	RESP=1
1677272	42	STIM=r
1680450	42	RESP=1
1694145	42	STIM=e
1699301	42	RESP=1
1712571	42	STIM=y
1715916	42	RESP=1
1728542	42	STIM=8
1733417	42	RESP=2
1745899	42	STIM=l
1750701	42	RESP=1
1763941	42	STIM=6
1770424	42	RESP=2
1782411	42	STIM=e
1785774	42	RESP=1
1800441	42	STIM=8
1805661	42	RESP=2
1817367	42	STIM=v
1822623	42	RESP=1
1835515	42	STIM=t
1844334	42	RESP=1
1854327	42	STIM=2
1859887	42	RESP=2
1869753	42	STIM=m
1874365	42	RESP=1
1884781	42	STIM=z
1888382	42	RESP=1
1900021	42	STIM=9
1906961	42	RESP=2
1918577	42	STIM=t
1922918	42	RESP=1
1937126	42	STIM=v
1940019	42	RESP=1
1952709	42	STIM=2
1961827	42	RESP=2
1968258	42	STIM=u
1971726	42	RESP=1
1984027	42	STIM=i
1987199	42	RESP=1
1999323	42	STIM=p
2004914	42	RESP=1
2017394	42	STIM=a
2021639	42	RESP=1
2035412	42	STIM=g
2039026	42	RESP=1
2053564	42	STIM=v
2057912	42	RESP=2
2072114	42	STIM=l
2075751	42	RESP=1
2087275	42	STIM=c
2092234	42	RESP=1
2102919	42	STIM=m
2106879	42	RESP=1
2118951	42	STIM=p
2124892	42	RESP=1
2137508	42	STIM=x
2140802	42	RESP=1
2152588	42	STIM=h
2158207	42	RESP=1
2168977	42	STIM=u
2175370	42	RESP=1
2187810	42	STIM=z
2195588	42	RESP=1
2204726	42	STIM=h
2210122	42	RESP=1
2222534	42	STIM=s
2225127	42	RESP=1
2239572	42	STIM=m
2247831	42	RESP=1
2254597	42	STIM=p
2259489	42	RESP=1
2271784	42	STIM=b
2275142	42	RESP=1
2289286	42	STIM=1
2295087	42	RESP=2
2306647	42	STIM=6
2311231	42	RESP=2
2323945	42	STIM=t
2329768	42	RESP=1
2341397	42	STIM=2
2346055	42	RESP=2
2358568	42	STIM=t
2361324	42	RESP=1
2375141	42	STIM=i
2379070	42	RESP=1
2392378	42	STIM=2
2397041	42	RESP=2
2409972	42	STIM=i
2414743	42	RESP=1
2425747	42	STIM=8
2429873	42	RESP=1
2441614	42	STIM=4
2447862	42	RESP=2
2456723	42	STIM=o
2462648	42	RESP=1
2474868	42	STIM=t
2478777	42	RESP=1
2492029	42	STIM=s
2500425	42	RESP=1
2509446	42	STIM=i
2513843	42	RESP=1
2527175	42	STIM=9
2533695	42	RESP=1
2545421	42	STIM=w
2549219	42	RESP=1
2563170	42	STIM=c
2566522	42	RESP=1
2581964	42	STIM=l
2586303	42	RESP=1
2599080	42	STIM=p
2602295	42	RESP=1
2616334	42	STIM=u
2619199	42	RESP=1
2634884	42	STIM=c
2640628	42	RESP=2
2653840	42	STIM=g
2658563	42	RESP=1
2671020	42	STIM=r
2677553	42	RESP=1
2687597	42	STIM=6
2692354	42	RESP=2
2702795	42	STIM=l
2707546	42	RESP=1
2719608	42	STIM=p
2723384	42	RESP=1
2737670	42	STIM=y
2744377	42	RESP=1
2756508	42	STIM=5
2763197	42	RESP=2
2773321	42	STIM=4
2778120	42	RESP=2
2789845	42	STIM=1
2794340	42	RESP=2
2807623	42	STIM=l
2812454	42	RESP=1
2822750	42	STIM=z
2830912	42	RESP=1
2841517	42	STIM=6
2846036	42	RESP=2
2857047	42	STIM=z
2866984	42	RESP=1
2872076	42	STIM=k
2876230	42	RESP=1
