# Original filename: 0034_TRY_2016-12-16.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37999	42	STIM=o
42583	42	RESP=1
53913	42	STIM=u
61006	42	RESP=1
70481	42	STIM=v
73467	42	RESP=1
86708	42	STIM=b
95938	42	RESP=1
103991	42	STIM=v
109156	42	RESP=1
119161	42	STIM=i
124832	42	RESP=1
137143	42	STIM=5
145367	42	RESP=2
153948	42	STIM=n
157970	42	RESP=1
171260	42	STIM=k
174856	42	RESP=1
188001	42	STIM=j
198057	42	RESP=1
203532	42	STIM=z
208921	42	RESP=1
220427	42	STIM=r
226880	42	RESP=1
238637	42	STIM=n
242722	42	RESP=1
257403	42	STIM=k
264464	42	RESP=1
273280	42	STIM=c
279957	42	RESP=1
289978	42	STIM=0
298442	42	RESP=2
306910	42	STIM=d
310283	42	RESP=1
324634	42	STIM=6
330470	42	RESP=2
341470	42	STIM=m
346352	42	RESP=1
360373	42	STIM=x
363931	42	RESP=2
376149	42	STIM=m
382869	42	RESP=1
393886	42	STIM=1
401286	42	RESP=2
408896	42	STIM=j
418270	42	RESP=1
426034	42	STIM=5
432285	42	RESP=2
442183	42	STIM=r
452383	42	RESP=1
459133	42	STIM=q
463955	42	RESP=1
474782	42	STIM=e
479681	42	RESP=1
493565	42	STIM=l
497312	42	RESP=2
511682	42	STIM=i
524503	42	RESP=1
529413	42	STIM=o
533641	42	RESP=1
545920	42	STIM=3
554978	42	RESP=2
564330	42	STIM=a
568367	42	RESP=2
581085	42	STIM=t
585413	42	RESP=1
596137	42	STIM=l
606644	42	RESP=1
611916	42	STIM=h
615918	42	RESP=1
628064	42	STIM=i
637407	42	RESP=1
644119	42	STIM=0
652385	42	RESP=2
662294	42	STIM=q
665560	42	RESP=1
680687	42	STIM=p
684286	42	RESP=1
696737	42	STIM=6
702263	42	RESP=2
712194	42	STIM=o
716383	42	RESP=1
728433	42	STIM=g
732615	42	RESP=1
744152	42	STIM=h
751964	42	RESP=1
759375	42	STIM=c
765777	42	RESP=1
774899	42	STIM=e
781638	42	RESP=1
792812	42	STIM=l
797704	42	RESP=1
811567	42	STIM=l
815939	42	RESP=1
828078	42	STIM=g
832797	42	RESP=1
846901	42	STIM=i
851084	42	RESP=1
862864	42	STIM=u
869130	42	RESP=1
878475	42	STIM=1
885920	42	RESP=1
896585	42	STIM=n
901581	42	RESP=1
912709	42	STIM=2
918813	42	RESP=1
930844	42	STIM=w
935416	42	RESP=1
948103	42	STIM=e
952177	42	RESP=1
965485	42	STIM=r
969456	42	RESP=1
984151	42	STIM=5
992692	42	RESP=2
1002059	42	STIM=z
1008933	42	RESP=1
1020150	42	STIM=2
1032851	42	RESP=2
1037072	42	STIM=7
1045980	42	RESP=2
1054414	42	STIM=8
1064843	42	RESP=2
1070218	42	STIM=2
1075879	42	RESP=2
1088295	42	STIM=p
1096681	42	RESP=1
1104945	42	STIM=w
1111167	42	RESP=1
1119959	42	STIM=t
1124034	42	RESP=1
1136059	42	STIM=u
1142549	42	RESP=1
1154608	42	STIM=r
1160037	42	RESP=1
1169788	42	STIM=8
1178530	42	RESP=2
1187052	42	STIM=j
1192019	42	RESP=1
1204644	42	STIM=z
1208332	42	RESP=1
1222078	42	STIM=k
1229248	42	RESP=1
1237742	42	STIM=7
1243668	42	RESP=2
