# Original filename: 0036_OIA_2016-11-27.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
27433	42	STIM=l
31538	42	RESP=1
44328	42	STIM=g
48000	42	RESP=1
61558	42	STIM=5
67172	42	RESP=1
79596	42	STIM=z
83744	42	RESP=1
97738	42	STIM=d
103667	42	RESP=1
116564	42	STIM=g
119503	42	RESP=1
133117	42	STIM=9
140306	42	RESP=1
149761	42	STIM=h
152743	42	RESP=1
167182	42	STIM=7
170879	42	RESP=2
183640	42	STIM=b
187621	42	RESP=1
200186	42	STIM=v
204799	42	RESP=1
218320	42	STIM=a
224096	42	RESP=1
233627	42	STIM=u
239426	42	RESP=1
250727	42	STIM=d
257569	42	RESP=1
266099	42	STIM=p
269414	42	RESP=1
284316	42	STIM=3
289787	42	RESP=2
303296	42	STIM=w
306075	42	RESP=1
319070	42	STIM=7
325682	42	RESP=2
338050	42	STIM=b
343132	42	RESP=1
356643	42	STIM=9
364972	42	RESP=2
373587	42	STIM=i
376888	42	RESP=1
389036	42	STIM=b
393443	42	RESP=1
404181	42	STIM=u
413708	42	RESP=1
419263	42	STIM=u
424734	42	RESP=1
434364	42	STIM=o
440222	42	RESP=1
453032	42	STIM=l
459565	42	RESP=1
468628	42	STIM=h
473458	42	RESP=1
486540	42	STIM=2
493253	42	RESP=1
503316	42	STIM=g
506935	42	RESP=1
522215	42	STIM=e
525546	42	RESP=1
537674	42	STIM=6
542298	42	RESP=2
555270	42	STIM=u
560043	42	RESP=1
572980	42	STIM=d
577669	42	RESP=1
589317	42	STIM=r
594618	42	RESP=2
604562	42	STIM=v
608786	42	RESP=1
621623	42	STIM=y
626017	42	RESP=1
638289	42	STIM=i
641644	42	RESP=1
655925	42	STIM=y
659167	42	RESP=1
674826	42	STIM=q
680305	42	RESP=1
690011	42	STIM=j
693754	42	RESP=1
707336	42	STIM=x
710782	42	RESP=1
725196	42	STIM=g
732859	42	RESP=1
743385	42	STIM=b
750290	42	RESP=1
761231	42	STIM=6
767010	42	RESP=1
778660	42	STIM=v
783076	42	RESP=1
794059	42	STIM=s
798240	42	RESP=1
810344	42	STIM=m
814273	42	RESP=1
826122	42	STIM=p
830521	42	RESP=1
843742	42	STIM=i
847702	42	RESP=1
861343	42	STIM=z
864606	42	RESP=1
876687	42	STIM=r
880922	42	RESP=1
893162	42	STIM=6
898522	42	RESP=2
909380	42	STIM=0
917431	42	RESP=2
926575	42	STIM=i
929974	42	RESP=1
943549	42	STIM=0
