# Original filename: 0037_FMC_2017-01-28.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37382	42	STIM=0
46715	42	RESP=2
52419	42	STIM=e
58585	42	RESP=1
68367	42	STIM=q
73727	42	RESP=1
83857	42	STIM=g
90202	42	RESP=1
100243	42	STIM=v
105237	42	RESP=1
115449	42	STIM=s
122024	42	RESP=1
133362	42	STIM=z
137264	42	RESP=1
150311	42	STIM=l
153812	42	RESP=1
168209	42	STIM=f
180410	42	RESP=1
184216	42	STIM=w
187587	42	RESP=2
199491	42	STIM=y
205756	42	RESP=1
217366	42	STIM=e
221903	42	RESP=1
236106	42	STIM=b
240562	42	RESP=1
251533	42	STIM=t
254510	42	RESP=1
267409	42	STIM=y
272441	42	RESP=1
284439	42	STIM=r
289570	42	RESP=1
300689	42	STIM=o
304132	42	RESP=1
315821	42	STIM=n
320649	42	RESP=1
334071	42	STIM=d
340017	42	RESP=1
349620	42	STIM=j
356134	42	RESP=1
366593	42	STIM=x
372877	42	RESP=1
383168	42	STIM=f
386573	42	RESP=1
399517	42	STIM=3
409822	42	RESP=2
416057	42	STIM=n
420107	42	RESP=2
432183	42	STIM=4
435945	42	RESP=2
451114	42	STIM=r
455786	42	RESP=1
468273	42	STIM=9
474335	42	RESP=2
483541	42	STIM=r
490772	42	RESP=1
501409	42	STIM=h
504342	42	RESP=1
520370	42	STIM=8
525727	42	RESP=2
535972	42	STIM=1
540163	42	RESP=2
553955	42	STIM=s
558054	42	RESP=1
570406	42	STIM=k
576497	42	RESP=1
587114	42	STIM=n
593719	42	RESP=1
605633	42	STIM=d
610779	42	RESP=1
624192	42	STIM=f
628555	42	RESP=1
640750	42	STIM=f
645703	42	RESP=1
658521	42	STIM=l
662450	42	RESP=1
675534	42	STIM=n
682463	42	RESP=1
692102	42	STIM=k
695628	42	RESP=1
708467	42	STIM=t
713943	42	RESP=1
724336	42	STIM=3
730197	42	RESP=2
742889	42	STIM=2
748900	42	RESP=2
760307	42	STIM=c
763177	42	RESP=1
776168	42	STIM=g
781317	42	RESP=1
794839	42	STIM=h
799079	42	RESP=1
810949	42	STIM=c
816256	42	RESP=1
829404	42	STIM=o
835104	42	RESP=1
845543	42	STIM=v
850904	42	RESP=1
862736	42	STIM=0
869074	42	RESP=2
878867	42	STIM=d
884591	42	RESP=2
893907	42	STIM=q
900451	42	RESP=1
910336	42	STIM=w
914216	42	RESP=1
926559	42	STIM=p
932202	42	RESP=1
943045	42	STIM=t
946424	42	RESP=1
958986	42	STIM=y
961620	42	RESP=1
974239	42	STIM=r
977313	42	RESP=1
991334	42	STIM=t
995069	42	RESP=1
1007685	42	STIM=c
1015174	42	RESP=1
1023905	42	STIM=m
1026900	42	RESP=1
1040570	42	STIM=y
1046177	42	RESP=1
1057445	42	STIM=k
1062483	42	RESP=1
1074449	42	STIM=i
1078487	42	RESP=1
1091639	42	STIM=n
1095841	42	RESP=1
1109502	42	STIM=x
1114500	42	RESP=1
1124553	42	STIM=l
1129041	42	RESP=2
1139683	42	STIM=i
1143641	42	RESP=1
1154978	42	STIM=q
1159188	42	RESP=1
1173163	42	STIM=j
1180085	42	RESP=1
1190806	42	STIM=e
1195041	42	RESP=1
1209485	42	STIM=e
1216031	42	RESP=1
1224941	42	STIM=o
1230250	42	RESP=1
1241466	42	STIM=i
1248414	42	RESP=1
1257100	42	STIM=5
1262523	42	RESP=2
1272155	42	STIM=f
1274663	42	RESP=1
1289608	42	STIM=w
1295496	42	RESP=1
1305307	42	STIM=4
1313388	42	RESP=2
1323684	42	STIM=4
1328254	42	RESP=2
1340606	42	STIM=l
1345707	42	RESP=1
1359452	42	STIM=t
1363448	42	RESP=1
1375862	42	STIM=f
1379061	42	RESP=1
1390980	42	STIM=n
1396822	42	RESP=1
1406410	42	STIM=r
1414526	42	RESP=1
1425384	42	STIM=q
1430683	42	RESP=1
1443931	42	STIM=n
1447676	42	RESP=1
1460410	42	STIM=g
1467156	42	RESP=1
1478588	42	STIM=1
1482957	42	RESP=2
1495327	42	STIM=n
1500650	42	RESP=1
1510914	42	STIM=k
1515946	42	RESP=1
1526477	42	STIM=v
1532135	42	RESP=1
1542277	42	STIM=y
1550496	42	RESP=1
1561177	42	STIM=p
1564635	42	RESP=1
1580094	42	STIM=z
1588526	42	RESP=1
1598586	42	STIM=x
1603943	42	RESP=1
1615756	42	STIM=7
1620022	42	RESP=2
1630815	42	STIM=m
1635106	42	RESP=1
1646673	42	STIM=r
1653574	42	RESP=1
1662398	42	STIM=8
1666972	42	RESP=2
1678545	42	STIM=p
1685309	42	RESP=1
1694756	42	STIM=w
1697914	42	RESP=1
1710207	42	STIM=m
1714854	42	RESP=1
1726522	42	STIM=1
1732448	42	RESP=1
1742985	42	STIM=z
1746395	42	RESP=1
1760438	42	STIM=u
1764483	42	RESP=1
1776517	42	STIM=a
1780435	42	RESP=1
1792139	42	STIM=l
1798826	42	RESP=1
1808395	42	STIM=q
1811958	42	RESP=1
1825511	42	STIM=n
1829267	42	RESP=2
1841144	42	STIM=1
1847297	42	RESP=2
1856462	42	STIM=f
1860115	42	RESP=1
1875003	42	STIM=q
1883598	42	RESP=1
1890390	42	STIM=g
1895982	42	RESP=1
1906065	42	STIM=s
1911143	42	RESP=1
1922737	42	STIM=0
1927575	42	RESP=2
1939455	42	STIM=8
1944232	42	RESP=2
1958305	42	STIM=g
1964180	42	RESP=1
1975064	42	STIM=x
1981991	42	RESP=1
1994061	42	STIM=t
1998744	42	RESP=1
2009780	42	STIM=f
2013278	42	RESP=1
2028768	42	STIM=3
2033343	42	RESP=2
2046217	42	STIM=d
2054113	42	RESP=1
2065135	42	STIM=q
2068500	42	RESP=1
2083007	42	STIM=u
2086784	42	RESP=2
2101723	42	STIM=m
2105339	42	RESP=1
2120704	42	STIM=p
2126621	42	RESP=1
2136491	42	STIM=a
2142343	42	RESP=1
2153831	42	STIM=y
2160237	42	RESP=1
2169454	42	STIM=o
2172926	42	RESP=1
2187759	42	STIM=w
2191194	42	RESP=1
2203939	42	STIM=t
2208018	42	RESP=1
2222506	42	STIM=w
2225599	42	RESP=1
2241349	42	STIM=4
2248041	42	RESP=2
2257789	42	STIM=7
2264506	42	RESP=2
2275291	42	STIM=j
2279039	42	RESP=1
2293593	42	STIM=d
2297720	42	RESP=1
2310995	42	STIM=r
2319052	42	RESP=1
2328313	42	STIM=f
2333123	42	RESP=1
2343805	42	STIM=a
2351396	42	RESP=1
2360622	42	STIM=f
2365069	42	RESP=1
2377507	42	STIM=o
2382544	42	RESP=1
2393043	42	STIM=m
2397090	42	RESP=1
2408551	42	STIM=z
2414627	42	RESP=1
2427324	42	STIM=f
2432116	42	RESP=1
2446255	42	STIM=8
2452005	42	RESP=2
2465135	42	STIM=r
2470198	42	RESP=1
2482068	42	STIM=6
2486050	42	RESP=2
2500247	42	STIM=4
2505095	42	RESP=2
2518242	42	STIM=0
2523115	42	RESP=2
2534582	42	STIM=8
2537771	42	RESP=2
2552383	42	STIM=9
2561610	42	RESP=2
2568074	42	STIM=l
2574135	42	RESP=1
2584093	42	STIM=2
2589501	42	RESP=2
2601216	42	STIM=o
2604292	42	RESP=1
2620100	42	STIM=3
2624276	42	RESP=2
2636279	42	STIM=3
2642028	42	RESP=2
2653076	42	STIM=o
2656891	42	RESP=1
2669619	42	STIM=k
2672964	42	RESP=1
2685830	42	STIM=5
2689501	42	RESP=1
2703533	42	STIM=w
2709261	42	RESP=1
2719941	42	STIM=o
2723230	42	RESP=1
2736061	42	STIM=c
2741183	42	RESP=1
2753134	42	STIM=6
2759082	42	RESP=2
2770632	42	STIM=i
2775780	42	RESP=1
2788448	42	STIM=n
2791489	42	RESP=1
2806954	42	STIM=z
2812067	42	RESP=1
2823343	42	STIM=g
2827482	42	RESP=2
2839406	42	STIM=1
2844036	42	RESP=2
2856131	42	STIM=t
2859811	42	RESP=1
2871732	42	STIM=p
2875469	42	RESP=1
2888820	42	STIM=r
2892105	42	RESP=2
2905031	42	STIM=h
2909173	42	RESP=1
2923804	42	STIM=c
2928022	42	RESP=1
2939649	42	STIM=a
2945818	42	RESP=2
2956296	42	STIM=a
2959189	42	RESP=1
2971433	42	STIM=r
2979432	42	RESP=1
2989074	42	STIM=n
2992580	42	RESP=1
3005380	42	STIM=a
3010528	42	RESP=1
3021483	42	STIM=y
3027384	42	RESP=1
3037129	42	STIM=m
3042769	42	RESP=1
3054621	42	STIM=y
3063799	42	RESP=1
3069974	42	STIM=6
3075821	42	RESP=2
3088712	42	STIM=y
3093442	42	RESP=2
3105007	42	STIM=p
3111245	42	RESP=1
3122191	42	STIM=n
3126484	42	RESP=1
3137992	42	STIM=o
3142314	42	RESP=1
3156705	42	STIM=u
3162936	42	RESP=1
3173011	42	STIM=6
3178599	42	RESP=2
3189821	42	STIM=c
3194247	42	RESP=1
3206903	42	STIM=m
3211078	42	RESP=1
3223686	42	STIM=p
3228697	42	RESP=2
3241422	42	STIM=c
3246115	42	RESP=1
3257102	42	STIM=j
