# Original filename: 0038_WOT_2017-04-29.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37207	42	STIM=o
41055	42	RESP=1
53835	42	STIM=p
60509	42	RESP=1
68986	42	STIM=5
75531	42	RESP=2
85236	42	STIM=v
97176	42	RESP=1
103544	42	STIM=1
111832	42	RESP=2
119116	42	STIM=q
124616	42	RESP=2
137217	42	STIM=3
150203	42	RESP=2
153935	42	STIM=y
161251	42	RESP=1
170432	42	STIM=j
173460	42	RESP=1
187457	42	STIM=u
195004	42	RESP=1
202610	42	STIM=9
212294	42	RESP=2
219273	42	STIM=4
223970	42	RESP=2
235107	42	STIM=2
238545	42	RESP=2
253167	42	STIM=o
258549	42	RESP=1
271607	42	STIM=i
275613	42	RESP=1
287657	42	STIM=g
291456	42	RESP=1
302743	42	STIM=n
306018	42	RESP=1
320285	42	STIM=s
327934	42	RESP=1
338942	42	STIM=3
346317	42	RESP=2
354691	42	STIM=h
365221	42	RESP=1
370363	42	STIM=9
376654	42	RESP=2
387331	42	STIM=i
393990	42	RESP=1
404615	42	STIM=q
410825	42	RESP=2
423195	42	STIM=9
429762	42	RESP=1
442166	42	STIM=p
447996	42	RESP=1
459792	42	STIM=j
471472	42	RESP=1
476469	42	STIM=6
485894	42	RESP=2
493294	42	STIM=b
498419	42	RESP=1
510182	42	STIM=b
515590	42	RESP=1
526697	42	STIM=a
531643	42	RESP=1
543906	42	STIM=l
549080	42	RESP=1
561889	42	STIM=8
566782	42	RESP=1
579215	42	STIM=r
586095	42	RESP=1
596921	42	STIM=u
603182	42	RESP=1
615242	42	STIM=x
619088	42	RESP=1
630786	42	STIM=t
638145	42	RESP=1
646144	42	STIM=j
651314	42	RESP=1
663854	42	STIM=r
668754	42	RESP=1
679981	42	STIM=f
682436	42	RESP=1
695298	42	STIM=0
701808	42	RESP=2
712841	42	STIM=k
719651	42	RESP=1
730288	42	STIM=o
736087	42	RESP=1
746683	42	STIM=j
751130	42	RESP=1
764309	42	STIM=9
768212	42	RESP=1
782336	42	STIM=a
789128	42	RESP=1
800814	42	STIM=f
806529	42	RESP=1
818652	42	STIM=k
823811	42	RESP=1
837105	42	STIM=h
842767	42	RESP=1
855960	42	STIM=k
860482	42	RESP=1
871770	42	STIM=0
879883	42	RESP=2
887733	42	STIM=9
897242	42	RESP=1
904798	42	STIM=o
912196	42	RESP=1
920149	42	STIM=u
925044	42	RESP=1
937648	42	STIM=b
942044	42	RESP=1
955703	42	STIM=s
961867	42	RESP=1
971998	42	STIM=z
974606	42	RESP=2
988107	42	STIM=c
991830	42	RESP=1
1004902	42	STIM=m
1012169	42	RESP=1
1021170	42	STIM=j
1025805	42	RESP=1
1037431	42	STIM=h
1043149	42	RESP=1
1052562	42	STIM=x
1058723	42	RESP=1
1070736	42	STIM=n
1075596	42	RESP=1
1086385	42	STIM=f
1091863	42	RESP=1
1104487	42	STIM=4
1114190	42	RESP=1
1119897	42	STIM=a
1125249	42	RESP=1
1135003	42	STIM=d
1142799	42	RESP=1
1153460	42	STIM=o
1158272	42	RESP=2
1170827	42	STIM=r
1176444	42	RESP=1
1189300	42	STIM=4
1193949	42	RESP=2
1206799	42	STIM=t
1212957	42	RESP=1
1221864	42	STIM=m
1227877	42	RESP=1
1240815	42	STIM=y
1243884	42	RESP=1
1257018	42	STIM=e
1263636	42	RESP=1
1272239	42	STIM=i
1278602	42	RESP=1
1288786	42	STIM=9
1293453	42	RESP=2
1305162	42	STIM=m
1311763	42	RESP=1
1323128	42	STIM=r
1327571	42	RESP=1
1341302	42	STIM=4
1347647	42	RESP=2
1357181	42	STIM=9
1363160	42	RESP=2
1372345	42	STIM=w
1380441	42	RESP=1
1388502	42	STIM=f
1394644	42	RESP=1
1406064	42	STIM=b
1410892	42	RESP=1
1422226	42	STIM=7
1429337	42	RESP=1
1439066	42	STIM=o
1448227	42	RESP=1
1454345	42	STIM=k
1458362	42	RESP=1
1472434	42	STIM=p
1475352	42	RESP=1
1489826	42	STIM=j
1494558	42	RESP=1
1507757	42	STIM=o
1517287	42	RESP=1
1522928	42	STIM=k
1528530	42	RESP=1
1539572	42	STIM=a
1544305	42	RESP=1
1556625	42	STIM=4
1563598	42	RESP=2
1572275	42	STIM=u
1576504	42	RESP=1
1588821	42	STIM=z
1591883	42	RESP=1
1603973	42	STIM=a
1611607	42	RESP=1
1619325	42	STIM=t
1626729	42	RESP=1
1637469	42	STIM=8
1644209	42	RESP=2
1654573	42	STIM=e
1663509	42	RESP=1
1672245	42	STIM=i
1677394	42	RESP=1
1688299	42	STIM=i
1693917	42	RESP=1
1706490	42	STIM=n
1711799	42	RESP=1
1724578	42	STIM=j
1730542	42	RESP=1
1740315	42	STIM=2
1747831	42	RESP=2
1755353	42	STIM=y
1759584	42	RESP=1
1772772	42	STIM=o
1776530	42	RESP=1
1789220	42	STIM=0
1798046	42	RESP=2
1804711	42	STIM=o
1808153	42	RESP=1
1821683	42	STIM=e
1827523	42	RESP=1
1837075	42	STIM=a
1842329	42	RESP=1
1852896	42	STIM=q
1858039	42	RESP=1
1870993	42	STIM=0
1881449	42	RESP=2
1887582	42	STIM=v
1892416	42	RESP=1
1904545	42	STIM=f
1910499	42	RESP=1
1919695	42	STIM=2
1933594	42	RESP=1
1935252	42	STIM=c
1938321	42	RESP=1
1951162	42	STIM=q
1956307	42	RESP=1
1967195	42	STIM=d
1970968	42	RESP=1
1984952	42	STIM=0
1990759	42	RESP=2
2003449	42	STIM=i
2010064	42	RESP=1
2019205	42	STIM=b
2024274	42	RESP=1
2035437	42	STIM=9
2042624	42	RESP=2
2051697	42	STIM=f
2056350	42	RESP=1
2068547	42	STIM=u
2076320	42	RESP=1
2086655	42	STIM=a
2091778	42	RESP=1
2102810	42	STIM=k
2107781	42	RESP=1
2119843	42	STIM=a
2124243	42	RESP=1
2135468	42	STIM=1
2145682	42	RESP=1
2153399	42	STIM=d
2161442	42	RESP=1
2170005	42	STIM=z
2174871	42	RESP=1
2186270	42	STIM=2
2190266	42	RESP=2
2202451	42	STIM=3
2208834	42	RESP=2
2217640	42	STIM=v
2221894	42	RESP=1
2234282	42	STIM=o
2239023	42	RESP=1
2250742	42	STIM=n
2257696	42	RESP=1
2268302	42	STIM=m
2274561	42	RESP=1
2287250	42	STIM=k
2292114	42	RESP=1
2304483	42	STIM=6
2309525	42	RESP=2
2321641	42	STIM=i
2325741	42	RESP=1
2338521	42	STIM=2
2344799	42	RESP=2
2354031	42	STIM=x
2358592	42	RESP=1
2370511	42	STIM=o
2374349	42	RESP=1
2387431	42	STIM=6
2393923	42	RESP=2
2405983	42	STIM=z
2411174	42	RESP=1
2424273	42	STIM=1
2432291	42	RESP=2
2441181	42	STIM=4
2449096	42	RESP=1
2458172	42	STIM=e
2464850	42	RESP=1
2473609	42	STIM=g
2480612	42	RESP=1
2492339	42	STIM=a
2499153	42	RESP=1
2509316	42	STIM=a
2514361	42	RESP=1
2527144	42	STIM=n
2536195	42	RESP=2
2544473	42	STIM=m
2549299	42	RESP=1
2561647	42	STIM=t
2569228	42	RESP=1
2579154	42	STIM=b
2584054	42	RESP=1
2596177	42	STIM=s
2605069	42	RESP=1
2614687	42	STIM=n
2619152	42	RESP=1
2630104	42	STIM=d
2635995	42	RESP=1
2645639	42	STIM=i
2649165	42	RESP=2
2662396	42	STIM=x
2667048	42	RESP=1
2679980	42	STIM=h
2684069	42	RESP=1
