# Original filename: 0039_LYN_2016-09-26.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
28519	42	STIM=v
32408	42	RESP=1
44539	42	STIM=l
52932	42	RESP=1
63357	42	STIM=3
67984	42	RESP=2
80035	42	STIM=r
84671	42	RESP=1
95632	42	STIM=w
102761	42	RESP=1
112623	42	STIM=z
119560	42	RESP=1
128979	42	STIM=n
138818	42	RESP=1
147288	42	STIM=v
151546	42	RESP=1
163015	42	STIM=r
166171	42	RESP=1
181474	42	STIM=r
187029	42	RESP=1
196886	42	STIM=e
204277	42	RESP=2
215864	42	STIM=r
225563	42	RESP=1
231532	42	STIM=x
240259	42	RESP=1
250273	42	STIM=q
253060	42	RESP=1
265877	42	STIM=d
271440	42	RESP=1
284305	42	STIM=v
290515	42	RESP=1
299849	42	STIM=o
303635	42	RESP=1
318748	42	STIM=4
325307	42	RESP=2
335314	42	STIM=n
341486	42	RESP=1
354253	42	STIM=d
360717	42	RESP=1
372457	42	STIM=g
377800	42	RESP=1
389392	42	STIM=w
396751	42	RESP=1
406441	42	STIM=m
413273	42	RESP=1
423618	42	STIM=e
432211	42	RESP=1
440730	42	STIM=x
444249	42	RESP=1
457420	42	STIM=n
462507	42	RESP=2
473420	42	STIM=3
477746	42	RESP=2
491321	42	STIM=i
502174	42	RESP=1
508404	42	STIM=x
513943	42	RESP=1
525175	42	STIM=p
530957	42	RESP=1
541167	42	STIM=r
546289	42	RESP=1
559791	42	STIM=u
564874	42	RESP=1
576165	42	STIM=e
583904	42	RESP=2
593027	42	STIM=m
601146	42	RESP=1
608890	42	STIM=x
611937	42	RESP=1
625679	42	STIM=h
629884	42	RESP=1
641977	42	STIM=d
646659	42	RESP=1
659178	42	STIM=r
664872	42	RESP=1
674849	42	STIM=6
680796	42	RESP=2
690505	42	STIM=h
695128	42	RESP=1
709318	42	STIM=g
714421	42	RESP=1
725468	42	STIM=0
730495	42	RESP=2
742543	42	STIM=z
746754	42	RESP=1
758583	42	STIM=4
763430	42	RESP=2
774313	42	STIM=r
778820	42	RESP=2
791808	42	STIM=y
796489	42	RESP=1
810522	42	STIM=q
818479	42	RESP=1
828418	42	STIM=q
835799	42	RESP=1
845251	42	STIM=3
850547	42	RESP=2
860553	42	STIM=e
868291	42	RESP=1
879366	42	STIM=n
882829	42	RESP=1
896717	42	STIM=z
900823	42	RESP=1
915529	42	STIM=o
922619	42	RESP=1
934439	42	STIM=r
939130	42	RESP=1
952501	42	STIM=f
966601	42	RESP=1
970861	42	STIM=w
977322	42	RESP=1
986080	42	STIM=t
991480	42	RESP=1
1001531	42	STIM=a
1008050	42	RESP=1
1020337	42	STIM=g
1027344	42	RESP=1
1036361	42	STIM=l
1043888	42	RESP=1
1051553	42	STIM=v
1055009	42	RESP=1
1066974	42	STIM=c
1073332	42	RESP=1
1082649	42	STIM=6
1089139	42	RESP=2
1099248	42	STIM=d
1108770	42	RESP=1
1115540	42	STIM=0
1125702	42	RESP=2
1132389	42	STIM=o
1135760	42	RESP=1
1151345	42	STIM=k
1155984	42	RESP=1
1168316	42	STIM=9
1175081	42	RESP=2
1185573	42	STIM=1
1190903	42	RESP=1
1204103	42	STIM=9
1212828	42	RESP=2
1220660	42	STIM=l
1227143	42	RESP=1
1237566	42	STIM=3
1246931	42	RESP=2
1254184	42	STIM=y
1264915	42	RESP=1
1269423	42	STIM=p
1278842	42	RESP=1
1287364	42	STIM=h
1294286	42	RESP=1
1304426	42	STIM=m
1308522	42	RESP=1
1320392	42	STIM=q
1326940	42	RESP=1
1337199	42	STIM=j
1343310	42	RESP=1
1354159	42	STIM=e
1364820	42	RESP=2
1371752	42	STIM=3
1376746	42	RESP=2
1386912	42	STIM=p
1392875	42	RESP=1
1403199	42	STIM=g
1407859	42	RESP=1
1419786	42	STIM=i
1423343	42	RESP=1
1436848	42	STIM=g
1443271	42	RESP=1
1455290	42	STIM=a
1461355	42	RESP=1
1470340	42	STIM=a
1477378	42	RESP=1
1487348	42	STIM=t
1493528	42	RESP=1
1503352	42	STIM=b
1506115	42	RESP=1
1519288	42	STIM=z
1525262	42	RESP=1
1534507	42	STIM=u
1538457	42	RESP=1
1550149	42	STIM=j
1553287	42	RESP=1
1568378	42	STIM=a
1574192	42	RESP=1
1586150	42	STIM=8
1592576	42	RESP=2
1604013	42	STIM=k
1611982	42	RESP=1
1620484	42	STIM=o
1627072	42	RESP=1
1639419	42	STIM=k
1648313	42	RESP=2
1655182	42	STIM=e
1658727	42	RESP=1
1673308	42	STIM=s
1685160	42	RESP=1
1689527	42	STIM=q
1692971	42	RESP=1
1704873	42	STIM=5
1710927	42	RESP=2
1721303	42	STIM=v
1724945	42	RESP=1
1739197	42	STIM=9
1748129	42	RESP=2
1756555	42	STIM=s
1760491	42	RESP=1
