# Original filename: 0040_MSP_2017-04-25.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
30105	42	STIM=l
33593	42	RESP=1
48586	42	STIM=k
53571	42	RESP=1
64852	42	STIM=7
72906	42	RESP=2
80047	42	STIM=j
84337	42	RESP=1
97717	42	STIM=y
101913	42	RESP=1
115510	42	STIM=h
123581	42	RESP=1
133724	42	STIM=c
140164	42	RESP=1
149112	42	STIM=s
153398	42	RESP=1
167972	42	STIM=w
171322	42	RESP=1
183750	42	STIM=x
188177	42	RESP=1
201690	42	STIM=5
206805	42	RESP=2
218323	42	STIM=c
221311	42	RESP=1
236355	42	STIM=z
240323	42	RESP=1
254803	42	STIM=i
258607	42	RESP=1
272597	42	STIM=z
275898	42	RESP=1
288876	42	STIM=9
293670	42	RESP=2
306066	42	STIM=z
309313	42	RESP=1
322973	42	STIM=t
326753	42	RESP=1
340575	42	STIM=l
347366	42	RESP=1
355608	42	STIM=d
361427	42	RESP=1
370816	42	STIM=6
375481	42	RESP=2
387911	42	STIM=d
393115	42	RESP=1
403313	42	STIM=g
408732	42	RESP=1
418969	42	STIM=7
423845	42	RESP=1
436811	42	STIM=s
441415	42	RESP=1
454163	42	STIM=p
460506	42	RESP=1
469356	42	STIM=w
473671	42	RESP=2
486370	42	STIM=3
490817	42	RESP=2
503960	42	STIM=y
508572	42	RESP=1
519232	42	STIM=e
524637	42	RESP=1
535197	42	STIM=j
539188	42	RESP=1
550772	42	STIM=m
555763	42	RESP=1
566557	42	STIM=g
569016	42	RESP=1
583553	42	STIM=d
589175	42	RESP=1
600756	42	STIM=d
605517	42	RESP=1
617388	42	STIM=3
626341	42	RESP=2
635902	42	STIM=i
638809	42	RESP=1
652410	42	STIM=l
657501	42	RESP=1
669327	42	STIM=e
674826	42	RESP=1
684854	42	STIM=q
688917	42	RESP=1
701540	42	STIM=m
706361	42	RESP=1
719048	42	STIM=m
726810	42	RESP=1
736301	42	STIM=6
743862	42	RESP=2
754565	42	STIM=t
757924	42	RESP=1
771214	42	STIM=i
774519	42	RESP=1
787450	42	STIM=m
793780	42	RESP=1
802606	42	STIM=u
812011	42	RESP=1
819451	42	STIM=8
823795	42	RESP=2
835187	42	STIM=1
840810	42	RESP=2
853628	42	STIM=z
860368	42	RESP=2
868664	42	STIM=y
873362	42	RESP=1
884005	42	STIM=6
888295	42	RESP=1
902558	42	STIM=g
906211	42	RESP=1
918113	42	STIM=t
922167	42	RESP=1
936199	42	STIM=e
942456	42	RESP=1
954979	42	STIM=0
958764	42	RESP=2
972257	42	STIM=f
977637	42	RESP=1
989924	42	STIM=v
992901	42	RESP=1
1006319	42	STIM=f
1014336	42	RESP=1
1022741	42	STIM=d
1028186	42	RESP=1
1039658	42	STIM=i
1045823	42	RESP=1
1057322	42	STIM=q
1060849	42	RESP=1
1075501	42	STIM=i
1078650	42	RESP=1
1093252	42	STIM=r
1100149	42	RESP=1
1110911	42	STIM=d
1117028	42	RESP=1
1129833	42	STIM=p
1134602	42	RESP=1
1146715	42	STIM=m
1151529	42	RESP=1
1162096	42	STIM=y
1166011	42	RESP=1
1178800	42	STIM=l
1183392	42	RESP=1
1196962	42	STIM=l
1202153	42	RESP=1
1213321	42	STIM=0
1220270	42	RESP=2
1229205	42	STIM=g
1233858	42	RESP=1
1244332	42	STIM=6
1247999	42	RESP=2
1260295	42	STIM=m
1262933	42	RESP=1
1276914	42	STIM=q
1280330	42	RESP=1
1294973	42	STIM=u
1298245	42	RESP=1
1313206	42	STIM=b
1318106	42	RESP=1
1328361	42	STIM=f
1333571	42	RESP=1
1346984	42	STIM=y
1350183	42	RESP=1
1363493	42	STIM=k
1369553	42	RESP=1
1382133	42	STIM=u
1387005	42	RESP=1
1399377	42	STIM=x
1402586	42	RESP=1
1417972	42	STIM=3
1422630	42	RESP=1
1433650	42	STIM=n
1441858	42	RESP=1
1449163	42	STIM=u
1452764	42	RESP=1
1465742	42	STIM=6
1470096	42	RESP=2
1484579	42	STIM=u
1488292	42	RESP=1
1502282	42	STIM=p
1512929	42	RESP=1
1521187	42	STIM=6
1525359	42	RESP=2
1539417	42	STIM=w
1543617	42	RESP=1
1554817	42	STIM=5
1562265	42	RESP=1
1572977	42	STIM=k
1576645	42	RESP=1
1590730	42	STIM=f
1593339	42	RESP=1
1606818	42	STIM=w
1613559	42	RESP=1
1625281	42	STIM=2
1632933	42	RESP=2
1641727	42	STIM=8
1649724	42	RESP=2
1658821	42	STIM=y
1665203	42	RESP=1
1674978	42	STIM=s
1680733	42	RESP=1
1692965	42	STIM=z
1697465	42	RESP=1
1710796	42	STIM=x
1717330	42	RESP=1
1729286	42	STIM=n
1733806	42	RESP=1
1745647	42	STIM=h
1749860	42	RESP=1
1763460	42	STIM=h
1766941	42	RESP=1
1779063	42	STIM=o
1784519	42	RESP=1
1795798	42	STIM=j
1798762	42	RESP=1
1812920	42	STIM=w
1822101	42	RESP=1
1829955	42	STIM=9
1838486	42	RESP=2
1848031	42	STIM=g
1852043	42	RESP=1
1866607	42	STIM=h
1875070	42	RESP=1
1883743	42	STIM=n
1889193	42	RESP=1
1901002	42	STIM=f
1906005	42	RESP=1
1917804	42	STIM=0
1923485	42	RESP=2
1934743	42	STIM=j
1938395	42	RESP=1
1951574	42	STIM=v
1957141	42	RESP=1
1969308	42	STIM=1
1982472	42	RESP=2
1985819	42	STIM=q
1991505	42	RESP=1
2003811	42	STIM=f
2010628	42	RESP=1
2018982	42	STIM=p
2022182	42	RESP=1
2035052	42	STIM=b
2040193	42	RESP=1
2051553	42	STIM=p
2055214	42	RESP=1
2067320	42	STIM=g
2070323	42	RESP=1
2084912	42	STIM=9
2089407	42	RESP=2
2102436	42	STIM=4
2109668	42	RESP=2
2120072	42	STIM=e
2123297	42	RESP=1
2137738	42	STIM=y
2141435	42	RESP=1
2152748	42	STIM=3
2159879	42	RESP=2
2171597	42	STIM=x
2176262	42	RESP=1
2187675	42	STIM=u
2191313	42	RESP=1
2203269	42	STIM=n
2207265	42	RESP=1
2218960	42	STIM=9
2222960	42	RESP=2
2234300	42	STIM=r
2238937	42	RESP=1
2250283	42	STIM=m
2253847	42	RESP=1
2268077	42	STIM=5
2272626	42	RESP=2
2284981	42	STIM=p
2288301	42	RESP=1
2300765	42	STIM=o
2304457	42	RESP=1
2318294	42	STIM=g
2322820	42	RESP=1
2333974	42	STIM=f
2338336	42	RESP=1
2352573	42	STIM=x
2356117	42	RESP=1
2371494	42	STIM=7
2376210	42	RESP=2
2387081	42	STIM=3
2391618	42	RESP=2
2405206	42	STIM=5
2408820	42	RESP=2
2421255	42	STIM=z
2427246	42	RESP=1
2437657	42	STIM=a
2441338	42	RESP=1
2452921	42	STIM=4
2457678	42	RESP=2
2469517	42	STIM=p
2473033	42	RESP=1
2488184	42	STIM=t
2490814	42	RESP=1
2503801	42	STIM=v
2507491	42	RESP=1
2520313	42	STIM=t
2523785	42	RESP=1
2535500	42	STIM=m
2540089	42	RESP=1
2550647	42	STIM=a
2558112	42	RESP=1
2568822	42	STIM=7
2573294	42	RESP=1
2586849	42	STIM=u
2595668	42	RESP=1
2604458	42	STIM=y
2614063	42	RESP=1
2621898	42	STIM=s
2626664	42	RESP=1
2637164	42	STIM=t
2642454	42	RESP=1
2653131	42	STIM=u
2659051	42	RESP=1
2670159	42	STIM=m
2675079	42	RESP=1
2687112	42	STIM=m
2692805	42	RESP=1
2702409	42	STIM=q
2707540	42	RESP=1
2719643	42	STIM=e
2722119	42	RESP=1
2736875	42	STIM=a
2743309	42	RESP=1
2752656	42	STIM=3
2760707	42	RESP=2
2769508	42	STIM=x
2783776	42	RESP=1
2785474	42	STIM=w
2792177	42	RESP=1
2802737	42	STIM=v
2806309	42	RESP=1
2821491	42	STIM=w
2825761	42	RESP=1
2837767	42	STIM=m
2843562	42	RESP=1
2856053	42	STIM=q
2858992	42	RESP=1
2873266	42	STIM=8
2877805	42	RESP=2
2889739	42	STIM=e
2895626	42	RESP=1
2906282	42	STIM=w
2915663	42	RESP=1
2924641	42	STIM=2
2930420	42	RESP=2
2940708	42	STIM=p
2945128	42	RESP=1
2957444	42	STIM=9
2964033	42	RESP=1
2975976	42	STIM=t
2980026	42	RESP=1
2992415	42	STIM=d
2997847	42	RESP=1
3008375	42	STIM=2
3012072	42	RESP=2
3024258	42	STIM=z
3030489	42	RESP=1
3043186	42	STIM=h
3048737	42	RESP=1
3059432	42	STIM=e
3066219	42	RESP=1
3078086	42	STIM=z
3083224	42	RESP=1
3095421	42	STIM=j
3098182	42	RESP=1
3111297	42	STIM=i
3114341	42	RESP=1
3127253	42	STIM=i
3135031	42	RESP=1
3145534	42	STIM=z
3149981	42	RESP=1
3162084	42	STIM=j
3167420	42	RESP=1
3180198	42	STIM=m
3183749	42	RESP=1
3196667	42	STIM=9
3199857	42	RESP=2
3212748	42	STIM=t
3216390	42	RESP=1
3228373	42	STIM=s
3234839	42	RESP=1
3244562	42	STIM=d
3248256	42	RESP=1
3262681	42	STIM=1
3267556	42	RESP=1
3279759	42	STIM=a
3284039	42	RESP=1
3296310	42	STIM=l
3301227	42	RESP=1
3313203	42	STIM=u
3318653	42	RESP=1
3330878	42	STIM=g
3335797	42	RESP=1
3346204	42	STIM=s
3350872	42	RESP=1
3362754	42	STIM=w
3367665	42	RESP=1
3380465	42	STIM=z
3384804	42	RESP=1
3395864	42	STIM=u
3402106	42	RESP=1
3411089	42	STIM=q
3415404	42	RESP=1
3429098	42	STIM=3
3439440	42	RESP=2
3447725	42	STIM=u
3452112	42	RESP=1
3465281	42	STIM=b
3469186	42	RESP=1
3483413	42	STIM=a
3488380	42	RESP=1
3499289	42	STIM=f
3503436	42	RESP=1
3516573	42	STIM=5
3520588	42	RESP=2
3532760	42	STIM=h
3535837	42	RESP=1
3549016	42	STIM=p
3555946	42	RESP=1
3565037	42	STIM=s
3568300	42	RESP=1
3582363	42	STIM=y
3587195	42	RESP=1
3599309	42	STIM=8
3604794	42	RESP=2
3617537	42	STIM=4
3624631	42	RESP=2
3632922	42	STIM=8
3636568	42	RESP=2
3648597	42	STIM=o
3656536	42	RESP=1
3663976	42	STIM=e
3666870	42	RESP=1
3682963	42	STIM=l
3686840	42	RESP=1
3700290	42	STIM=r
3705214	42	RESP=1
3715591	42	STIM=n
3720276	42	RESP=1
3730824	42	STIM=0
3737375	42	RESP=2
3749252	42	STIM=h
3753321	42	RESP=1
3766398	42	STIM=d
3769538	42	RESP=1
3783336	42	STIM=k
3789065	42	RESP=1
3800098	42	STIM=x
3805016	42	RESP=1
3818934	42	STIM=h
3823132	42	RESP=1
3837499	42	STIM=j
3840204	42	RESP=1
3852645	42	STIM=j
3855284	42	RESP=1
3870987	42	STIM=0
3877569	42	RESP=2
3889377	42	STIM=g
3893390	42	RESP=1
