# Original filename: 0040_THX_2017-04-06.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
34445	42	STIM=k
39043	42	RESP=1
51117	42	STIM=5
61348	42	RESP=1
70038	42	STIM=q
77260	42	RESP=1
85734	42	STIM=j
91570	42	RESP=1
102671	42	STIM=2
107461	42	RESP=2
121427	42	STIM=2
126286	42	RESP=2
139173	42	STIM=d
145120	42	RESP=1
156213	42	STIM=8
159900	42	RESP=2
171660	42	STIM=d
176956	42	RESP=1
187547	42	STIM=v
192218	42	RESP=1
202742	42	STIM=e
207152	42	RESP=1
218799	42	STIM=u
222831	42	RESP=1
237439	42	STIM=w
243034	42	RESP=1
254710	42	STIM=j
262123	42	RESP=1
270921	42	STIM=i
276628	42	RESP=1
287877	42	STIM=j
296112	42	RESP=1
303990	42	STIM=2
313615	42	RESP=2
319308	42	STIM=3
323780	42	RESP=2
337933	42	STIM=5
345063	42	RESP=2
354921	42	STIM=x
359395	42	RESP=1
371673	42	STIM=c
379413	42	RESP=1
390596	42	STIM=k
394756	42	RESP=1
408474	42	STIM=d
413822	42	RESP=1
425068	42	STIM=p
430291	42	RESP=1
440490	42	STIM=y
446045	42	RESP=1
457330	42	STIM=n
465767	42	RESP=1
475207	42	STIM=k
482311	42	RESP=1
493419	42	STIM=6
497700	42	RESP=2
511733	42	STIM=y
516231	42	RESP=1
529657	42	STIM=j
535386	42	RESP=1
545048	42	STIM=q
548753	42	RESP=1
560886	42	STIM=a
567682	42	RESP=1
579202	42	STIM=n
582566	42	RESP=1
596085	42	STIM=0
601041	42	RESP=2
613464	42	STIM=v
618725	42	RESP=1
631462	42	STIM=r
635103	42	RESP=1
646902	42	STIM=q
651033	42	RESP=1
664266	42	STIM=3
669764	42	RESP=2
680477	42	STIM=8
689174	42	RESP=2
699113	42	STIM=b
703644	42	RESP=1
717159	42	STIM=u
721260	42	RESP=1
734582	42	STIM=e
739799	42	RESP=1
752173	42	STIM=g
755526	42	RESP=1
769554	42	STIM=t
773799	42	RESP=1
786189	42	STIM=e
792342	42	RESP=1
804410	42	STIM=v
808941	42	RESP=1
820058	42	STIM=n
823244	42	RESP=2
838713	42	STIM=a
842748	42	RESP=1
853895	42	STIM=5
858911	42	RESP=2
869410	42	STIM=0
875325	42	RESP=2
887354	42	STIM=g
893627	42	RESP=1
905180	42	STIM=5
910618	42	RESP=2
922119	42	STIM=e
926521	42	RESP=1
939348	42	STIM=e
943491	42	RESP=1
956167	42	STIM=s
959083	42	RESP=1
973113	42	STIM=f
977998	42	RESP=1
989219	42	STIM=i
994878	42	RESP=1
1007085	42	STIM=7
1012480	42	RESP=2
1024546	42	STIM=h
1029907	42	RESP=1
1040909	42	STIM=k
1047096	42	RESP=1
1059541	42	STIM=k
1064072	42	RESP=1
1078018	42	STIM=i
1081887	42	RESP=1
1096415	42	STIM=y
1101636	42	RESP=1
1112898	42	STIM=y
1117070	42	RESP=2
1128955	42	STIM=x
1133045	42	RESP=1
1146138	42	STIM=q
1149450	42	RESP=1
1162825	42	STIM=n
1169827	42	RESP=1
1181216	42	STIM=y
1184680	42	RESP=1
1198722	42	STIM=m
1204267	42	RESP=1
1217369	42	STIM=1
1222365	42	RESP=2
1234633	42	STIM=4
1238789	42	RESP=1
1251740	42	STIM=0
1255089	42	RESP=1
1267708	42	STIM=i
1274562	42	RESP=1
1285640	42	STIM=t
1290831	42	RESP=1
1302663	42	STIM=t
1312276	42	RESP=1
1319485	42	STIM=i
1324041	42	RESP=1
1336682	42	STIM=f
1342960	42	RESP=2
1351749	42	STIM=r
1363956	42	RESP=1
1367161	42	STIM=x
1370040	42	RESP=1
1383229	42	STIM=d
1387382	42	RESP=1
1402225	42	STIM=8
1407726	42	RESP=2
1417260	42	STIM=z
1423457	42	RESP=1
1433590	42	STIM=r
1444444	42	RESP=1
1452379	42	STIM=4
1457056	42	RESP=2
1467499	42	STIM=z
1476271	42	RESP=1
1485983	42	STIM=d
1488652	42	RESP=1
1504795	42	STIM=2
1512013	42	RESP=2
1523229	42	STIM=y
1526949	42	RESP=1
1539861	42	STIM=a
1545671	42	RESP=1
1557407	42	STIM=w
1560264	42	RESP=1
1573250	42	STIM=h
1577344	42	RESP=1
1592225	42	STIM=5
1595590	42	RESP=2
1609023	42	STIM=a
1614741	42	RESP=1
1626753	42	STIM=o
1633341	42	RESP=1
1643454	42	STIM=f
1647251	42	RESP=1
1659241	42	STIM=i
1663546	42	RESP=1
1674724	42	STIM=t
1681832	42	RESP=1
1689964	42	STIM=b
1694541	42	RESP=1
1705693	42	STIM=v
1709723	42	RESP=1
1721983	42	STIM=w
1727119	42	RESP=1
1737331	42	STIM=r
1742638	42	RESP=1
1754658	42	STIM=3
1759583	42	RESP=2
1770214	42	STIM=t
1774515	42	RESP=1
1788136	42	STIM=l
1792043	42	RESP=2
1803302	42	STIM=g
1809201	42	RESP=1
1822122	42	STIM=h
1826535	42	RESP=1
1839987	42	STIM=y
1843028	42	RESP=1
1858795	42	STIM=p
1861291	42	RESP=1
1876070	42	STIM=9
1882714	42	RESP=2
1893052	42	STIM=1
1898635	42	RESP=2
1910051	42	STIM=f
1913496	42	RESP=1
1926290	42	STIM=r
1928993	42	RESP=1
1942810	42	STIM=q
1946931	42	RESP=1
1959218	42	STIM=h
1965974	42	RESP=1
1975578	42	STIM=4
1980761	42	RESP=2
1993661	42	STIM=v
1998801	42	RESP=1
2010754	42	STIM=7
2018269	42	RESP=2
2027087	42	STIM=a
2033503	42	RESP=1
2042953	42	STIM=v
2048202	42	RESP=1
2059151	42	STIM=e
2064463	42	RESP=1
2074713	42	STIM=g
2082691	42	RESP=1
2091132	42	STIM=o
2094386	42	RESP=1
2106887	42	STIM=m
2110908	42	RESP=1
2122819	42	STIM=o
2126254	42	RESP=1
2138173	42	STIM=e
2141713	42	RESP=1
2154436	42	STIM=k
2159624	42	RESP=1
2172403	42	STIM=u
2178149	42	RESP=1
2191023	42	STIM=x
2195082	42	RESP=2
2207468	42	STIM=c
2211711	42	RESP=1
2222558	42	STIM=j
2224979	42	RESP=1
2237941	42	STIM=q
2243912	42	RESP=1
2253820	42	STIM=4
2257376	42	RESP=2
2269444	42	STIM=e
2277916	42	RESP=1
2286078	42	STIM=z
2289029	42	RESP=1
2303188	42	STIM=w
2307199	42	RESP=1
2321335	42	STIM=j
2327794	42	RESP=1
2339505	42	STIM=x
2346272	42	RESP=1
